date,udmwiki (100+),udmwiki (5+),udmwiki (all)
2012/08/19,2,13,27
2012/08/20,2,13,27
2012/08/21,2,13,27
2012/08/22,2,13,28
2012/08/23,2,13,28
2012/08/24,3,13,28
2012/08/25,3,13,27
2012/08/26,3,13,26
2012/08/27,3,13,26
2012/08/28,2,13,26
2012/08/29,2,13,26
2012/08/30,2,13,29
2012/08/31,2,13,28
2012/09/01,2,13,29
2012/09/02,3,13,30
2012/09/03,3,13,31
2012/09/04,3,13,29
2012/09/05,3,13,29
2012/09/06,3,13,29
2012/09/07,3,13,29
2012/09/08,3,13,29
2012/09/09,3,13,28
2012/09/10,3,13,28
2012/09/11,3,13,26
2012/09/12,3,13,26
2012/09/13,3,13,26
2012/09/14,3,15,30
2012/09/15,3,15,29
2012/09/16,3,15,30
2012/09/17,3,14,29
2012/09/18,3,15,28
2012/09/19,3,15,28
2012/09/20,3,15,30
2012/09/21,3,14,28
2012/09/22,3,14,28
2012/09/23,3,14,28
2012/09/24,2,14,28
2012/09/25,3,14,28
2012/09/26,3,14,30
2012/09/27,3,16,32
2012/09/28,4,16,32
2012/09/29,3,16,32
2012/09/30,4,16,32
2012/10/01,4,16,29
2012/10/02,4,17,29
2012/10/03,4,16,28
2012/10/04,4,16,28
2012/10/05,4,16,27
2012/10/06,3,16,27
2012/10/07,3,16,28
2012/10/08,4,16,28
2012/10/09,4,16,28
2012/10/10,4,16,28
2012/10/11,4,16,28
2012/10/12,4,16,28
2012/10/13,4,16,28
2012/10/14,4,14,25
2012/10/15,4,13,26
2012/10/16,4,13,27
2012/10/17,4,13,30
2012/10/18,4,13,31
2012/10/19,4,14,34
2012/10/20,3,15,32
2012/10/21,4,15,33
2012/10/22,4,15,35
2012/10/23,4,15,35
2012/10/24,4,16,37
2012/10/25,4,16,39
2012/10/26,4,16,38
2012/10/27,4,15,35
2012/10/28,4,15,35
2012/10/29,5,15,35
2012/10/30,5,15,35
2012/10/31,4,15,36
2012/11/01,4,15,35
2012/11/02,4,15,37
2012/11/03,5,15,38
2012/11/04,5,15,39
2012/11/05,5,15,39
2012/11/06,5,16,39
2012/11/07,4,17,39
2012/11/08,4,17,40
2012/11/09,4,17,38
2012/11/10,4,17,38
2012/11/11,4,16,36
2012/11/12,4,16,36
2012/11/13,3,16,37
2012/11/14,4,16,36
2012/11/15,3,15,37
2012/11/16,3,15,36
2012/11/17,3,16,35
2012/11/18,3,16,34
