date,pamwiki (100+),pamwiki (5+),pamwiki (all)
2012/08/19,6,23,48
2012/08/20,5,23,48
2012/08/21,5,23,48
2012/08/22,5,23,47
2012/08/23,6,23,47
2012/08/24,6,24,48
2012/08/25,6,24,47
2012/08/26,6,24,48
2012/08/27,6,24,48
2012/08/28,6,23,46
2012/08/29,6,22,46
2012/08/30,6,22,46
2012/08/31,6,22,44
2012/09/01,6,23,46
2012/09/02,6,22,46
2012/09/03,6,22,45
2012/09/04,6,22,45
2012/09/05,5,22,46
2012/09/06,6,21,44
2012/09/07,6,21,41
2012/09/08,5,21,41
2012/09/09,5,22,42
2012/09/10,5,23,42
2012/09/11,5,24,43
2012/09/12,5,24,42
2012/09/13,5,24,42
2012/09/14,6,25,42
2012/09/15,6,25,41
2012/09/16,6,25,41
2012/09/17,6,25,41
2012/09/18,7,25,39
2012/09/19,7,26,39
2012/09/20,6,26,39
2012/09/21,6,25,39
2012/09/22,5,25,39
2012/09/23,5,24,38
2012/09/24,5,25,39
2012/09/25,5,25,37
2012/09/26,5,25,37
2012/09/27,5,25,37
2012/09/28,5,25,39
2012/09/29,5,25,38
2012/09/30,6,25,38
2012/10/01,6,23,36
2012/10/02,6,23,36
2012/10/03,6,23,35
2012/10/04,6,23,35
2012/10/05,6,23,34
2012/10/06,6,23,34
2012/10/07,5,22,33
2012/10/08,5,22,34
2012/10/09,5,21,32
2012/10/10,6,21,32
2012/10/11,5,21,32
2012/10/12,5,20,33
2012/10/13,5,20,34
2012/10/14,5,20,34
2012/10/15,5,21,35
2012/10/16,5,22,35
2012/10/17,5,21,34
2012/10/18,6,21,34
2012/10/19,5,22,35
2012/10/20,6,22,38
2012/10/21,6,22,39
2012/10/22,6,23,40
2012/10/23,6,22,39
2012/10/24,6,23,40
2012/10/25,6,23,41
2012/10/26,6,23,44
2012/10/27,6,24,44
2012/10/28,6,24,43
2012/10/29,7,26,46
2012/10/30,7,26,47
2012/10/31,7,27,47
2012/11/01,7,27,46
2012/11/02,7,27,47
2012/11/03,7,27,47
2012/11/04,7,27,47
2012/11/05,7,27,47
2012/11/06,7,26,50
2012/11/07,7,27,50
2012/11/08,7,27,50
2012/11/09,7,27,52
2012/11/10,7,27,53
2012/11/11,7,27,53
2012/11/12,7,27,53
2012/11/13,7,28,52
2012/11/14,7,28,52
2012/11/15,7,28,52
2012/11/16,7,27,50
2012/11/17,7,29,52
2012/11/18,7,29,50
2012/11/19,7,29,49
2012/11/20,7,29,48
2012/11/21,7,28,48
2012/11/22,7,27,49
2012/11/23,7,27,49
2012/11/24,7,27,49
2012/11/25,7,27,46
2012/11/26,8,27,46
2012/11/27,8,27,49
2012/11/28,8,25,47
2012/11/29,8,25,46
2012/11/30,8,26,49
2012/12/01,7,27,50
2012/12/02,7,27,51
2012/12/03,7,27,50
2012/12/04,7,28,51
2012/12/05,7,28,51
2012/12/06,7,28,49
