date,kawiki (100+),kawiki (5+),kawiki (all)
2013/04/20,24,72,233
2013/04/21,24,73,236
2013/04/22,24,74,232
2013/04/23,24,73,232
2013/04/24,26,73,224
2013/04/25,26,74,219
2013/04/26,26,73,218
2013/04/27,27,70,213
2013/04/28,27,67,209
2013/04/29,27,67,210
2013/04/30,27,66,212
2013/05/01,27,64,211
2013/05/02,25,63,205
2013/05/03,25,62,201
2013/05/04,24,65,203
2013/05/05,23,63,196
2013/05/06,23,63,195
2013/05/07,25,64,195
2013/05/08,24,64,199
2013/05/09,24,65,197
2013/05/10,24,66,199
2013/05/11,22,65,203
2013/05/12,21,65,201
2013/05/13,21,65,199
2013/05/14,20,64,200
2013/05/15,20,65,201
2013/05/16,19,65,201
2013/05/17,18,68,204
2013/05/18,18,68,204
2013/05/19,19,68,204
2013/05/20,19,68,199
2013/05/21,19,68,194
2013/05/22,19,68,198
2013/05/23,19,66,199
2013/05/24,17,64,203
2013/05/25,17,65,201
2013/05/26,16,67,203
2013/05/27,15,68,209
2013/05/28,14,69,211
2013/05/29,15,68,211
2013/05/30,15,68,208
2013/05/31,17,67,209
2013/06/01,17,68,215
2013/06/02,17,67,218
2013/06/03,18,66,213
2013/06/04,18,63,214
2013/06/05,18,63,219
2013/06/06,17,62,220
2013/06/07,18,63,219
2013/06/08,19,63,216
2013/06/09,19,63,218
2013/06/10,19,64,218
2013/06/11,19,63,219
2013/06/12,20,62,221
2013/06/13,20,61,223
2013/06/14,19,63,224
2013/06/15,20,62,222
2013/06/16,20,63,218
2013/06/17,20,64,216
2013/06/18,19,64,212
2013/06/19,18,63,214
2013/06/20,18,62,217
2013/06/21,18,63,217
2013/06/22,18,63,213
2013/06/23,18,63,211
2013/06/24,18,63,215
2013/06/25,19,63,215
2013/06/26,19,65,211
2013/06/27,19,65,209
2013/06/28,19,66,211
2013/06/29,18,65,211
2013/06/30,18,70,214
2013/07/01,18,73,217
2013/07/02,17,73,218
2013/07/03,17,74,222
2013/07/04,17,73,221
2013/07/05,17,72,213
2013/07/06,17,72,214
2013/07/07,16,74,214
2013/07/08,17,72,216
2013/07/09,17,77,220
2013/07/10,17,76,214
2013/07/11,17,76,213
2013/07/12,17,75,211
2013/07/13,16,74,212
2013/07/14,16,71,211
2013/07/15,17,72,214
2013/07/16,17,72,215
2013/07/17,17,73,212
2013/07/18,15,73,213
2013/07/19,17,73,208
2013/07/20,17,75,208
2013/07/21,18,76,206
2013/07/22,18,77,205
2013/07/23,18,76,205
2013/07/24,19,73,205
2013/07/25,20,71,206
2013/07/26,20,68,204
2013/07/27,18,70,206
2013/07/28,19,67,205
2013/07/29,19,67,205
2013/07/30,19,70,199
2013/07/31,18,68,191
2013/08/01,16,67,186
2013/08/02,17,66,183
2013/08/03,17,67,183
2013/08/04,16,67,184
2013/08/05,16,65,184
2013/08/06,15,65,185
2013/08/07,15,64,183
2013/08/08,14,62,177
2013/08/09,15,62,176
2013/08/10,16,60,175
2013/08/11,15,60,175
2013/08/12,14,60,172
2013/08/13,13,60,172
2013/08/14,13,59,170
2013/08/15,13,59,167
2013/08/16,12,57,170
2013/08/17,13,59,169
2013/08/18,14,57,170
2013/08/19,13,56,171
2013/08/20,13,55,167
2013/08/21,13,58,172
2013/08/22,13,58,168
2013/08/23,13,59,169
2013/08/24,12,57,170
2013/08/25,12,54,169
2013/08/26,12,55,165
2013/08/27,12,55,167
2013/08/28,13,56,170
2013/08/29,13,55,172
2013/08/30,13,53,176
2013/08/31,13,56,178
2013/09/01,13,54,178
2013/09/02,13,53,181
2013/09/03,13,54,188
2013/09/04,13,54,189
2013/09/05,13,53,184
2013/09/06,14,52,184
2013/09/07,14,51,185
2013/09/08,15,51,187
2013/09/09,16,53,191
2013/09/10,16,52,191
2013/09/11,16,52,190
2013/09/12,17,55,189
2013/09/13,17,55,189
2013/09/14,16,53,191
2013/09/15,16,52,189
2013/09/16,16,54,194
2013/09/17,16,56,196
2013/09/18,17,58,199
2013/09/19,16,61,203
2013/09/20,16,60,200
2013/09/21,16,60,200
2013/09/22,16,58,199
2013/09/23,15,61,199
2013/09/24,15,64,199
2013/09/25,15,64,203
2013/09/26,15,63,201
2013/09/27,15,62,197
2013/09/28,16,63,199
2013/09/29,15,61,197
2013/09/30,15,60,198
2013/10/01,16,59,198
2013/10/02,17,60,196
2013/10/03,17,60,196
2013/10/04,17,61,194
2013/10/05,17,61,196
2013/10/06,16,61,197
2013/10/07,17,61,196
2013/10/08,17,62,196
2013/10/09,17,62,194
2013/10/10,15,62,194
2013/10/11,15,60,196
2013/10/12,15,61,193
2013/10/13,15,60,192
2013/10/14,15,62,194
2013/10/15,15,62,197
2013/10/16,15,64,201
2013/10/17,14,62,202
2013/10/18,13,59,203
2013/10/19,13,56,200
2013/10/20,13,57,198
2013/10/21,15,55,199
2013/10/22,14,54,199
2013/10/23,14,54,197
2013/10/24,14,53,193
2013/10/25,14,53,192
2013/10/26,14,55,198
2013/10/27,14,55,202
2013/10/28,14,54,203
2013/10/29,15,54,203
2013/10/30,15,54,199
2013/10/31,16,54,200
2013/11/01,16,54,198
2013/11/02,15,53,195
2013/11/03,15,53,196
2013/11/04,15,54,199
2013/11/05,15,55,201
2013/11/06,15,54,203
2013/11/07,14,56,205
2013/11/08,14,54,199
2013/11/09,14,54,200
2013/11/10,14,55,203
2013/11/11,14,54,209
2013/11/12,14,57,210
2013/11/13,14,56,206
2013/11/14,14,57,202
2013/11/15,14,59,197
2013/11/16,15,61,195
2013/11/17,15,59,198
2013/11/18,17,61,198
2013/11/19,17,60,198
2013/11/20,16,64,203
2013/11/21,15,65,202
2013/11/22,15,68,202
2013/11/23,15,69,205
2013/11/24,16,68,206
2013/11/25,16,70,204
2013/11/26,16,70,205
2013/11/27,16,72,205
2013/11/28,15,74,212
2013/11/29,15,76,213
2013/11/30,15,76,219
2013/12/01,15,78,229
2013/12/02,16,78,234
2013/12/03,15,80,233
2013/12/04,14,83,237
2013/12/05,14,86,242
2013/12/06,14,86,244
2013/12/07,14,88,241
2013/12/08,14,89,248
2013/12/09,14,93,252
2013/12/10,14,92,250
2013/12/11,14,94,251
2013/12/12,14,94,251
2013/12/13,13,94,252
2013/12/14,13,93,257
2013/12/15,13,92,261
2013/12/16,12,92,257
2013/12/17,13,90,256
2013/12/18,14,90,260
2013/12/19,14,91,257
2013/12/20,14,91,249
2013/12/21,14,93,253
2013/12/22,14,89,250
2013/12/23,14,87,250
2013/12/24,14,86,249
2013/12/25,14,86,247
2013/12/26,14,86,243
2013/12/27,14,84,242
2013/12/28,14,84,238
2013/12/29,14,82,234
2013/12/30,14,80,233
2013/12/31,14,78,224
2014/01/01,14,78,219
2014/01/02,14,77,216
2014/01/03,13,79,215
2014/01/04,13,76,214
2014/01/05,13,75,210
2014/01/06,13,75,212
2014/01/07,13,73,204
2014/01/08,13,69,201
2014/01/09,12,70,202
2014/01/10,12,69,198
2014/01/11,13,68,199
2014/01/12,12,67,197
2014/01/13,12,66,195
2014/01/14,13,66,192
2014/01/15,14,66,191
2014/01/16,14,66,192
2014/01/17,14,65,192
2014/01/18,14,62,199
2014/01/19,14,61,193
2014/01/20,14,61,188
2014/01/21,15,62,188
2014/01/22,14,61,186
2014/01/23,15,61,190
2014/01/24,15,62,193
2014/01/25,16,62,193
2014/01/26,17,61,194
2014/01/27,17,64,200
2014/01/28,17,66,209
2014/01/29,18,66,209
2014/01/30,18,65,207
2014/01/31,17,66,207
2014/02/01,17,68,209
2014/02/02,17,69,213
2014/02/03,17,69,213
2014/02/04,17,69,220
2014/02/05,20,69,219
2014/02/06,21,69,227
2014/02/07,21,68,227
2014/02/08,21,68,226
2014/02/09,21,69,228
2014/02/10,21,69,232
2014/02/11,21,70,230
2014/02/12,21,71,233
2014/02/13,21,70,232
2014/02/14,22,71,233
2014/02/15,19,69,230
2014/02/16,22,69,231
2014/02/17,21,69,229
2014/02/18,21,71,233
2014/02/19,22,71,241
2014/02/20,21,70,241
2014/02/21,21,71,241
2014/02/22,21,70,238
2014/02/23,20,69,240
2014/02/24,19,68,243
2014/02/25,19,69,245
2014/02/26,17,70,244
2014/02/27,16,70,240
2014/02/28,16,71,241
2014/03/01,16,71,240
2014/03/02,16,67,239
2014/03/03,17,67,245
2014/03/04,16,65,243
2014/03/05,16,68,241
2014/03/06,15,68,236
2014/03/07,14,66,234
2014/03/08,14,65,231
2014/03/09,14,65,224
2014/03/10,14,64,224
2014/03/11,15,67,223
2014/03/12,14,67,219
2014/03/13,13,69,221
2014/03/14,13,68,224
2014/03/15,13,67,227
2014/03/16,13,65,227
2014/03/17,14,64,229
2014/03/18,14,64,230
2014/03/19,13,64,226
2014/03/20,14,62,228
2014/03/21,14,63,224
2014/03/22,14,61,220
2014/03/23,13,61,222
2014/03/24,13,64,222
2014/03/25,13,64,220
2014/03/26,11,65,216
2014/03/27,11,65,212
2014/03/28,11,64,202
