date,ptwiki (100+),ptwiki (5+),ptwiki (all)
2012/08/19,203,1707,5160
2012/08/20,201,1706,5126
2012/08/21,197,1702,5136
2012/08/22,201,1692,5134
2012/08/23,196,1704,5124
2012/08/24,194,1663,4959
2012/08/25,198,1683,5057
2012/08/26,197,1679,5015
2012/08/27,189,1670,5014
2012/08/28,190,1667,5037
2012/08/29,195,1681,5040
2012/08/30,194,1662,5016
2012/08/31,194,1658,5013
2012/09/01,193,1664,5033
2012/09/02,193,1664,5033
2012/09/03,191,1668,5015
2012/09/04,191,1678,5047
2012/09/05,191,1678,5079
2012/09/06,191,1689,5097
2012/09/07,197,1692,5085
2012/09/08,196,1673,5078
2012/09/09,197,1679,5094
2012/09/10,199,1681,5086
2012/09/11,195,1663,5095
2012/09/12,191,1663,5100
2012/09/13,193,1669,5090
2012/09/14,195,1664,5100
2012/09/15,191,1658,5110
2012/09/16,191,1648,5085
2012/09/17,195,1642,5080
2012/09/18,197,1651,5104
2012/09/19,195,1649,5132
2012/09/20,191,1659,5149
2012/09/21,194,1658,5126
2012/09/22,197,1651,5126
2012/09/23,193,1653,5086
2012/09/24,193,1655,5069
2012/09/25,194,1627,5073
2012/09/26,198,1622,5081
2012/09/27,196,1609,5070
2012/09/28,195,1598,5043
2012/09/29,197,1593,4981
2012/09/30,197,1604,4979
2012/10/01,195,1606,4966
2012/10/02,192,1609,4989
2012/10/03,193,1605,4986
2012/10/04,190,1596,4978
2012/10/05,188,1599,4948
2012/10/06,188,1589,4926
2012/10/07,186,1570,4906
2012/10/08,186,1557,4868
2012/10/09,184,1558,4899
2012/10/10,179,1564,4904
2012/10/11,179,1565,4892
2012/10/12,178,1556,4867
2012/10/13,176,1538,4866
2012/10/14,174,1546,4850
2012/10/15,176,1557,4857
2012/10/16,179,1556,4873
2012/10/17,179,1564,4915
2012/10/18,178,1561,4904
2012/10/19,177,1557,4891
2012/10/20,178,1543,4859
2012/10/21,176,1531,4842
2012/10/22,181,1525,4833
2012/10/23,183,1543,4850
2012/10/24,185,1545,4860
2012/10/25,180,1550,4862
2012/10/26,183,1541,4841
2012/10/27,180,1538,4840
2012/10/28,183,1555,4843
2012/10/29,183,1560,4886
2012/10/30,180,1560,4899
2012/10/31,181,1546,4910
2012/11/01,179,1547,4917
2012/11/02,174,1548,4931
2012/11/03,174,1545,4932
2012/11/04,175,1558,4942
2012/11/05,176,1578,4961
2012/11/06,173,1579,4974
2012/11/07,170,1601,5013
2012/11/08,170,1589,5002
2012/11/09,171,1588,5015
2012/11/10,173,1582,4991
2012/11/11,172,1583,5004
2012/11/12,176,1593,5027
2012/11/13,172,1596,5053
2012/11/14,169,1593,5051
2012/11/15,174,1595,5044
2012/11/16,178,1591,4997
2012/11/17,179,1582,4997
2012/11/18,180,1593,5009
2012/11/19,179,1586,5027
2012/11/20,175,1588,5032
2012/11/21,175,1606,5059
2012/11/22,177,1600,5062
2012/11/23,180,1598,5064
2012/11/24,180,1609,5077
2012/11/25,180,1601,5060
2012/11/26,182,1598,5037
2012/11/27,183,1618,5090
2012/11/28,184,1619,5110
2012/11/29,184,1631,5119
2012/11/30,183,1628,5127
2012/12/01,184,1616,5114
2012/12/02,188,1625,5102
2012/12/03,187,1631,5106
2012/12/04,193,1638,5103
2012/12/05,192,1623,5082
2012/12/06,199,1637,5100
2012/12/07,198,1638,5103
2012/12/08,200,1638,5126
2012/12/09,199,1651,5091
2012/12/10,198,1658,5096
2012/12/11,204,1649,5105
2012/12/12,204,1644,5127
2012/12/13,207,1635,5133
2012/12/14,205,1651,5158
2012/12/15,199,1656,5149
2012/12/16,204,1656,5158
2012/12/17,201,1656,5168
2012/12/18,200,1660,5173
2012/12/19,203,1668,5169
2012/12/20,200,1667,5166
2012/12/21,202,1657,5142
2012/12/22,202,1664,5103
2012/12/23,202,1655,5061
2012/12/24,203,1645,5045
2012/12/25,202,1650,5040
2012/12/26,201,1645,5009
2012/12/27,202,1631,4962
2012/12/28,207,1632,4962
2012/12/29,205,1628,4907
2012/12/30,209,1624,4886
2012/12/31,211,1627,4884
2013/01/01,208,1632,4877
2013/01/02,205,1635,4877
2013/01/03,205,1638,4915
2013/01/04,203,1663,4942
2013/01/05,204,1662,4976
2013/01/06,207,1670,4980
2013/01/07,207,1663,4970
2013/01/08,208,1688,5024
2013/01/09,209,1705,5054
2013/01/10,209,1697,5038
2013/01/11,209,1695,5046
2013/01/12,207,1713,5050
2013/01/13,207,1707,5023
2013/01/14,204,1708,4998
2013/01/15,201,1709,5015
2013/01/16,195,1705,5046
2013/01/17,198,1712,5051
2013/01/18,197,1738,5041
2013/01/19,200,1726,5022
2013/01/20,201,1728,5024
2013/01/21,198,1743,5058
2013/01/22,199,1755,5127
2013/01/23,199,1750,5150
2013/01/24,206,1759,5185
2013/01/25,207,1777,5242
2013/01/26,212,1795,5270
2013/01/27,211,1804,5265
2013/01/28,214,1807,5271
2013/01/29,214,1806,5288
2013/01/30,214,1816,5315
2013/01/31,213,1831,5356
2013/02/01,216,1843,5398
2013/02/02,216,1844,5364
2013/02/03,215,1831,5345
2013/02/04,215,1812,5301
2013/02/05,217,1800,5289
2013/02/06,217,1801,5275
2013/02/07,222,1786,5270
2013/02/08,217,1795,5266
2013/02/09,219,1793,5248
2013/02/10,219,1778,5206
2013/02/11,221,1763,5176
2013/02/12,224,1746,5185
2013/02/13,228,1769,5237
2013/02/14,224,1761,5266
2013/02/15,226,1758,5264
2013/02/16,227,1765,5266
2013/02/17,226,1755,5283
2013/02/18,220,1761,5325
2013/02/19,217,1761,5327
2013/02/20,219,1769,5324
2013/02/21,217,1762,5299
2013/02/22,216,1767,5292
2013/02/23,216,1761,5282
2013/02/24,213,1754,5239
2013/02/25,219,1756,5218
2013/02/26,213,1770,5246
2013/02/27,216,1770,5256
2013/02/28,213,1758,5244
2013/03/01,214,1734,5217
2013/03/02,211,1713,5185
2013/03/03,209,1697,5161
2013/03/04,211,1697,5148
2013/03/05,214,1687,5160
2013/03/06,213,1677,5195
2013/03/07,211,1682,5207
2013/03/08,211,1688,5200
2013/03/09,214,1668,5173
2013/03/10,211,1673,5139
2013/03/11,208,1651,5142
2013/03/12,205,1652,5172
2013/03/13,207,1658,5180
2013/03/14,207,1660,5189
2013/03/15,205,1664,5172
2013/03/16,203,1647,5127
2013/03/17,203,1644,5110
2013/03/18,197,1639,5106
2013/03/19,195,1625,5102
2013/03/20,196,1622,5099
2013/03/21,195,1627,5094
2013/03/22,197,1639,5080
2013/03/23,197,1635,5109
2013/03/24,193,1637,5110
2013/03/25,189,1640,5126
2013/03/26,189,1649,5165
2013/03/27,190,1639,5178
2013/03/28,183,1636,5152
2013/03/29,179,1632,5147
2013/03/30,179,1642,5166
2013/03/31,183,1642,5171
2013/04/01,183,1646,5176
2013/04/02,181,1648,5164
2013/04/03,185,1654,5195
2013/04/04,185,1667,5209
2013/04/05,186,1665,5202
2013/04/06,187,1650,5174
2013/04/07,187,1658,5173
2013/04/08,185,1668,5150
2013/04/09,188,1676,5180
2013/04/10,186,1678,5219
2013/04/11,190,1673,5238
2013/04/12,192,1658,5262
2013/04/13,193,1670,5262
2013/04/14,193,1668,5246
2013/04/15,189,1691,5258
2013/04/16,186,1692,5287
2013/04/17,192,1705,5282
2013/04/18,194,1715,5289
2013/04/19,196,1700,5289
2013/04/20,197,1696,5278
2013/04/21,196,1701,5286
