date,myvwiki (100+),myvwiki (5+),myvwiki (all)
2012/08/19,1,7,23
2012/08/20,1,7,24
2012/08/21,1,7,24
2012/08/22,1,8,25
2012/08/23,1,8,25
2012/08/24,1,8,25
2012/08/25,1,8,25
2012/08/26,1,8,23
2012/08/27,1,9,23
2012/08/28,,9,24
2012/08/29,,9,25
2012/08/30,,9,24
2012/08/31,,9,25
2012/09/01,,9,25
2012/09/02,,9,25
2012/09/03,,8,24
2012/09/04,,8,24
2012/09/05,,8,22
2012/09/06,,7,22
2012/09/07,,7,22
2012/09/08,,7,22
2012/09/09,,8,24
2012/09/10,,7,24
2012/09/11,,8,24
2012/09/12,,7,23
2012/09/13,1,7,23
2012/09/14,1,7,23
2012/09/15,1,7,23
2012/09/16,,7,23
2012/09/17,,7,22
2012/09/18,,7,22
2012/09/19,,7,22
2012/09/20,,8,22
2012/09/21,,8,20
2012/09/22,1,8,20
2012/09/23,1,8,19
2012/09/24,1,8,19
2012/09/25,1,8,19
2012/09/26,1,7,19
2012/09/27,1,7,18
2012/09/28,1,6,17
2012/09/29,1,7,17
2012/09/30,1,7,16
2012/10/01,1,7,16
2012/10/02,1,7,17
2012/10/03,1,7,18
2012/10/04,1,7,19
2012/10/05,1,7,19
2012/10/06,1,7,19
2012/10/07,1,7,19
2012/10/08,1,7,19
2012/10/09,1,6,17
2012/10/10,1,5,17
2012/10/11,1,5,17
2012/10/12,1,5,17
2012/10/13,1,5,17
2012/10/14,1,5,17
2012/10/15,1,4,17
2012/10/16,1,4,17
2012/10/17,1,4,17
2012/10/18,1,4,17
2012/10/19,1,4,17
2012/10/20,1,5,17
2012/10/21,1,5,16
2012/10/22,1,5,17
2012/10/23,1,5,17
2012/10/24,1,5,19
2012/10/25,1,5,20
2012/10/26,1,6,21
2012/10/27,1,6,20
2012/10/28,1,6,20
2012/10/29,1,6,20
2012/10/30,1,5,20
2012/10/31,1,6,19
2012/11/01,1,6,18
2012/11/02,1,7,18
2012/11/03,1,8,17
2012/11/04,1,8,18
2012/11/05,1,8,18
2012/11/06,1,8,18
2012/11/07,1,8,17
2012/11/08,1,8,17
2012/11/09,1,8,17
2012/11/10,1,8,17
2012/11/11,1,8,16
2012/11/12,1,8,16
2012/11/13,1,8,17
2012/11/14,1,8,17
2012/11/15,1,8,17
2012/11/16,1,8,17
2012/11/17,1,8,18
2012/11/18,1,8,18
2012/11/19,1,7,19
2012/11/20,1,7,20
2012/11/21,1,7,19
2012/11/22,1,7,22
2012/11/23,,7,22
2012/11/24,,8,21
2012/11/25,,8,21
2012/11/26,,8,21
2012/11/27,,8,22
2012/11/28,,9,23
2012/11/29,,9,23
2012/11/30,,9,22
2012/12/01,,9,23
2012/12/02,,9,23
2012/12/03,,9,24
2012/12/04,,9,25
2012/12/05,,9,27
2012/12/06,,10,27
2012/12/07,,10,27
2012/12/08,,10,27
2012/12/09,,11,27
2012/12/10,,11,27
2012/12/11,,12,28
2012/12/12,,12,28
2012/12/13,,12,27
2012/12/14,,12,28
2012/12/15,,12,30
2012/12/16,,12,30
2012/12/17,,12,31
2012/12/18,,11,31
2012/12/19,,11,31
2012/12/20,,11,30
2012/12/21,,11,31
2012/12/22,,12,29
2012/12/23,,12,29
2012/12/24,,12,29
2012/12/25,,12,29
2012/12/26,,12,29
2012/12/27,,11,29
2012/12/28,,11,29
2012/12/29,,12,30
2012/12/30,,12,31
2012/12/31,2,12,31
2013/01/01,2,11,33
2013/01/02,2,11,33
2013/01/03,2,11,33
2013/01/04,2,10,32
2013/01/05,2,10,31
2013/01/06,2,10,29
2013/01/07,2,10,28
2013/01/08,2,11,29
2013/01/09,2,11,30
2013/01/10,2,11,31
2013/01/11,2,11,33
2013/01/12,2,11,33
2013/01/13,2,10,34
2013/01/14,2,11,33
2013/01/15,2,11,32
2013/01/16,2,11,31
2013/01/17,2,10,32
2013/01/18,2,10,32
2013/01/19,2,11,32
2013/01/20,2,11,30
2013/01/21,2,10,30
2013/01/22,2,10,31
2013/01/23,2,10,31
2013/01/24,2,10,31
2013/01/25,2,10,31
2013/01/26,2,10,30
2013/01/27,2,10,29
2013/01/28,2,10,28
2013/01/29,2,10,28
2013/01/30,1,10,27
2013/01/31,1,9,28
2013/02/01,1,10,28
2013/02/02,1,10,27
2013/02/03,1,10,26
2013/02/04,1,10,26
2013/02/05,1,10,26
2013/02/06,1,10,24
2013/02/07,1,10,23
2013/02/08,1,10,24
2013/02/09,1,10,23
2013/02/10,1,10,22
2013/02/11,1,10,22
2013/02/12,1,10,21
2013/02/13,1,8,21
2013/02/14,1,7,20
2013/02/15,1,7,20
2013/02/16,1,6,21
2013/02/17,1,6,21
2013/02/18,1,6,20
2013/02/19,1,6,20
2013/02/20,1,7,21
2013/02/21,1,7,20
2013/02/22,1,7,20
2013/02/23,1,7,20
2013/02/24,1,8,20
2013/02/25,1,7,20
2013/02/26,1,8,20
2013/02/27,1,8,21
2013/02/28,1,9,22
2013/03/01,1,9,22
2013/03/02,1,9,21
2013/03/03,1,9,21
2013/03/04,1,9,22
2013/03/05,1,9,22
2013/03/06,1,9,22
2013/03/07,1,9,22
2013/03/08,1,9,21
2013/03/09,1,9,21
2013/03/10,1,9,20
2013/03/11,1,8,20
2013/03/12,2,8,21
2013/03/13,2,8,21
2013/03/14,2,8,21
2013/03/15,2,8,19
2013/03/16,2,8,19
2013/03/17,2,8,17
2013/03/18,2,8,18
2013/03/19,2,7,18
2013/03/20,2,7,17
2013/03/21,2,7,17
2013/03/22,2,7,17
2013/03/23,2,7,17
2013/03/24,2,7,17
2013/03/25,2,6,16
2013/03/26,2,5,16
2013/03/27,2,3,16
2013/03/28,2,3,16
2013/03/29,2,3,15
2013/03/30,2,3,13
2013/03/31,1,3,14
2013/04/01,1,4,15
2013/04/02,1,4,15
2013/04/03,1,3,12
2013/04/04,1,3,12
2013/04/05,1,3,9
2013/04/06,1,3,7
2013/04/07,1,3,7
2013/04/08,1,3,7
2013/04/09,1,3,7
2013/04/10,1,3,7
2013/04/11,,3,7
2013/04/12,,3,8
2013/04/13,,3,8
2013/04/14,,4,9
2013/04/15,,5,11
2013/04/16,,5,11
2013/04/17,,5,11
2013/04/18,,6,11
2013/04/19,,6,11
2013/04/20,,6,11
2013/04/21,,6,11
2013/04/22,,6,11
2013/04/23,,6,11
2013/04/24,,6,11
2013/04/25,,6,11
2013/04/26,,6,11
2013/04/27,,6,11
2013/04/28,,6,11
2013/04/29,,6,11
2013/04/30,,6,10
2013/05/01,,5,8
2013/05/02,,5,8
2013/05/03,,4,7
2013/05/04,,4,7
2013/05/05,,4,7
2013/05/06,,4,7
2013/05/07,,4,7
2013/05/08,,4,7
2013/05/09,,4,8
2013/05/10,,4,8
2013/05/11,,4,8
2013/05/12,,4,7
2013/05/13,,4,7
2013/05/14,,2,8
2013/05/15,,2,7
2013/05/16,1,2,7
2013/05/17,1,2,6
2013/05/18,1,2,6
2013/05/19,1,2,6
2013/05/20,1,2,6
2013/05/21,1,2,5
2013/05/22,1,2,5
2013/05/23,1,1,5
2013/05/24,1,1,5
2013/05/25,1,1,5
2013/05/26,1,1,5
2013/05/27,1,1,5
2013/05/28,1,1,5
2013/05/29,1,1,6
2013/05/30,1,1,6
2013/05/31,1,1,6
2013/06/01,1,1,6
2013/06/02,1,2,6
2013/06/03,1,2,6
2013/06/04,1,2,6
2013/06/05,1,1,6
2013/06/06,1,1,6
2013/06/07,1,1,7
2013/06/08,1,1,6
2013/06/09,1,1,6
2013/06/10,,1,6
2013/06/11,,1,6
2013/06/12,,1,6
2013/06/13,,1,4
2013/06/14,,1,4
2013/06/15,,1,4
2013/06/16,,1,4
2013/06/17,,1,4
2013/06/18,,1,4
2013/06/19,,1,5
2013/06/20,,1,5
2013/06/21,,1,5
2013/06/22,,1,6
2013/06/23,,1,6
2013/06/24,,1,6
2013/06/25,,1,6
2013/06/26,,1,6
2013/06/27,,1,6
2013/06/28,,1,5
2013/06/29,,1,5
2013/06/30,,1,5
2013/07/01,,1,5
2013/07/02,,1,5
2013/07/03,,1,5
2013/07/04,,1,5
2013/07/05,,1,5
2013/07/06,,1,5
2013/07/07,,1,4
2013/07/08,,1,4
2013/07/09,,1,5
2013/07/10,,1,5
2013/07/11,,1,6
2013/07/12,,1,6
2013/07/13,,1,6
2013/07/14,,1,7
2013/07/15,,1,7
2013/07/16,,1,8
2013/07/17,,1,8
2013/07/18,,1,9
2013/07/19,,1,8
2013/07/20,,1,8
2013/07/21,,1,8
2013/07/22,,1,7
2013/07/23,,1,7
2013/07/24,,1,7
2013/07/25,,1,7
2013/07/26,,1,7
2013/07/27,,1,7
2013/07/28,,1,7
2013/07/29,,1,7
2013/07/30,,1,7
2013/07/31,,1,9
2013/08/01,,1,9
2013/08/02,,1,9
2013/08/03,,1,8
2013/08/04,,1,8
2013/08/05,,1,8
