date,anwiki (100+),anwiki (5+),anwiki (all)
2012/08/19,7,19,76
2012/08/20,7,19,73
2012/08/21,7,19,74
2012/08/22,7,20,74
2012/08/23,7,19,70
2012/08/24,7,21,69
2012/08/25,7,19,73
2012/08/26,8,19,75
2012/08/27,8,20,76
2012/08/28,8,20,78
2012/08/29,8,23,82
2012/08/30,8,23,84
2012/08/31,8,23,86
2012/09/01,9,23,86
2012/09/02,9,24,86
2012/09/03,9,24,88
2012/09/04,9,24,89
2012/09/05,9,25,91
2012/09/06,9,24,92
2012/09/07,9,23,94
2012/09/08,9,23,93
2012/09/09,7,24,92
2012/09/10,7,23,96
2012/09/11,7,23,96
2012/09/12,7,23,95
2012/09/13,7,23,96
2012/09/14,7,24,100
2012/09/15,7,24,99
2012/09/16,6,24,99
2012/09/17,7,25,100
2012/09/18,7,26,102
2012/09/19,7,26,102
2012/09/20,7,27,104
2012/09/21,8,25,105
2012/09/22,8,25,107
2012/09/23,8,25,104
2012/09/24,9,24,104
2012/09/25,9,24,103
2012/09/26,9,23,101
2012/09/27,9,24,99
2012/09/28,9,24,101
2012/09/29,10,23,100
2012/09/30,10,23,96
2012/10/01,10,23,96
2012/10/02,9,22,95
2012/10/03,10,20,98
2012/10/04,11,20,96
2012/10/05,11,19,95
2012/10/06,11,19,93
2012/10/07,11,20,93
2012/10/08,11,20,94
2012/10/09,10,20,94
2012/10/10,9,20,92
2012/10/11,8,21,94
2012/10/12,8,21,91
2012/10/13,8,21,90
2012/10/14,8,20,89
2012/10/15,8,19,91
2012/10/16,8,20,92
2012/10/17,7,19,93
2012/10/18,7,20,88
2012/10/19,7,20,90
2012/10/20,7,20,90
2012/10/21,8,20,92
2012/10/22,9,21,95
2012/10/23,8,21,93
2012/10/24,8,20,87
2012/10/25,8,20,84
2012/10/26,8,21,86
2012/10/27,8,21,85
2012/10/28,9,21,83
2012/10/29,8,22,85
2012/10/30,8,22,84
2012/10/31,7,22,82
2012/11/01,9,23,84
2012/11/02,8,24,84
2012/11/03,10,24,84
2012/11/04,9,24,83
2012/11/05,10,25,85
2012/11/06,10,24,85
2012/11/07,10,26,85
2012/11/08,10,26,85
2012/11/09,10,26,87
2012/11/10,9,26,84
2012/11/11,9,25,84
2012/11/12,9,26,82
2012/11/13,9,26,80
2012/11/14,9,26,83
2012/11/15,9,25,82
2012/11/16,9,24,80
2012/11/17,8,24,78
2012/11/18,8,24,77
2012/11/19,7,24,79
2012/11/20,7,24,78
2012/11/21,7,24,77
2012/11/22,7,23,80
2012/11/23,7,23,85
2012/11/24,7,23,84
2012/11/25,8,23,84
2012/11/26,7,23,84
2012/11/27,7,24,87
2012/11/28,7,23,86
2012/11/29,8,23,89
2012/11/30,8,23,88
2012/12/01,8,22,87
2012/12/02,8,21,89
2012/12/03,8,22,88
2012/12/04,8,21,93
2012/12/05,8,21,94
2012/12/06,7,21,92
2012/12/07,7,20,93
2012/12/08,7,21,92
2012/12/09,7,20,92
2012/12/10,7,20,93
2012/12/11,7,20,94
2012/12/12,7,20,95
2012/12/13,7,20,94
2012/12/14,7,20,94
2012/12/15,7,20,95
2012/12/16,7,20,94
2012/12/17,7,20,96
2012/12/18,7,20,96
2012/12/19,7,20,94
2012/12/20,7,19,97
2012/12/21,7,19,100
2012/12/22,7,19,99
2012/12/23,7,20,99
2012/12/24,7,22,100
2012/12/25,7,23,99
2012/12/26,7,23,98
2012/12/27,7,23,97
2012/12/28,7,23,94
2012/12/29,6,23,91
2012/12/30,6,23,93
2012/12/31,6,24,94
2013/01/01,6,24,91
2013/01/02,7,25,87
2013/01/03,7,25,84
2013/01/04,7,25,84
2013/01/05,7,25,84
2013/01/06,7,25,81
2013/01/07,7,24,85
2013/01/08,6,24,86
2013/01/09,6,24,85
2013/01/10,6,24,88
2013/01/11,6,23,89
2013/01/12,6,24,95
2013/01/13,6,25,98
2013/01/14,6,25,100
2013/01/15,6,24,102
2013/01/16,5,25,101
2013/01/17,5,25,101
2013/01/18,5,25,102
2013/01/19,6,28,100
2013/01/20,6,28,97
2013/01/21,6,29,98
2013/01/22,6,27,96
2013/01/23,6,27,96
2013/01/24,6,28,97
2013/01/25,6,30,100
2013/01/26,7,29,103
2013/01/27,7,29,104
2013/01/28,7,29,106
2013/01/29,7,29,106
2013/01/30,7,29,104
2013/01/31,6,30,110
2013/02/01,6,29,111
2013/02/02,7,29,109
2013/02/03,7,30,111
2013/02/04,7,30,111
2013/02/05,7,30,116
2013/02/06,6,30,116
2013/02/07,6,30,115
2013/02/08,7,31,114
2013/02/09,7,31,118
2013/02/10,7,31,118
2013/02/11,7,31,115
2013/02/12,6,31,112
2013/02/13,7,31,108
2013/02/14,7,30,107
2013/02/15,7,30,108
2013/02/16,7,30,109
2013/02/17,7,30,109
2013/02/18,6,32,111
2013/02/19,6,32,111
2013/02/20,6,32,107
2013/02/21,6,32,105
2013/02/22,6,31,105
2013/02/23,7,29,104
2013/02/24,7,28,104
2013/02/25,7,28,100
2013/02/26,7,29,98
2013/02/27,6,29,98
2013/02/28,6,28,99
2013/03/01,7,28,100
2013/03/02,6,28,94
2013/03/03,6,28,92
2013/03/04,6,28,97
2013/03/05,6,26,96
2013/03/06,6,26,98
2013/03/07,7,27,95
2013/03/08,7,28,92
2013/03/09,8,29,95
2013/03/10,8,29,95
2013/03/11,8,30,94
2013/03/12,9,31,95
2013/03/13,8,31,95
2013/03/14,8,30,94
2013/03/15,7,31,97
2013/03/16,7,27,99
2013/03/17,7,26,99
2013/03/18,7,25,98
2013/03/19,7,25,100
2013/03/20,7,24,95
2013/03/21,7,24,95
2013/03/22,7,24,97
2013/03/23,7,24,98
2013/03/24,7,24,97
2013/03/25,7,24,95
2013/03/26,6,23,95
2013/03/27,6,22,100
2013/03/28,6,21,100
2013/03/29,8,21,99
2013/03/30,7,21,98
2013/03/31,7,21,97
2013/04/01,7,21,97
2013/04/02,7,20,100
2013/04/03,7,20,93
2013/04/04,7,20,93
2013/04/05,7,18,91
2013/04/06,7,17,89
2013/04/07,7,16,89
2013/04/08,7,16,88
2013/04/09,6,16,88
2013/04/10,6,16,86
2013/04/11,6,15,86
2013/04/12,6,16,90
2013/04/13,6,16,87
2013/04/14,5,16,85
2013/04/15,5,15,81
2013/04/16,5,14,80
2013/04/17,5,14,78
2013/04/18,5,15,79
2013/04/19,5,15,80
2013/04/20,5,15,79
2013/04/21,5,15,80
2013/04/22,5,15,78
2013/04/23,5,15,80
2013/04/24,5,15,81
2013/04/25,5,15,79
2013/04/26,5,15,75
2013/04/27,5,15,74
2013/04/28,5,15,75
2013/04/29,4,15,82
2013/04/30,4,13,80
2013/05/01,3,13,81
2013/05/02,3,13,77
2013/05/03,2,12,76
2013/05/04,3,12,75
2013/05/05,3,11,71
2013/05/06,3,12,71
2013/05/07,3,12,72
2013/05/08,3,12,72
2013/05/09,3,12,68
2013/05/10,3,11,67
2013/05/11,3,11,66
2013/05/12,3,10,64
2013/05/13,3,11,65
2013/05/14,3,11,64
2013/05/15,3,11,66
2013/05/16,3,11,67
2013/05/17,3,11,66
2013/05/18,2,10,67
2013/05/19,2,10,68
2013/05/20,2,10,67
2013/05/21,2,10,70
2013/05/22,2,10,72
2013/05/23,2,11,74
2013/05/24,2,11,75
2013/05/25,2,12,77
2013/05/26,2,12,78
2013/05/27,3,12,76
2013/05/28,3,12,78
2013/05/29,3,13,73
2013/05/30,3,13,74
2013/05/31,3,13,76
2013/06/01,3,13,78
2013/06/02,3,13,77
2013/06/03,3,12,76
2013/06/04,3,13,76
2013/06/05,3,12,78
2013/06/06,3,13,78
2013/06/07,3,14,76
2013/06/08,3,14,80
2013/06/09,3,14,78
2013/06/10,3,14,80
2013/06/11,3,14,80
2013/06/12,3,14,78
2013/06/13,3,15,80
2013/06/14,3,15,80
2013/06/15,3,15,80
2013/06/16,3,15,83
2013/06/17,3,16,83
2013/06/18,3,16,85
2013/06/19,3,16,88
2013/06/20,3,16,86
2013/06/21,3,17,82
2013/06/22,3,16,81
2013/06/23,3,17,81
2013/06/24,3,17,81
2013/06/25,3,17,79
2013/06/26,3,18,80
2013/06/27,3,18,80
2013/06/28,3,17,80
2013/06/29,3,17,77
2013/06/30,3,18,75
2013/07/01,3,18,76
2013/07/02,3,18,77
2013/07/03,3,20,78
2013/07/04,3,19,76
2013/07/05,3,19,75
2013/07/06,3,18,72
2013/07/07,3,18,72
2013/07/08,3,18,68
2013/07/09,3,18,72
2013/07/10,3,19,71
2013/07/11,4,18,70
2013/07/12,4,18,70
2013/07/13,4,17,68
2013/07/14,4,17,67
2013/07/15,4,17,65
2013/07/16,4,16,67
2013/07/17,4,17,65
2013/07/18,4,17,62
2013/07/19,4,15,59
2013/07/20,4,15,58
2013/07/21,4,15,60
2013/07/22,4,14,62
2013/07/23,4,14,62
2013/07/24,4,13,63
2013/07/25,4,13,65
2013/07/26,4,12,61
2013/07/27,3,12,58
2013/07/28,3,12,56
2013/07/29,3,12,57
2013/07/30,3,10,54
2013/07/31,3,10,56
2013/08/01,3,10,55
2013/08/02,3,11,49
2013/08/03,3,11,47
2013/08/04,3,11,45
2013/08/05,3,11,47
2013/08/06,3,10,47
2013/08/07,3,10,46
2013/08/08,3,10,42
2013/08/09,3,10,44
2013/08/10,3,10,46
2013/08/11,3,10,46
2013/08/12,3,10,47
2013/08/13,2,10,46
2013/08/14,2,10,46
2013/08/15,2,11,47
2013/08/16,2,12,49
2013/08/17,2,12,53
2013/08/18,2,11,52
2013/08/19,2,11,51
2013/08/20,2,10,48
2013/08/21,2,10,51
2013/08/22,2,10,49
2013/08/23,2,10,50
2013/08/24,2,10,50
2013/08/25,2,10,51
2013/08/26,1,11,52
2013/08/27,2,11,53
2013/08/28,2,11,53
2013/08/29,2,13,60
2013/08/30,2,12,58
2013/08/31,2,13,60
2013/09/01,2,13,59
2013/09/02,2,13,62
2013/09/03,2,13,63
2013/09/04,2,14,64
2013/09/05,2,14,64
2013/09/06,2,14,67
2013/09/07,2,16,67
2013/09/08,2,15,67
2013/09/09,2,15,65
2013/09/10,2,16,65
2013/09/11,2,17,66
2013/09/12,2,17,67
2013/09/13,2,17,66
2013/09/14,2,17,65
2013/09/15,2,17,66
2013/09/16,2,16,63
2013/09/17,2,16,63
2013/09/18,2,16,66
2013/09/19,2,16,68
2013/09/20,2,15,69
2013/09/21,2,15,68
2013/09/22,2,15,68
2013/09/23,2,15,65
2013/09/24,2,15,67
2013/09/25,2,16,67
2013/09/26,2,16,66
2013/09/27,2,16,66
2013/09/28,2,16,60
2013/09/29,2,17,57
2013/09/30,2,15,56
2013/10/01,2,14,57
2013/10/02,3,14,57
2013/10/03,2,14,55
2013/10/04,2,13,56
2013/10/05,2,13,56
2013/10/06,2,14,56
2013/10/07,3,14,56
2013/10/08,3,14,59
2013/10/09,3,13,63
2013/10/10,3,12,63
2013/10/11,3,12,65
2013/10/12,3,12,66
2013/10/13,3,13,69
2013/10/14,3,14,72
2013/10/15,3,15,71
2013/10/16,2,15,73
2013/10/17,3,14,71
2013/10/18,3,14,71
2013/10/19,3,14,69
2013/10/20,3,14,67
2013/10/21,3,15,66
2013/10/22,3,14,66
2013/10/23,3,14,69
2013/10/24,3,14,68
2013/10/25,3,13,70
2013/10/26,3,13,71
2013/10/27,3,14,73
2013/10/28,3,14,73
2013/10/29,3,14,72
2013/10/30,3,14,73
2013/10/31,3,14,72
2013/11/01,3,14,73
2013/11/02,3,14,72
2013/11/03,3,14,70
2013/11/04,3,15,70
2013/11/05,3,15,70
2013/11/06,3,15,70
2013/11/07,3,14,70
2013/11/08,3,14,70
2013/11/09,3,15,70
2013/11/10,3,14,71
2013/11/11,3,13,73
2013/11/12,4,14,76
2013/11/13,4,14,76
2013/11/14,4,14,75
2013/11/15,4,13,72
2013/11/16,4,13,71
2013/11/17,4,13,71
2013/11/18,4,13,73
2013/11/19,4,14,76
2013/11/20,4,14,76
2013/11/21,4,13,75
2013/11/22,4,13,76
2013/11/23,4,13,74
2013/11/24,4,16,75
2013/11/25,4,15,74
2013/11/26,4,15,74
2013/11/27,4,14,76
2013/11/28,4,16,81
2013/11/29,4,16,78
2013/11/30,4,15,80
2013/12/01,4,16,78
2013/12/02,4,17,80
2013/12/03,4,18,84
2013/12/04,5,17,83
2013/12/05,5,18,83
2013/12/06,5,17,83
2013/12/07,5,17,78
2013/12/08,5,17,76
2013/12/09,5,16,78
2013/12/10,5,16,77
2013/12/11,5,16,76
2013/12/12,5,15,74
