date,nsowiki (100+),nsowiki (5+),nsowiki (all)
2012/08/19,,6,18
2012/08/20,,6,17
2012/08/21,,6,17
2012/08/22,,6,17
2012/08/23,,6,18
2012/08/24,,6,18
2012/08/25,,6,19
2012/08/26,,6,18
2012/08/27,,5,17
2012/08/28,,5,20
2012/08/29,,5,19
2012/08/30,,5,19
2012/08/31,,5,19
2012/09/01,,5,19
2012/09/02,,5,19
2012/09/03,,5,19
2012/09/04,,5,20
2012/09/05,,6,20
2012/09/06,,6,20
2012/09/07,,6,20
2012/09/08,,6,19
2012/09/09,,7,18
2012/09/10,,7,18
2012/09/11,,8,18
2012/09/12,,8,17
2012/09/13,,8,17
2012/09/14,,8,17
2012/09/15,,8,17
2012/09/16,,9,17
2012/09/17,,8,17
2012/09/18,,8,17
2012/09/19,,9,16
2012/09/20,,8,17
2012/09/21,,8,17
2012/09/22,,7,17
2012/09/23,,7,18
2012/09/24,,7,18
2012/09/25,,7,18
2012/09/26,,7,18
2012/09/27,,8,15
2012/09/28,,8,16
2012/09/29,,8,15
2012/09/30,,8,16
2012/10/01,,8,16
2012/10/02,,8,16
2012/10/03,,8,16
2012/10/04,,8,16
2012/10/05,,8,15
2012/10/06,1,8,15
2012/10/07,1,8,15
2012/10/08,1,8,15
2012/10/09,1,8,16
2012/10/10,1,8,16
2012/10/11,1,8,16
2012/10/12,1,8,16
2012/10/13,1,7,16
2012/10/14,1,7,16
2012/10/15,1,7,16
2012/10/16,1,6,16
2012/10/17,1,6,16
2012/10/18,1,6,17
2012/10/19,1,5,16
2012/10/20,1,5,17
2012/10/21,1,5,18
2012/10/22,1,5,19
2012/10/23,1,5,17
2012/10/24,1,5,18
2012/10/25,1,5,18
2012/10/26,1,5,18
2012/10/27,1,5,18
2012/10/28,1,5,17
2012/10/29,1,6,16
2012/10/30,1,8,18
2012/10/31,1,8,18
2012/11/01,1,9,18
2012/11/02,1,9,19
2012/11/03,1,9,20
2012/11/04,1,9,20
2012/11/05,,9,21
2012/11/06,,9,21
2012/11/07,,9,21
2012/11/08,,9,21
2012/11/09,,9,21
2012/11/10,,9,21
2012/11/11,,9,21
2012/11/12,,9,22
2012/11/13,,9,22
2012/11/14,,9,22
2012/11/15,,9,22
2012/11/16,,9,22
2012/11/17,,9,20
2012/11/18,,9,20
2012/11/19,,9,18
2012/11/20,,9,18
2012/11/21,,9,20
2012/11/22,,9,21
2012/11/23,,8,20
2012/11/24,,7,19
2012/11/25,,7,20
2012/11/26,,9,20
2012/11/27,,9,20
2012/11/28,,9,22
2012/11/29,,8,21
2012/11/30,,9,21
2012/12/01,,9,21
2012/12/02,,10,21
2012/12/03,,10,20
2012/12/04,,9,20
2012/12/05,,9,19
2012/12/06,,9,19
2012/12/07,,9,19
2012/12/08,,9,19
2012/12/09,,9,20
2012/12/10,,9,19
2012/12/11,,10,19
2012/12/12,,10,18
2012/12/13,,10,20
2012/12/14,,10,23
2012/12/15,,10,23
2012/12/16,,10,24
2012/12/17,,11,25
2012/12/18,,11,25
2012/12/19,,11,25
2012/12/20,,11,26
2012/12/21,,11,24
2012/12/22,,11,24
2012/12/23,,12,23
2012/12/24,,12,24
2012/12/25,,12,24
2012/12/26,,12,24
2012/12/27,,12,24
2012/12/28,,11,23
2012/12/29,,11,23
2012/12/30,,10,23
2012/12/31,,10,23
2013/01/01,,10,22
2013/01/02,,10,22
2013/01/03,1,10,22
2013/01/04,1,10,22
2013/01/05,,10,23
2013/01/06,,10,23
2013/01/07,,10,22
2013/01/08,,10,21
2013/01/09,,10,22
2013/01/10,,10,22
2013/01/11,,9,22
2013/01/12,,9,21
2013/01/13,,8,19
2013/01/14,,8,19
2013/01/15,,7,19
2013/01/16,,7,19
2013/01/17,1,7,19
2013/01/18,1,7,19
2013/01/19,1,7,18
2013/01/20,1,8,17
2013/01/21,1,8,17
2013/01/22,1,7,18
2013/01/23,,7,17
2013/01/24,,7,17
2013/01/25,,8,17
2013/01/26,,8,17
2013/01/27,,8,16
2013/01/28,,8,17
2013/01/29,,6,17
2013/01/30,,6,17
2013/01/31,,6,17
2013/02/01,,6,17
2013/02/02,,6,17
2013/02/03,,6,14
2013/02/04,,6,14
2013/02/05,,6,14
2013/02/06,,7,16
2013/02/07,,6,16
2013/02/08,,5,15
2013/02/09,,5,16
2013/02/10,,6,16
2013/02/11,,6,16
2013/02/12,,7,16
2013/02/13,,6,16
2013/02/14,,5,15
2013/02/15,,5,15
2013/02/16,,6,17
2013/02/17,,6,17
2013/02/18,,6,17
2013/02/19,,6,16
2013/02/20,,6,16
2013/02/21,,6,16
2013/02/22,,6,16
2013/02/23,,6,16
2013/02/24,,6,16
2013/02/25,,6,16
2013/02/26,,6,16
2013/02/27,,7,16
2013/02/28,,7,16
2013/03/01,,6,16
2013/03/02,,6,16
2013/03/03,,6,16
2013/03/04,,6,17
2013/03/05,,7,17
2013/03/06,,7,17
2013/03/07,,7,17
2013/03/08,1,8,16
2013/03/09,1,8,16
2013/03/10,1,8,16
2013/03/11,1,6,16
2013/03/12,1,7,16
2013/03/13,1,7,16
2013/03/14,1,7,15
2013/03/15,1,7,16
2013/03/16,1,7,16
2013/03/17,1,7,16
2013/03/18,1,6,14
2013/03/19,1,6,14
2013/03/20,1,6,14
2013/03/21,1,6,14
2013/03/22,1,6,14
2013/03/23,1,6,13
2013/03/24,1,6,13
2013/03/25,1,6,12
2013/03/26,1,6,12
2013/03/27,1,6,12
2013/03/28,1,5,11
2013/03/29,1,4,11
2013/03/30,1,4,11
2013/03/31,1,4,11
2013/04/01,1,4,11
2013/04/02,1,4,9
2013/04/03,1,4,8
2013/04/04,1,2,7
2013/04/05,1,2,6
