date,piwiki (100+),piwiki (5+),piwiki (all)
2012/08/19,2,7,17
2012/08/20,2,7,17
2012/08/21,2,7,17
2012/08/22,1,6,16
2012/08/23,1,6,16
2012/08/24,1,6,16
2012/08/25,,6,16
2012/08/26,,6,16
2012/08/27,,6,16
2012/08/28,,6,17
2012/08/29,,6,18
2012/08/30,,5,18
2012/08/31,,5,16
2012/09/01,,4,14
2012/09/02,,4,14
2012/09/03,,4,13
2012/09/04,,4,12
2012/09/05,,4,12
2012/09/06,1,4,12
2012/09/07,,4,12
2012/09/08,,4,11
2012/09/09,,4,11
2012/09/10,,4,11
2012/09/11,,4,13
2012/09/12,,4,13
2012/09/13,1,4,14
2012/09/14,1,4,14
2012/09/15,1,4,13
2012/09/16,1,4,14
2012/09/17,1,4,14
2012/09/18,1,4,14
2012/09/19,1,4,14
2012/09/20,1,4,14
2012/09/21,1,5,13
2012/09/22,1,5,13
2012/09/23,1,6,13
2012/09/24,1,6,13
2012/09/25,1,6,13
2012/09/26,1,6,13
2012/09/27,1,6,15
2012/09/28,1,6,14
2012/09/29,1,6,14
2012/09/30,1,6,14
2012/10/01,1,6,14
2012/10/02,1,6,15
2012/10/03,1,6,16
2012/10/04,1,6,16
2012/10/05,,6,16
2012/10/06,,6,16
2012/10/07,2,8,17
2012/10/08,2,8,17
2012/10/09,2,9,19
2012/10/10,2,9,19
2012/10/11,2,9,18
2012/10/12,2,9,18
2012/10/13,2,10,18
2012/10/14,2,10,18
2012/10/15,2,10,19
2012/10/16,2,10,19
2012/10/17,2,10,19
2012/10/18,2,10,19
2012/10/19,2,10,19
2012/10/20,2,10,20
2012/10/21,2,10,20
2012/10/22,2,10,21
2012/10/23,2,10,21
2012/10/24,2,8,21
2012/10/25,2,8,22
2012/10/26,2,8,21
2012/10/27,2,8,21
2012/10/28,2,8,21
2012/10/29,2,8,21
2012/10/30,2,8,21
2012/10/31,2,9,21
2012/11/01,2,9,20
2012/11/02,2,9,19
2012/11/03,2,9,19
2012/11/04,2,10,20
2012/11/05,2,10,21
2012/11/06,1,9,21
2012/11/07,,8,21
2012/11/08,,8,19
2012/11/09,,8,20
2012/11/10,,8,19
2012/11/11,,8,19
2012/11/12,,7,18
2012/11/13,,7,18
2012/11/14,,7,19
2012/11/15,,7,19
2012/11/16,,7,21
2012/11/17,,7,21
2012/11/18,,7,21
2012/11/19,,7,21
2012/11/20,,7,21
2012/11/21,,7,21
2012/11/22,,8,22
2012/11/23,,8,23
2012/11/24,,8,23
2012/11/25,,8,23
2012/11/26,,9,23
2012/11/27,,9,24
2012/11/28,,10,25
2012/11/29,,10,25
2012/11/30,,11,25
2012/12/01,,11,25
2012/12/02,,11,25
2012/12/03,,11,24
2012/12/04,,11,23
2012/12/05,,11,23
2012/12/06,,11,23
2012/12/07,,11,23
2012/12/08,,11,25
2012/12/09,,11,25
2012/12/10,,11,25
2012/12/11,,11,25
2012/12/12,,12,26
2012/12/13,,11,26
2012/12/14,,11,25
2012/12/15,,12,25
2012/12/16,,12,24
2012/12/17,,12,24
2012/12/18,,12,24
2012/12/19,,12,24
2012/12/20,,12,24
2012/12/21,,13,23
2012/12/22,,12,23
2012/12/23,,12,22
2012/12/24,,12,22
2012/12/25,,12,22
2012/12/26,,12,22
2012/12/27,,12,22
2012/12/28,,11,21
2012/12/29,,12,21
2012/12/30,1,11,22
2012/12/31,2,11,22
2013/01/01,2,11,22
2013/01/02,4,12,23
2013/01/03,4,12,21
2013/01/04,4,13,23
2013/01/05,4,13,23
2013/01/06,4,13,23
2013/01/07,4,13,21
2013/01/08,4,13,21
2013/01/09,4,12,21
2013/01/10,4,12,20
2013/01/11,4,12,20
2013/01/12,4,12,20
2013/01/13,4,12,21
2013/01/14,4,12,22
2013/01/15,4,13,23
2013/01/16,4,13,24
2013/01/17,5,14,24
2013/01/18,5,14,23
2013/01/19,5,14,24
2013/01/20,5,14,24
2013/01/21,5,14,24
2013/01/22,5,14,24
2013/01/23,5,14,25
2013/01/24,5,16,26
2013/01/25,5,16,26
2013/01/26,5,16,26
2013/01/27,5,16,26
2013/01/28,5,16,26
2013/01/29,5,16,26
2013/01/30,6,16,26
2013/01/31,5,17,26
2013/02/01,6,18,26
2013/02/02,6,18,26
2013/02/03,6,17,24
2013/02/04,6,18,24
2013/02/05,6,17,25
2013/02/06,6,18,26
2013/02/07,6,18,26
2013/02/08,6,18,26
2013/02/09,6,19,27
2013/02/10,6,19,26
2013/02/11,6,20,28
2013/02/12,6,20,28
2013/02/13,6,20,28
2013/02/14,6,20,27
2013/02/15,6,18,26
2013/02/16,6,17,23
2013/02/17,6,17,24
2013/02/18,6,17,24
2013/02/19,6,18,24
2013/02/20,6,18,24
2013/02/21,6,18,24
2013/02/22,5,18,24
2013/02/23,5,18,23
2013/02/24,5,18,23
2013/02/25,5,17,23
2013/02/26,5,17,23
2013/02/27,5,17,23
2013/02/28,5,17,23
2013/03/01,4,16,23
2013/03/02,3,14,23
2013/03/03,3,14,22
2013/03/04,2,14,22
2013/03/05,2,14,22
2013/03/06,2,14,22
2013/03/07,2,14,21
2013/03/08,3,15,19
2013/03/09,3,15,19
2013/03/10,3,14,19
2013/03/11,2,14,19
2013/03/12,2,13,18
2013/03/13,2,13,17
2013/03/14,2,13,17
2013/03/15,2,12,17
2013/03/16,2,11,15
2013/03/17,2,11,13
2013/03/18,2,8,13
2013/03/19,2,8,13
2013/03/20,2,7,12
2013/03/21,2,7,12
2013/03/22,2,7,11
2013/03/23,2,7,11
2013/03/24,2,7,11
2013/03/25,2,5,11
2013/03/26,2,5,11
2013/03/27,2,5,10
2013/03/28,2,5,10
2013/03/29,2,5,10
2013/03/30,2,5,10
2013/03/31,2,5,10
2013/04/01,2,4,8
2013/04/02,2,4,6
2013/04/03,1,4,5
2013/04/04,1,4,5
2013/04/05,1,4,6
2013/04/06,1,4,5
2013/04/07,1,4,5
2013/04/08,1,4,5
2013/04/09,1,4,5
2013/04/10,1,4,4
2013/04/11,,3,4
2013/04/12,,3,4
2013/04/13,,3,4
2013/04/14,,2,4
2013/04/15,,2,4
2013/04/16,,2,4
2013/04/17,,2,4
2013/04/18,,2,4
2013/04/19,,2,4
2013/04/20,,2,4
2013/04/21,,2,4
2013/04/22,,2,4
2013/04/23,,2,5
2013/04/24,,2,5
2013/04/25,,2,5
2013/04/26,,2,5
2013/04/27,,2,5
2013/04/28,,2,5
2013/04/29,,2,5
2013/04/30,,2,5
2013/05/01,,2,4
2013/05/02,,2,4
2013/05/03,,2,3
2013/05/04,,2,3
2013/05/05,,,1
2013/05/06,,,1
2013/05/07,,,1
2013/05/08,,,1
2013/05/09,,,1
2013/05/10,,,1
2013/05/11,,,1
2013/05/12,,,1
2013/05/13,,,1
2013/05/14,,,1
2013/05/15,,,1
2013/05/16,,,1
2013/05/17,,,1
2013/05/18,,,1
2013/05/19,,,1
2013/05/20,,,1
2013/05/21,,,1
2013/05/22,,,1
2013/06/04,,,1
2013/06/05,,,1
2013/06/06,,,1
2013/06/07,,,1
2013/06/08,,,1
2013/06/09,,,1
2013/06/10,,,1
2013/06/11,,,1
2013/06/12,,,1
2013/06/13,,,1
2013/06/14,,,1
2013/06/15,,,1
2013/06/16,,,1
2013/06/17,,,1
2013/06/18,,,1
2013/06/19,,,1
2013/06/20,,,1
2013/06/21,,,1
2013/06/22,,,2
2013/06/23,,,2
2013/06/24,,,2
2013/06/25,,,2
2013/06/26,,,2
2013/06/27,,,2
2013/06/28,,,2
2013/06/29,,,2
2013/06/30,,,2
2013/07/01,,,2
2013/07/02,,,2
2013/07/03,,,2
2013/07/04,,,1
2013/07/05,,,1
2013/07/06,,,1
2013/07/07,,,1
2013/07/08,,,1
2013/07/09,,,1
2013/07/10,,,1
2013/07/11,,,1
2013/07/12,,,1
2013/07/13,,,1
2013/07/14,,,1
2013/07/15,,,1
2013/07/16,,,1
2013/07/17,,,1
2013/07/18,,,1
2013/07/19,,,1
2013/07/20,,,1
2013/07/21,,,1
2013/08/08,,1,1
