date,mywiki (100+),mywiki (5+),mywiki (all)
2012/08/19,8,40,78
2012/08/20,8,40,78
2012/08/21,7,39,78
2012/08/22,7,37,76
2012/08/23,7,37,74
2012/08/24,7,39,73
2012/08/25,6,36,75
2012/08/26,6,34,75
2012/08/27,6,34,74
2012/08/28,6,36,78
2012/08/29,6,35,78
2012/08/30,6,35,79
2012/08/31,6,38,78
2012/09/01,6,38,78
2012/09/02,6,39,80
2012/09/03,6,39,81
2012/09/04,6,39,85
2012/09/05,5,39,84
2012/09/06,5,40,84
2012/09/07,5,42,86
2012/09/08,5,41,83
2012/09/09,5,42,86
2012/09/10,6,42,84
2012/09/11,6,42,82
2012/09/12,6,43,81
2012/09/13,6,44,84
2012/09/14,6,45,81
2012/09/15,6,45,81
2012/09/16,6,45,82
2012/09/17,6,44,81
2012/09/18,7,45,79
2012/09/19,7,44,78
2012/09/20,7,44,80
2012/09/21,7,45,82
2012/09/22,7,45,82
2012/09/23,7,45,82
2012/09/24,7,44,81
2012/09/25,8,43,83
2012/09/26,8,42,81
2012/09/27,8,42,77
2012/09/28,8,41,77
2012/09/29,8,41,73
2012/09/30,8,38,70
2012/10/01,8,37,69
2012/10/02,8,39,70
2012/10/03,9,38,69
2012/10/04,9,38,66
2012/10/05,9,37,66
2012/10/06,9,37,65
2012/10/07,9,37,65
2012/10/08,9,36,65
2012/10/09,9,35,64
2012/10/10,8,36,67
2012/10/11,8,36,64
2012/10/12,8,37,66
2012/10/13,8,37,65
2012/10/14,7,37,66
2012/10/15,7,37,67
2012/10/16,7,35,68
2012/10/17,7,35,67
2012/10/18,6,36,66
2012/10/19,6,36,68
2012/10/20,6,36,66
2012/10/21,6,36,66
2012/10/22,6,38,72
2012/10/23,6,38,73
2012/10/24,6,36,73
2012/10/25,6,37,73
2012/10/26,6,38,76
2012/10/27,6,39,77
2012/10/28,7,39,77
2012/10/29,7,40,80
2012/10/30,7,39,79
2012/10/31,7,40,83
2012/11/01,7,39,81
2012/11/02,7,38,82
2012/11/03,7,38,82
2012/11/04,7,38,78
2012/11/05,7,39,79
2012/11/06,7,37,78
2012/11/07,7,38,78
2012/11/08,7,39,84
2012/11/09,7,39,83
2012/11/10,7,39,85
2012/11/11,7,40,85
2012/11/12,7,40,85
2012/11/13,7,41,86
2012/11/14,6,40,87
2012/11/15,6,42,86
2012/11/16,6,41,86
2012/11/17,7,42,86
2012/11/18,7,42,88
2012/11/19,7,42,87
2012/11/20,7,42,89
2012/11/21,8,39,88
2012/11/22,8,39,91
2012/11/23,8,40,91
2012/11/24,8,40,91
2012/11/25,9,39,89
2012/11/26,9,38,86
2012/11/27,9,39,88
2012/11/28,9,39,86
2012/11/29,9,39,87
2012/11/30,9,40,87
2012/12/01,8,39,87
2012/12/02,9,40,88
2012/12/03,9,40,87
2012/12/04,9,42,91
2012/12/05,9,42,89
2012/12/06,9,41,91
2012/12/07,9,41,92
2012/12/08,9,39,88
2012/12/09,9,40,89
2012/12/10,10,40,90
2012/12/11,10,38,89
2012/12/12,9,40,89
2012/12/13,9,40,90
2012/12/14,9,42,91
2012/12/15,7,42,92
2012/12/16,7,41,92
2012/12/17,7,41,92
2012/12/18,6,41,89
2012/12/19,6,41,90
2012/12/20,6,41,89
2012/12/21,7,41,87
2012/12/22,7,42,81
2012/12/23,7,40,81
2012/12/24,7,41,81
2012/12/25,7,42,83
2012/12/26,7,42,83
2012/12/27,7,42,83
2012/12/28,7,41,84
2012/12/29,7,40,80
2012/12/30,8,40,80
2012/12/31,7,40,81
2013/01/01,7,40,84
2013/01/02,6,40,86
2013/01/03,7,38,84
2013/01/04,7,37,86
2013/01/05,6,36,84
2013/01/06,6,36,84
2013/01/07,7,39,82
2013/01/08,7,40,83
2013/01/09,7,39,84
2013/01/10,7,38,87
2013/01/11,8,37,87
2013/01/12,7,37,86
2013/01/13,8,37,84
2013/01/14,8,37,81
2013/01/15,8,35,80
2013/01/16,8,36,81
2013/01/17,8,37,83
2013/01/18,9,37,82
2013/01/19,8,37,82
2013/01/20,8,38,85
2013/01/21,8,37,81
2013/01/22,8,39,81
2013/01/23,8,39,79
2013/01/24,7,40,77
2013/01/25,7,40,75
2013/01/26,7,40,75
2013/01/27,7,39,74
2013/01/28,7,37,74
2013/01/29,7,37,75
2013/01/30,7,37,74
2013/01/31,7,39,76
2013/02/01,7,39,73
2013/02/02,7,39,73
2013/02/03,7,38,71
2013/02/04,7,38,70
2013/02/05,7,38,70
2013/02/06,7,35,72
2013/02/07,7,34,71
2013/02/08,6,34,70
2013/02/09,6,36,65
2013/02/10,6,37,63
2013/02/11,6,37,64
2013/02/12,6,36,63
2013/02/13,6,36,65
2013/02/14,6,35,64
2013/02/15,6,35,65
2013/02/16,6,35,63
2013/02/17,6,37,63
2013/02/18,6,36,65
2013/02/19,6,35,67
2013/02/20,6,34,66
2013/02/21,6,31,64
2013/02/22,6,30,63
2013/02/23,7,30,64
2013/02/24,7,30,64
2013/02/25,7,30,64
2013/02/26,7,31,66
2013/02/27,7,32,63
2013/02/28,7,32,64
2013/03/01,7,32,64
2013/03/02,6,32,65
2013/03/03,6,31,65
2013/03/04,6,33,68
2013/03/05,5,34,69
2013/03/06,5,34,70
2013/03/07,5,35,70
2013/03/08,6,36,69
2013/03/09,6,36,69
2013/03/10,6,37,70
2013/03/11,6,36,70
2013/03/12,7,37,72
2013/03/13,7,36,69
2013/03/14,7,33,70
2013/03/15,7,34,66
2013/03/16,7,32,65
2013/03/17,7,32,64
2013/03/18,6,32,64
2013/03/19,6,31,64
2013/03/20,5,33,61
2013/03/21,5,32,59
2013/03/22,5,32,60
2013/03/23,5,31,63
2013/03/24,5,30,63
2013/03/25,5,29,60
2013/03/26,4,30,60
2013/03/27,4,29,60
2013/03/28,4,27,58
2013/03/29,4,26,58
2013/03/30,4,24,56
2013/03/31,3,23,55
2013/04/01,2,22,54
2013/04/02,2,22,57
2013/04/03,2,20,56
2013/04/04,2,19,52
2013/04/05,2,17,48
2013/04/06,2,14,45
2013/04/07,2,15,42
2013/04/08,2,15,44
2013/04/09,2,14,44
2013/04/10,2,14,46
2013/04/11,1,14,46
2013/04/12,1,13,46
2013/04/13,1,13,48
2013/04/14,1,13,48
2013/04/15,1,13,49
2013/04/16,1,13,49
2013/04/17,1,12,49
2013/04/18,1,12,49
2013/04/19,1,13,52
2013/04/20,1,13,53
2013/04/21,1,13,52
2013/04/22,1,14,51
2013/04/23,1,13,50
2013/04/24,1,13,50
2013/04/25,1,13,49
2013/04/26,1,13,48
2013/04/27,1,13,49
2013/04/28,1,12,46
2013/04/29,1,12,46
2013/04/30,1,12,46
2013/05/01,1,14,45
2013/05/02,1,15,43
2013/05/03,1,14,41
2013/05/04,1,15,39
2013/05/05,1,15,38
2013/05/06,1,14,38
2013/05/07,1,15,38
2013/05/08,1,14,36
2013/05/09,1,13,36
2013/05/10,1,16,34
2013/05/11,2,18,33
2013/05/12,,18,33
2013/05/13,1,19,36
2013/05/14,1,18,36
2013/05/15,,16,35
2013/05/16,,17,34
2013/05/17,,16,34
2013/05/18,,16,34
2013/05/19,,15,34
2013/05/20,,15,33
2013/05/21,1,15,34
2013/05/22,1,14,32
2013/05/23,1,14,33
2013/05/24,1,14,34
2013/05/25,1,14,35
2013/05/26,1,14,34
2013/05/27,1,14,33
2013/05/28,1,14,33
