date,ckbwiki (100+),ckbwiki (5+),ckbwiki (all)
2013/08/21,3,19,60
2013/08/22,3,18,62
2013/08/23,3,18,63
2013/08/24,3,19,62
2013/08/25,3,19,59
2013/08/26,3,19,56
2013/08/27,3,20,53
2013/08/28,3,20,53
2013/08/29,3,21,53
2013/08/30,3,18,51
2013/08/31,3,16,46
2013/09/01,3,15,46
2013/09/02,3,14,46
2013/09/03,3,14,46
2013/09/04,3,15,44
2013/09/05,3,14,44
2013/09/06,3,16,44
2013/09/07,3,16,44
2013/09/08,3,16,45
2013/09/09,3,15,43
2013/09/10,3,15,42
2013/09/11,3,15,43
2013/09/12,2,14,43
2013/09/13,2,14,47
2013/09/14,2,14,46
2013/09/15,2,14,46
2013/09/16,2,14,47
2013/09/17,2,13,45
2013/09/18,2,13,47
2013/09/19,2,13,48
2013/09/20,2,12,49
2013/09/21,2,11,48
2013/09/22,2,11,47
2013/09/23,2,10,46
2013/09/24,2,9,46
2013/09/25,2,10,48
2013/09/26,2,9,49
2013/09/27,2,9,48
2013/09/28,1,9,49
2013/09/29,1,9,51
2013/09/30,1,10,52
2013/10/01,1,10,51
2013/10/02,1,10,51
2013/10/03,1,10,51
2013/10/04,1,8,50
2013/10/05,1,8,51
2013/10/06,1,7,51
2013/10/07,1,7,49
2013/10/08,1,8,47
2013/10/09,1,8,49
2013/10/10,1,7,49
2013/10/11,1,7,48
2013/10/12,1,8,50
2013/10/13,1,9,48
2013/10/14,2,9,50
2013/10/15,2,12,51
2013/10/16,2,12,53
2013/10/17,2,12,54
2013/10/18,2,12,50
2013/10/19,2,13,49
2013/10/20,2,12,46
2013/10/21,2,13,47
2013/10/22,2,14,44
2013/10/23,3,14,45
2013/10/24,3,14,47
2013/10/25,3,14,45
2013/10/26,3,15,48
2013/10/27,3,15,49
2013/10/28,3,15,49
2013/10/29,3,15,46
2013/10/30,2,15,46
2013/10/31,2,15,47
2013/11/01,2,15,47
2013/11/02,2,15,46
2013/11/03,2,15,46
2013/11/04,2,15,46
2013/11/05,2,15,45
2013/11/06,2,15,46
2013/11/07,2,15,48
2013/11/08,3,16,49
2013/11/09,3,16,48
2013/11/10,3,15,49
2013/11/11,4,15,48
2013/11/12,4,15,47
2013/11/13,4,15,46
2013/11/14,4,16,50
2013/11/15,4,15,50
2013/11/16,4,15,49
2013/11/17,4,15,49
2013/11/18,4,15,52
2013/11/19,4,15,52
2013/11/20,4,17,53
2013/11/21,4,16,55
2013/11/22,4,16,58
2013/11/23,4,16,57
2013/11/24,4,17,58
2013/11/25,3,17,57
2013/11/26,3,16,57
2013/11/27,3,17,58
2013/11/28,3,17,62
2013/11/29,3,19,64
2013/11/30,3,19,63
2013/12/01,3,20,64
2013/12/02,3,20,68
2013/12/03,3,20,69
2013/12/04,3,20,68
2013/12/05,3,20,68
2013/12/06,3,21,69
2013/12/07,3,19,70
2013/12/08,3,19,72
2013/12/09,3,21,76
2013/12/10,3,21,78
2013/12/11,3,21,80
2013/12/12,3,21,83
