date,ckbwiki (100+),ckbwiki (5+),ckbwiki (all)
2012/08/19,14,42,97
2012/08/20,13,44,95
2012/08/21,13,45,94
2012/08/22,13,44,94
2012/08/23,13,44,95
2012/08/24,13,46,96
2012/08/25,13,45,96
2012/08/26,14,46,96
2012/08/27,13,47,97
2012/08/28,13,46,96
2012/08/29,13,47,98
2012/08/30,13,49,100
2012/08/31,14,48,98
2012/09/01,14,49,98
2012/09/02,13,49,97
2012/09/03,13,49,96
2012/09/04,13,50,96
2012/09/05,13,50,98
2012/09/06,13,48,99
2012/09/07,13,47,98
2012/09/08,13,48,101
2012/09/09,13,48,102
2012/09/10,13,48,102
2012/09/11,13,48,102
2012/09/12,13,47,102
2012/09/13,13,46,104
2012/09/14,13,47,103
2012/09/15,12,47,100
2012/09/16,11,44,100
2012/09/17,10,44,100
2012/09/18,10,44,98
2012/09/19,10,42,95
2012/09/20,9,42,94
2012/09/21,10,40,94
2012/09/22,10,41,93
2012/09/23,11,41,92
2012/09/24,11,40,89
2012/09/25,11,41,88
2012/09/26,11,38,87
2012/09/27,11,38,87
2012/09/28,11,37,83
2012/09/29,11,36,81
2012/09/30,10,37,79
2012/10/01,11,38,78
2012/10/02,11,37,76
2012/10/03,11,37,75
2012/10/04,11,36,74
2012/10/05,11,35,70
2012/10/06,11,33,67
2012/10/07,11,34,68
2012/10/08,11,33,66
2012/10/09,11,35,63
2012/10/10,10,36,63
2012/10/11,10,37,64
2012/10/12,10,36,69
2012/10/13,10,35,66
2012/10/14,9,35,65
2012/10/15,9,36,66
2012/10/16,9,36,69
2012/10/17,9,37,69
2012/10/18,8,36,69
2012/10/19,7,36,71
2012/10/20,8,34,73
2012/10/21,8,35,74
2012/10/22,8,35,75
2012/10/23,8,34,76
2012/10/24,8,36,77
2012/10/25,8,38,77
2012/10/26,8,38,80
2012/10/27,8,38,80
2012/10/28,8,39,80
2012/10/29,8,39,82
2012/10/30,8,39,85
2012/10/31,7,39,87
2012/11/01,7,40,88
2012/11/02,7,40,87
2012/11/03,9,41,86
2012/11/04,9,41,86
2012/11/05,9,40,87
2012/11/06,9,39,88
2012/11/07,9,38,90
2012/11/08,9,39,91
2012/11/09,9,38,92
2012/11/10,9,39,92
2012/11/11,9,39,86
2012/11/12,10,39,86
2012/11/13,10,38,87
2012/11/14,10,37,87
2012/11/15,10,38,86
2012/11/16,10,37,87
2012/11/17,10,37,87
2012/11/18,10,37,89
2012/11/19,10,38,85
2012/11/20,11,38,84
2012/11/21,11,37,83
2012/11/22,11,38,82
2012/11/23,11,40,84
2012/11/24,11,39,86
2012/11/25,11,39,84
2012/11/26,11,37,84
2012/11/27,11,37,86
2012/11/28,11,39,84
2012/11/29,11,41,80
2012/11/30,10,41,79
2012/12/01,10,41,80
2012/12/02,10,43,80
2012/12/03,8,41,76
2012/12/04,7,41,78
2012/12/05,7,41,78
2012/12/06,7,41,77
2012/12/07,8,43,76
2012/12/08,8,42,79
2012/12/09,8,43,82
2012/12/10,8,43,84
2012/12/11,8,44,85
2012/12/12,8,43,83
2012/12/13,8,42,83
2012/12/14,8,43,85
2012/12/15,8,43,84
2012/12/16,9,43,86
2012/12/17,9,43,85
2012/12/18,9,43,85
2012/12/19,9,42,81
2012/12/20,9,43,83
2012/12/21,9,43,85
2012/12/22,8,43,90
2012/12/23,8,40,88
2012/12/24,8,40,86
2012/12/25,8,41,87
2012/12/26,8,42,87
2012/12/27,8,42,88
2012/12/28,8,41,89
2012/12/29,8,43,85
2012/12/30,9,42,87
2012/12/31,9,42,86
2013/01/01,9,40,89
2013/01/02,9,40,88
2013/01/03,9,43,90
2013/01/04,9,44,92
2013/01/05,9,47,95
2013/01/06,9,45,94
2013/01/07,9,46,92
2013/01/08,9,46,92
2013/01/09,9,47,91
2013/01/10,9,46,90
2013/01/11,9,46,90
2013/01/12,9,46,90
2013/01/13,9,46,91
2013/01/14,10,49,96
2013/01/15,10,50,93
2013/01/16,10,51,93
2013/01/17,10,52,94
2013/01/18,10,51,96
2013/01/19,10,52,94
2013/01/20,10,51,95
2013/01/21,9,50,93
2013/01/22,9,50,92
2013/01/23,9,49,93
2013/01/24,8,49,93
2013/01/25,8,49,95
2013/01/26,8,49,98
2013/01/27,8,48,95
2013/01/28,8,48,95
2013/01/29,8,47,93
2013/01/30,7,47,94
2013/01/31,7,46,97
2013/02/01,7,45,96
2013/02/02,7,45,94
2013/02/03,7,45,93
2013/02/04,7,44,92
2013/02/05,7,44,91
2013/02/06,7,46,91
2013/02/07,7,42,87
2013/02/08,7,42,87
2013/02/09,6,42,91
2013/02/10,6,41,90
2013/02/11,6,41,92
2013/02/12,6,42,91
2013/02/13,7,43,90
2013/02/14,7,40,89
2013/02/15,7,41,92
2013/02/16,7,39,90
2013/02/17,7,42,87
2013/02/18,6,41,86
2013/02/19,6,40,86
2013/02/20,6,41,86
2013/02/21,7,39,86
2013/02/22,7,39,86
2013/02/23,7,39,84
2013/02/24,8,37,82
2013/02/25,8,36,79
2013/02/26,8,36,79
2013/02/27,8,36,78
2013/02/28,8,37,79
2013/03/01,8,37,81
2013/03/02,8,38,81
2013/03/03,8,39,81
2013/03/04,8,39,80
2013/03/05,8,38,82
2013/03/06,8,38,81
2013/03/07,8,40,84
2013/03/08,9,41,85
2013/03/09,10,39,87
2013/03/10,9,40,88
2013/03/11,9,40,86
2013/03/12,10,42,91
2013/03/13,10,43,91
2013/03/14,10,41,91
2013/03/15,10,42,92
2013/03/16,10,41,94
2013/03/17,10,38,92
2013/03/18,10,38,95
2013/03/19,11,38,94
2013/03/20,11,38,92
2013/03/21,9,37,89
2013/03/22,9,36,91
2013/03/23,9,36,90
2013/03/24,9,35,90
2013/03/25,9,35,91
2013/03/26,8,34,94
2013/03/27,8,34,93
2013/03/28,8,33,93
2013/03/29,7,31,90
2013/03/30,7,30,91
2013/03/31,7,29,88
2013/04/01,7,25,86
2013/04/02,7,23,86
2013/04/03,7,21,85
2013/04/04,5,18,83
2013/04/05,5,17,79
2013/04/06,5,15,70
2013/04/07,5,15,68
2013/04/08,4,15,68
2013/04/09,4,15,69
2013/04/10,4,16,70
2013/04/11,3,15,67
2013/04/12,3,14,68
2013/04/13,3,16,69
2013/04/14,3,14,68
2013/04/15,4,14,66
2013/04/16,4,14,68
2013/04/17,4,14,65
2013/04/18,3,13,65
2013/04/19,3,14,68
2013/04/20,4,14,70
2013/04/21,3,14,68
2013/04/22,3,15,70
2013/04/23,3,17,69
2013/04/24,3,18,69
2013/04/25,3,18,66
2013/04/26,3,18,66
2013/04/27,3,19,65
2013/04/28,3,19,65
2013/04/29,4,19,65
2013/04/30,4,18,64
2013/05/01,5,20,63
2013/05/02,5,20,62
2013/05/03,5,22,64
2013/05/04,5,22,66
2013/05/05,5,22,64
2013/05/06,5,23,64
2013/05/07,5,24,62
2013/05/08,5,24,58
2013/05/09,5,24,55
2013/05/10,5,23,55
2013/05/11,5,24,56
2013/05/12,4,25,53
2013/05/13,4,24,51
2013/05/14,5,24,53
2013/05/15,4,24,55
2013/05/16,4,24,53
2013/05/17,4,24,51
2013/05/18,3,24,52
2013/05/19,3,24,50
2013/05/20,3,24,48
2013/05/21,3,24,50
2013/05/22,3,22,48
2013/05/23,3,21,47
2013/05/24,4,20,47
2013/05/25,4,20,47
2013/05/26,4,21,53
2013/05/27,4,20,53
2013/05/28,4,20,56
2013/05/29,4,19,54
2013/05/30,4,20,55
2013/05/31,4,18,55
2013/06/01,4,19,56
2013/06/02,4,21,55
2013/06/03,4,20,54
2013/06/04,4,20,54
2013/06/05,4,20,53
2013/06/06,4,20,54
2013/06/07,4,20,56
2013/06/08,4,20,56
2013/06/09,4,21,55
2013/06/10,4,20,54
2013/06/11,4,19,52
2013/06/12,4,19,53
2013/06/13,4,19,50
2013/06/14,4,19,49
2013/06/15,4,20,49
2013/06/16,4,20,50
2013/06/17,4,20,48
2013/06/18,3,19,48
2013/06/19,3,19,49
2013/06/20,3,19,48
2013/06/21,3,17,47
2013/06/22,3,16,49
2013/06/23,3,16,47
2013/06/24,3,16,49
2013/06/25,3,16,46
2013/06/26,3,16,46
2013/06/27,3,16,44
2013/06/28,3,16,44
2013/06/29,3,16,44
2013/06/30,3,16,44
2013/07/01,3,16,43
2013/07/02,3,15,45
2013/07/03,3,14,45
2013/07/04,3,14,46
2013/07/05,3,14,52
2013/07/06,3,14,52
2013/07/07,3,14,52
2013/07/08,3,14,52
2013/07/09,3,14,51
2013/07/10,3,15,53
2013/07/11,3,16,53
2013/07/12,3,16,53
2013/07/13,3,17,56
2013/07/14,3,18,57
2013/07/15,3,18,58
2013/07/16,3,18,60
2013/07/17,3,18,60
2013/07/18,3,18,61
2013/07/19,3,17,59
2013/07/20,3,19,58
2013/07/21,3,19,57
2013/07/22,3,19,56
2013/07/23,3,19,58
2013/07/24,3,20,57
2013/07/25,3,18,57
2013/07/26,3,17,60
2013/07/27,3,17,62
2013/07/28,3,17,66
2013/07/29,3,16,66
2013/07/30,3,16,66
2013/07/31,3,17,68
2013/08/01,3,19,71
2013/08/02,3,20,71
2013/08/03,3,20,71
2013/08/04,3,20,67
2013/08/05,3,20,68
2013/08/06,3,22,66
2013/08/07,3,22,66
2013/08/08,3,24,67
2013/08/09,3,24,64
2013/08/10,3,25,63
2013/08/11,3,24,63
2013/08/12,3,22,61
2013/08/13,3,19,62
2013/08/14,3,18,60
2013/08/15,3,18,56
2013/08/16,3,18,56
2013/08/17,3,17,54
2013/08/18,3,17,56
2013/08/19,3,17,58
2013/08/20,3,18,58
