date,ltwiki (100+),ltwiki (5+),ltwiki (all)
2012/08/19,23,109,375
2012/08/20,23,111,379
2012/08/21,22,111,383
2012/08/22,23,111,391
2012/08/23,22,112,395
2012/08/24,22,112,388
2012/08/25,22,107,402
2012/08/26,23,104,399
2012/08/27,23,102,393
2012/08/28,23,108,402
2012/08/29,23,114,409
2012/08/30,23,115,417
2012/08/31,21,115,419
2012/09/01,21,115,417
2012/09/02,21,116,417
2012/09/03,21,114,421
2012/09/04,21,116,428
2012/09/05,20,117,426
2012/09/06,20,117,431
2012/09/07,18,122,432
2012/09/08,20,120,433
2012/09/09,20,120,433
2012/09/10,20,119,431
2012/09/11,19,119,432
2012/09/12,19,116,438
2012/09/13,19,120,436
2012/09/14,20,119,446
2012/09/15,19,119,447
2012/09/16,16,116,449
2012/09/17,16,115,449
2012/09/18,16,116,446
2012/09/19,16,114,446
2012/09/20,16,113,440
2012/09/21,16,112,437
2012/09/22,17,113,434
2012/09/23,17,112,436
2012/09/24,18,114,438
2012/09/25,18,114,436
2012/09/26,19,114,432
2012/09/27,19,113,424
2012/09/28,17,116,425
2012/09/29,17,111,414
2012/09/30,16,109,407
2012/10/01,16,108,402
2012/10/02,17,108,402
2012/10/03,17,104,395
2012/10/04,17,106,386
2012/10/05,17,105,382
2012/10/06,16,103,376
2012/10/07,16,98,368
2012/10/08,15,96,377
2012/10/09,15,97,383
2012/10/10,15,100,383
2012/10/11,15,104,389
2012/10/12,15,107,387
2012/10/13,15,103,384
2012/10/14,14,103,375
2012/10/15,16,102,377
2012/10/16,16,101,381
2012/10/17,17,103,390
2012/10/18,17,106,388
2012/10/19,17,111,388
2012/10/20,17,119,394
2012/10/21,16,121,405
2012/10/22,16,122,412
2012/10/23,15,125,420
2012/10/24,15,121,408
2012/10/25,15,122,406
2012/10/26,16,121,410
2012/10/27,15,121,408
2012/10/28,16,119,408
2012/10/29,16,121,414
2012/10/30,16,121,418
2012/10/31,16,126,424
2012/11/01,17,131,429
2012/11/02,18,136,435
2012/11/03,18,138,432
2012/11/04,19,146,449
2012/11/05,19,147,450
2012/11/06,19,150,452
2012/11/07,19,150,448
2012/11/08,19,151,444
2012/11/09,20,147,443
2012/11/10,20,145,441
2012/11/11,20,144,440
2012/11/12,20,147,444
2012/11/13,20,148,451
2012/11/14,22,146,444
2012/11/15,23,144,441
2012/11/16,22,143,439
2012/11/17,22,143,431
2012/11/18,22,142,436
2012/11/19,23,141,436
2012/11/20,24,141,431
2012/11/21,25,145,439
2012/11/22,25,144,436
2012/11/23,25,144,444
2012/11/24,25,145,444
2012/11/25,25,147,441
2012/11/26,25,152,444
2012/11/27,23,151,449
2012/11/28,23,149,453
2012/11/29,23,148,452
2012/11/30,22,147,458
2012/12/01,22,147,465
2012/12/02,22,146,465
2012/12/03,20,145,459
2012/12/04,20,141,452
2012/12/05,20,137,457
2012/12/06,19,138,464
2012/12/07,20,140,466
2012/12/08,21,141,465
2012/12/09,21,142,474
2012/12/10,21,143,476
2012/12/11,19,142,477
2012/12/12,19,139,471
2012/12/13,19,141,471
2012/12/14,20,142,476
2012/12/15,20,140,476
2012/12/16,20,139,479
2012/12/17,19,142,486
2012/12/18,20,146,493
2012/12/19,18,145,489
2012/12/20,19,148,485
2012/12/21,19,147,482
2012/12/22,19,147,475
2012/12/23,19,142,469
2012/12/24,20,141,474
2012/12/25,20,136,468
2012/12/26,20,136,465
2012/12/27,20,134,465
2012/12/28,20,133,462
2012/12/29,21,130,458
2012/12/30,22,124,463
2012/12/31,22,119,457
2013/01/01,22,121,459
2013/01/02,22,121,459
2013/01/03,22,122,459
2013/01/04,22,126,464
2013/01/05,21,128,469
2013/01/06,21,129,462
2013/01/07,21,129,457
2013/01/08,20,128,461
2013/01/09,20,130,462
2013/01/10,21,130,465
2013/01/11,21,127,474
2013/01/12,21,124,471
2013/01/13,20,126,477
2013/01/14,20,126,476
2013/01/15,20,128,469
2013/01/16,21,126,470
2013/01/17,22,123,464
2013/01/18,22,124,455
2013/01/19,21,126,454
2013/01/20,22,124,456
2013/01/21,22,128,457
2013/01/22,22,128,458
2013/01/23,22,126,466
2013/01/24,22,125,473
2013/01/25,23,127,483
2013/01/26,24,125,479
2013/01/27,24,125,486
2013/01/28,23,123,488
2013/01/29,25,125,491
2013/01/30,26,125,492
2013/01/31,26,128,498
2013/02/01,25,130,497
2013/02/02,27,128,489
2013/02/03,26,130,488
2013/02/04,27,126,486
2013/02/05,28,124,487
2013/02/06,26,124,490
2013/02/07,26,123,481
2013/02/08,28,122,482
2013/02/09,27,119,486
2013/02/10,27,118,475
2013/02/11,27,120,481
2013/02/12,27,117,480
2013/02/13,24,118,481
2013/02/14,24,120,484
2013/02/15,25,123,484
2013/02/16,26,126,481
2013/02/17,26,127,488
2013/02/18,25,127,482
2013/02/19,25,120,473
2013/02/20,25,121,470
2013/02/21,25,121,470
2013/02/22,24,122,470
2013/02/23,23,120,466
2013/02/24,23,121,462
2013/02/25,21,119,454
2013/02/26,22,125,461
2013/02/27,21,125,465
2013/02/28,21,129,466
2013/03/01,21,129,464
2013/03/02,21,127,457
2013/03/03,21,124,454
2013/03/04,20,126,458
2013/03/05,20,127,449
2013/03/06,20,127,454
2013/03/07,20,126,452
2013/03/08,21,126,452
2013/03/09,21,128,454
2013/03/10,21,128,444
2013/03/11,21,131,445
2013/03/12,22,137,451
2013/03/13,21,141,454
2013/03/14,21,146,460
2013/03/15,23,153,461
2013/03/16,23,156,465
2013/03/17,23,155,464
2013/03/18,23,154,461
2013/03/19,22,153,455
2013/03/20,22,157,457
2013/03/21,22,157,459
2013/03/22,22,157,453
2013/03/23,24,156,458
2013/03/24,24,155,464
2013/03/25,24,158,470
2013/03/26,22,157,468
2013/03/27,22,154,461
2013/03/28,22,153,465
2013/03/29,22,155,465
2013/03/30,23,149,458
2013/03/31,23,150,457
2013/04/01,23,151,459
