date,hawwiki (100+),hawwiki (5+),hawwiki (all)
2012/08/19,2,12,31
2012/08/20,2,12,29
2012/08/21,2,12,30
2012/08/22,2,13,30
2012/08/23,2,13,32
2012/08/24,1,14,32
2012/08/25,1,15,33
2012/08/26,1,15,33
2012/08/27,1,13,34
2012/08/28,1,13,35
2012/08/29,1,13,38
2012/08/30,1,14,38
2012/08/31,1,14,38
2012/09/01,1,15,39
2012/09/02,1,15,40
2012/09/03,1,15,40
2012/09/04,1,15,38
2012/09/05,1,15,37
2012/09/06,1,16,38
2012/09/07,1,16,38
2012/09/08,2,14,38
2012/09/09,2,14,38
2012/09/10,2,12,38
2012/09/11,2,12,37
2012/09/12,3,12,34
2012/09/13,3,12,34
2012/09/14,3,11,34
2012/09/15,3,11,34
2012/09/16,3,11,34
2012/09/17,3,11,33
2012/09/18,3,11,33
2012/09/19,3,11,32
2012/09/20,3,12,32
2012/09/21,3,12,31
2012/09/22,3,12,31
2012/09/23,3,12,31
2012/09/24,3,11,31
2012/09/25,3,11,31
2012/09/26,3,11,31
2012/09/27,3,12,30
2012/09/28,3,12,27
2012/09/29,3,12,28
2012/09/30,3,12,28
2012/10/01,3,12,26
2012/10/02,3,12,26
2012/10/03,4,14,27
2012/10/04,5,14,27
2012/10/05,5,14,27
2012/10/06,5,14,28
2012/10/07,6,14,28
2012/10/08,6,13,28
2012/10/09,6,13,27
2012/10/10,6,13,29
2012/10/11,6,13,29
2012/10/12,6,14,29
2012/10/13,6,14,29
2012/10/14,6,14,29
2012/10/15,6,14,29
2012/10/16,6,14,29
2012/10/17,7,14,29
2012/10/18,7,14,29
2012/10/19,7,14,30
2012/10/20,7,15,31
2012/10/21,7,15,32
2012/10/22,7,16,33
2012/10/23,7,16,33
2012/10/24,7,15,33
2012/10/25,7,15,33
2012/10/26,7,16,35
2012/10/27,7,16,36
2012/10/28,7,15,37
2012/10/29,7,16,38
2012/10/30,7,15,38
2012/10/31,7,16,37
2012/11/01,7,16,36
2012/11/02,5,16,36
2012/11/03,3,15,35
2012/11/04,3,15,35
2012/11/05,3,15,34
2012/11/06,3,15,34
2012/11/07,3,16,35
2012/11/08,3,16,36
2012/11/09,3,16,34
2012/11/10,3,17,33
2012/11/11,3,17,33
2012/11/12,3,18,33
2012/11/13,3,18,32
2012/11/14,3,18,32
2012/11/15,3,18,32
2012/11/16,2,18,32
2012/11/17,2,18,32
2012/11/18,1,17,32
2012/11/19,1,17,31
2012/11/20,1,17,31
2012/11/21,1,17,31
2012/11/22,1,17,30
2012/11/23,1,18,31
2012/11/24,1,19,31
2012/11/25,1,19,31
2012/11/26,1,19,31
2012/11/27,2,18,31
2012/11/28,2,18,30
2012/11/29,2,18,30
2012/11/30,2,17,31
2012/12/01,2,17,31
2012/12/02,2,17,31
2012/12/03,2,17,31
2012/12/04,2,16,31
2012/12/05,2,16,30
2012/12/06,2,16,30
2012/12/07,2,15,29
2012/12/08,2,15,30
2012/12/09,2,15,30
2012/12/10,2,16,31
2012/12/11,2,15,31
2012/12/12,2,15,30
2012/12/13,2,15,31
2012/12/14,2,15,32
2012/12/15,2,15,33
2012/12/16,2,14,33
2012/12/17,2,15,33
2012/12/18,3,15,33
2012/12/19,2,15,32
2012/12/20,2,15,31
2012/12/21,2,16,31
2012/12/22,2,16,32
2012/12/23,2,16,34
2012/12/24,2,16,35
2012/12/25,2,16,34
2012/12/26,2,16,34
2012/12/27,1,16,34
2012/12/28,1,16,34
2012/12/29,1,15,34
2012/12/30,1,15,34
2012/12/31,1,15,34
2013/01/01,1,15,34
2013/01/02,1,16,34
2013/01/03,1,16,34
2013/01/04,1,16,34
2013/01/05,1,16,34
2013/01/06,1,15,34
2013/01/07,2,15,32
2013/01/08,1,15,34
2013/01/09,1,15,35
2013/01/10,1,14,35
2013/01/11,1,14,35
2013/01/12,4,15,35
2013/01/13,4,14,35
2013/01/14,4,14,35
2013/01/15,4,14,36
2013/01/16,4,15,37
2013/01/17,4,15,38
2013/01/18,4,16,36
2013/01/19,5,16,36
2013/01/20,6,15,34
2013/01/21,6,15,33
2013/01/22,6,15,31
2013/01/23,6,15,30
2013/01/24,6,15,30
2013/01/25,6,16,30
2013/01/26,6,16,30
2013/01/27,6,15,30
2013/01/28,6,15,30
2013/01/29,6,15,30
2013/01/30,6,16,30
2013/01/31,6,16,30
2013/02/01,6,16,31
2013/02/02,6,16,31
2013/02/03,6,16,30
2013/02/04,6,15,30
2013/02/05,7,15,30
2013/02/06,7,15,30
2013/02/07,7,15,29
2013/02/08,6,15,26
2013/02/09,6,14,25
2013/02/10,7,14,26
2013/02/11,4,13,26
2013/02/12,4,13,26
2013/02/13,4,13,26
2013/02/14,3,13,26
2013/02/15,3,13,25
2013/02/16,3,12,27
2013/02/17,3,13,28
2013/02/18,3,13,27
2013/02/19,3,13,28
2013/02/20,3,13,28
2013/02/21,3,13,28
2013/02/22,3,13,28
2013/02/23,3,13,28
2013/02/24,3,13,28
2013/02/25,3,12,27
2013/02/26,3,13,27
2013/02/27,4,13,27
2013/02/28,4,13,28
2013/03/01,4,14,29
