date,frpwiki (100+),frpwiki (5+),frpwiki (all)
2012/08/19,4,16,30
2012/08/20,4,17,30
2012/08/21,4,17,30
2012/08/22,4,17,31
2012/08/23,4,17,31
2012/08/24,4,19,31
2012/08/25,4,17,33
2012/08/26,4,17,33
2012/08/27,5,17,35
2012/08/28,5,17,34
2012/08/29,5,16,36
2012/08/30,5,17,38
2012/08/31,5,17,38
2012/09/01,5,18,39
2012/09/02,5,17,38
2012/09/03,5,17,40
2012/09/04,5,17,40
2012/09/05,5,17,41
2012/09/06,5,17,41
2012/09/07,5,17,40
2012/09/08,5,17,41
2012/09/09,5,16,45
2012/09/10,5,16,46
2012/09/11,5,17,46
2012/09/12,5,16,45
2012/09/13,5,16,46
2012/09/14,5,16,46
2012/09/15,5,16,45
2012/09/16,5,16,45
2012/09/17,5,16,45
2012/09/18,5,17,43
2012/09/19,5,17,43
2012/09/20,5,17,43
2012/09/21,5,16,41
2012/09/22,5,17,40
2012/09/23,5,17,40
2012/09/24,5,16,39
2012/09/25,5,16,40
2012/09/26,3,16,41
2012/09/27,3,16,41
2012/09/28,3,15,41
2012/09/29,3,14,37
2012/09/30,3,16,37
2012/10/01,3,15,36
2012/10/02,3,15,37
2012/10/03,3,15,36
2012/10/04,3,15,37
2012/10/05,3,15,35
2012/10/06,3,15,36
2012/10/07,3,15,36
2012/10/08,4,15,35
2012/10/09,4,15,31
2012/10/10,4,15,30
2012/10/11,4,15,31
2012/10/12,4,15,31
2012/10/13,4,15,30
2012/10/14,4,15,29
2012/10/15,4,15,29
2012/10/16,4,16,30
2012/10/17,4,16,30
2012/10/18,4,16,32
2012/10/19,4,16,32
2012/10/20,4,16,34
2012/10/21,4,16,35
2012/10/22,4,17,35
2012/10/23,4,17,35
2012/10/24,4,17,35
2012/10/25,4,18,35
2012/10/26,4,18,35
2012/10/27,4,16,35
2012/10/28,4,17,35
2012/10/29,4,17,36
2012/10/30,5,18,37
2012/10/31,5,18,37
2012/11/01,5,18,36
2012/11/02,5,20,37
2012/11/03,5,20,35
2012/11/04,4,19,35
2012/11/05,4,19,35
2012/11/06,4,20,35
2012/11/07,3,21,35
2012/11/08,4,21,35
2012/11/09,4,21,35
2012/11/10,4,21,34
2012/11/11,4,21,35
2012/11/12,4,21,36
2012/11/13,4,21,34
2012/11/14,3,21,34
2012/11/15,3,21,33
2012/11/16,3,21,33
2012/11/17,4,21,34
2012/11/18,4,20,35
2012/11/19,3,21,35
2012/11/20,3,21,37
2012/11/21,3,20,36
2012/11/22,3,21,36
2012/11/23,3,21,37
2012/11/24,3,21,36
2012/11/25,3,21,35
2012/11/26,3,21,35
2012/11/27,3,21,36
2012/11/28,3,21,35
2012/11/29,2,20,34
2012/11/30,2,20,34
2012/12/01,2,19,34
2012/12/02,2,20,36
2012/12/03,2,20,38
2012/12/04,2,20,40
2012/12/05,2,20,39
2012/12/06,2,20,39
2012/12/07,2,18,39
2012/12/08,2,17,40
2012/12/09,2,17,40
2012/12/10,2,18,41
2012/12/11,3,18,40
2012/12/12,3,18,39
2012/12/13,3,18,38
2012/12/14,3,18,38
2012/12/15,3,18,38
2012/12/16,3,19,38
2012/12/17,3,18,40
2012/12/18,3,18,40
2012/12/19,3,18,40
2012/12/20,3,18,39
2012/12/21,3,18,39
2012/12/22,3,17,38
2012/12/23,3,17,39
2012/12/24,3,17,41
2012/12/25,3,17,41
2012/12/26,4,17,43
2012/12/27,4,17,43
2012/12/28,4,17,44
2012/12/29,5,18,42
2012/12/30,6,18,42
2012/12/31,5,19,43
2013/01/01,5,19,42
2013/01/02,5,19,40
2013/01/03,5,19,40
2013/01/04,5,19,40
2013/01/05,6,19,41
2013/01/06,6,19,41
2013/01/07,6,18,42
2013/01/08,6,18,43
2013/01/09,6,17,44
2013/01/10,5,16,44
2013/01/11,6,19,45
2013/01/12,6,19,45
2013/01/13,4,19,46
2013/01/14,4,21,46
2013/01/15,4,21,45
2013/01/16,4,21,43
2013/01/17,4,23,43
2013/01/18,4,23,43
2013/01/19,4,23,42
2013/01/20,4,23,42
2013/01/21,4,23,45
2013/01/22,4,23,44
2013/01/23,4,23,41
2013/01/24,4,22,42
2013/01/25,4,22,42
2013/01/26,4,22,41
2013/01/27,4,21,41
2013/01/28,4,21,42
2013/01/29,3,21,44
2013/01/30,3,20,44
2013/01/31,3,20,43
2013/02/01,3,20,42
2013/02/02,3,20,45
2013/02/03,3,20,45
2013/02/04,3,20,45
2013/02/05,3,21,45
2013/02/06,3,21,43
2013/02/07,3,20,43
2013/02/08,3,20,43
2013/02/09,3,20,43
2013/02/10,3,19,42
2013/02/11,3,18,40
2013/02/12,4,19,41
2013/02/13,4,19,41
2013/02/14,4,19,40
2013/02/15,4,18,40
2013/02/16,4,18,41
2013/02/17,4,20,42
2013/02/18,4,19,42
2013/02/19,4,18,42
2013/02/20,4,18,39
2013/02/21,4,18,39
2013/02/22,4,18,39
2013/02/23,4,18,38
2013/02/24,4,17,37
2013/02/25,3,17,37
2013/02/26,4,18,38
2013/02/27,4,18,36
2013/02/28,4,18,35
2013/03/01,4,17,36
2013/03/02,4,17,36
2013/03/03,4,17,35
2013/03/04,4,16,33
2013/03/05,4,14,35
2013/03/06,4,15,34
2013/03/07,4,15,35
2013/03/08,5,15,35
2013/03/09,5,15,35
2013/03/10,4,15,34
2013/03/11,4,15,32
2013/03/12,4,14,34
2013/03/13,4,14,33
2013/03/14,4,13,32
2013/03/15,4,12,32
2013/03/16,3,12,31
2013/03/17,3,12,30
2013/03/18,3,11,29
2013/03/19,3,10,29
2013/03/20,3,10,29
2013/03/21,3,10,29
2013/03/22,3,11,29
2013/03/23,3,11,28
2013/03/24,2,11,28
2013/03/25,2,11,28
2013/03/26,1,11,27
2013/03/27,1,11,26
2013/03/28,1,11,22
2013/03/29,1,11,22
2013/03/30,1,9,21
2013/03/31,1,10,22
2013/04/01,1,10,23
2013/04/02,1,10,25
2013/04/03,1,9,25
2013/04/04,1,8,22
2013/04/05,1,6,21
2013/04/06,1,5,16
2013/04/07,1,4,14
2013/04/08,1,4,17
2013/04/09,1,4,17
2013/04/10,1,4,18
2013/04/11,1,4,17
2013/04/12,1,4,17
2013/04/13,1,4,16
2013/04/14,1,4,15
2013/04/15,1,4,15
2013/04/16,1,4,14
2013/04/17,1,4,14
2013/04/18,1,4,14
2013/04/19,1,4,14
2013/04/20,1,3,14
2013/04/21,1,3,15
2013/04/22,1,3,15
2013/04/23,1,3,16
2013/04/24,1,3,16
2013/04/25,1,3,16
2013/04/26,1,3,16
2013/04/27,1,3,16
2013/04/28,1,4,17
2013/04/29,1,5,17
2013/04/30,1,5,17
2013/05/01,1,5,16
2013/05/02,1,5,13
2013/05/03,1,5,13
2013/05/04,1,5,13
2013/05/05,,5,13
2013/05/06,,5,14
2013/05/07,,5,14
2013/05/08,,5,12
2013/05/09,,5,12
2013/05/10,,4,12
2013/05/11,,4,12
2013/05/12,,4,11
2013/05/13,,4,11
2013/05/14,,3,11
2013/05/15,,3,12
2013/05/16,,3,12
2013/05/17,,3,12
2013/05/18,,3,11
2013/05/19,,3,10
2013/05/20,,3,10
2013/05/21,,3,9
2013/05/22,,3,12
2013/05/23,,3,11
2013/05/24,,3,12
2013/05/25,,3,12
2013/05/26,,3,12
2013/05/27,,3,12
2013/05/28,,2,11
