date,enwiki (100+),enwiki (5+),enwiki (all)
2012/08/19,3418,33915,112612
2012/08/20,3392,33758,112192
2012/08/21,3423,33932,112958
2012/08/22,3445,34042,113554
2012/08/23,3447,33995,113545
2012/08/24,3357,33102,110483
2012/08/25,3443,33782,112905
2012/08/26,3462,33690,112433
2012/08/27,3456,33686,112342
2012/08/28,3475,33867,113119
2012/08/29,3482,34039,113794
2012/08/30,3488,34009,113767
2012/08/31,3477,33936,113819
2012/09/01,3486,33980,113855
2012/09/02,3481,33935,113547
2012/09/03,3510,33855,113309
2012/09/04,3515,33999,113779
2012/09/05,3501,34021,114289
2012/09/06,3491,34004,114448
2012/09/07,3482,33908,114322
2012/09/08,3477,33755,114001
2012/09/09,3500,33618,113291
2012/09/10,3502,33574,113126
2012/09/11,3510,33670,113709
2012/09/12,3514,33745,114241
2012/09/13,3512,33675,114203
2012/09/14,3496,33518,113839
2012/09/15,3489,33490,113483
2012/09/16,3479,33287,112723
2012/09/17,3476,33217,112424
2012/09/18,3466,33408,113135
2012/09/19,3451,33528,113685
2012/09/20,3427,33398,113568
2012/09/21,3420,33291,113369
2012/09/22,3397,33204,113043
2012/09/23,3397,33023,112412
2012/09/24,3385,33006,112174
2012/09/25,3389,33065,112686
2012/09/26,3381,33129,113120
2012/09/27,3353,33118,113232
2012/09/28,3340,33007,113058
2012/09/29,3314,32883,112655
2012/09/30,3289,32740,112062
2012/10/01,3289,32658,111710
2012/10/02,3298,32720,112092
2012/10/03,3300,32796,112529
2012/10/04,3282,32805,112787
2012/10/05,3276,32777,112780
2012/10/06,3293,32733,112683
2012/10/07,3290,32684,112304
2012/10/08,3288,32655,111984
2012/10/09,3279,32762,112744
2012/10/10,3250,32824,113273
2012/10/11,3253,32825,113365
2012/10/12,3259,32841,113384
2012/10/13,3264,32786,113036
2012/10/14,3258,32679,112575
2012/10/15,3243,32638,112404
2012/10/16,3238,32830,113068
2012/10/17,3234,32922,113715
2012/10/18,3234,32841,113695
2012/10/19,3231,32878,113677
2012/10/20,3215,32891,113566
2012/10/21,3231,32770,112990
2012/10/22,3243,32838,113003
2012/10/23,3267,33018,113863
2012/10/24,3246,33057,114395
2012/10/25,3245,33051,114417
2012/10/26,3244,33164,114485
2012/10/27,3255,33125,114397
2012/10/28,3272,33009,113681
2012/10/29,3267,33037,113612
2012/10/30,3270,33148,114314
2012/10/31,3277,33214,114810
2012/11/01,3264,33159,114814
2012/11/02,3252,33070,114708
2012/11/03,3264,32992,114421
2012/11/04,3257,32911,114001
2012/11/05,3250,32878,113992
2012/11/06,3266,32905,114703
2012/11/07,3251,33018,115204
2012/11/08,3240,32901,115028
2012/11/09,3244,32812,114843
2012/11/10,3227,32782,114696
2012/11/11,3234,32648,114195
2012/11/12,3256,32671,114144
2012/11/13,3243,32845,114977
2012/11/14,3237,33001,115429
2012/11/15,3223,33018,115416
2012/11/16,3240,33028,115233
2012/11/17,3259,33015,115235
2012/11/18,3260,32913,114830
2012/11/19,3254,32916,114643
2012/11/20,3231,33149,115487
2012/11/21,3220,33216,116162
2012/11/22,3224,33233,115937
2012/11/23,3213,33210,115469
2012/11/24,3227,33092,115004
2012/11/25,3220,33055,114447
2012/11/26,3236,33005,114299
2012/11/27,3228,33213,115295
2012/11/28,3231,33435,116002
2012/11/29,3225,33470,116280
2012/11/30,3246,33579,116473
2012/12/01,3248,33595,116480
2012/12/02,3261,33553,116086
2012/12/03,3263,33575,116029
2012/12/04,3254,33744,116790
2012/12/05,3224,33829,117303
2012/12/06,3238,33883,117331
2012/12/07,3241,33929,117468
2012/12/08,3234,34002,117492
2012/12/09,3218,33908,116953
2012/12/10,3240,33832,116707
2012/12/11,3259,33933,117411
2012/12/12,3265,34003,117826
2012/12/13,3280,33948,117606
2012/12/14,3278,33914,117555
2012/12/15,3258,33891,117236
2012/12/16,3260,33900,116638
2012/12/17,3258,33854,116295
2012/12/18,3264,33884,116864
2012/12/19,3259,33937,117185
2012/12/20,3245,33847,116864
2012/12/21,3247,33685,116253
2012/12/22,3242,33518,115659
2012/12/23,3254,33397,115063
2012/12/24,3256,33294,114642
2012/12/25,3250,33152,114302
2012/12/26,3225,32937,113373
2012/12/27,3220,32704,112325
2012/12/28,3227,32561,111611
2012/12/29,3222,32366,110978
2012/12/30,3228,32240,110363
2012/12/31,3229,32185,109862
2013/01/01,3232,32209,109952
2013/01/02,3232,32146,109470
2013/01/03,3232,32098,109292
2013/01/04,3234,32073,109266
2013/01/05,3247,32072,109125
2013/01/06,3270,32044,108663
2013/01/07,3289,32069,108416
2013/01/08,3288,32253,109078
2013/01/09,3280,32264,109290
2013/01/10,3195,31390,106028
2013/01/11,3108,30487,102810
2013/01/12,3007,29607,99682
2013/01/13,2933,28734,96448
2013/01/14,2975,28880,97366
2013/01/15,3346,32277,109525
2013/01/16,3331,32405,110150
2013/01/17,3336,32376,110108
2013/01/18,3336,32451,110103
2013/01/19,3347,32448,110141
2013/01/20,3333,32404,110012
2013/01/21,3349,32515,110319
2013/01/22,3365,32725,111264
2013/01/23,3387,32921,112201
2013/01/24,3395,33127,113159
2013/01/25,3419,33465,114456
2013/01/26,3425,33566,115164
2013/01/27,3419,33596,115177
2013/01/28,3440,33668,115278
2013/01/29,3454,33722,115954
2013/01/30,3443,33906,116523
2013/01/31,3431,33968,117021
2013/02/01,3433,34103,117944
2013/02/02,3416,34032,117864
2013/02/03,3428,33847,117307
2013/02/04,3418,33802,116947
2013/02/05,3417,33803,117456
2013/02/06,3397,33874,117913
2013/02/07,3389,33846,117944
2013/02/08,3396,33802,117921
2013/02/09,3396,33798,117661
2013/02/10,3400,33742,117064
2013/02/11,3390,33692,116872
2013/02/12,3377,33899,117584
2013/02/13,3394,34028,118102
2013/02/14,3386,34049,118108
2013/02/15,3380,34027,117918
2013/02/16,3390,33987,117841
2013/02/17,3397,33960,117511
2013/02/18,3396,33848,117407
2013/02/19,3385,34107,118156
2013/02/20,3403,34204,118706
2013/02/21,3385,34294,119026
2013/02/22,3374,34360,119254
2013/02/23,3378,34346,119171
2013/02/24,3384,34345,118678
2013/02/25,3381,34388,118632
2013/02/26,3369,34528,119482
2013/02/27,3353,34557,119917
2013/02/28,3345,34441,119926
2013/03/01,3338,34458,119930
2013/03/02,3328,34436,119736
2013/03/03,3328,34303,119109
2013/03/04,3334,34280,118964
2013/03/05,3328,34436,119567
2013/03/06,3320,34433,119911
2013/03/07,3319,34503,119889
2013/03/08,3312,34444,119680
2013/03/09,3301,34351,119363
2013/03/10,3317,34177,118834
2013/03/11,3325,34143,118551
2013/03/12,3303,34257,119111
2013/03/13,3307,34310,119485
2013/03/14,3302,34328,119272
2013/03/15,3295,34235,119113
2013/03/16,3291,34190,118867
2013/03/17,3297,34144,118443
2013/03/18,3302,34112,118220
2013/03/19,3311,34241,118682
2013/03/20,3310,34372,119094
2013/03/21,3309,34343,119090
2013/03/22,3316,34326,118899
2013/03/23,3312,34347,118699
2013/03/24,3316,34194,117980
2013/03/25,3324,34094,117529
2013/03/26,3305,34234,117954
2013/03/27,3297,34250,118063
2013/03/28,3299,34310,117856
2013/03/29,3311,34244,117613
2013/03/30,3328,34207,117228
2013/03/31,3339,34027,116327
2013/04/01,3359,33995,115852
2013/04/02,3353,34154,116380
2013/04/03,3330,34302,116741
2013/04/04,3330,34352,116735
2013/04/05,3328,34477,116894
2013/04/06,3329,34450,116685
2013/04/07,3317,34393,116159
2013/04/08,3334,34460,116100
2013/04/09,3343,34655,116920
2013/04/10,3346,34792,117579
2013/04/11,3344,34889,117650
2013/04/12,3330,34892,117627
2013/04/13,3327,34791,117380
2013/04/14,3330,34661,116825
2013/04/15,3353,34588,116655
2013/04/16,3352,34716,117180
2013/04/17,3337,34813,117628
2013/04/18,3351,34824,117634
2013/04/19,3337,34807,117438
2013/04/20,3344,34669,116927
2013/04/21,3350,34559,116078
2013/04/22,3109,32112,108004
2013/04/23,3134,32427,109077
2013/04/24,3268,33567,112748
2013/04/25,3179,32655,109790
2013/04/26,3376,34843,116641
2013/04/27,3377,34863,116583
2013/04/28,3370,34718,116090
2013/04/29,3390,34643,115894
2013/04/30,3382,34904,116665
2013/05/01,3404,35003,117273
2013/05/02,3398,34973,117142
2013/05/03,3384,34930,116919
2013/05/04,3368,34892,116656
2013/05/05,3391,34601,115508
2013/05/06,3404,34509,115055
2013/05/07,3410,34679,115648
2013/05/08,3422,34772,115989
2013/05/09,3396,34690,115790
2013/05/10,3368,34588,115580
2013/05/11,3361,34435,115113
2013/05/12,3360,34221,114329
2013/05/13,3363,34215,114066
2013/05/14,3374,34365,114613
2013/05/15,3372,34468,115242
2013/05/16,3358,34428,115058
2013/05/17,3345,34323,114824
2013/05/18,3335,34231,114333
2013/05/19,3317,34087,113699
2013/05/20,3328,33979,113433
2013/05/21,3329,34159,114048
2013/05/22,3327,34161,114411
2013/05/23,3309,34110,114157
2013/05/24,3301,34021,114028
2013/05/25,3296,33837,113702
2013/05/26,3287,33648,112810
2013/05/27,3294,33525,112302
2013/05/28,3299,33646,112560
2013/05/29,3295,33754,113055
2013/05/30,3305,33737,112925
2013/05/31,3304,33694,112852
2013/06/01,3297,33623,112736
2013/06/02,3312,33454,112156
2013/06/03,3342,33368,111698
2013/06/04,3355,33543,112501
2013/06/05,3355,33722,112955
2013/06/06,3332,33632,112956
2013/06/07,3322,33538,112500
2013/06/08,3300,33473,112310
2013/06/09,3309,33339,111433
2013/06/10,3320,33233,110927
2013/06/11,3341,33321,111430
2013/06/12,3337,33347,111491
2013/06/13,3347,33257,111236
2013/06/14,3357,33165,110705
2013/06/15,3360,33075,110278
2013/06/16,3359,32921,109618
2013/06/17,3372,32751,109051
2013/06/18,3393,32868,109509
2013/06/19,3384,32908,109826
2013/06/20,3370,32829,109695
2013/06/21,3364,32851,109350
2013/06/22,3341,32787,108840
2013/06/23,3335,32533,108011
2013/06/24,3327,32430,107526
2013/06/25,3334,32574,107950
2013/06/26,3344,32647,108298
2013/06/27,3350,32602,108220
2013/06/28,3328,32552,107865
2013/06/29,3321,32468,107392
2013/06/30,3323,32193,106502
2013/07/01,3311,32100,105900
2013/07/02,3347,32152,106237
2013/07/03,3332,32146,106395
2013/07/04,3311,32036,106188
2013/07/05,3301,31843,105763
2013/07/06,3310,31658,105081
2013/07/07,3296,31351,104287
2013/07/08,3272,31169,103606
2013/07/09,3266,31312,104034
2013/07/10,3247,31283,104448
2013/07/11,3246,31220,104293
2013/07/12,3248,31121,104135
2013/07/13,3226,31052,103840
2013/07/14,3208,30805,103116
2013/07/15,3201,30765,102766
2013/07/16,3200,30816,103278
2013/07/17,3197,30957,104051
2013/07/18,3179,30991,104309
2013/07/19,3200,30926,104623
2013/07/20,3193,30788,104727
2013/07/21,3179,30701,104536
2013/07/22,3180,30648,104647
2013/07/23,3181,30866,105752
2013/07/24,3168,31078,106724
2013/07/25,3165,31059,107077
2013/07/26,3163,31124,107569
2013/07/27,3168,31113,108104
2013/07/28,3146,31043,107992
2013/07/29,3138,30876,108157
2013/07/30,3152,31152,109431
2013/07/31,3136,31407,110680
2013/08/01,3137,31589,111426
2013/08/02,3127,31533,111783
2013/08/03,3123,31608,112061
2013/08/04,3139,31616,112097
2013/08/05,3150,31594,112119
2013/08/06,3171,31822,113176
2013/08/07,3194,32106,114028
2013/08/08,3204,32142,114330
2013/08/09,3193,32213,114625
2013/08/10,3191,32195,114715
2013/08/11,3203,32107,114626
2013/08/12,3197,32067,114755
2013/08/13,3207,32387,115857
2013/08/14,3210,32629,116863
2013/08/15,3220,32694,117265
2013/08/16,3201,32695,117385
2013/08/17,3217,32632,117181
2013/08/18,3217,32550,116504
2013/08/19,3209,32415,116182
2013/08/20,3213,32551,116686
2013/08/21,3219,32555,117017
2013/08/22,3200,32507,116821
2013/08/23,3215,32428,116607
2013/08/24,3196,32298,116335
2013/08/25,3199,32064,115492
2013/08/26,3215,31998,114966
2013/08/27,3211,32107,115312
2013/08/28,3213,32153,115666
2013/08/29,3197,32109,115414
2013/08/30,3194,31996,115073
2013/08/31,3189,31914,114476
2013/09/01,3166,31724,113669
2013/09/02,3145,31610,113241
2013/09/03,3164,31708,113762
2013/09/04,3150,31847,114290
2013/09/05,3160,31829,114242
2013/09/06,3156,31757,113919
2013/09/07,3153,31621,113707
2013/09/08,3141,31489,113252
2013/09/09,3139,31401,113023
2013/09/10,3143,31486,113411
2013/09/11,3131,31494,113770
2013/09/12,3111,31296,113502
2013/09/13,3102,31199,113129
2013/09/14,3083,31028,112721
2013/09/15,3077,30807,112025
2013/09/16,3078,30773,111638
2013/09/17,3097,30851,112109
2013/09/18,3095,30919,112513
2013/09/19,3086,30799,112553
2013/09/20,3061,30759,112346
2013/09/21,3042,30631,111899
2013/09/22,3029,30443,111171
2013/09/23,3026,30313,110732
2013/09/24,3020,30374,111215
2013/09/25,3009,30414,111370
2013/09/26,2995,30355,111252
2013/09/27,2982,30346,110992
2013/09/28,2979,30217,110469
2013/09/29,2961,30082,109643
2013/09/30,2960,29980,109314
2013/10/01,2963,30094,109934
2013/10/02,2948,30183,110161
2013/10/03,2940,30106,109928
2013/10/04,2929,30073,109725
2013/10/05,2922,30095,109455
2013/10/06,2916,29925,108942
2013/10/07,2917,29911,108621
2013/10/08,2909,30018,109219
2013/10/09,2917,30093,109542
2013/10/10,2907,30100,109530
2013/10/11,2894,30093,109402
2013/10/12,2899,30140,109177
2013/10/13,2931,30103,108526
2013/10/14,2950,30065,108174
2013/10/15,2944,30190,108675
2013/10/16,2930,30394,109196
2013/10/17,2925,30467,109157
2013/10/18,2921,30518,109204
2013/10/19,2922,30516,109050
2013/10/20,2933,30539,108609
2013/10/21,2964,30609,108543
2013/10/22,2970,30798,109397
2013/10/23,2960,30943,110155
2013/10/24,2962,31067,110423
2013/10/25,2964,31213,110689
2013/10/26,2965,31251,110600
2013/10/27,2988,31134,109917
2013/10/28,2993,31110,109900
2013/10/29,2994,31316,110677
2013/10/30,2993,31466,111166
2013/10/31,2995,31521,111216
2013/11/01,3012,31401,111169
2013/11/02,3009,31331,110966
2013/11/03,3000,31216,110533
2013/11/04,3005,31198,110355
2013/11/05,3032,31409,111134
2013/11/06,3020,31594,111726
2013/11/07,3016,31590,111970
2013/11/08,2999,31674,111828
2013/11/09,3015,31675,111626
2013/11/10,3024,31637,111143
2013/11/11,3042,31672,110977
2013/11/12,3043,31887,111768
2013/11/13,3028,32068,112473
2013/11/14,3009,32139,112620
2013/11/15,3004,32040,112635
2013/11/16,3024,32001,112562
2013/11/17,3028,31842,111979
2013/11/18,3018,31900,111908
2013/11/19,3030,32062,112701
2013/11/20,3006,32229,113638
2013/11/21,3015,32218,113833
2013/11/22,2991,32204,113632
2013/11/23,2984,32167,113271
2013/11/24,2984,31891,112586
2013/11/25,2994,31832,112401
2013/11/26,3013,31979,113239
2013/11/27,3005,32143,113698
2013/11/28,3014,32121,113445
2013/11/29,3003,32006,113012
2013/11/30,2999,31830,112356
2013/12/01,3007,31754,111786
2013/12/02,3010,31734,111763
2013/12/03,3017,31903,112480
2013/12/04,3007,32070,113094
2013/12/05,3012,32187,113196
2013/12/06,3001,32198,113185
2013/12/07,3017,32243,112915
2013/12/08,3042,32193,112246
