date,barwiki (100+),barwiki (5+),barwiki (all)
2012/08/19,6,35,84
2012/08/20,6,36,83
2012/08/21,6,36,84
2012/08/22,6,36,83
2012/08/23,6,35,82
2012/08/24,6,34,82
2012/08/25,6,38,83
2012/08/26,6,37,83
2012/08/27,6,36,85
2012/08/28,6,35,86
2012/08/29,6,34,83
2012/08/30,6,33,84
2012/08/31,6,34,83
2012/09/01,6,34,83
2012/09/02,6,33,84
2012/09/03,6,33,85
2012/09/04,6,32,84
2012/09/05,6,34,86
2012/09/06,6,35,87
2012/09/07,6,34,87
2012/09/08,6,35,87
2012/09/09,6,35,85
2012/09/10,6,35,89
2012/09/11,6,35,92
2012/09/12,6,36,90
2012/09/13,5,36,92
2012/09/14,5,35,90
2012/09/15,5,36,88
2012/09/16,5,37,87
2012/09/17,5,37,89
2012/09/18,5,36,87
2012/09/19,5,35,89
2012/09/20,5,35,86
2012/09/21,5,34,87
2012/09/22,5,35,86
2012/09/23,5,35,85
2012/09/24,5,33,85
2012/09/25,5,34,83
2012/09/26,5,34,81
2012/09/27,5,34,81
2012/09/28,5,34,80
2012/09/29,5,34,82
2012/09/30,5,34,82
2012/10/01,5,32,82
2012/10/02,5,33,82
2012/10/03,5,32,79
2012/10/04,5,32,76
2012/10/05,5,32,75
2012/10/06,5,32,74
2012/10/07,5,31,76
2012/10/08,5,31,75
2012/10/09,5,30,73
2012/10/10,5,30,68
2012/10/11,5,31,66
2012/10/12,5,31,67
2012/10/13,4,31,65
2012/10/14,4,30,66
2012/10/15,5,32,65
2012/10/16,5,32,68
2012/10/17,6,31,68
2012/10/18,4,31,68
2012/10/19,5,30,73
2012/10/20,5,30,74
2012/10/21,5,29,73
2012/10/22,5,31,71
2012/10/23,5,31,73
2012/10/24,6,32,73
2012/10/25,6,31,74
2012/10/26,6,31,74
2012/10/27,6,31,72
2012/10/28,6,32,73
2012/10/29,6,32,71
2012/10/30,7,30,70
2012/10/31,7,30,70
2012/11/01,7,30,72
2012/11/02,7,32,73
2012/11/03,8,33,76
2012/11/04,8,34,77
2012/11/05,9,34,79
2012/11/06,8,34,75
2012/11/07,9,33,77
2012/11/08,8,33,79
2012/11/09,9,32,78
2012/11/10,8,31,80
2012/11/11,9,31,80
2012/11/12,9,32,85
2012/11/13,8,33,86
2012/11/14,8,33,86
2012/11/15,9,33,85
2012/11/16,9,33,82
2012/11/17,9,33,81
2012/11/18,8,33,80
2012/11/19,8,33,79
2012/11/20,8,34,78
2012/11/21,8,32,78
2012/11/22,8,32,76
2012/11/23,8,31,77
2012/11/24,8,32,76
2012/11/25,8,31,78
2012/11/26,8,32,79
2012/11/27,8,31,79
2012/11/28,7,31,77
2012/11/29,7,31,76
2012/11/30,7,31,78
2012/12/01,7,31,76
2012/12/02,7,29,75
2012/12/03,7,29,73
2012/12/04,7,29,74
2012/12/05,7,29,74
2012/12/06,7,29,75
2012/12/07,7,28,72
2012/12/08,7,27,73
2012/12/09,7,26,74
2012/12/10,7,26,71
2012/12/11,7,25,70
2012/12/12,7,25,66
2012/12/13,7,25,65
2012/12/14,7,25,65
2012/12/15,7,25,64
2012/12/16,7,25,65
2012/12/17,7,26,65
2012/12/18,6,26,63
2012/12/19,6,26,64
2012/12/20,6,26,64
2012/12/21,6,27,63
2012/12/22,6,28,65
2012/12/23,7,27,66
2012/12/24,7,26,66
2012/12/25,7,25,66
2012/12/26,7,24,67
2012/12/27,7,24,66
2012/12/28,7,24,69
2012/12/29,7,23,70
2012/12/30,7,24,69
2012/12/31,7,25,70
2013/01/01,7,25,69
2013/01/02,7,25,69
2013/01/03,7,25,69
2013/01/04,7,27,70
2013/01/05,7,28,70
2013/01/06,7,28,72
2013/01/07,7,28,72
2013/01/08,7,28,72
2013/01/09,7,29,74
2013/01/10,6,29,73
2013/01/11,6,29,73
2013/01/12,6,29,75
2013/01/13,6,29,78
2013/01/14,6,29,80
2013/01/15,6,30,79
2013/01/16,6,31,80
2013/01/17,6,31,80
2013/01/18,6,32,79
2013/01/19,6,32,78
2013/01/20,6,32,77
2013/01/21,6,33,79
2013/01/22,6,33,80
2013/01/23,6,32,79
2013/01/24,6,33,79
2013/01/25,6,32,77
2013/01/26,6,32,79
2013/01/27,7,33,80
2013/01/28,7,33,81
2013/01/29,7,33,83
2013/01/30,7,32,83
2013/01/31,7,32,85
2013/02/01,7,33,85
2013/02/02,7,34,85
2013/02/03,7,34,83
2013/02/04,7,33,82
2013/02/05,8,32,81
2013/02/06,8,34,80
2013/02/07,8,33,80
2013/02/08,8,33,80
2013/02/09,8,34,81
2013/02/10,8,34,79
2013/02/11,8,34,78
2013/02/12,8,34,81
2013/02/13,8,34,80
2013/02/14,8,33,79
2013/02/15,8,33,79
2013/02/16,8,33,81
2013/02/17,8,35,81
2013/02/18,8,34,81
2013/02/19,8,34,82
2013/02/20,8,32,84
2013/02/21,8,31,86
