date,pcdwiki (100+),pcdwiki (5+),pcdwiki (all)
2012/08/19,1,8,36
2012/08/20,1,8,36
2012/08/21,1,8,36
2012/08/22,1,9,37
2012/08/23,1,8,38
2012/08/24,1,9,38
2012/08/25,1,8,38
2012/08/26,1,8,36
2012/08/27,1,8,36
2012/08/28,1,8,35
2012/08/29,1,8,32
2012/08/30,1,8,31
2012/08/31,1,8,31
2012/09/01,1,8,30
2012/09/02,1,8,30
2012/09/03,1,8,31
2012/09/04,1,8,31
2012/09/05,1,8,31
2012/09/06,1,8,30
2012/09/07,1,6,29
2012/09/08,1,6,29
2012/09/09,,6,27
2012/09/10,,7,28
2012/09/11,,7,28
2012/09/12,,7,28
2012/09/13,,7,27
2012/09/14,,7,25
2012/09/15,,8,25
2012/09/16,,8,24
2012/09/17,,8,24
2012/09/18,,8,23
2012/09/19,,8,22
2012/09/20,,8,22
2012/09/21,,8,20
2012/09/22,,7,22
2012/09/23,,7,22
2012/09/24,,7,23
2012/09/25,,7,23
2012/09/26,,9,26
2012/09/27,,9,26
2012/09/28,,9,27
2012/09/29,,9,26
2012/09/30,,8,26
2012/10/01,,8,25
2012/10/02,,8,26
2012/10/03,,8,25
2012/10/04,,9,27
2012/10/05,,9,27
2012/10/06,,9,28
2012/10/07,,9,29
2012/10/08,,9,29
2012/10/09,1,9,29
2012/10/10,1,9,28
2012/10/11,1,9,29
2012/10/12,1,9,29
2012/10/13,1,9,28
2012/10/14,1,9,28
2012/10/15,1,9,28
2012/10/16,1,9,28
2012/10/17,1,9,30
2012/10/18,1,9,30
2012/10/19,1,9,31
2012/10/20,1,10,32
2012/10/21,1,10,32
2012/10/22,1,8,31
2012/10/23,1,8,30
2012/10/24,1,7,28
2012/10/25,1,7,29
2012/10/26,1,7,29
2012/10/27,1,7,29
2012/10/28,1,7,30
2012/10/29,1,7,29
2012/10/30,1,7,29
2012/10/31,1,7,29
2012/11/01,1,7,29
2012/11/02,1,7,29
2012/11/03,1,7,28
2012/11/04,1,8,28
2012/11/05,1,8,28
2012/11/06,1,8,28
2012/11/07,1,9,28
2012/11/08,1,9,27
2012/11/09,1,9,30
2012/11/10,1,10,31
2012/11/11,1,10,31
2012/11/12,1,10,30
2012/11/13,2,10,31
2012/11/14,1,10,31
2012/11/15,3,11,33
2012/11/16,3,11,30
2012/11/17,3,11,31
2012/11/18,3,11,33
2012/11/19,3,11,32
2012/11/20,3,10,32
2012/11/21,3,10,32
2012/11/22,3,10,32
2012/11/23,3,10,33
2012/11/24,3,11,32
2012/11/25,3,12,32
2012/11/26,3,12,32
2012/11/27,3,12,33
2012/11/28,4,12,33
2012/11/29,4,11,32
2012/11/30,4,12,32
2012/12/01,4,12,32
2012/12/02,4,12,31
2012/12/03,3,12,32
2012/12/04,3,11,34
2012/12/05,3,11,35
2012/12/06,4,11,35
2012/12/07,4,11,35
2012/12/08,4,12,36
2012/12/09,4,12,36
2012/12/10,3,11,37
2012/12/11,3,13,39
2012/12/12,4,12,39
2012/12/13,3,12,37
2012/12/14,3,11,37
2012/12/15,3,11,37
2012/12/16,3,11,37
2012/12/17,3,11,37
2012/12/18,3,13,34
2012/12/19,3,13,35
2012/12/20,3,13,35
2012/12/21,3,13,34
2012/12/22,3,13,33
2012/12/23,2,12,33
2012/12/24,2,12,34
2012/12/25,2,12,34
2012/12/26,1,12,33
2012/12/27,1,13,32
2012/12/28,1,13,31
2012/12/29,1,13,31
2012/12/30,1,12,30
2012/12/31,1,13,30
2013/01/01,1,13,30
2013/01/02,1,12,29
2013/01/03,1,13,28
2013/01/04,1,11,25
2013/01/05,1,11,24
2013/01/06,1,11,24
2013/01/07,1,11,24
2013/01/08,1,10,22
2013/01/09,,9,22
2013/01/10,,8,19
2013/01/11,,8,19
2013/01/12,,8,19
2013/01/13,,8,19
2013/01/14,,8,18
2013/01/15,,8,20
2013/01/16,,8,21
2013/01/17,,8,22
2013/01/18,,8,22
2013/01/19,,8,22
2013/01/20,,7,22
2013/01/21,,7,22
2013/01/22,1,7,23
2013/01/23,1,8,22
2013/01/24,1,9,22
2013/01/25,1,9,23
2013/01/26,1,8,23
2013/01/27,1,8,23
2013/01/28,1,8,24
2013/01/29,1,8,25
2013/01/30,1,9,25
2013/01/31,,9,25
2013/02/01,,10,27
2013/02/02,,11,29
2013/02/03,,11,27
2013/02/04,,11,29
2013/02/05,1,11,31
2013/02/06,,11,31
2013/02/07,,11,31
2013/02/08,,11,31
2013/02/09,1,11,31
2013/02/10,1,10,31
2013/02/11,,10,31
2013/02/12,1,10,33
2013/02/13,1,10,33
2013/02/14,1,11,33
2013/02/15,1,10,33
2013/02/16,1,10,33
2013/02/17,,9,33
2013/02/18,,9,35
2013/02/19,,9,35
2013/02/20,,9,35
2013/02/21,,9,34
2013/02/22,,9,34
2013/02/23,,10,34
2013/02/24,,10,33
2013/02/25,,9,32
2013/02/26,,9,33
2013/02/27,,9,32
2013/02/28,,9,32
2013/03/01,,9,33
2013/03/02,,9,33
2013/03/03,,9,32
2013/03/04,,9,30
2013/03/05,,10,31
2013/03/06,,10,29
2013/03/07,,10,28
2013/03/08,,9,28
2013/03/09,,9,28
2013/03/10,,9,29
2013/03/11,,8,29
2013/03/12,,8,29
2013/03/13,,8,28
2013/03/14,,8,26
2013/03/15,,8,25
2013/03/16,,8,23
2013/03/17,,8,24
2013/03/18,,8,22
2013/03/19,,8,22
2013/03/20,,8,20
2013/03/21,,8,20
2013/03/22,,8,20
2013/03/23,,7,20
2013/03/24,,7,20
2013/03/25,,7,19
2013/03/26,,7,19
2013/03/27,,7,18
2013/03/28,,6,18
2013/03/29,,6,19
2013/03/30,,6,18
2013/03/31,,5,16
2013/04/01,,5,16
2013/04/02,,5,16
2013/04/03,,5,16
2013/04/04,,2,13
2013/04/05,,2,11
2013/04/06,,2,11
2013/04/07,,2,11
2013/04/08,,1,11
2013/04/09,,1,11
2013/04/10,,1,11
2013/04/11,,2,11
2013/04/12,,4,12
2013/04/13,,3,13
2013/04/14,,3,13
2013/04/15,,4,14
2013/04/16,,4,14
2013/04/17,,4,14
2013/04/18,,4,14
2013/04/19,,4,14
2013/04/20,,4,14
2013/04/21,,3,15
2013/04/22,,3,15
2013/04/23,,3,15
2013/04/24,,3,16
2013/04/25,,3,16
2013/04/26,,3,16
2013/04/27,,3,16
2013/04/28,,3,15
2013/04/29,,3,15
2013/04/30,,3,16
2013/05/01,,3,19
2013/05/02,,3,17
2013/05/03,,3,17
2013/05/04,,3,18
2013/05/05,,3,18
2013/05/06,,3,17
2013/05/07,,3,17
2013/05/08,,3,17
2013/05/09,,3,16
2013/05/10,,2,16
2013/05/11,,3,18
2013/05/12,,3,17
2013/05/13,,3,16
2013/05/14,,3,17
2013/05/15,,1,15
2013/05/16,,2,15
2013/05/17,,2,16
2013/05/18,,2,16
2013/05/19,,2,16
2013/05/20,,2,16
2013/05/21,,2,17
2013/05/22,,2,17
2013/05/23,,2,17
2013/05/24,,2,16
2013/05/25,,2,17
2013/05/26,,2,16
2013/05/27,,2,16
2013/05/28,,2,16
2013/05/29,,2,17
2013/05/30,,2,16
2013/05/31,,2,13
2013/06/01,,2,14
2013/06/02,,2,15
2013/06/03,,2,14
2013/06/04,,2,15
2013/06/05,,2,15
2013/06/06,,2,15
2013/06/07,,2,14
2013/06/08,,2,14
2013/06/09,,2,14
2013/06/10,,1,12
2013/06/11,,1,12
2013/06/12,,1,12
2013/06/13,,1,11
2013/06/14,,1,11
2013/06/15,,1,12
2013/06/16,,1,12
2013/06/17,,1,12
2013/06/18,,1,12
2013/06/19,,1,12
2013/06/20,,1,10
2013/06/21,,1,10
2013/06/22,,1,12
2013/06/23,,1,14
2013/06/24,,2,13
2013/06/25,,1,13
2013/06/26,,1,13
2013/06/27,,1,13
2013/06/28,,1,12
2013/06/29,,1,12
2013/06/30,,1,13
2013/07/01,,1,12
2013/07/02,,1,14
2013/07/03,,1,14
2013/07/04,,1,13
2013/07/05,,1,13
2013/07/06,,1,13
2013/07/07,,1,12
2013/07/08,,1,12
2013/07/09,,1,12
2013/07/10,,1,12
2013/07/11,,1,13
2013/07/12,,1,13
2013/07/13,,1,13
2013/07/14,,1,13
2013/07/15,,1,12
2013/07/16,,1,12
2013/07/17,,1,12
2013/07/18,,1,12
2013/07/19,,1,11
2013/07/20,,1,11
2013/07/21,,1,11
2013/07/22,,1,12
2013/07/23,,2,10
2013/07/24,,2,9
2013/07/25,,3,10
2013/07/26,,3,10
2013/07/27,,3,10
2013/07/28,,3,10
2013/07/29,,3,12
2013/07/30,,3,11
2013/07/31,,3,11
2013/08/01,,3,10
2013/08/02,,3,9
2013/08/03,,3,8
2013/08/04,,3,9
2013/08/05,,2,9
2013/08/06,,2,9
2013/08/07,,2,9
2013/08/08,,2,9
2013/08/09,,2,10
2013/08/10,,2,10
2013/08/11,,2,10
2013/08/12,,2,11
2013/08/13,,2,12
2013/08/14,,2,12
2013/08/15,,2,12
2013/08/16,,2,12
2013/08/17,,2,12
2013/08/18,,2,12
2013/08/19,,2,12
2013/08/20,,2,12
2013/08/21,,2,11
2013/08/22,,2,10
2013/08/23,,2,11
2013/08/24,,2,11
2013/08/25,,2,11
2013/08/26,,2,11
2013/08/27,,2,11
2013/08/28,,2,9
2013/08/29,,2,10
2013/08/30,,2,10
2013/08/31,,2,10
2013/09/01,,2,11
2013/09/02,,2,11
2013/09/03,,2,10
2013/09/04,,2,10
2013/09/05,,2,10
2013/09/06,,2,12
2013/09/07,,2,12
2013/09/08,,2,13
2013/09/09,,2,13
2013/09/10,,2,13
2013/09/11,,2,12
2013/09/12,,2,12
2013/09/13,,2,12
2013/09/14,,4,15
2013/09/15,,4,15
2013/09/16,,4,16
2013/09/17,,5,16
2013/09/18,,5,16
2013/09/19,,5,16
2013/09/20,,5,16
2013/09/21,,5,16
2013/09/22,,5,15
2013/09/23,,5,15
2013/09/24,,5,15
2013/09/25,,5,15
2013/09/26,,5,15
2013/09/27,,5,15
2013/09/28,,5,13
2013/09/29,,5,13
2013/09/30,,5,13
2013/10/01,,5,12
2013/10/02,,5,12
2013/10/03,,5,12
2013/10/04,,5,12
2013/10/05,,5,12
2013/10/06,,5,10
2013/10/07,,4,10
2013/10/08,,5,10
2013/10/09,,5,9
2013/10/10,,5,9
2013/10/11,,5,9
2013/10/12,,5,9
2013/10/13,,5,10
2013/10/14,,5,11
2013/10/15,,5,11
2013/10/16,,5,10
2013/10/17,,1,7
2013/10/18,,1,7
2013/10/19,,1,7
2013/10/20,,1,7
2013/10/21,,1,7
2013/10/22,,1,8
2013/10/23,,1,8
2013/10/24,,1,8
2013/10/25,,1,8
2013/10/26,,1,8
2013/10/27,,1,9
2013/10/28,,1,9
2013/10/29,,1,10
2013/10/30,,1,11
2013/10/31,,1,9
2013/11/01,,1,10
2013/11/02,,1,11
2013/11/03,,1,11
2013/11/04,,1,11
2013/11/05,,1,13
2013/11/06,,2,13
2013/11/07,,2,13
2013/11/08,,2,13
2013/11/09,,2,13
2013/11/10,,2,13
2013/11/11,,2,14
2013/11/12,,2,14
2013/11/13,,2,13
2013/11/14,,2,14
2013/11/15,,2,14
2013/11/16,,2,14
2013/11/17,,2,14
2013/11/18,,2,14
2013/11/19,,2,15
2013/11/20,,2,15
2013/11/21,,2,14
2013/11/22,,2,15
2013/11/23,,2,15
2013/11/24,,2,14
2013/11/25,,2,14
2013/11/26,,2,13
2013/11/27,,2,15
2013/11/28,,2,15
2013/11/29,,1,14
2013/11/30,,1,15
2013/12/01,,1,14
2013/12/02,,1,14
2013/12/03,,1,15
2013/12/04,,1,16
2013/12/05,,1,15
2013/12/06,,1,15
2013/12/07,,1,15
2013/12/08,,1,15
2013/12/09,,1,15
2013/12/10,,1,14
2013/12/11,,1,14
2013/12/12,,1,13
2013/12/13,,1,12
2013/12/14,,1,11
2013/12/15,1,1,11
2013/12/16,1,1,11
2013/12/17,1,1,11
2013/12/18,1,1,11
