date,csbwiki (100+),csbwiki (5+),csbwiki (all)
2012/08/19,1,12,32
2012/08/20,1,12,33
2012/08/21,1,12,32
2012/08/22,1,11,33
2012/08/23,1,11,32
2012/08/24,1,12,33
2012/08/25,1,11,32
2012/08/26,1,11,31
2012/08/27,1,11,32
2012/08/28,1,11,32
2012/08/29,1,10,35
2012/08/30,1,12,36
2012/08/31,1,12,36
2012/09/01,1,13,38
2012/09/02,1,14,38
2012/09/03,1,14,41
2012/09/04,1,13,41
2012/09/05,1,14,41
2012/09/06,1,14,42
2012/09/07,1,14,42
2012/09/08,1,13,42
2012/09/09,2,13,44
2012/09/10,1,13,43
2012/09/11,1,14,44
2012/09/12,1,14,43
2012/09/13,1,14,44
2012/09/14,1,13,44
2012/09/15,1,13,44
2012/09/16,1,13,44
2012/09/17,1,13,44
2012/09/18,1,13,43
2012/09/19,1,12,41
2012/09/20,1,11,41
2012/09/21,1,11,41
2012/09/22,1,11,42
2012/09/23,1,11,40
2012/09/24,1,12,40
2012/09/25,1,12,41
2012/09/26,1,12,40
2012/09/27,1,13,40
2012/09/28,1,13,39
2012/09/29,1,13,38
2012/09/30,1,13,39
2012/10/01,1,12,36
2012/10/02,1,13,36
2012/10/03,1,12,36
2012/10/04,1,12,36
2012/10/05,1,12,34
2012/10/06,1,11,34
2012/10/07,1,11,34
2012/10/08,1,11,34
2012/10/09,1,11,31
2012/10/10,1,12,31
2012/10/11,1,11,31
2012/10/12,1,11,31
2012/10/13,1,11,30
2012/10/14,1,11,31
2012/10/15,1,11,30
2012/10/16,1,10,30
2012/10/17,1,10,30
2012/10/18,1,10,30
2012/10/19,1,10,30
2012/10/20,1,10,30
2012/10/21,1,10,31
2012/10/22,1,11,31
2012/10/23,1,12,32
2012/10/24,1,12,33
2012/10/25,1,11,32
2012/10/26,1,11,32
2012/10/27,1,11,34
2012/10/28,1,11,37
2012/10/29,1,11,37
2012/10/30,1,11,38
2012/10/31,2,12,38
2012/11/01,2,12,40
2012/11/02,2,12,40
2012/11/03,2,13,40
2012/11/04,2,12,43
2012/11/05,2,12,42
2012/11/06,2,13,42
2012/11/07,1,13,42
2012/11/08,1,13,42
2012/11/09,1,13,41
2012/11/10,2,13,41
2012/11/11,2,14,42
2012/11/12,2,13,42
2012/11/13,2,13,40
2012/11/14,2,13,43
2012/11/15,1,14,42
2012/11/16,1,14,45
2012/11/17,1,13,46
2012/11/18,1,13,47
2012/11/19,1,13,47
2012/11/20,1,14,48
2012/11/21,1,14,47
2012/11/22,1,15,48
2012/11/23,1,16,49
2012/11/24,1,16,49
2012/11/25,1,16,51
2012/11/26,1,16,50
2012/11/27,1,18,48
2012/11/28,1,18,48
2012/11/29,1,18,48
2012/11/30,1,18,52
2012/12/01,1,18,50
2012/12/02,1,18,47
2012/12/03,1,18,46
2012/12/04,,18,44
2012/12/05,,18,43
2012/12/06,,18,43
2012/12/07,,18,43
2012/12/08,,18,45
2012/12/09,,18,44
2012/12/10,,18,46
2012/12/11,,18,46
2012/12/12,,17,46
2012/12/13,,18,46
2012/12/14,,16,43
2012/12/15,,16,44
2012/12/16,,14,44
2012/12/17,,14,44
2012/12/18,,14,41
2012/12/19,,14,42
2012/12/20,,15,41
2012/12/21,,15,42
2012/12/22,,16,43
2012/12/23,,16,43
2012/12/24,,16,43
2012/12/25,,16,42
2012/12/26,,16,43
2012/12/27,,16,44
2012/12/28,,16,44
2012/12/29,,17,45
2012/12/30,1,17,45
2012/12/31,2,17,45
2013/01/01,2,17,45
2013/01/02,3,17,45
2013/01/03,3,17,46
2013/01/04,3,17,45
2013/01/05,3,17,44
2013/01/06,3,18,42
2013/01/07,3,17,41
2013/01/08,3,17,40
2013/01/09,3,17,39
2013/01/10,3,16,39
2013/01/11,3,16,39
2013/01/12,3,16,42
2013/01/13,3,15,42
2013/01/14,3,15,42
2013/01/15,3,16,41
2013/01/16,3,18,42
2013/01/17,3,18,43
2013/01/18,3,18,43
2013/01/19,3,19,45
2013/01/20,3,19,45
2013/01/21,3,19,44
2013/01/22,3,19,41
2013/01/23,3,19,41
2013/01/24,3,19,40
2013/01/25,3,19,40
2013/01/26,3,20,41
2013/01/27,3,19,42
2013/01/28,3,19,42
2013/01/29,3,19,43
2013/01/30,3,19,43
2013/01/31,2,20,46
2013/02/01,2,20,44
2013/02/02,2,20,45
2013/02/03,2,19,45
2013/02/04,3,19,45
2013/02/05,3,19,45
2013/02/06,3,18,45
2013/02/07,3,20,46
2013/02/08,3,21,44
2013/02/09,3,22,44
2013/02/10,3,22,44
2013/02/11,3,20,43
2013/02/12,2,20,43
2013/02/13,2,19,43
2013/02/14,2,18,45
2013/02/15,2,18,45
2013/02/16,2,18,45
2013/02/17,2,17,46
2013/02/18,2,16,46
2013/02/19,3,17,44
2013/02/20,2,17,45
2013/02/21,2,16,44
2013/02/22,3,17,43
2013/02/23,2,17,43
2013/02/24,2,17,42
2013/02/25,2,17,40
2013/02/26,2,17,39
2013/02/27,1,17,39
2013/02/28,1,17,38
2013/03/01,1,16,37
2013/03/02,1,14,38
2013/03/03,1,14,37
2013/03/04,1,14,37
2013/03/05,1,15,37
2013/03/06,1,14,37
2013/03/07,1,15,38
2013/03/08,2,15,37
2013/03/09,2,14,36
2013/03/10,2,14,36
2013/03/11,2,13,35
2013/03/12,3,13,36
2013/03/13,3,12,39
2013/03/14,3,12,40
2013/03/15,3,12,39
2013/03/16,3,12,36
2013/03/17,3,13,34
2013/03/18,3,13,36
2013/03/19,3,14,36
2013/03/20,3,13,34
2013/03/21,3,13,33
2013/03/22,3,12,31
2013/03/23,3,12,31
2013/03/24,3,12,31
2013/03/25,3,12,31
2013/03/26,3,12,31
2013/03/27,3,12,31
2013/03/28,3,12,31
2013/03/29,3,12,31
2013/03/30,2,12,29
2013/03/31,2,12,29
2013/04/01,2,12,29
2013/04/02,2,11,29
2013/04/03,2,10,28
2013/04/04,2,8,26
2013/04/05,2,7,22
2013/04/06,2,6,20
2013/04/07,2,6,20
2013/04/08,2,5,18
2013/04/09,2,5,19
2013/04/10,2,5,19
2013/04/11,1,5,19
2013/04/12,1,4,19
2013/04/13,1,3,20
2013/04/14,1,2,19
2013/04/15,1,2,19
2013/04/16,1,2,18
2013/04/17,1,2,16
2013/04/18,1,2,16
2013/04/19,1,3,16
2013/04/20,1,3,17
2013/04/21,1,3,17
2013/04/22,1,3,18
2013/04/23,1,3,18
2013/04/24,1,3,17
2013/04/25,1,3,17
2013/04/26,1,3,16
2013/04/27,1,3,15
2013/04/28,1,3,15
2013/04/29,1,3,15
2013/04/30,1,3,13
2013/05/01,1,3,13
2013/05/02,1,3,13
2013/05/03,1,2,12
2013/05/04,,2,11
2013/05/05,,2,12
2013/05/06,,3,11
2013/05/07,,3,10
2013/05/08,,3,10
2013/05/09,,3,10
2013/05/10,,3,10
