date,tiwiki (100+),tiwiki (5+),tiwiki (all)
2012/08/19,,3,19
2012/08/20,,2,19
2012/08/21,,2,19
2012/08/22,,2,19
2012/08/23,,3,19
2012/08/24,,4,19
2012/08/25,,5,19
2012/08/26,,5,18
2012/08/27,,5,18
2012/08/28,,5,18
2012/08/29,,5,17
2012/08/30,,5,17
2012/08/31,,5,17
2012/09/01,,5,17
2012/09/02,,6,18
2012/09/03,,5,18
2012/09/04,,5,18
2012/09/05,,4,17
2012/09/06,,4,18
2012/09/07,,4,18
2012/09/08,,5,18
2012/09/09,,5,17
2012/09/10,,5,17
2012/09/11,,5,18
2012/09/12,,5,17
2012/09/13,,5,17
2012/09/14,,5,17
2012/09/15,,5,17
2012/09/16,,5,16
2012/09/17,,5,15
2012/09/18,,6,15
2012/09/19,,7,14
2012/09/20,,7,14
2012/09/21,,7,13
2012/09/22,,7,13
2012/09/23,,7,13
2012/09/24,,7,13
2012/09/25,,7,13
2012/09/26,,7,13
2012/09/27,,7,14
2012/09/28,,7,14
2012/09/29,,7,14
2012/09/30,,7,15
2012/10/01,,7,15
2012/10/02,,7,15
2012/10/03,,7,15
2012/10/04,,7,16
2012/10/05,,7,15
2012/10/06,,7,14
2012/10/07,,7,13
2012/10/08,,6,13
2012/10/09,,6,13
2012/10/10,,6,13
2012/10/11,,5,13
2012/10/12,,5,13
2012/10/13,,5,12
2012/10/14,,5,12
2012/10/15,,5,13
2012/10/16,,5,13
2012/10/17,,5,13
2012/10/18,,5,14
2012/10/19,,5,14
2012/10/20,,5,15
2012/10/21,,5,16
2012/10/22,,5,16
2012/10/23,,5,18
2012/10/24,,5,18
2012/10/25,,5,18
2012/10/26,,5,18
2012/10/27,,5,17
2012/10/28,,5,17
2012/10/29,,5,17
2012/10/30,,5,16
2012/10/31,,5,16
2012/11/01,,5,16
2012/11/02,,5,18
2012/11/03,,5,16
2012/11/04,,5,17
2012/11/05,,5,17
2012/11/06,,5,17
2012/11/07,,5,18
2012/11/08,,5,18
2012/11/09,,5,18
2012/11/10,,5,19
2012/11/11,,6,19
2012/11/12,,7,19
2012/11/13,,7,19
2012/11/14,,7,20
2012/11/15,,7,20
2012/11/16,,7,20
2012/11/17,,7,19
2012/11/18,,7,19
2012/11/19,,7,19
2012/11/20,,7,19
2012/11/21,,7,18
2012/11/22,,7,17
2012/11/23,,7,19
2012/11/24,,7,19
2012/11/25,,7,19
2012/11/26,,7,21
2012/11/27,,6,22
2012/11/28,,6,23
2012/11/29,,6,24
2012/11/30,,6,24
2012/12/01,,6,27
2012/12/02,,6,26
2012/12/03,,6,26
2012/12/04,,7,25
2012/12/05,,7,25
2012/12/06,,7,25
2012/12/07,,7,24
2012/12/08,,6,24
2012/12/09,,6,24
2012/12/10,,6,23
2012/12/11,,8,23
2012/12/12,,7,23
2012/12/13,,7,23
2012/12/14,,7,22
2012/12/15,,7,22
2012/12/16,,7,23
2012/12/17,,7,24
2012/12/18,,7,25
2012/12/19,,7,24
2012/12/20,,7,24
2012/12/21,,7,24
2012/12/22,,7,24
2012/12/23,,8,24
2012/12/24,,8,24
2012/12/25,,8,24
2012/12/26,,9,22
2012/12/27,,9,22
2012/12/28,,9,20
2012/12/29,,9,20
2012/12/30,,9,20
2012/12/31,,9,19
2013/01/01,,8,20
2013/01/02,,8,20
2013/01/03,,8,21
2013/01/04,,8,21
2013/01/05,,7,21
2013/01/06,,8,20
2013/01/07,,8,20
2013/01/08,,7,19
2013/01/09,,7,19
2013/01/10,,7,19
2013/01/11,,7,19
2013/01/12,,7,18
2013/01/13,,6,18
2013/01/14,,6,18
