date,dawiki (100+),dawiki (5+),dawiki (all)
2012/08/19,46,264,1015
2012/08/20,45,267,1006
2012/08/21,44,268,1017
2012/08/22,44,271,1024
2012/08/23,45,278,1047
2012/08/24,40,280,1040
2012/08/25,42,283,1064
2012/08/26,44,277,1066
2012/08/27,45,279,1059
2012/08/28,45,279,1073
2012/08/29,44,281,1077
2012/08/30,44,284,1066
2012/08/31,45,279,1057
2012/09/01,45,279,1064
2012/09/02,43,277,1066
2012/09/03,42,275,1070
2012/09/04,44,273,1074
2012/09/05,44,270,1077
2012/09/06,44,272,1090
2012/09/07,42,272,1088
2012/09/08,42,264,1086
2012/09/09,42,267,1096
2012/09/10,43,263,1078
2012/09/11,42,270,1098
2012/09/12,41,266,1085
2012/09/13,41,270,1099
2012/09/14,41,274,1094
2012/09/15,41,272,1101
2012/09/16,40,269,1080
2012/09/17,40,277,1076
2012/09/18,40,274,1096
2012/09/19,40,275,1109
2012/09/20,40,273,1103
2012/09/21,39,266,1104
2012/09/22,39,268,1092
2012/09/23,37,264,1096
2012/09/24,36,261,1100
2012/09/25,37,263,1107
2012/09/26,35,266,1115
2012/09/27,35,267,1105
2012/09/28,38,269,1106
2012/09/29,38,270,1094
2012/09/30,37,267,1086
2012/10/01,36,261,1069
2012/10/02,37,260,1066
2012/10/03,37,262,1079
2012/10/04,37,267,1087
2012/10/05,38,268,1099
2012/10/06,38,277,1095
2012/10/07,38,277,1076
2012/10/08,39,282,1070
2012/10/09,38,285,1088
2012/10/10,38,287,1100
2012/10/11,38,289,1114
2012/10/12,38,293,1124
2012/10/13,38,291,1119
2012/10/14,39,289,1115
2012/10/15,37,292,1111
2012/10/16,39,297,1123
2012/10/17,38,295,1127
2012/10/18,37,291,1109
2012/10/19,37,291,1104
2012/10/20,39,301,1102
2012/10/21,40,305,1104
2012/10/22,39,301,1104
2012/10/23,40,310,1120
2012/10/24,40,312,1122
2012/10/25,39,315,1124
2012/10/26,40,310,1133
2012/10/27,39,303,1128
2012/10/28,40,303,1122
2012/10/29,41,298,1136
2012/10/30,40,303,1148
2012/10/31,40,309,1172
2012/11/01,39,310,1178
2012/11/02,39,307,1166
2012/11/03,39,301,1164
2012/11/04,40,303,1146
2012/11/05,40,292,1134
2012/11/06,40,300,1158
2012/11/07,41,302,1172
2012/11/08,41,303,1153
2012/11/09,41,299,1131
2012/11/10,40,291,1112
2012/11/11,39,290,1101
2012/11/12,39,284,1095
2012/11/13,38,279,1104
2012/11/14,37,279,1108
2012/11/15,38,277,1114
2012/11/16,41,276,1105
2012/11/17,40,275,1122
2012/11/18,40,269,1122
2012/11/19,39,263,1117
2012/11/20,39,258,1111
2012/11/21,39,264,1121
2012/11/22,38,260,1108
2012/11/23,38,256,1109
2012/11/24,38,255,1102
2012/11/25,40,258,1095
2012/11/26,42,261,1090
2012/11/27,42,265,1101
2012/11/28,42,273,1109
2012/11/29,41,267,1104
2012/11/30,42,264,1104
2012/12/01,43,265,1106
2012/12/02,43,264,1104
2012/12/03,45,265,1094
2012/12/04,43,261,1109
2012/12/05,42,271,1118
2012/12/06,42,267,1108
2012/12/07,41,264,1117
2012/12/08,41,268,1120
2012/12/09,41,269,1115
2012/12/10,42,274,1120
2012/12/11,40,286,1137
2012/12/12,41,288,1152
2012/12/13,41,292,1161
2012/12/14,45,292,1167
2012/12/15,47,289,1172
2012/12/16,48,292,1174
2012/12/17,47,291,1168
2012/12/18,51,294,1182
2012/12/19,50,305,1181
2012/12/20,50,306,1183
2012/12/21,53,303,1174
2012/12/22,53,307,1162
2012/12/23,55,309,1143
2012/12/24,57,311,1135
2012/12/25,54,313,1122
2012/12/26,54,307,1111
2012/12/27,54,306,1106
2012/12/28,55,299,1094
2012/12/29,55,305,1104
2012/12/30,55,308,1106
2012/12/31,55,312,1103
2013/01/01,54,312,1106
2013/01/02,55,306,1108
2013/01/03,56,307,1106
2013/01/04,56,302,1103
2013/01/05,57,313,1142
2013/01/06,55,320,1158
2013/01/07,56,330,1168
2013/01/08,55,331,1201
2013/01/09,56,328,1225
2013/01/10,53,321,1225
2013/01/11,57,323,1233
2013/01/12,57,324,1230
2013/01/13,54,325,1222
2013/01/14,54,325,1223
2013/01/15,53,330,1237
2013/01/16,55,332,1268
2013/01/17,55,331,1271
2013/01/18,55,324,1276
2013/01/19,54,327,1280
2013/01/20,54,330,1276
2013/01/21,54,323,1284
2013/01/22,53,321,1301
2013/01/23,52,321,1312
2013/01/24,54,331,1321
2013/01/25,55,341,1339
2013/01/26,55,341,1341
2013/01/27,56,336,1343
2013/01/28,56,338,1345
2013/01/29,59,347,1351
2013/01/30,58,349,1358
2013/01/31,58,349,1366
2013/02/01,56,353,1373
2013/02/02,56,355,1383
2013/02/03,56,357,1380
2013/02/04,55,355,1340
2013/02/05,55,349,1327
2013/02/06,54,347,1319
2013/02/07,54,349,1302
2013/02/08,54,349,1282
2013/02/09,55,348,1278
2013/02/10,55,347,1265
2013/02/11,55,339,1258
2013/02/12,55,339,1275
2013/02/13,56,337,1259
2013/02/14,57,338,1254
2013/02/15,58,334,1242
2013/02/16,57,339,1233
2013/02/17,58,339,1223
2013/02/18,58,338,1204
2013/02/19,58,343,1207
2013/02/20,58,347,1222
2013/02/21,57,349,1218
2013/02/22,58,348,1213
2013/02/23,58,345,1206
2013/02/24,57,343,1197
2013/02/25,57,332,1158
2013/02/26,58,344,1202
2013/02/27,59,340,1194
2013/02/28,59,335,1179
2013/03/01,60,337,1179
2013/03/02,59,338,1170
2013/03/03,55,337,1158
2013/03/04,56,330,1151
2013/03/05,56,329,1159
2013/03/06,52,320,1162
2013/03/07,52,314,1162
2013/03/08,52,310,1150
2013/03/09,53,307,1145
2013/03/10,54,308,1152
2013/03/11,54,313,1142
2013/03/12,54,322,1161
2013/03/13,52,326,1167
2013/03/14,51,326,1167
2013/03/15,51,324,1171
2013/03/16,49,328,1175
2013/03/17,49,333,1170
2013/03/18,50,332,1171
2013/03/19,51,333,1177
2013/03/20,49,334,1181
2013/03/21,49,330,1184
2013/03/22,50,329,1172
2013/03/23,51,332,1172
2013/03/24,51,332,1172
2013/03/25,51,329,1164
2013/03/26,50,327,1163
2013/03/27,49,326,1164
2013/03/28,47,322,1149
2013/03/29,46,321,1130
2013/03/30,49,319,1137
2013/03/31,48,315,1120
2013/04/01,47,314,1118
2013/04/02,49,320,1127
2013/04/03,49,326,1129
2013/04/04,48,327,1125
2013/04/05,47,332,1121
2013/04/06,48,334,1111
2013/04/07,45,328,1108
2013/04/08,47,329,1105
2013/04/09,48,329,1102
2013/04/10,48,327,1103
2013/04/11,46,330,1098
2013/04/12,48,327,1078
2013/04/13,48,328,1069
2013/04/14,48,328,1063
2013/04/15,50,326,1065
2013/04/16,50,323,1066
2013/04/17,50,321,1049
2013/04/18,50,319,1054
2013/04/19,50,324,1052
2013/04/20,50,318,1052
2013/04/21,51,313,1028
2013/04/22,48,308,1014
2013/04/23,48,308,1016
2013/04/24,47,310,1023
2013/04/25,46,309,1018
2013/04/26,47,311,1015
2013/04/27,47,314,1010
2013/04/28,44,314,1020
2013/04/29,46,313,1011
2013/04/30,45,315,1025
2013/05/01,43,311,1037
2013/05/02,43,306,1034
2013/05/03,42,304,1024
2013/05/04,42,297,1017
2013/05/05,41,297,1014
2013/05/06,42,292,1009
2013/05/07,43,298,1017
2013/05/08,42,303,1020
2013/05/09,40,302,1018
2013/05/10,40,299,1011
2013/05/11,40,293,1004
2013/05/12,39,291,995
2013/05/13,36,293,1009
2013/05/14,37,292,1022
2013/05/15,38,294,1022
2013/05/16,38,291,1029
