date,tywiki (100+),tywiki (5+),tywiki (all)
2012/08/19,3,9,27
2012/08/20,3,9,26
2012/08/21,3,9,27
2012/08/22,3,9,26
2012/08/23,3,9,26
2012/08/24,1,9,26
2012/08/25,1,8,26
2012/08/26,1,8,26
2012/08/27,1,8,26
2012/08/28,1,8,29
2012/08/29,1,8,29
2012/08/30,1,8,30
2012/08/31,1,8,29
2012/09/01,1,8,30
2012/09/02,1,7,29
2012/09/03,1,7,28
2012/09/04,1,7,27
2012/09/05,1,7,26
2012/09/06,1,7,25
2012/09/07,1,7,24
2012/09/08,3,7,23
2012/09/09,3,7,24
2012/09/10,2,7,25
2012/09/11,2,6,26
2012/09/12,2,7,25
2012/09/13,2,7,26
2012/09/14,2,7,26
2012/09/15,2,8,26
2012/09/16,2,8,26
2012/09/17,2,8,26
2012/09/18,2,8,26
2012/09/19,2,9,26
2012/09/20,2,9,25
2012/09/21,2,9,23
2012/09/22,2,9,22
2012/09/23,2,9,22
2012/09/24,2,9,21
2012/09/25,2,9,20
2012/09/26,2,9,20
2012/09/27,2,9,18
2012/09/28,2,8,19
2012/09/29,2,8,19
2012/09/30,2,9,20
2012/10/01,2,9,18
2012/10/02,2,9,20
2012/10/03,3,12,22
2012/10/04,3,13,22
2012/10/05,3,13,22
2012/10/06,3,13,22
2012/10/07,3,13,23
2012/10/08,3,13,23
2012/10/09,3,13,23
2012/10/10,3,13,22
2012/10/11,3,13,22
2012/10/12,3,14,23
2012/10/13,3,14,23
2012/10/14,1,14,23
2012/10/15,1,14,23
2012/10/16,1,14,23
2012/10/17,1,14,24
2012/10/18,1,14,24
2012/10/19,1,13,24
2012/10/20,1,14,26
2012/10/21,1,14,27
2012/10/22,1,14,27
2012/10/23,1,14,28
2012/10/24,1,14,28
2012/10/25,1,14,29
2012/10/26,1,15,29
2012/10/27,1,16,30
2012/10/28,1,16,29
2012/10/29,1,17,29
2012/10/30,1,15,28
2012/10/31,1,15,29
2012/11/01,1,15,28
2012/11/02,1,15,27
2012/11/03,,13,27
2012/11/04,,12,27
2012/11/05,,12,26
2012/11/06,,12,26
2012/11/07,,13,27
2012/11/08,,14,27
2012/11/09,,14,26
2012/11/10,,14,26
2012/11/11,,14,26
2012/11/12,,14,25
2012/11/13,,14,25
2012/11/14,,14,25
2012/11/15,,14,26
2012/11/16,,12,24
2012/11/17,,12,24
2012/11/18,,12,24
2012/11/19,,11,24
2012/11/20,,11,23
2012/11/21,,10,22
2012/11/22,,10,21
2012/11/23,,10,22
2012/11/24,,10,22
2012/11/25,,9,21
2012/11/26,,10,21
2012/11/27,,10,22
2012/11/28,,10,21
2012/11/29,,11,21
