date,dzwiki (100+),dzwiki (5+),dzwiki (all)
2012/08/19,,6,15
2012/08/20,,5,14
2012/08/21,,4,14
2012/08/22,,5,13
2012/08/23,,5,13
2012/08/24,,5,14
2012/08/25,,5,14
2012/08/26,,5,13
2012/08/27,,5,13
2012/08/28,,4,14
2012/08/29,,4,13
2012/08/30,,4,18
2012/08/31,,4,18
2012/09/01,,5,19
2012/09/02,,5,18
2012/09/03,,5,18
2012/09/04,,5,18
2012/09/05,,6,20
2012/09/06,,6,21
2012/09/07,,7,22
2012/09/08,,7,22
2012/09/09,,7,22
2012/09/10,,7,22
2012/09/11,,7,22
2012/09/12,,5,24
2012/09/13,,5,24
2012/09/14,,6,24
2012/09/15,,6,24
2012/09/16,,6,24
2012/09/17,,6,24
2012/09/18,,7,23
2012/09/19,,7,23
2012/09/20,,7,23
2012/09/21,,7,22
2012/09/22,,7,23
2012/09/23,,7,23
2012/09/24,,7,23
2012/09/25,,7,24
2012/09/26,,7,24
2012/09/27,,7,23
2012/09/28,,7,23
2012/09/29,,6,21
2012/09/30,,6,22
2012/10/01,,6,22
2012/10/02,,6,22
2012/10/03,,6,22
2012/10/04,,6,23
2012/10/05,,6,19
2012/10/06,,6,19
2012/10/07,,6,19
2012/10/08,,6,19
2012/10/09,,6,19
2012/10/10,,6,20
2012/10/11,,6,19
2012/10/12,,6,18
2012/10/13,,6,19
2012/10/14,,6,20
2012/10/15,,6,20
2012/10/16,,6,20
2012/10/17,,6,20
2012/10/18,,6,20
2012/10/19,,6,21
2012/10/20,,6,21
2012/10/21,,6,21
2012/10/22,,6,20
2012/10/23,,5,18
2012/10/24,,5,19
2012/10/25,,5,19
2012/10/26,,5,19
2012/10/27,,5,19
2012/10/28,,5,20
2012/10/29,,5,20
2012/10/30,,5,20
2012/10/31,,5,22
2012/11/01,,5,22
2012/11/02,,5,22
2012/11/03,,5,22
2012/11/04,,5,22
2012/11/05,,5,22
2012/11/06,,5,22
2012/11/07,,5,22
2012/11/08,,5,22
2012/11/09,,5,22
2012/11/10,,5,22
2012/11/11,,6,22
2012/11/12,,8,22
2012/11/13,,7,22
2012/11/14,,7,22
2012/11/15,,7,21
2012/11/16,,6,21
2012/11/17,,6,21
2012/11/18,,6,20
2012/11/19,,6,20
2012/11/20,,6,20
2012/11/21,,7,21
2012/11/22,,7,20
2012/11/23,,6,22
2012/11/24,,6,22
2012/11/25,,7,22
2012/11/26,,8,22
2012/11/27,,8,21
2012/11/28,,8,21
2012/11/29,,8,21
2012/11/30,,8,20
2012/12/01,,8,20
2012/12/02,,8,21
2012/12/03,,8,20
2012/12/04,,8,20
2012/12/05,,8,20
2012/12/06,,8,20
2012/12/07,,8,20
2012/12/08,,9,20
2012/12/09,,10,19
