date,kabwiki (100+),kabwiki (5+),kabwiki (all)
2012/08/19,,16,36
2012/08/20,1,16,35
2012/08/21,1,16,36
2012/08/22,1,15,35
2012/08/23,1,16,37
2012/08/24,1,16,37
2012/08/25,1,17,38
2012/08/26,1,17,40
2012/08/27,1,17,41
2012/08/28,,16,41
2012/08/29,,14,44
2012/08/30,,15,45
2012/08/31,1,15,45
2012/09/01,,15,45
2012/09/02,,14,44
2012/09/03,,13,44
2012/09/04,,13,42
2012/09/05,,13,42
2012/09/06,,14,42
2012/09/07,,15,41
2012/09/08,,15,40
2012/09/09,,14,39
2012/09/10,,14,40
2012/09/11,,14,40
2012/09/12,,14,40
2012/09/13,1,13,40
2012/09/14,,13,39
2012/09/15,,14,40
2012/09/16,,14,40
2012/09/17,1,14,42
2012/09/18,1,14,41
2012/09/19,1,14,41
2012/09/20,1,14,41
2012/09/21,,14,41
2012/09/22,,12,40
2012/09/23,,12,40
2012/09/24,,12,40
2012/09/25,1,12,37
2012/09/26,1,12,37
2012/09/27,1,13,38
2012/09/28,,14,35
2012/09/29,,14,33
2012/09/30,,14,33
2012/10/01,,14,33
2012/10/02,,14,33
2012/10/03,,13,30
2012/10/04,,13,31
2012/10/05,,14,30
2012/10/06,,13,31
2012/10/07,,12,30
2012/10/08,,13,30
2012/10/09,1,14,30
2012/10/10,1,14,30
2012/10/11,1,14,30
2012/10/12,2,15,30
2012/10/13,1,16,30
2012/10/14,1,16,31
2012/10/15,2,15,30
2012/10/16,2,15,30
2012/10/17,2,15,31
2012/10/18,2,16,32
2012/10/19,1,16,34
2012/10/20,1,15,37
2012/10/21,1,16,38
2012/10/22,1,15,38
2012/10/23,1,15,39
2012/10/24,1,15,38
2012/10/25,1,15,38
2012/10/26,1,15,41
2012/10/27,1,15,40
2012/10/28,1,14,39
2012/10/29,1,14,39
2012/10/30,1,14,38
2012/10/31,1,14,37
2012/11/01,1,15,38
2012/11/02,1,15,38
2012/11/03,1,17,38
2012/11/04,1,17,40
2012/11/05,1,18,40
2012/11/06,1,18,40
2012/11/07,1,19,41
2012/11/08,1,18,42
2012/11/09,1,19,40
2012/11/10,1,19,41
2012/11/11,1,20,41
2012/11/12,1,20,41
2012/11/13,1,20,40
2012/11/14,1,21,41
2012/11/15,1,21,41
2012/11/16,1,21,40
2012/11/17,1,22,41
2012/11/18,1,20,39
2012/11/19,1,21,36
2012/11/20,1,21,36
2012/11/21,1,22,35
2012/11/22,1,22,34
2012/11/23,,22,35
2012/11/24,,23,35
2012/11/25,,23,34
2012/11/26,,24,35
2012/11/27,,22,35
2012/11/28,,21,36
2012/11/29,,21,37
2012/11/30,,22,38
2012/12/01,,21,37
2012/12/02,,20,36
2012/12/03,,20,36
2012/12/04,,19,36
2012/12/05,,19,36
2012/12/06,1,18,35
2012/12/07,,18,35
2012/12/08,,19,35
2012/12/09,,19,34
2012/12/10,,19,34
2012/12/11,,19,34
2012/12/12,,18,34
2012/12/13,,18,36
2012/12/14,,18,36
2012/12/15,,19,37
2012/12/16,,19,37
2012/12/17,,19,37
2012/12/18,,18,37
2012/12/19,,18,37
2012/12/20,,18,37
2012/12/21,,18,37
2012/12/22,,18,36
2012/12/23,,18,35
2012/12/24,,16,36
2012/12/25,,18,38
2012/12/26,,18,36
2012/12/27,,18,36
2012/12/28,,18,36
2012/12/29,,18,37
2012/12/30,,19,35
2012/12/31,,19,35
