date,crwiki (100+),crwiki (5+),crwiki (all)
2012/08/19,,4,13
2012/08/20,,4,13
2012/08/21,,4,13
2012/08/22,,4,13
2012/08/23,,4,16
2012/08/24,,6,17
2012/08/25,,6,17
2012/08/26,,6,16
2012/08/27,,6,17
2012/08/28,,6,19
2012/08/29,,6,20
2012/08/30,,6,20
2012/08/31,,6,20
2012/09/01,,6,20
2012/09/02,,6,21
2012/09/03,,6,21
2012/09/04,,6,21
2012/09/05,,6,22
2012/09/06,,6,22
2012/09/07,,7,24
2012/09/08,,7,24
2012/09/09,,7,24
2012/09/10,,7,24
2012/09/11,,6,24
2012/09/12,,6,24
2012/09/13,,6,24
2012/09/14,,6,24
2012/09/15,,6,24
2012/09/16,1,7,23
2012/09/17,1,7,24
2012/09/18,1,7,24
2012/09/19,1,7,24
2012/09/20,1,8,24
2012/09/21,1,8,24
2012/09/22,1,9,21
2012/09/23,1,9,19
2012/09/24,1,9,19
2012/09/25,1,9,19
2012/09/26,1,9,18
2012/09/27,1,9,17
2012/09/28,1,9,17
2012/09/29,1,9,17
2012/09/30,1,9,18
2012/10/01,1,9,18
2012/10/02,1,8,19
2012/10/03,1,8,20
2012/10/04,1,8,19
2012/10/05,1,8,20
2012/10/06,1,8,20
2012/10/07,1,8,20
2012/10/08,1,8,20
2012/10/09,1,8,20
2012/10/10,1,8,20
2012/10/11,1,8,21
2012/10/12,1,9,21
2012/10/13,1,8,21
2012/10/14,1,8,21
2012/10/15,1,8,22
2012/10/16,,7,22
2012/10/17,,7,22
2012/10/18,,7,21
2012/10/19,,7,20
2012/10/20,,7,19
2012/10/21,,7,19
2012/10/22,,7,20
2012/10/23,,7,20
2012/10/24,,7,22
2012/10/25,,7,22
2012/10/26,,7,22
2012/10/27,,7,21
2012/10/28,,7,21
2012/10/29,,7,22
2012/10/30,,7,21
2012/10/31,,7,21
2012/11/01,,7,21
2012/11/02,,8,21
2012/11/03,,8,21
2012/11/04,,8,20
2012/11/05,,8,21
2012/11/06,,8,21
2012/11/07,,8,21
2012/11/08,,8,21
2012/11/09,,8,21
2012/11/10,,7,21
