date,miwiki (100+),miwiki (5+),miwiki (all)
2012/08/19,4,11,32
2012/08/20,4,11,32
2012/08/21,4,12,32
2012/08/22,4,11,32
2012/08/23,4,11,33
2012/08/24,3,11,32
2012/08/25,3,11,36
2012/08/26,3,11,37
2012/08/27,3,11,36
2012/08/28,3,11,39
2012/08/29,3,11,40
2012/08/30,3,11,39
2012/08/31,3,11,40
2012/09/01,3,11,39
2012/09/02,3,11,39
2012/09/03,3,11,40
2012/09/04,3,11,39
2012/09/05,3,13,40
2012/09/06,3,13,38
2012/09/07,3,13,39
2012/09/08,3,13,38
2012/09/09,3,14,39
2012/09/10,3,14,40
2012/09/11,3,14,40
2012/09/12,3,14,40
2012/09/13,3,14,39
2012/09/14,3,14,37
2012/09/15,3,14,37
2012/09/16,3,14,37
2012/09/17,3,14,37
2012/09/18,3,14,35
2012/09/19,3,15,35
2012/09/20,2,15,35
2012/09/21,2,14,35
2012/09/22,2,14,34
2012/09/23,2,14,34
2012/09/24,2,14,29
2012/09/25,2,14,28
2012/09/26,2,14,28
2012/09/27,2,14,26
2012/09/28,2,14,25
2012/09/29,2,14,25
2012/09/30,2,14,26
2012/10/01,2,14,25
2012/10/02,2,14,26
2012/10/03,2,14,25
2012/10/04,2,15,27
2012/10/05,2,15,25
2012/10/06,2,15,25
2012/10/07,4,14,25
2012/10/08,4,14,25
2012/10/09,4,13,22
2012/10/10,4,13,20
2012/10/11,4,13,20
2012/10/12,4,13,20
2012/10/13,4,13,20
2012/10/14,4,13,20
2012/10/15,4,13,20
2012/10/16,4,13,20
2012/10/17,4,13,20
2012/10/18,4,13,20
2012/10/19,4,13,19
2012/10/20,4,13,21
2012/10/21,4,13,22
2012/10/22,3,13,22
2012/10/23,3,13,23
2012/10/24,4,13,23
2012/10/25,4,13,24
2012/10/26,4,13,25
2012/10/27,4,14,26
2012/10/28,4,14,27
2012/10/29,4,14,29
2012/10/30,4,14,29
2012/10/31,4,14,28
2012/11/01,4,15,28
2012/11/02,4,15,28
2012/11/03,5,14,27
2012/11/04,5,14,28
2012/11/05,4,14,28
2012/11/06,2,14,28
2012/11/07,2,14,28
2012/11/08,1,14,28
2012/11/09,1,13,28
2012/11/10,1,13,28
2012/11/11,2,14,28
2012/11/12,2,14,28
2012/11/13,3,14,29
2012/11/14,3,14,29
2012/11/15,3,14,29
2012/11/16,2,15,30
2012/11/17,2,15,29
2012/11/18,2,15,29
2012/11/19,2,16,30
2012/11/20,2,16,30
2012/11/21,2,15,29
2012/11/22,2,15,29
2012/11/23,2,15,29
2012/11/24,2,16,29
2012/11/25,2,16,28
2012/11/26,2,16,28
2012/11/27,2,16,30
2012/11/28,2,16,28
2012/11/29,2,16,28
2012/11/30,2,17,32
2012/12/01,2,17,31
2012/12/02,2,17,31
