date,eowiki (100+),eowiki (5+),eowiki (all)
2012/08/19,25,128,409
2012/08/20,25,129,403
2012/08/21,26,125,399
2012/08/22,27,122,397
2012/08/23,27,122,397
2012/08/24,26,124,388
2012/08/25,26,120,394
2012/08/26,26,112,397
2012/08/27,25,117,399
2012/08/28,25,118,400
2012/08/29,26,120,407
2012/08/30,27,117,417
2012/08/31,28,116,414
2012/09/01,28,115,412
2012/09/02,29,109,409
2012/09/03,28,109,410
2012/09/04,26,111,414
2012/09/05,26,112,415
2012/09/06,26,115,419
2012/09/07,27,113,413
2012/09/08,27,111,410
2012/09/09,28,109,407
2012/09/10,29,109,412
2012/09/11,31,108,409
2012/09/12,30,108,417
2012/09/13,30,111,423
2012/09/14,30,113,419
2012/09/15,31,115,419
2012/09/16,31,115,420
2012/09/17,31,113,418
2012/09/18,30,113,415
2012/09/19,30,112,414
2012/09/20,30,112,413
2012/09/21,29,115,416
2012/09/22,29,116,425
2012/09/23,30,117,426
2012/09/24,31,119,433
2012/09/25,31,122,422
2012/09/26,32,122,416
2012/09/27,33,122,413
2012/09/28,34,121,412
2012/09/29,31,123,400
2012/09/30,30,123,407
2012/10/01,30,120,400
2012/10/02,30,123,401
2012/10/03,31,122,396
2012/10/04,30,119,394
2012/10/05,29,120,392
2012/10/06,30,122,384
2012/10/07,29,126,389
2012/10/08,30,127,392
2012/10/09,31,125,395
2012/10/10,31,127,386
2012/10/11,30,126,387
2012/10/12,30,126,382
2012/10/13,30,126,376
2012/10/14,29,123,378
2012/10/15,29,122,375
2012/10/16,30,123,372
2012/10/17,30,120,374
2012/10/18,30,122,374
2012/10/19,31,122,376
2012/10/20,31,123,383
2012/10/21,31,126,380
2012/10/22,31,124,382
2012/10/23,31,126,382
2012/10/24,29,123,379
2012/10/25,29,121,382
2012/10/26,29,118,386
2012/10/27,30,120,386
2012/10/28,30,117,383
2012/10/29,30,118,388
2012/10/30,30,118,382
2012/10/31,30,120,381
2012/11/01,30,124,383
2012/11/02,30,126,384
2012/11/03,30,124,386
2012/11/04,31,127,392
2012/11/05,32,127,401
2012/11/06,32,124,395
2012/11/07,32,128,399
2012/11/08,31,127,396
2012/11/09,30,127,395
2012/11/10,29,128,394
2012/11/11,29,133,404
2012/11/12,31,127,402
2012/11/13,31,122,408
2012/11/14,29,124,403
2012/11/15,29,119,407
2012/11/16,29,122,401
2012/11/17,28,120,414
2012/11/18,26,122,420
2012/11/19,26,123,427
2012/11/20,28,124,426
2012/11/21,27,126,420
2012/11/22,27,126,417
2012/11/23,29,125,420
2012/11/24,29,125,419
2012/11/25,29,128,418
2012/11/26,28,129,418
2012/11/27,28,127,419
2012/11/28,28,129,420
2012/11/29,28,125,424
2012/11/30,27,125,425
2012/12/01,27,126,428
2012/12/02,27,128,434
2012/12/03,27,125,428
2012/12/04,27,128,429
2012/12/05,26,128,424
2012/12/06,27,128,435
2012/12/07,27,125,431
2012/12/08,26,125,435
2012/12/09,27,125,437
2012/12/10,27,127,438
2012/12/11,28,125,431
2012/12/12,28,126,426
2012/12/13,29,125,421
2012/12/14,28,127,422
2012/12/15,28,129,424
2012/12/16,28,127,423
2012/12/17,28,129,415
2012/12/18,29,126,411
2012/12/19,29,128,403
2012/12/20,30,127,410
2012/12/21,31,125,416
2012/12/22,31,124,416
2012/12/23,32,122,412
2012/12/24,32,126,413
2012/12/25,32,128,412
2012/12/26,32,128,411
2012/12/27,31,127,409
2012/12/28,32,126,407
2012/12/29,32,125,405
2012/12/30,32,123,404
2012/12/31,32,119,399
2013/01/01,31,115,392
2013/01/02,31,116,398
2013/01/03,32,117,403
2013/01/04,32,114,399
2013/01/05,31,113,390
2013/01/06,30,114,394
2013/01/07,29,116,396
2013/01/08,30,113,401
2013/01/09,31,114,401
2013/01/10,30,113,404
2013/01/11,31,115,404
2013/01/12,31,111,406
2013/01/13,31,109,405
2013/01/14,32,114,410
2013/01/15,31,114,415
2013/01/16,31,116,416
2013/01/17,31,114,414
2013/01/18,31,112,419
2013/01/19,29,115,415
2013/01/20,30,115,412
2013/01/21,31,116,417
2013/01/22,31,117,422
2013/01/23,30,118,425
2013/01/24,30,119,432
2013/01/25,30,124,437
2013/01/26,29,125,443
2013/01/27,28,124,446
2013/01/28,28,129,453
2013/01/29,28,131,456
2013/01/30,28,132,456
2013/01/31,28,132,465
2013/02/01,28,130,458
2013/02/02,27,128,450
2013/02/03,27,127,456
2013/02/04,28,125,461
2013/02/05,26,126,462
2013/02/06,26,124,463
2013/02/07,28,126,459
2013/02/08,28,128,458
2013/02/09,28,131,458
2013/02/10,30,133,462
2013/02/11,31,136,469
2013/02/12,31,137,468
2013/02/13,30,137,465
2013/02/14,30,138,470
2013/02/15,30,137,469
2013/02/16,31,138,476
2013/02/17,32,138,477
2013/02/18,30,138,472
2013/02/19,30,139,470
2013/02/20,31,140,472
2013/02/21,31,140,475
2013/02/22,30,139,469
2013/02/23,30,138,468
2013/02/24,29,139,465
2013/02/25,30,138,465
2013/02/26,30,137,466
2013/02/27,31,136,459
2013/02/28,32,132,455
2013/03/01,32,128,454
2013/03/02,33,125,453
2013/03/03,34,127,454
2013/03/04,33,127,457
2013/03/05,34,128,453
2013/03/06,33,131,451
2013/03/07,33,130,444
2013/03/08,30,134,448
2013/03/09,30,134,443
2013/03/10,29,132,450
2013/03/11,31,132,450
2013/03/12,32,129,449
2013/03/13,30,126,444
2013/03/14,29,131,448
2013/03/15,31,133,450
2013/03/16,32,135,446
2013/03/17,32,134,448
2013/03/18,32,135,447
2013/03/19,32,133,446
2013/03/20,33,133,452
2013/03/21,32,133,455
2013/03/22,33,131,446
2013/03/23,32,130,441
2013/03/24,33,128,441
2013/03/25,32,128,443
2013/03/26,32,127,440
2013/03/27,33,129,439
2013/03/28,33,130,435
2013/03/29,33,127,433
2013/03/30,32,129,435
2013/03/31,32,133,431
2013/04/01,32,128,425
2013/04/02,32,128,429
2013/04/03,30,126,419
2013/04/04,29,126,422
2013/04/05,29,126,423
2013/04/06,28,123,421
2013/04/07,29,122,414
2013/04/08,29,115,410
2013/04/09,28,113,410
2013/04/10,28,115,414
2013/04/11,28,115,408
2013/04/12,28,112,404
2013/04/13,28,106,394
2013/04/14,27,105,391
2013/04/15,29,105,390
2013/04/16,29,100,388
2013/04/17,28,103,380
2013/04/18,28,98,375
2013/04/19,29,99,373
2013/04/20,29,101,367
2013/04/21,31,101,370
2013/04/22,30,103,366
2013/04/23,30,103,366
2013/04/24,30,102,364
2013/04/25,30,104,361
2013/04/26,30,104,356
2013/04/27,30,105,358
2013/04/28,29,104,362
2013/04/29,29,104,365
2013/04/30,29,104,365
2013/05/01,28,101,361
2013/05/02,29,101,358
2013/05/03,28,104,358
2013/05/04,28,107,361
2013/05/05,28,112,363
2013/05/06,29,113,363
2013/05/07,30,111,367
2013/05/08,30,112,369
2013/05/09,29,110,369
2013/05/10,30,109,367
2013/05/11,31,107,369
2013/05/12,30,108,376
2013/05/13,29,111,378
2013/05/14,27,111,376
2013/05/15,27,111,373
2013/05/16,28,112,367
2013/05/17,28,112,367
2013/05/18,29,114,367
2013/05/19,29,116,369
2013/05/20,27,115,365
2013/05/21,26,117,365
2013/05/22,25,121,365
2013/05/23,24,120,363
2013/05/24,25,120,364
2013/05/25,24,121,367
2013/05/26,24,122,371
2013/05/27,25,122,369
2013/05/28,25,121,366
2013/05/29,24,119,360
2013/05/30,24,119,362
2013/05/31,24,119,359
2013/06/01,24,120,362
2013/06/02,24,120,365
2013/06/03,24,121,360
2013/06/04,24,116,360
2013/06/05,24,110,352
2013/06/06,25,105,349
2013/06/07,24,104,353
2013/06/08,24,102,352
2013/06/09,24,104,351
2013/06/10,23,105,347
2013/06/11,22,106,338
2013/06/12,23,101,335
2013/06/13,23,102,337
2013/06/14,23,105,338
2013/06/15,24,103,336
2013/06/16,24,105,338
2013/06/17,25,109,341
2013/06/18,25,111,340
2013/06/19,24,112,342
2013/06/20,25,113,338
2013/06/21,24,113,337
2013/06/22,24,112,334
2013/06/23,27,114,341
2013/06/24,27,114,340
2013/06/25,28,110,338
2013/06/26,28,107,340
2013/06/27,29,109,337
2013/06/28,30,111,339
2013/06/29,30,112,336
2013/06/30,30,112,339
2013/07/01,30,112,335
2013/07/02,30,112,341
2013/07/03,30,112,341
2013/07/04,30,111,344
2013/07/05,30,108,348
2013/07/06,30,109,346
2013/07/07,30,110,339
2013/07/08,29,107,341
2013/07/09,29,111,346
2013/07/10,29,111,347
2013/07/11,30,109,348
2013/07/12,29,109,350
2013/07/13,28,109,353
2013/07/14,27,111,353
2013/07/15,26,114,346
2013/07/16,25,114,347
2013/07/17,24,112,346
2013/07/18,24,111,341
2013/07/19,24,110,342
2013/07/20,24,110,343
2013/07/21,24,109,343
2013/07/22,23,111,345
2013/07/23,22,107,347
2013/07/24,23,106,353
2013/07/25,23,108,356
2013/07/26,22,110,356
2013/07/27,23,109,355
2013/07/28,23,112,356
2013/07/29,23,113,357
2013/07/30,23,112,357
2013/07/31,23,110,353
2013/08/01,23,108,348
2013/08/02,24,107,341
2013/08/03,24,110,335
2013/08/04,24,113,334
2013/08/05,24,114,345
2013/08/06,24,116,350
2013/08/07,24,116,351
2013/08/08,24,114,344
2013/08/09,24,112,341
2013/08/10,23,111,342
2013/08/11,23,112,347
2013/08/12,22,112,350
2013/08/13,22,113,352
2013/08/14,22,113,357
2013/08/15,22,116,355
2013/08/16,22,117,357
2013/08/17,22,119,357
2013/08/18,22,118,360
2013/08/19,22,121,362
2013/08/20,22,123,361
2013/08/21,22,121,365
2013/08/22,22,123,368
2013/08/23,22,122,359
2013/08/24,22,123,355
2013/08/25,22,121,358
2013/08/26,22,122,357
2013/08/27,22,120,353
2013/08/28,21,119,353
2013/08/29,21,120,350
2013/08/30,20,120,353
2013/08/31,20,117,348
2013/09/01,20,117,351
2013/09/02,21,113,351
2013/09/03,21,110,355
2013/09/04,22,111,355
2013/09/05,22,110,355
2013/09/06,22,107,353
2013/09/07,22,108,357
2013/09/08,22,109,356
2013/09/09,22,111,361
2013/09/10,21,114,356
2013/09/11,21,113,350
2013/09/12,20,111,346
2013/09/13,21,111,349
2013/09/14,21,110,349
2013/09/15,21,112,349
2013/09/16,21,112,351
2013/09/17,21,111,352
2013/09/18,20,110,351
2013/09/19,23,107,353
2013/09/20,23,108,357
2013/09/21,23,107,356
2013/09/22,23,106,352
2013/09/23,22,105,347
2013/09/24,23,103,343
2013/09/25,24,103,344
2013/09/26,24,101,341
2013/09/27,24,100,339
2013/09/28,24,100,339
2013/09/29,25,99,335
2013/09/30,25,104,339
2013/10/01,25,104,338
2013/10/02,26,102,330
2013/10/03,26,102,329
2013/10/04,26,101,325
2013/10/05,24,102,321
2013/10/06,24,105,321
2013/10/07,26,108,324
2013/10/08,26,109,324
2013/10/09,25,107,321
2013/10/10,25,107,324
2013/10/11,25,109,330
2013/10/12,24,111,329
2013/10/13,24,109,324
2013/10/14,25,113,331
2013/10/15,25,115,331
2013/10/16,25,115,334
2013/10/17,26,114,341
2013/10/18,26,116,337
2013/10/19,25,118,328
2013/10/20,26,114,327
2013/10/21,25,115,326
2013/10/22,24,115,325
2013/10/23,24,116,326
2013/10/24,23,114,319
2013/10/25,23,115,324
2013/10/26,22,114,330
2013/10/27,21,114,326
2013/10/28,22,110,331
2013/10/29,21,110,328
2013/10/30,22,110,325
2013/10/31,21,111,326
2013/11/01,21,113,331
2013/11/02,21,113,331
2013/11/03,21,114,332
2013/11/04,21,109,328
2013/11/05,21,109,331
2013/11/06,21,103,329
2013/11/07,20,105,326
2013/11/08,20,109,335
2013/11/09,20,113,330
2013/11/10,21,110,321
2013/11/11,22,112,326
2013/11/12,22,108,327
2013/11/13,21,104,319
2013/11/14,22,100,319
2013/11/15,22,100,313
2013/11/16,21,100,310
2013/11/17,20,100,318
2013/11/18,21,100,319
2013/11/19,21,101,330
2013/11/20,21,100,325
2013/11/21,21,100,328
2013/11/22,21,97,330
2013/11/23,21,98,333
2013/11/24,22,96,334
2013/11/25,22,98,331
2013/11/26,22,99,341
2013/11/27,22,97,337
2013/11/28,22,93,337
2013/11/29,22,94,337
2013/11/30,22,94,332
2013/12/01,23,95,331
2013/12/02,24,95,332
2013/12/03,24,93,333
2013/12/04,24,94,334
2013/12/05,26,92,334
2013/12/06,25,94,328
2013/12/07,25,95,327
2013/12/08,25,92,317
2013/12/09,25,96,322
2013/12/10,25,96,328
2013/12/11,24,94,318
2013/12/12,24,96,318
2013/12/13,23,91,316
2013/12/14,23,90,311
2013/12/15,22,91,314
2013/12/16,22,94,319
2013/12/17,22,94,314
2013/12/18,21,94,326
2013/12/19,21,90,316
2013/12/20,21,91,315
2013/12/21,21,94,317
2013/12/22,20,96,315
2013/12/23,20,95,317
2013/12/24,21,96,319
2013/12/25,21,96,316
2013/12/26,22,98,310
2013/12/27,21,99,315
2013/12/28,21,101,314
2013/12/29,21,104,318
2013/12/30,21,105,320
2013/12/31,21,106,322
2014/01/01,19,107,321
2014/01/02,19,108,317
2014/01/03,19,108,319
2014/01/04,19,107,321
2014/01/05,19,107,325
2014/01/06,19,107,332
2014/01/07,19,106,331
2014/01/08,19,103,330
2014/01/09,20,104,327
2014/01/10,21,107,331
2014/01/11,22,110,337
2014/01/12,22,109,342
2014/01/13,25,112,348
2014/01/14,25,112,355
2014/01/15,25,113,358
2014/01/16,25,114,361
2014/01/17,25,116,365
2014/01/18,25,118,370
2014/01/19,25,118,368
2014/01/20,25,119,362
2014/01/21,25,118,370
2014/01/22,25,115,366
2014/01/23,26,115,359
2014/01/24,26,120,363
2014/01/25,28,118,366
