date,eowiki (100+),eowiki (5+),eowiki (all)
2014/01/26,29,117,368
2014/01/27,29,119,368
2014/01/28,30,117,369
2014/01/29,31,117,373
2014/01/30,31,117,371
2014/01/31,31,117,372
2014/02/01,31,118,379
2014/02/02,30,118,379
2014/02/03,30,116,377
2014/02/04,30,115,380
2014/02/05,30,114,380
2014/02/06,30,114,378
2014/02/07,30,112,377
2014/02/08,29,110,375
2014/02/09,29,107,374
2014/02/10,29,105,375
2014/02/11,29,106,373
2014/02/12,28,104,368
2014/02/13,27,105,360
2014/02/14,26,102,355
2014/02/15,25,99,352
2014/02/16,25,97,349
2014/02/17,25,96,345
2014/02/18,25,98,346
2014/02/19,25,98,347
2014/02/20,26,94,346
2014/02/21,25,97,350
2014/02/22,25,97,347
2014/02/23,24,96,342
2014/02/24,23,101,341
2014/02/25,22,98,335
2014/02/26,22,95,338
2014/02/27,21,94,330
2014/02/28,22,93,322
2014/03/01,22,91,317
2014/03/02,22,92,317
2014/03/03,22,91,317
2014/03/04,22,92,313
2014/03/05,22,95,312
2014/03/06,21,95,315
2014/03/07,22,94,312
2014/03/08,22,96,308
2014/03/09,22,95,314
2014/03/10,22,97,315
2014/03/11,23,94,314
2014/03/12,24,92,316
2014/03/13,24,94,322
2014/03/14,24,94,323
2014/03/15,24,96,327
2014/03/16,24,99,325
2014/03/17,24,102,331
2014/03/18,24,102,327
2014/03/19,26,102,325
2014/03/20,25,101,326
2014/03/21,25,100,321
2014/03/22,25,103,318
2014/03/23,25,102,319
2014/03/24,25,105,326
2014/03/25,25,104,331
2014/03/26,25,104,335
2014/03/27,25,107,332
2014/03/28,25,106,333
2014/03/29,27,107,335
2014/03/30,28,108,334
2014/03/31,28,106,333
2014/04/01,27,108,334
2014/04/02,28,109,328
2014/04/03,28,107,332
2014/04/04,28,106,332
2014/04/05,27,108,331
2014/04/06,27,110,332
2014/04/07,28,108,336
2014/04/08,28,109,336
2014/04/09,29,107,338
2014/04/10,28,107,340
2014/04/11,27,109,336
2014/04/12,27,112,333
2014/04/13,26,113,334
2014/04/14,27,113,334
2014/04/15,27,113,331
2014/04/16,27,111,322
2014/04/17,26,112,325
2014/04/18,26,114,332
2014/04/19,25,116,340
2014/04/20,25,120,340
2014/04/21,25,116,343
2014/04/22,25,114,343
2014/04/23,25,110,341
2014/04/24,26,108,340
2014/04/25,27,108,339
2014/04/26,27,104,338
2014/04/27,26,110,345
2014/04/28,23,109,346
2014/04/29,23,112,354
2014/04/30,24,112,354
2014/05/01,24,111,357
2014/05/02,24,107,363
2014/05/03,24,106,362
2014/05/04,24,106,362
2014/05/05,24,104,358
2014/05/06,25,105,361
2014/05/07,24,106,362
2014/05/08,25,102,356
2014/05/09,23,103,349
2014/05/10,24,103,349
2014/05/11,23,106,349
2014/05/12,24,103,349
2014/05/13,26,103,357
2014/05/14,26,101,358
2014/05/15,24,100,356
2014/05/16,24,101,359
2014/05/17,24,100,360
2014/05/18,23,101,361
2014/05/19,23,99,354
2014/05/20,23,99,350
2014/05/21,23,98,345
2014/05/22,23,97,346
2014/05/23,23,102,347
2014/05/24,22,104,355
2014/05/25,22,103,354
2014/05/26,23,106,354
2014/05/27,23,104,351
2014/05/28,23,105,352
2014/05/29,23,104,345
2014/05/30,23,104,349
2014/05/31,23,104,343
2014/06/01,24,105,340
2014/06/02,24,104,339
2014/06/03,23,105,340
2014/06/04,24,104,340
2014/06/05,24,107,338
2014/06/06,23,107,335
2014/06/07,22,108,339
2014/06/08,20,107,338
2014/06/09,21,109,337
2014/06/10,22,108,338
2014/06/11,23,107,332
2014/06/12,23,104,329
2014/06/13,23,103,324
2014/06/14,23,107,325
2014/06/15,22,103,328
2014/06/16,22,101,325
2014/06/17,22,101,323
2014/06/18,23,102,325
2014/06/19,23,100,323
2014/06/20,23,101,323
2014/06/21,23,101,323
2014/06/22,21,99,325
2014/06/23,22,95,323
2014/06/24,23,95,321
2014/06/25,22,95,317
2014/06/26,22,93,317
2014/06/27,23,95,323
2014/06/28,23,96,319
2014/06/29,24,97,318
2014/06/30,26,100,326
2014/07/01,26,103,323
2014/07/02,25,101,323
2014/07/03,25,101,320
2014/07/04,24,101,322
2014/07/05,23,99,319
2014/07/06,22,99,320
2014/07/07,22,100,319
2014/07/08,22,105,323
2014/07/09,23,104,322
2014/07/10,24,105,321
2014/07/11,25,105,320
2014/07/12,24,106,321
2014/07/13,25,108,329
2014/07/14,25,107,322
2014/07/15,25,107,322
2014/07/16,25,107,322
2014/07/17,26,104,320
2014/07/18,25,104,320
2014/07/19,21,108,326
2014/07/20,22,109,327
2014/07/21,22,113,331
2014/07/22,23,110,331
2014/07/23,22,109,328
2014/07/24,23,109,332
2014/07/25,24,110,326
2014/07/26,23,110,326
2014/07/27,24,108,326
2014/07/28,25,109,333
2014/07/29,24,108,332
2014/07/30,24,103,323
2014/07/31,23,102,322
2014/08/01,22,100,320
2014/08/02,22,99,317
2014/08/03,22,102,311
2014/08/04,23,104,314
2014/08/05,23,103,315
2014/08/06,25,103,313
2014/08/07,25,102,313
2014/08/08,25,103,313
2014/08/09,24,100,312
2014/08/10,24,99,315
2014/08/11,23,99,321
2014/08/12,24,100,327
2014/08/13,25,100,331
2014/08/14,24,96,333
2014/08/15,25,98,336
2014/08/16,25,101,340
2014/08/17,26,104,342
2014/08/18,27,100,341
2014/08/19,27,99,341
2014/08/20,26,98,340
2014/08/21,26,99,350
2014/08/22,26,100,351
2014/08/23,26,102,352
2014/08/24,25,104,357
2014/08/25,25,104,361
2014/08/26,27,102,363
2014/08/27,27,105,355
2014/08/28,28,105,360
2014/08/29,26,106,362
2014/08/30,24,109,368
2014/08/31,24,110,371
2014/09/01,25,112,375
2014/09/02,25,114,381
2014/09/03,25,116,381
2014/09/04,25,114,380
2014/09/05,25,116,378
2014/09/06,25,113,370
2014/09/07,25,112,367
2014/09/08,25,113,366
2014/09/09,25,117,366
2014/09/10,25,116,360
2014/09/11,25,116,360
2014/09/12,25,113,353
2014/09/13,25,115,354
2014/09/14,25,117,355
2014/09/15,24,112,354
2014/09/16,25,112,353
2014/09/17,24,113,343
2014/09/18,24,112,337
2014/09/19,25,114,337
2014/09/20,25,114,333
2014/09/21,25,111,335
2014/09/22,25,108,331
2014/09/23,24,101,325
2014/09/24,25,104,322
2014/09/25,26,104,315
2014/09/26,25,106,317
2014/09/27,25,105,314
2014/09/28,23,106,308
2014/09/29,23,108,308
2014/09/30,23,106,306
2014/10/01,23,106,308
2014/10/02,26,106,310
2014/10/03,25,105,312
2014/10/04,26,103,310
2014/10/05,24,104,308
2014/10/06,25,108,314
2014/10/07,25,109,322
2014/10/08,25,109,322
2014/10/09,25,106,327
2014/10/10,25,110,328
2014/10/11,25,109,326
2014/10/12,26,109,328
2014/10/13,24,106,324
2014/10/14,25,104,326
2014/10/15,25,105,325
2014/10/16,25,104,327
2014/10/17,25,102,327
2014/10/18,25,102,325
2014/10/19,24,100,328
2014/10/20,24,101,332
2014/10/21,24,101,333
2014/10/22,25,103,331
2014/10/23,24,102,331
2014/10/24,25,101,332
2014/10/25,24,100,335
2014/10/26,25,100,335
2014/10/27,25,105,335
2014/10/28,26,104,338
2014/10/29,26,107,337
2014/10/30,25,109,340
2014/10/31,25,112,339
2014/11/01,24,109,347
2014/11/02,24,107,344
2014/11/03,24,106,347
2014/11/04,23,106,346
2014/11/05,22,107,341
2014/11/06,22,109,337
2014/11/07,21,108,331
2014/11/08,23,109,325
2014/11/09,22,107,321
2014/11/10,22,106,318
2014/11/11,22,106,325
2014/11/12,22,106,328
2014/11/13,22,105,329
2014/11/14,20,105,333
2014/11/15,21,108,342
2014/11/16,21,108,345
2014/11/17,21,109,347
2014/11/18,22,109,348
2014/11/19,22,108,342
2014/11/20,22,104,335
2014/11/21,23,107,338
2014/11/22,23,111,339
2014/11/23,22,111,337
2014/11/24,25,111,341
2014/11/25,25,113,338
2014/11/26,25,108,333
2014/11/27,24,105,332
2014/11/28,23,106,332
2014/11/29,23,106,332
2014/11/30,23,103,332
2014/12/01,23,103,329
2014/12/02,23,102,327
2014/12/03,24,101,323
2014/12/04,24,102,330
2014/12/05,23,100,336
2014/12/06,23,98,338
2014/12/07,24,96,336
2014/12/08,25,93,336
2014/12/09,25,97,338
2014/12/10,25,98,337
2014/12/11,25,99,332
2014/12/12,26,96,327
2014/12/13,26,96,328
2014/12/14,25,99,329
2014/12/15,25,95,321
2014/12/16,25,96,318
2014/12/17,25,97,318
2014/12/18,25,97,317
2014/12/19,25,97,318
2014/12/20,25,97,321
2014/12/21,25,92,318
2014/12/22,25,92,313
2014/12/23,25,93,312
2014/12/24,25,94,305
2014/12/25,24,95,304
2014/12/26,25,94,305
2014/12/27,25,94,305
2014/12/28,25,93,309
2014/12/29,26,92,309
2014/12/30,26,96,308
2014/12/31,25,97,306
2015/01/01,25,96,307
2015/01/02,24,95,309
2015/01/03,24,96,308
2015/01/04,23,95,302
2015/01/05,21,96,300
2015/01/06,22,98,303
2015/01/07,22,101,307
2015/01/08,22,103,310
2015/01/09,21,105,316
2015/01/10,20,105,315
2015/01/11,20,105,316
2015/01/12,20,104,320
2015/01/13,20,107,320
2015/01/14,20,105,322
2015/01/15,20,109,316
2015/01/16,20,108,314
2015/01/17,21,106,315
2015/01/18,21,105,320
2015/01/19,21,101,323
2015/01/20,21,99,324
2015/01/21,21,96,330
2015/01/22,21,98,337
2015/01/23,21,97,333
2015/01/24,21,95,334
2015/01/25,21,99,338
2015/01/26,22,100,336
2015/01/27,22,99,334
2015/01/28,22,99,339
2015/01/29,23,98,342
2015/01/30,24,102,336
2015/01/31,25,102,342
2015/02/01,25,101,345
2015/02/02,24,99,344
2015/02/03,24,101,344
2015/02/04,25,102,345
2015/02/05,25,104,345
2015/02/06,25,102,341
2015/02/07,26,102,337
2015/02/08,27,102,340
2015/02/09,26,100,341
2015/02/10,26,103,346
2015/02/11,27,104,344
2015/02/12,27,104,341
2015/02/13,27,104,341
2015/02/14,26,105,342
2015/02/15,26,106,348
2015/02/16,25,103,354
2015/02/17,24,102,357
2015/02/18,24,102,355
2015/02/19,24,104,354
2015/02/20,24,105,351
2015/02/21,24,103,353
2015/02/22,24,105,359
2015/02/23,24,106,361
2015/02/24,24,107,360
2015/02/25,25,107,362
2015/02/26,25,108,363
2015/02/27,26,107,357
2015/02/28,26,104,357
2015/03/01,26,103,359
2015/03/02,26,102,362
2015/03/03,26,101,358
2015/03/04,25,100,351
2015/03/05,27,98,351
2015/03/06,28,100,351
2015/03/07,28,100,350
2015/03/08,27,104,353
2015/03/09,26,103,349
2015/03/10,26,102,349
2015/03/11,25,100,353
2015/03/12,25,99,351
2015/03/13,26,98,349
2015/03/14,26,100,354
2015/03/15,26,100,347
2015/03/16,24,100,346
2015/03/17,24,102,340
2015/03/18,25,99,336
2015/03/19,25,95,337
2015/03/20,26,94,341
2015/03/21,25,93,343
2015/03/22,25,93,345
2015/03/23,26,95,345
2015/03/24,27,95,335
2015/03/25,27,92,332
2015/03/26,27,95,331
2015/03/27,25,91,322
2015/03/28,26,93,318
2015/03/29,25,91,319
2015/03/30,26,93,321
2015/03/31,26,92,325
2015/04/01,24,90,320
2015/04/02,23,88,317
2015/04/03,23,90,312
2015/04/04,23,93,310
2015/04/05,23,94,315
2015/04/06,23,95,318
2015/04/07,23,94,325
2015/04/08,24,95,324
2015/04/09,24,94,325
2015/04/10,24,100,319
2015/04/11,23,97,319
2015/04/12,21,98,320
2015/04/13,21,96,321
2015/04/14,23,98,327
2015/04/15,22,97,324
2015/04/16,21,94,327
2015/04/17,21,94,327
2015/04/18,22,96,327
2015/04/19,21,95,324
2015/04/20,21,95,320
2015/04/21,20,95,320
2015/04/22,20,96,319
2015/04/23,21,95,323
2015/04/24,21,97,316
2015/04/25,19,94,315
2015/04/26,19,96,318
2015/04/27,19,95,320
2015/04/28,19,92,317
2015/04/29,19,92,322
2015/04/30,19,90,322
2015/05/01,19,86,324
2015/05/02,20,82,322
2015/05/03,20,81,325
2015/05/04,20,83,331
2015/05/05,20,88,329
2015/05/06,21,88,330
2015/05/07,19,90,328
2015/05/08,18,89,334
2015/05/09,18,91,330
2015/05/10,18,89,331
2015/05/11,18,88,328
2015/05/12,18,91,322
2015/05/13,19,95,320
2015/05/14,20,93,319
2015/05/15,20,92,320
2015/05/16,20,91,319
2015/05/17,20,91,325
2015/05/18,21,89,329
2015/05/19,20,87,331
2015/05/20,20,90,330
2015/05/21,20,91,332
2015/05/22,20,93,327
2015/05/23,20,96,330
2015/05/24,21,95,336
2015/05/25,19,96,339
2015/05/26,18,97,340
2015/05/27,17,97,336
2015/05/28,18,98,339
2015/05/29,19,94,340
2015/05/30,19,94,333
2015/05/31,19,101,337
2015/06/01,18,101,345
2015/06/02,18,102,346
2015/06/03,18,99,340
2015/06/04,18,101,338
2015/06/05,18,100,336
2015/06/06,17,101,334
2015/06/07,18,100,331
2015/06/08,18,98,334
2015/06/09,18,97,341
2015/06/10,18,96,343
2015/06/11,18,97,347
2015/06/12,19,93,344
2015/06/13,19,94,347
2015/06/14,18,95,346
2015/06/15,17,96,344
2015/06/16,17,97,338
2015/06/17,17,97,333
2015/06/18,17,98,337
2015/06/19,17,97,339
2015/06/20,17,98,339
2015/06/21,17,97,346
2015/06/22,17,102,347
2015/06/23,17,104,344
2015/06/24,19,104,346
2015/06/25,18,104,336
2015/06/26,18,106,349
2015/06/27,19,104,344
2015/06/28,18,101,345
2015/06/29,18,105,351
2015/06/30,20,102,349
2015/07/01,20,99,342
2015/07/02,21,97,344
2015/07/03,22,97,337
2015/07/04,24,97,339
2015/07/05,23,99,345
2015/07/06,23,98,347
2015/07/07,22,101,352
2015/07/08,23,100,355
2015/07/09,23,100,348
2015/07/10,23,101,347
2015/07/11,23,100,347
2015/07/12,23,99,350
2015/07/13,23,98,356
2015/07/14,23,101,358
2015/07/15,24,100,357
2015/07/16,24,100,361
2015/07/17,24,97,349
2015/07/18,25,98,354
2015/07/19,24,98,354
2015/07/20,23,98,351
2015/07/21,23,99,350
2015/07/22,23,99,349
2015/07/23,23,99,356
2015/07/24,23,96,353
2015/07/25,22,97,362
2015/07/26,21,97,356
