date,lowiki (100+),lowiki (5+),lowiki (all)
2012/08/19,,10,40
2012/08/20,,9,39
2012/08/21,,9,38
2012/08/22,,10,37
2012/08/23,,10,38
2012/08/24,,10,37
2012/08/25,,9,36
2012/08/26,,9,30
2012/08/27,,10,36
2012/08/28,,10,37
2012/08/29,,11,38
2012/08/30,,11,39
2012/08/31,,11,40
2012/09/01,,13,40
2012/09/02,,13,41
2012/09/03,,13,42
2012/09/04,,13,39
2012/09/05,,13,41
2012/09/06,,14,41
2012/09/07,,14,41
2012/09/08,,13,41
2012/09/09,,14,41
2012/09/10,,14,41
2012/09/11,,14,40
2012/09/12,,14,40
2012/09/13,,14,41
2012/09/14,,15,41
2012/09/15,,14,43
2012/09/16,,14,42
2012/09/17,,14,44
2012/09/18,,14,43
2012/09/19,,14,43
2012/09/20,,14,44
2012/09/21,,14,45
2012/09/22,,14,44
2012/09/23,,14,43
2012/09/24,,14,43
2012/09/25,,14,43
2012/09/26,,13,38
2012/09/27,,13,39
2012/09/28,,13,37
2012/09/29,,12,36
2012/09/30,,12,36
2012/10/01,,11,35
2012/10/02,,11,34
2012/10/03,,11,32
2012/10/04,,11,33
2012/10/05,,11,31
2012/10/06,,11,30
2012/10/07,,10,31
2012/10/08,,10,31
2012/10/09,,10,31
2012/10/10,,10,31
2012/10/11,,11,32
2012/10/12,,11,33
2012/10/13,,11,33
2012/10/14,,10,34
2012/10/15,,9,32
2012/10/16,,12,32
2012/10/17,,11,31
2012/10/18,,11,31
2012/10/19,,10,31
2012/10/20,,12,32
2012/10/21,,12,31
2012/10/22,,12,31
2012/10/23,,12,30
2012/10/24,,12,31
2012/10/25,,12,32
2012/10/26,,12,32
2012/10/27,,12,32
2012/10/28,,12,32
2012/10/29,,12,32
2012/10/30,,12,33
2012/10/31,,12,32
2012/11/01,1,13,30
2012/11/02,1,13,31
2012/11/03,1,13,31
2012/11/04,,14,32
2012/11/05,,13,33
2012/11/06,,13,33
2012/11/07,,13,33
2012/11/08,,13,34
2012/11/09,,13,35
2012/11/10,,13,35
2012/11/11,,13,34
2012/11/12,,14,35
2012/11/13,,13,36
2012/11/14,,13,37
2012/11/15,,13,36
2012/11/16,,13,37
2012/11/17,,14,36
2012/11/18,,14,36
2012/11/19,,14,34
2012/11/20,,13,34
2012/11/21,,13,34
2012/11/22,,13,35
2012/11/23,,12,36
2012/11/24,,13,35
2012/11/25,,14,35
2012/11/26,,15,35
2012/11/27,,16,36
2012/11/28,,15,38
2012/11/29,,15,37
2012/11/30,,15,37
2012/12/01,,15,37
2012/12/02,,14,37
2012/12/03,,13,36
2012/12/04,,13,34
2012/12/05,,13,33
2012/12/06,,13,32
2012/12/07,,13,32
2012/12/08,,13,30
2012/12/09,,14,29
2012/12/10,,14,28
2012/12/11,,14,29
2012/12/12,,14,29
2012/12/13,,15,32
2012/12/14,,14,32
2012/12/15,,15,32
2012/12/16,,14,32
2012/12/17,,15,30
2012/12/18,,15,29
2012/12/19,,15,30
2012/12/20,,15,30
2012/12/21,,15,28
2012/12/22,,15,27
2012/12/23,,15,27
2012/12/24,,15,27
2012/12/25,,14,30
2012/12/26,,14,30
2012/12/27,,14,27
2012/12/28,,14,29
2012/12/29,,14,29
2012/12/30,,15,31
2012/12/31,,15,32
2013/01/01,,15,33
2013/01/02,,15,33
2013/01/03,,15,33
2013/01/04,,15,34
2013/01/05,,14,34
2013/01/06,,15,34
2013/01/07,,16,33
2013/01/08,,16,33
2013/01/09,,16,35
2013/01/10,,16,36
2013/01/11,,16,35
2013/01/12,,16,34
2013/01/13,,16,34
2013/01/14,,15,37
2013/01/15,,16,37
2013/01/16,,16,38
2013/01/17,,16,38
2013/01/18,,16,38
2013/01/19,,15,38
2013/01/20,,15,38
2013/01/21,,15,38
2013/01/22,,15,37
2013/01/23,,15,37
2013/01/24,,15,39
2013/01/25,,15,39
2013/01/26,,14,39
2013/01/27,,13,37
2013/01/28,,13,37
2013/01/29,,11,37
2013/01/30,,10,36
2013/01/31,,11,34
2013/02/01,,10,36
2013/02/02,,10,36
2013/02/03,,10,36
2013/02/04,,10,36
2013/02/05,,10,37
2013/02/06,,11,37
2013/02/07,,10,37
2013/02/08,,10,35
2013/02/09,,11,35
2013/02/10,,12,36
2013/02/11,,12,37
2013/02/12,,14,38
2013/02/13,,15,37
2013/02/14,,14,36
2013/02/15,,15,35
2013/02/16,,14,35
2013/02/17,,15,37
2013/02/18,,15,36
2013/02/19,,18,38
2013/02/20,,18,37
2013/02/21,1,18,36
2013/02/22,1,19,36
2013/02/23,1,19,34
2013/02/24,,19,34
2013/02/25,,19,33
2013/02/26,1,20,33
2013/02/27,1,21,32
2013/02/28,1,20,34
2013/03/01,,20,34
2013/03/02,,20,33
2013/03/03,,19,32
2013/03/04,,19,34
2013/03/05,,18,35
2013/03/06,2,18,35
2013/03/07,2,19,34
2013/03/08,4,21,37
2013/03/09,3,21,36
2013/03/10,3,21,36
2013/03/11,3,21,36
2013/03/12,3,19,35
2013/03/13,3,19,35
2013/03/14,3,17,35
2013/03/15,2,17,35
2013/03/16,2,17,35
2013/03/17,2,17,35
2013/03/18,2,16,33
2013/03/19,2,15,33
2013/03/20,2,15,32
2013/03/21,2,12,27
2013/03/22,2,12,27
2013/03/23,2,12,26
2013/03/24,2,12,26
2013/03/25,2,11,26
2013/03/26,2,11,26
2013/03/27,2,11,25
2013/03/28,2,9,25
2013/03/29,2,8,25
2013/03/30,2,8,23
2013/03/31,2,8,21
2013/04/01,2,7,20
2013/04/02,2,7,19
2013/04/03,2,7,16
2013/04/04,2,6,14
2013/04/05,2,5,14
2013/04/06,2,4,11
2013/04/07,,4,7
2013/04/08,,3,6
2013/04/09,,3,5
2013/04/10,,3,6
2013/04/11,,3,6
2013/04/12,,3,8
2013/04/13,,3,9
2013/04/14,,2,10
2013/04/15,,3,10
2013/04/16,,3,10
2013/04/17,,3,10
2013/04/18,,3,12
2013/04/19,,5,15
2013/04/20,,6,16
2013/04/21,,6,17
2013/04/22,,6,17
2013/04/23,,6,17
