date,guwiki (100+),guwiki (5+),guwiki (all)
2012/08/19,5,34,96
2012/08/20,5,30,96
2012/08/21,5,32,96
2012/08/22,5,33,99
2012/08/23,5,33,101
2012/08/24,5,34,96
2012/08/25,5,33,97
2012/08/26,4,33,96
2012/08/27,4,33,96
2012/08/28,4,32,96
2012/08/29,4,32,103
2012/08/30,4,33,105
2012/08/31,4,32,108
2012/09/01,4,34,110
2012/09/02,4,35,108
2012/09/03,5,36,110
2012/09/04,4,35,110
2012/09/05,5,34,107
2012/09/06,5,35,108
2012/09/07,5,35,108
2012/09/08,6,31,109
2012/09/09,6,34,111
2012/09/10,6,35,107
2012/09/11,6,35,106
2012/09/12,6,36,108
2012/09/13,6,36,107
2012/09/14,6,37,110
2012/09/15,6,37,108
2012/09/16,6,38,109
2012/09/17,6,39,109
2012/09/18,6,40,108
2012/09/19,5,40,105
2012/09/20,6,39,104
2012/09/21,6,36,100
2012/09/22,6,36,100
2012/09/23,6,37,100
2012/09/24,5,35,97
2012/09/25,6,35,100
2012/09/26,6,35,103
2012/09/27,6,38,105
2012/09/28,7,38,97
2012/09/29,7,38,97
2012/09/30,7,37,97
2012/10/01,7,37,94
2012/10/02,7,37,95
2012/10/03,6,37,93
2012/10/04,7,36,90
2012/10/05,6,35,91
2012/10/06,7,35,89
2012/10/07,7,36,89
2012/10/08,7,35,89
2012/10/09,7,35,89
2012/10/10,7,36,90
2012/10/11,7,36,90
2012/10/12,7,34,91
2012/10/13,7,34,97
2012/10/14,7,36,95
2012/10/15,7,35,93
2012/10/16,7,35,91
2012/10/17,7,35,91
2012/10/18,7,34,93
2012/10/19,7,34,99
2012/10/20,7,37,107
2012/10/21,7,41,114
2012/10/22,7,43,115
2012/10/23,7,43,117
2012/10/24,7,42,116
2012/10/25,7,42,116
2012/10/26,7,44,120
2012/10/27,7,41,116
2012/10/28,6,41,114
2012/10/29,6,43,113
2012/10/30,7,45,110
2012/10/31,7,45,109
2012/11/01,7,44,108
2012/11/02,7,44,107
2012/11/03,8,43,107
2012/11/04,8,44,109
2012/11/05,8,45,111
2012/11/06,8,44,111
2012/11/07,7,46,114
2012/11/08,7,46,113
2012/11/09,7,46,114
2012/11/10,7,46,114
2012/11/11,7,46,115
2012/11/12,7,45,112
2012/11/13,7,46,109
2012/11/14,7,47,109
2012/11/15,7,46,111
2012/11/16,7,46,111
2012/11/17,7,46,108
2012/11/18,7,45,108
2012/11/19,7,44,104
2012/11/20,7,39,93
2012/11/21,7,40,92
2012/11/22,6,40,93
2012/11/23,6,42,94
2012/11/24,6,43,95
2012/11/25,6,41,91
2012/11/26,6,41,94
2012/11/27,6,39,95
2012/11/28,5,38,94
2012/11/29,5,38,95
2012/11/30,5,40,97
2012/12/01,6,41,97
2012/12/02,6,42,98
2012/12/03,6,39,101
2012/12/04,6,38,103
2012/12/05,6,38,102
2012/12/06,6,38,101
2012/12/07,6,39,100
2012/12/08,6,40,100
2012/12/09,7,40,103
2012/12/10,7,40,103
2012/12/11,7,43,99
2012/12/12,7,43,97
2012/12/13,6,43,96
2012/12/14,6,42,97
2012/12/15,6,42,100
2012/12/16,6,42,99
2012/12/17,6,44,108
2012/12/18,6,43,106
2012/12/19,7,44,109
2012/12/20,8,45,109
2012/12/21,8,46,111
2012/12/22,8,47,110
2012/12/23,8,47,109
2012/12/24,10,49,112
2012/12/25,10,51,113
2012/12/26,9,50,112
2012/12/27,10,50,112
2012/12/28,10,49,113
2012/12/29,12,54,111
2012/12/30,12,55,112
2012/12/31,12,54,113
2013/01/01,12,53,112
2013/01/02,12,54,111
2013/01/03,12,55,110
2013/01/04,12,56,112
2013/01/05,13,57,112
2013/01/06,12,55,112
2013/01/07,12,55,111
2013/01/08,13,55,110
