date,zh_classicalwiki (100+),zh_classicalwiki (5+),zh_classicalwiki (all)
2012/08/19,3,22,58
2012/08/20,4,23,58
2012/08/21,4,23,56
2012/08/22,2,23,54
2012/08/23,2,23,54
2012/08/24,2,24,55
2012/08/25,2,23,59
2012/08/26,2,23,58
2012/08/27,2,25,59
2012/08/28,2,24,60
2012/08/29,2,24,64
2012/08/30,1,26,65
2012/08/31,1,26,68
2012/09/01,2,27,70
2012/09/02,2,27,70
2012/09/03,2,27,72
2012/09/04,2,26,74
2012/09/05,2,28,73
2012/09/06,2,28,73
2012/09/07,2,29,71
2012/09/08,2,27,71
2012/09/09,2,25,72
2012/09/10,2,25,71
2012/09/11,2,25,72
2012/09/12,2,23,66
2012/09/13,2,23,68
2012/09/14,2,23,68
2012/09/15,2,24,67
2012/09/16,2,23,67
2012/09/17,2,23,68
2012/09/18,2,21,65
2012/09/19,2,20,65
2012/09/20,2,23,64
2012/09/21,2,22,64
2012/09/22,2,22,63
2012/09/23,2,21,64
2012/09/24,2,20,62
2012/09/25,2,20,62
2012/09/26,2,21,62
2012/09/27,2,21,62
2012/09/28,3,21,60
2012/09/29,3,19,55
2012/09/30,3,18,54
2012/10/01,3,18,50
2012/10/02,3,17,49
2012/10/03,3,16,47
2012/10/04,3,15,49
2012/10/05,3,15,49
2012/10/06,3,14,53
2012/10/07,3,13,52
2012/10/08,2,14,53
2012/10/09,3,15,51
2012/10/10,3,14,51
2012/10/11,3,16,53
2012/10/12,3,16,54
2012/10/13,3,17,52
2012/10/14,3,19,55
2012/10/15,4,18,56
2012/10/16,4,19,56
2012/10/17,4,20,54
2012/10/18,4,20,55
2012/10/19,4,21,54
2012/10/20,4,21,57
2012/10/21,4,21,58
2012/10/22,4,21,59
2012/10/23,4,21,61
2012/10/24,4,21,60
2012/10/25,4,21,60
2012/10/26,4,21,62
2012/10/27,4,21,64
2012/10/28,4,21,67
2012/10/29,4,23,67
2012/10/30,3,25,67
2012/10/31,4,26,67
2012/11/01,3,26,66
2012/11/02,3,25,66
2012/11/03,4,26,66
2012/11/04,4,27,64
2012/11/05,4,28,58
2012/11/06,4,30,60
2012/11/07,4,30,60
2012/11/08,4,30,61
2012/11/09,4,30,62
2012/11/10,4,31,63
2012/11/11,4,31,64
2012/11/12,4,31,66
2012/11/13,4,32,65
2012/11/14,4,33,66
2012/11/15,4,34,66
2012/11/16,4,34,67
2012/11/17,4,35,66
2012/11/18,4,35,66
2012/11/19,5,35,63
2012/11/20,5,35,63
2012/11/21,5,36,63
2012/11/22,4,36,62
2012/11/23,4,37,62
2012/11/24,5,37,63
2012/11/25,4,36,62
2012/11/26,5,35,61
2012/11/27,4,33,62
2012/11/28,3,33,63
2012/11/29,3,32,62
2012/11/30,3,31,62
2012/12/01,3,31,63
2012/12/02,3,30,64
2012/12/03,3,30,62
2012/12/04,3,30,61
2012/12/05,3,30,61
2012/12/06,3,29,60
2012/12/07,3,27,59
2012/12/08,3,27,58
2012/12/09,3,27,58
2012/12/10,4,28,58
2012/12/11,4,27,60
2012/12/12,4,27,59
2012/12/13,4,26,59
2012/12/14,4,23,60
2012/12/15,4,23,61
2012/12/16,4,23,60
2012/12/17,4,23,59
2012/12/18,4,24,60
2012/12/19,4,24,59
2012/12/20,4,23,56
2012/12/21,4,23,57
2012/12/22,4,25,60
2012/12/23,4,24,64
2012/12/24,4,25,64
2012/12/25,5,25,64
2012/12/26,5,25,63
2012/12/27,5,26,62
2012/12/28,4,27,66
2012/12/29,5,28,65
2012/12/30,5,30,65
2012/12/31,5,29,65
2013/01/01,5,29,66
2013/01/02,5,28,66
2013/01/03,5,29,66
2013/01/04,5,30,68
2013/01/05,5,31,68
2013/01/06,5,31,69
2013/01/07,5,31,71
2013/01/08,5,29,73
2013/01/09,5,30,72
2013/01/10,5,32,71
2013/01/11,5,31,70
2013/01/12,4,32,71
2013/01/13,4,32,72
2013/01/14,4,32,73
2013/01/15,4,34,73
2013/01/16,4,32,75
2013/01/17,4,33,75
2013/01/18,5,33,77
2013/01/19,5,32,77
2013/01/20,5,32,75
2013/01/21,5,30,72
2013/01/22,5,30,72
2013/01/23,5,30,74
2013/01/24,5,31,74
2013/01/25,5,31,74
2013/01/26,5,29,72
2013/01/27,5,29,69
2013/01/28,4,29,70
2013/01/29,4,28,70
2013/01/30,4,28,69
2013/01/31,4,29,67
2013/02/01,4,29,66
2013/02/02,4,30,65
2013/02/03,4,30,63
2013/02/04,4,31,65
2013/02/05,4,30,65
2013/02/06,4,29,65
2013/02/07,4,30,63
2013/02/08,4,30,64
2013/02/09,4,33,62
