date,cywiki (100+),cywiki (5+),cywiki (all)
2012/08/19,14,43,133
2012/08/20,13,42,130
2012/08/21,13,44,127
2012/08/22,13,44,130
2012/08/23,13,43,131
2012/08/24,13,46,127
2012/08/25,13,42,128
2012/08/26,13,42,126
2012/08/27,13,42,123
2012/08/28,13,44,126
2012/08/29,13,44,126
2012/08/30,13,45,125
2012/08/31,13,46,123
2012/09/01,13,46,124
2012/09/02,13,46,128
2012/09/03,12,47,123
2012/09/04,13,47,124
2012/09/05,13,48,124
2012/09/06,13,48,123
2012/09/07,14,47,125
2012/09/08,14,47,124
2012/09/09,14,47,127
2012/09/10,14,47,130
2012/09/11,14,47,129
2012/09/12,13,46,124
2012/09/13,11,47,124
2012/09/14,11,47,122
2012/09/15,11,47,122
2012/09/16,11,47,119
2012/09/17,11,46,121
2012/09/18,11,46,123
2012/09/19,11,46,124
2012/09/20,12,45,123
2012/09/21,12,46,121
2012/09/22,11,47,125
2012/09/23,11,48,126
2012/09/24,11,47,119
2012/09/25,11,47,117
2012/09/26,10,48,120
2012/09/27,10,48,117
2012/09/28,11,48,116
2012/09/29,11,47,114
2012/09/30,11,44,116
2012/10/01,11,46,114
2012/10/02,11,43,112
2012/10/03,11,44,111
2012/10/04,11,44,110
2012/10/05,11,43,109
2012/10/06,11,43,109
2012/10/07,11,43,107
2012/10/08,11,43,106
2012/10/09,10,41,105
2012/10/10,10,40,107
2012/10/11,10,40,108
2012/10/12,10,40,108
2012/10/13,10,39,105
2012/10/14,9,40,107
2012/10/15,9,41,108
2012/10/16,9,40,107
2012/10/17,9,41,107
2012/10/18,9,40,104
2012/10/19,10,40,107
2012/10/20,10,41,108
2012/10/21,11,41,107
2012/10/22,11,42,105
2012/10/23,11,42,107
2012/10/24,11,43,107
2012/10/25,12,43,106
2012/10/26,12,41,106
2012/10/27,12,41,109
2012/10/28,12,42,110
2012/10/29,11,41,111
2012/10/30,11,39,110
2012/10/31,12,38,112
2012/11/01,13,38,112
2012/11/02,13,39,117
2012/11/03,13,38,118
2012/11/04,13,40,120
2012/11/05,12,40,120
2012/11/06,12,40,118
2012/11/07,12,40,119
2012/11/08,12,40,120
2012/11/09,12,40,119
2012/11/10,12,40,121
2012/11/11,12,41,121
2012/11/12,12,41,123
2012/11/13,12,40,125
2012/11/14,12,39,126
2012/11/15,12,40,127
2012/11/16,12,41,125
2012/11/17,12,42,128
2012/11/18,12,42,126
2012/11/19,12,42,124
2012/11/20,11,42,124
2012/11/21,11,42,124
2012/11/22,11,41,120
2012/11/23,11,39,127
2012/11/24,13,39,127
2012/11/25,13,39,125
2012/11/26,12,39,125
2012/11/27,13,40,128
2012/11/28,13,40,126
2012/11/29,12,41,125
2012/11/30,12,42,127
2012/12/01,12,43,129
2012/12/02,12,43,125
2012/12/03,12,43,123
2012/12/04,12,42,119
2012/12/05,12,43,118
2012/12/06,12,43,121
2012/12/07,12,43,125
2012/12/08,12,42,123
2012/12/09,12,42,123
2012/12/10,12,42,120
2012/12/11,12,44,121
2012/12/12,12,43,122
2012/12/13,12,44,121
2012/12/14,12,44,123
2012/12/15,13,43,119
2012/12/16,12,43,120
2012/12/17,13,43,120
2012/12/18,12,45,121
2012/12/19,13,46,122
2012/12/20,12,46,124
2012/12/21,12,46,125
2012/12/22,12,46,125
2012/12/23,12,46,122
2012/12/24,13,45,123
2012/12/25,13,45,123
2012/12/26,13,44,120
2012/12/27,14,43,119
2012/12/28,14,42,117
2012/12/29,14,41,118
2012/12/30,12,42,122
2012/12/31,13,42,123
2013/01/01,13,44,126
2013/01/02,14,42,129
2013/01/03,13,42,127
2013/01/04,13,43,129
2013/01/05,13,44,133
2013/01/06,12,43,132
2013/01/07,12,43,131
2013/01/08,13,43,130
2013/01/09,12,44,131
2013/01/10,12,44,131
2013/01/11,13,44,131
2013/01/12,14,42,126
2013/01/13,14,41,127
2013/01/14,14,41,130
2013/01/15,14,40,128
2013/01/16,13,41,126
2013/01/17,13,39,125
2013/01/18,13,39,125
2013/01/19,12,40,122
2013/01/20,12,40,121
2013/01/21,12,40,124
2013/01/22,11,41,127
2013/01/23,11,40,122
2013/01/24,11,40,123
2013/01/25,11,39,125
2013/01/26,12,40,129
2013/01/27,12,42,131
2013/01/28,12,44,130
2013/01/29,12,43,126
2013/01/30,12,43,124
2013/01/31,12,44,126
2013/02/01,11,44,124
2013/02/02,11,44,125
2013/02/03,11,43,124
2013/02/04,12,43,125
2013/02/05,12,43,127
2013/02/06,11,44,128
2013/02/07,11,45,125
2013/02/08,11,44,127
2013/02/09,11,44,128
2013/02/10,11,44,126
2013/02/11,11,47,133
2013/02/12,11,47,133
2013/02/13,11,46,131
2013/02/14,12,46,132
2013/02/15,12,46,130
2013/02/16,12,47,133
2013/02/17,12,48,133
2013/02/18,12,48,135
2013/02/19,12,49,137
2013/02/20,14,49,141
2013/02/21,14,49,139
2013/02/22,14,49,138
