date,towiki (100+),towiki (5+),towiki (all)
2012/08/19,,11,19
2012/08/20,,11,19
2012/08/21,,8,17
2012/08/22,,7,17
2012/08/23,,7,17
2012/08/24,,6,17
2012/08/25,,6,17
2012/08/26,,6,17
2012/08/27,,6,18
2012/08/28,,6,19
2012/08/29,,6,20
2012/08/30,,6,21
2012/08/31,,7,22
2012/09/01,,7,22
2012/09/02,,7,21
2012/09/03,,5,21
2012/09/04,,5,21
2012/09/05,,4,20
2012/09/06,,4,20
2012/09/07,,4,20
2012/09/08,,4,19
2012/09/09,,4,19
2012/09/10,,4,19
2012/09/11,,4,18
2012/09/12,,4,19
2012/09/13,,4,17
2012/09/14,,4,17
2012/09/15,,4,16
2012/09/16,,4,16
2012/09/17,,4,17
2012/09/18,,4,17
2012/09/19,,4,17
2012/09/20,,4,18
2012/09/21,,4,18
2012/09/22,,4,18
2012/09/23,,5,18
2012/09/24,,5,18
2012/09/25,,6,18
2012/09/26,,6,17
2012/09/27,,6,17
2012/09/28,,6,18
2012/09/29,,7,18
2012/09/30,,7,18
2012/10/01,,7,18
2012/10/02,,7,19
2012/10/03,,7,19
2012/10/04,,7,18
2012/10/05,,7,18
2012/10/06,,6,18
2012/10/07,,6,18
2012/10/08,,6,19
2012/10/09,,6,19
2012/10/10,,6,19
2012/10/11,,6,19
2012/10/12,,6,18
2012/10/13,,6,18
2012/10/14,,6,19
2012/10/15,,6,19
2012/10/16,,6,19
2012/10/17,,6,19
2012/10/18,,6,19
2012/10/19,,6,18
2012/10/20,,6,17
2012/10/21,,6,21
2012/10/22,,6,21
2012/10/23,,6,21
2012/10/24,,7,21
2012/10/25,,6,20
2012/10/26,,6,22
2012/10/27,,7,22
2012/10/28,,7,20
2012/10/29,,7,21
2012/10/30,,6,20
2012/10/31,,6,20
2012/11/01,,6,19
2012/11/02,,6,19
2012/11/03,,6,20
2012/11/04,,6,21
2012/11/05,,6,21
2012/11/06,,6,22
2012/11/07,,6,21
2012/11/08,,6,21
2012/11/09,,6,22
2012/11/10,,6,22
2012/11/11,,6,22
2012/11/12,,9,23
2012/11/13,,9,24
2012/11/14,,9,24
2012/11/15,,9,23
2012/11/16,,9,23
2012/11/17,,9,23
2012/11/18,,9,23
2012/11/19,,9,23
2012/11/20,,9,21
2012/11/21,,9,21
2012/11/22,,9,21
2012/11/23,,9,21
2012/11/24,,9,22
2012/11/25,,9,25
2012/11/26,,9,26
2012/11/27,,9,26
2012/11/28,,9,25
2012/11/29,,9,25
2012/11/30,,8,25
2012/12/01,,8,26
2012/12/02,,8,26
2012/12/03,,8,25
2012/12/04,,8,24
2012/12/05,,8,24
2012/12/06,,9,23
2012/12/07,,8,23
2012/12/08,,8,23
2012/12/09,,8,24
2012/12/10,,9,24
2012/12/11,,9,24
2012/12/12,,9,24
2012/12/13,,9,23
2012/12/14,,8,23
2012/12/15,,8,23
2012/12/16,,8,23
2012/12/17,,8,23
2012/12/18,,8,24
2012/12/19,,7,24
2012/12/20,,8,23
2012/12/21,,7,23
2012/12/22,,7,23
2012/12/23,,6,23
2012/12/24,,6,22
2012/12/25,,6,22
2012/12/26,,6,21
2012/12/27,,6,21
2012/12/28,,6,23
2012/12/29,,5,23
2012/12/30,,5,23
2012/12/31,,5,22
2013/01/01,,5,20
2013/01/02,,5,20
2013/01/03,,6,20
2013/01/04,,5,20
2013/01/05,,6,21
2013/01/06,,6,21
2013/01/07,,6,21
2013/01/08,,6,20
2013/01/09,,7,18
2013/01/10,,7,18
2013/01/11,,7,17
2013/01/12,,7,17
2013/01/13,,7,17
2013/01/14,,7,17
2013/01/15,,7,17
2013/01/16,,6,19
2013/01/17,,6,20
2013/01/18,,6,20
2013/01/19,,5,21
2013/01/20,,5,22
2013/01/21,,5,22
2013/01/22,,5,22
2013/01/23,,5,21
2013/01/24,,5,21
2013/01/25,,6,21
2013/01/26,,6,21
2013/01/27,,6,20
2013/01/28,,6,20
2013/01/29,,5,20
2013/01/30,,6,20
2013/01/31,,6,20
2013/02/01,,6,20
2013/02/02,,6,19
2013/02/03,,6,20
2013/02/04,,7,18
2013/02/05,,7,18
2013/02/06,,7,18
2013/02/07,,6,18
2013/02/08,,6,19
2013/02/09,,6,18
2013/02/10,,6,18
2013/02/11,,6,18
