date,cebwiki (100+),cebwiki (5+),cebwiki (all)
2013/02/02,8,20,50
2013/02/03,8,20,52
2013/02/04,8,20,51
2013/02/05,8,21,54
2013/02/06,8,20,57
2013/02/07,8,20,58
2013/02/08,8,21,58
2013/02/09,7,22,60
2013/02/10,8,23,61
2013/02/11,8,23,61
2013/02/12,8,23,64
2013/02/13,7,23,65
2013/02/14,7,23,66
2013/02/15,7,23,64
2013/02/16,7,23,66
2013/02/17,7,22,71
2013/02/18,7,24,72
2013/02/19,8,24,71
2013/02/20,8,24,72
2013/02/21,8,25,73
2013/02/22,8,24,73
2013/02/23,8,24,72
2013/02/24,8,24,71
2013/02/25,8,24,68
2013/02/26,8,23,70
2013/02/27,8,23,70
2013/02/28,8,24,69
2013/03/01,8,23,67
2013/03/02,8,23,69
2013/03/03,8,23,72
2013/03/04,8,23,72
2013/03/05,8,23,72
2013/03/06,9,24,72
2013/03/07,9,23,69
2013/03/08,10,23,68
2013/03/09,10,23,69
2013/03/10,10,24,71
2013/03/11,10,24,71
2013/03/12,10,25,73
2013/03/13,10,24,73
2013/03/14,10,23,72
2013/03/15,10,23,74
2013/03/16,10,22,72
2013/03/17,9,22,74
2013/03/18,9,22,72
2013/03/19,9,23,71
2013/03/20,9,22,70
2013/03/21,8,22,69
2013/03/22,8,22,67
2013/03/23,8,22,64
2013/03/24,8,22,65
2013/03/25,7,22,64
2013/03/26,7,22,66
2013/03/27,8,22,67
2013/03/28,8,23,67
2013/03/29,8,21,69
2013/03/30,8,20,70
2013/03/31,8,20,72
2013/04/01,7,18,73
2013/04/02,7,19,73
2013/04/03,8,21,75
2013/04/04,9,20,74
2013/04/05,9,19,73
2013/04/06,7,19,74
2013/04/07,6,16,69
2013/04/08,6,16,67
2013/04/09,6,16,65
2013/04/10,6,16,70
2013/04/11,6,16,70
2013/04/12,6,17,72
2013/04/13,6,17,73
2013/04/14,6,16,72
2013/04/15,7,17,72
2013/04/16,7,17,71
2013/04/17,7,17,70
2013/04/18,7,17,68
2013/04/19,7,15,70
2013/04/20,7,15,71
2013/04/21,7,15,72
2013/04/22,7,15,72
2013/04/23,7,15,74
2013/04/24,7,14,75
2013/04/25,7,15,75
2013/04/26,7,15,75
2013/04/27,7,15,72
2013/04/28,7,15,71
2013/04/29,7,15,70
2013/04/30,7,14,69
2013/05/01,7,13,66
2013/05/02,6,13,63
2013/05/03,6,14,64
2013/05/04,6,14,64
2013/05/05,6,14,63
2013/05/06,5,12,58
2013/05/07,5,12,59
2013/05/08,5,12,58
2013/05/09,3,11,60
2013/05/10,3,12,56
2013/05/11,3,11,56
2013/05/12,3,12,51
2013/05/13,3,13,48
2013/05/14,3,13,51
2013/05/15,3,13,55
2013/05/16,3,15,54
2013/05/17,3,15,55
2013/05/18,3,15,54
2013/05/19,3,14,54
2013/05/20,3,14,55
2013/05/21,4,15,55
2013/05/22,4,14,57
2013/05/23,3,13,55
2013/05/24,3,13,51
2013/05/25,2,14,50
2013/05/26,2,14,49
2013/05/27,2,13,50
2013/05/28,2,13,52
2013/05/29,2,15,54
2013/05/30,2,15,54
2013/05/31,2,14,55
2013/06/01,2,14,54
2013/06/02,2,14,48
2013/06/03,2,14,51
2013/06/04,2,14,51
2013/06/05,2,14,52
2013/06/06,2,14,52
2013/06/07,2,16,51
2013/06/08,2,16,49
2013/06/09,2,15,48
2013/06/10,2,16,48
2013/06/11,2,15,49
2013/06/12,2,16,51
2013/06/13,2,16,50
2013/06/14,2,16,50
2013/06/15,2,14,48
2013/06/16,2,14,51
2013/06/17,2,14,52
2013/06/18,2,14,53
2013/06/19,3,14,54
2013/06/20,2,13,55
2013/06/21,2,13,54
2013/06/22,3,13,53
2013/06/23,3,12,54
2013/06/24,4,13,55
2013/06/25,4,13,55
2013/06/26,4,13,58
2013/06/27,4,15,59
2013/06/28,4,13,62
2013/06/29,4,13,61
2013/06/30,4,14,60
2013/07/01,4,13,58
2013/07/02,4,13,61
2013/07/03,4,13,65
2013/07/04,4,13,66
2013/07/05,4,13,67
2013/07/06,5,14,70
2013/07/07,5,14,70
2013/07/08,5,14,72
2013/07/09,5,14,74
2013/07/10,5,15,75
2013/07/11,5,15,76
2013/07/12,5,15,77
2013/07/13,5,15,79
2013/07/14,5,15,80
2013/07/15,5,15,81
2013/07/16,5,15,77
2013/07/17,5,15,76
2013/07/18,5,15,76
2013/07/19,5,16,76
2013/07/20,5,18,79
2013/07/21,5,18,79
2013/07/22,5,18,79
2013/07/23,5,17,75
2013/07/24,4,17,74
2013/07/25,4,17,74
2013/07/26,4,17,75
2013/07/27,4,16,77
2013/07/28,4,16,75
2013/07/29,4,17,77
2013/07/30,4,16,77
2013/07/31,4,17,77
2013/08/01,3,17,76
2013/08/02,3,17,72
2013/08/03,3,17,72
2013/08/04,4,17,71
2013/08/05,4,17,68
2013/08/06,4,18,72
2013/08/07,4,18,71
2013/08/08,3,18,67
2013/08/09,3,18,67
2013/08/10,3,19,66
2013/08/11,3,17,63
2013/08/12,3,15,66
2013/08/13,3,15,64
2013/08/14,3,15,63
2013/08/15,3,17,67
2013/08/16,3,17,70
2013/08/17,3,18,69
2013/08/18,3,16,72
2013/08/19,3,16,69
2013/08/20,3,16,69
2013/08/21,3,16,69
2013/08/22,3,18,71
2013/08/23,3,18,71
2013/08/24,3,18,71
2013/08/25,3,16,69
2013/08/26,3,16,64
2013/08/27,3,16,66
2013/08/28,3,16,66
2013/08/29,3,16,69
2013/08/30,2,14,67
2013/08/31,2,14,66
2013/09/01,2,14,69
2013/09/02,1,14,68
2013/09/03,1,12,69
2013/09/04,1,10,68
2013/09/05,1,9,65
2013/09/06,1,9,66
2013/09/07,1,9,66
2013/09/08,1,9,64
2013/09/09,1,9,63
2013/09/10,1,9,63
2013/09/11,1,9,62
2013/09/12,1,9,62
2013/09/13,1,9,63
2013/09/14,1,9,59
2013/09/15,1,8,59
2013/09/16,1,9,59
2013/09/17,1,10,55
2013/09/18,1,10,54
2013/09/19,1,9,57
2013/09/20,1,7,57
2013/09/21,1,7,60
2013/09/22,1,7,60
2013/09/23,1,7,61
2013/09/24,1,7,60
2013/09/25,1,7,62
2013/09/26,1,8,63
2013/09/27,1,8,63
2013/09/28,1,9,61
2013/09/29,1,9,63
2013/09/30,1,10,63
2013/10/01,1,9,60
2013/10/02,1,10,61
2013/10/03,1,10,62
2013/10/04,1,10,63
2013/10/05,1,12,65
2013/10/06,1,12,64
2013/10/07,1,12,63
2013/10/08,1,13,66
2013/10/09,1,15,69
2013/10/10,1,16,69
2013/10/11,1,16,69
2013/10/12,1,15,68
2013/10/13,1,15,66
2013/10/14,1,15,65
2013/10/15,1,15,66
2013/10/16,1,15,68
2013/10/17,1,14,69
2013/10/18,1,14,69
2013/10/19,1,15,69
2013/10/20,,14,68
2013/10/21,,14,65
2013/10/22,,16,65
2013/10/23,,16,67
2013/10/24,,16,69
2013/10/25,,16,68
2013/10/26,,15,71
2013/10/27,,15,72
2013/10/28,,15,73
2013/10/29,,16,73
2013/10/30,,16,73
2013/10/31,,16,76
2013/11/01,,16,75
2013/11/02,,16,75
2013/11/03,,15,73
2013/11/04,,14,75
2013/11/05,,14,75
2013/11/06,,14,77
2013/11/07,1,14,77
2013/11/08,1,13,77
2013/11/09,1,13,78
2013/11/10,1,14,79
2013/11/11,2,18,79
2013/11/12,2,19,78
2013/11/13,2,19,82
2013/11/14,2,19,79
2013/11/15,2,19,81
2013/11/16,2,18,79
2013/11/17,2,19,78
2013/11/18,2,19,78
2013/11/19,2,19,78
2013/11/20,2,18,78
2013/11/21,2,18,78
2013/11/22,2,18,74
2013/11/23,2,18,69
2013/11/24,2,18,69
2013/11/25,2,18,66
2013/11/26,2,18,66
2013/11/27,2,17,67
2013/11/28,3,18,70
2013/11/29,3,19,75
2013/11/30,3,19,73
2013/12/01,3,19,73
2013/12/02,3,17,72
2013/12/03,3,16,74
2013/12/04,3,17,72
2013/12/05,3,17,72
2013/12/06,3,17,72
2013/12/07,3,18,74
2013/12/08,2,16,71
2013/12/09,2,16,70
2013/12/10,2,16,68
2013/12/11,1,14,71
2013/12/12,1,12,71
2013/12/13,1,11,67
2013/12/14,1,12,67
2013/12/15,1,12,68
2013/12/16,1,11,65
2013/12/17,1,10,64
2013/12/18,1,11,66
2013/12/19,1,10,65
2013/12/20,1,10,63
2013/12/21,1,10,63
2013/12/22,1,10,63
2013/12/23,1,10,62
2013/12/24,1,8,63
2013/12/25,1,9,63
2013/12/26,1,8,65
2013/12/27,1,8,62
2013/12/28,1,8,61
2013/12/29,1,8,56
2013/12/30,1,8,56
2013/12/31,1,8,55
2014/01/01,1,8,56
2014/01/02,1,8,54
2014/01/03,1,8,55
2014/01/04,1,8,59
2014/01/05,1,10,59
2014/01/06,1,8,57
2014/01/07,,7,53
2014/01/08,,8,49
2014/01/09,,8,51
2014/01/10,,8,49
2014/01/11,,8,49
2014/01/12,,7,50
2014/01/13,,6,48
2014/01/14,,6,47
2014/01/15,,7,47
2014/01/16,,7,48
2014/01/17,,6,45
2014/01/18,,6,47
2014/01/19,,6,48
2014/01/20,,7,49
2014/01/21,,8,50
2014/01/22,,8,50
2014/01/23,,8,53
2014/01/24,,8,55
2014/01/25,,8,51
2014/01/26,,9,52
2014/01/27,,11,54
2014/01/28,,12,55
2014/01/29,,12,57
2014/01/30,,13,61
2014/01/31,,13,62
2014/02/01,,13,62
2014/02/02,,13,63
2014/02/03,,15,62
2014/02/04,,15,61
2014/02/05,,15,61
2014/02/06,,15,63
2014/02/07,,14,62
2014/02/08,,16,65
2014/02/09,,19,66
2014/02/10,,19,66
2014/02/11,,20,68
2014/02/12,,20,71
2014/02/13,,20,71
2014/02/14,,21,75
2014/02/15,,21,74
2014/02/16,,22,76
2014/02/17,,24,73
2014/02/18,,24,72
2014/02/19,,24,73
2014/02/20,,24,77
2014/02/21,,23,78
2014/02/22,,23,73
2014/02/23,,23,72
2014/02/24,,23,72
2014/02/25,,22,75
2014/02/26,,23,74
2014/02/27,1,21,75
2014/02/28,1,22,74
2014/03/01,1,22,77
2014/03/02,1,22,73
2014/03/03,1,22,73
2014/03/04,1,24,74
2014/03/05,1,24,70
2014/03/06,1,25,71
2014/03/07,1,26,74
2014/03/08,1,26,75
2014/03/09,1,24,77
2014/03/10,1,23,75
2014/03/11,1,20,74
2014/03/12,1,19,75
2014/03/13,1,20,73
2014/03/14,1,19,72
2014/03/15,1,18,74
2014/03/16,1,17,71
2014/03/17,1,18,70
2014/03/18,1,16,69
2014/03/19,1,15,71
2014/03/20,1,15,71
2014/03/21,1,16,72
2014/03/22,1,15,70
2014/03/23,1,16,71
2014/03/24,1,16,74
2014/03/25,1,17,77
2014/03/26,1,17,80
2014/03/27,1,17,78
2014/03/28,1,16,83
2014/03/29,,16,82
2014/03/30,,17,82
2014/03/31,,18,79
2014/04/01,1,18,77
2014/04/02,1,18,77
2014/04/03,1,16,76
2014/04/04,1,13,76
2014/04/05,1,14,75
2014/04/06,1,12,70
2014/04/07,1,12,69
2014/04/08,2,13,69
2014/04/09,2,13,70
2014/04/10,2,13,71
2014/04/11,2,13,72
2014/04/12,2,13,73
2014/04/13,2,15,72
2014/04/14,2,15,71
2014/04/15,2,16,72
2014/04/16,2,16,72
2014/04/17,2,15,71
2014/04/18,3,16,71
2014/04/19,3,16,72
2014/04/20,3,16,72
2014/04/21,3,17,74
2014/04/22,3,18,73
2014/04/23,3,18,71
2014/04/24,3,17,69
2014/04/25,3,17,69
2014/04/26,3,18,70
2014/04/27,3,18,66
2014/04/28,3,18,68
2014/04/29,3,16,66
2014/04/30,2,15,66
2014/05/01,2,14,65
2014/05/02,2,14,65
2014/05/03,2,14,67
2014/05/04,2,13,67
2014/05/05,2,13,70
2014/05/06,2,13,72
2014/05/07,2,14,69
2014/05/08,2,14,69
2014/05/09,2,14,69
2014/05/10,2,13,69
2014/05/11,2,13,69
2014/05/12,2,13,67
2014/05/13,2,11,68
2014/05/14,1,11,67
2014/05/15,1,10,68
2014/05/16,1,10,67
2014/05/17,1,10,65
2014/05/18,1,9,67
2014/05/19,1,9,64
2014/05/20,1,10,63
2014/05/21,1,9,62
2014/05/22,,6,59
2014/05/23,,6,61
2014/05/24,,5,64
2014/05/25,,6,63
2014/05/26,,4,63
2014/05/27,,4,63
2014/05/28,,4,60
2014/05/29,,4,61
2014/05/30,,6,65
2014/05/31,,6,64
2014/06/01,,6,66
2014/06/02,,7,64
2014/06/03,,7,64
2014/06/04,,7,63
2014/06/05,,7,62
2014/06/06,1,6,60
2014/06/07,1,6,62
2014/06/08,1,6,62
2014/06/09,1,6,62
2014/06/10,1,7,63
2014/06/11,1,8,65
2014/06/12,1,9,64
2014/06/13,1,9,63
2014/06/14,1,10,63
2014/06/15,1,10,61
2014/06/16,1,10,62
2014/06/17,1,10,64
2014/06/18,1,11,64
2014/06/19,1,11,64
2014/06/20,1,11,66
2014/06/21,1,11,67
2014/06/22,1,11,66
2014/06/23,1,11,63
2014/06/24,1,10,66
2014/06/25,1,11,64
2014/06/26,1,11,64
2014/06/27,1,11,66
2014/06/28,1,11,65
2014/06/29,1,9,62
2014/06/30,1,9,64
2014/07/01,1,10,64
2014/07/02,1,10,64
2014/07/03,1,10,62
2014/07/04,1,10,62
2014/07/05,1,10,62
2014/07/06,1,10,63
2014/07/07,1,10,61
2014/07/08,1,10,59
2014/07/09,1,10,60
2014/07/10,1,9,62
2014/07/11,1,10,64
2014/07/12,,11,64
2014/07/13,,11,66
2014/07/14,,11,67
2014/07/15,,11,68
2014/07/16,,11,67
2014/07/17,,11,64
2014/07/18,,10,66
2014/07/19,,11,68
2014/07/20,,11,66
2014/07/21,,12,65
2014/07/22,,12,66
2014/07/23,,13,67
2014/07/24,,13,66
2014/07/25,,12,70
2014/07/26,1,12,68
2014/07/27,1,12,67
2014/07/28,1,13,70
2014/07/29,2,16,72
2014/07/30,2,16,69
2014/07/31,2,15,68
2014/08/01,2,14,69
2014/08/02,2,14,69
2014/08/03,2,14,69
2014/08/04,2,14,69
2014/08/05,2,14,72
2014/08/06,2,15,72
2014/08/07,2,15,70
2014/08/08,2,15,69
2014/08/09,2,15,68
2014/08/10,2,14,64
2014/08/11,2,13,64
2014/08/12,2,12,64
2014/08/13,2,12,64
2014/08/14,2,11,67
2014/08/15,2,11,66
2014/08/16,2,12,65
2014/08/17,2,11,65
2014/08/18,2,10,62
2014/08/19,2,10,64
2014/08/20,2,10,62
2014/08/21,2,9,61
2014/08/22,2,9,61
2014/08/23,2,10,62
2014/08/24,2,13,62
2014/08/25,2,13,63
2014/08/26,2,13,64
2014/08/27,2,13,63
2014/08/28,2,13,61
2014/08/29,2,13,61
2014/08/30,2,13,64
2014/08/31,2,13,65
2014/09/01,2,15,68
2014/09/02,2,15,68
2014/09/03,2,17,73
2014/09/04,1,16,68
2014/09/05,1,16,70
2014/09/06,1,16,70
2014/09/07,1,16,70
2014/09/08,1,16,71
2014/09/09,1,16,72
2014/09/10,1,16,71
2014/09/11,,15,69
2014/09/12,,15,67
2014/09/13,,16,65
2014/09/14,,16,66
2014/09/15,,15,66
2014/09/16,,15,67
2014/09/17,1,16,71
2014/09/18,1,15,72
2014/09/19,1,15,72
2014/09/20,1,15,73
2014/09/21,1,16,76
2014/09/22,1,16,73
2014/09/23,1,12,71
2014/09/24,1,12,71
2014/09/25,1,12,70
2014/09/26,1,12,69
2014/09/27,1,13,72
2014/09/28,1,13,69
2014/09/29,1,12,69
2014/09/30,1,12,70
2014/10/01,1,11,69
2014/10/02,1,11,67
2014/10/03,1,9,62
2014/10/04,1,9,62
2014/10/05,1,9,61
2014/10/06,2,11,63
2014/10/07,2,11,63
2014/10/08,2,11,62
2014/10/09,2,11,59
2014/10/10,2,11,59
2014/10/11,2,11,58
2014/10/12,2,11,60
2014/10/13,2,12,60
2014/10/14,2,11,58
2014/10/15,2,11,62
2014/10/16,2,11,61
2014/10/17,1,10,58
2014/10/18,1,11,58
2014/10/19,1,12,58
2014/10/20,1,11,56
2014/10/21,1,9,55
2014/10/22,1,10,55
2014/10/23,1,10,57
2014/10/24,1,11,56
2014/10/25,1,12,55
2014/10/26,1,12,57
2014/10/27,1,12,55
2014/10/28,1,12,55
2014/10/29,1,10,55
2014/10/30,1,9,53
2014/10/31,1,10,53
2014/11/01,1,10,53
2014/11/02,1,10,53
2014/11/03,1,11,55
2014/11/04,1,10,55
2014/11/05,1,10,55
2014/11/06,1,10,57
2014/11/07,1,9,57
2014/11/08,1,9,58
2014/11/09,1,9,57
2014/11/10,1,7,59
2014/11/11,1,7,58
2014/11/12,1,8,56
2014/11/13,1,8,59
2014/11/14,1,7,55
2014/11/15,1,7,54
2014/11/16,1,7,55
2014/11/17,1,8,54
2014/11/18,1,7,52
2014/11/19,1,7,52
2014/11/20,1,7,52
2014/11/21,1,8,51
2014/11/22,1,9,50
2014/11/23,1,9,50
2014/11/24,1,9,51
2014/11/25,1,10,50
2014/11/26,1,10,51
2014/11/27,1,10,54
2014/11/28,1,9,53
2014/11/29,1,9,52
2014/11/30,1,6,55
2014/12/01,1,6,58
2014/12/02,1,7,59
2014/12/03,1,7,58
2014/12/04,1,7,59
2014/12/05,1,7,60
2014/12/06,1,7,59
2014/12/07,1,7,60
2014/12/08,1,7,61
2014/12/09,1,7,61
2014/12/10,1,7,60
2014/12/11,1,9,61
2014/12/12,1,9,63
2014/12/13,1,9,61
2014/12/14,1,10,60
2014/12/15,1,10,60
2014/12/16,1,10,59
2014/12/17,1,11,60
2014/12/18,1,12,61
2014/12/19,,11,58
2014/12/20,,11,59
2014/12/21,,11,60
2014/12/22,,11,60
2014/12/23,,11,62
2014/12/24,,11,60
2014/12/25,,11,61
2014/12/26,,10,60
2014/12/27,,10,59
2014/12/28,,10,57
2014/12/29,,10,58
2014/12/30,,10,56
2014/12/31,,11,53
2015/01/01,,10,51
2015/01/02,,10,50
2015/01/03,,10,51
2015/01/04,,10,51
2015/01/05,,11,52
2015/01/06,,12,56
2015/01/07,,12,56
2015/01/08,,12,55
2015/01/09,,12,54
2015/01/10,,12,53
2015/01/11,,11,55
2015/01/12,,11,53
2015/01/13,,9,55
2015/01/14,,8,55
2015/01/15,,10,56
2015/01/16,,9,58
2015/01/17,,9,59
2015/01/18,,8,57
2015/01/19,,8,54
2015/01/20,,9,55
2015/01/21,,9,53
2015/01/22,,8,52
2015/01/23,,8,52
2015/01/24,,8,52
2015/01/25,,8,52
2015/01/26,,9,52
2015/01/27,,9,57
2015/01/28,,9,58
2015/01/29,,9,61
2015/01/30,,8,63
2015/01/31,,8,66
2015/02/01,,9,70
2015/02/02,,9,72
2015/02/03,,9,73
2015/02/04,,10,70
2015/02/05,,8,67
2015/02/06,,7,68
2015/02/07,,7,71
2015/02/08,,7,71
2015/02/09,,7,73
2015/02/10,,7,69
2015/02/11,,7,70
2015/02/12,,7,69
2015/02/13,,8,71
2015/02/14,,8,72
2015/02/15,,8,75
2015/02/16,,7,73
2015/02/17,,8,75
2015/02/18,1,8,75
2015/02/19,1,7,73
2015/02/20,1,8,77
2015/02/21,1,10,76
2015/02/22,1,11,77
2015/02/23,1,11,76
2015/02/24,1,11,76
2015/02/25,1,11,76
2015/02/26,1,11,72
2015/02/27,1,12,73
2015/02/28,1,12,71
2015/03/01,1,11,71
2015/03/02,1,12,72
2015/03/03,1,12,68
2015/03/04,1,12,67
2015/03/05,1,13,66
2015/03/06,1,14,66
2015/03/07,1,14,67
2015/03/08,1,14,66
2015/03/09,1,15,64
2015/03/10,1,15,69
2015/03/11,1,15,68
2015/03/12,1,15,69
2015/03/13,1,15,71
2015/03/14,1,15,72
2015/03/15,,15,69
2015/03/16,,15,71
2015/03/17,,15,69
2015/03/18,,15,70
2015/03/19,,15,71
2015/03/20,,14,69
2015/03/21,,14,69
2015/03/22,,12,70
2015/03/23,,12,67
2015/03/24,,11,65
2015/03/25,,11,65
2015/03/26,,10,63
2015/03/27,,9,61
2015/03/28,,10,60
2015/03/29,,10,57
2015/03/30,,11,60
2015/03/31,1,12,58
2015/04/01,2,12,57
2015/04/02,2,11,60
2015/04/03,2,11,61
2015/04/04,1,11,61
2015/04/05,1,11,60
2015/04/06,1,11,59
2015/04/07,1,12,57
2015/04/08,1,11,58
2015/04/09,1,11,55
2015/04/10,2,11,53
2015/04/11,1,10,53
2015/04/12,1,9,49
2015/04/13,1,9,49
2015/04/14,1,10,49
2015/04/15,1,9,48
2015/04/16,1,9,51
2015/04/17,1,9,50
2015/04/18,1,9,49
2015/04/19,1,10,51
2015/04/20,1,10,51
2015/04/21,1,10,48
2015/04/22,1,10,49
2015/04/23,1,10,50
2015/04/24,1,10,50
2015/04/25,1,10,55
2015/04/26,1,11,56
2015/04/27,1,11,57
2015/04/28,1,11,59
2015/04/29,1,10,57
2015/04/30,1,10,57
2015/05/01,1,10,59
2015/05/02,1,10,57
2015/05/03,1,10,56
2015/05/04,1,10,58
2015/05/05,1,10,56
2015/05/06,1,9,58
2015/05/07,1,9,59
2015/05/08,1,9,57
2015/05/09,1,8,55
2015/05/10,1,7,54
2015/05/11,1,7,56
2015/05/12,1,9,56
2015/05/13,1,10,55
2015/05/14,1,10,57
2015/05/15,1,9,56
2015/05/16,1,9,53
2015/05/17,1,9,56
2015/05/18,1,8,56
2015/05/19,1,8,56
2015/05/20,1,9,55
2015/05/21,1,9,56
2015/05/22,1,9,55
2015/05/23,1,10,56
2015/05/24,1,11,56
2015/05/25,1,11,55
2015/05/26,1,11,57
2015/05/27,1,12,56
2015/05/28,1,12,53
2015/05/29,1,12,55
2015/05/30,1,12,54
2015/05/31,1,12,54
2015/06/01,1,13,57
2015/06/02,1,13,57
2015/06/03,1,13,58
2015/06/04,1,13,59
2015/06/05,1,12,55
2015/06/06,1,12,54
2015/06/07,1,13,54
2015/06/08,1,13,55
2015/06/09,1,13,56
2015/06/10,1,13,58
2015/06/11,1,12,59
2015/06/12,1,12,63
2015/06/13,1,12,62
2015/06/14,1,12,66
2015/06/15,1,13,66
2015/06/16,1,13,64
2015/06/17,1,13,63
2015/06/18,1,12,60
2015/06/19,1,14,63
2015/06/20,1,13,61
2015/06/21,1,13,62
2015/06/22,1,13,61
2015/06/23,1,11,59
2015/06/24,1,11,58
2015/06/25,1,12,59
2015/06/26,1,11,58
2015/06/27,1,11,58
2015/06/28,1,11,57
2015/06/29,1,11,59
2015/06/30,1,11,58
2015/07/01,1,11,57
2015/07/02,1,11,58
2015/07/03,1,11,56
2015/07/04,1,9,59
2015/07/05,1,10,61
2015/07/06,1,13,60
2015/07/07,1,14,60
2015/07/08,1,13,62
2015/07/09,1,12,64
2015/07/10,1,12,62
2015/07/11,1,12,63
2015/07/12,1,13,63
2015/07/13,1,14,65
2015/07/14,1,14,65
2015/07/15,2,13,65
2015/07/16,2,14,66
2015/07/17,2,15,66
2015/07/18,2,13,65
2015/07/19,2,12,66
2015/07/20,2,12,67
2015/07/21,2,12,66
2015/07/22,2,12,63
2015/07/23,2,13,65
2015/07/24,2,13,65
2015/07/25,2,12,66
2015/07/26,2,13,66
2015/07/27,2,12,66
2015/07/28,2,13,66
2015/07/29,2,13,65
2015/07/30,2,13,65
2015/07/31,2,13,66
2015/08/01,2,13,65
2015/08/02,2,13,66
2015/08/03,2,14,66
2015/08/04,2,13,68
2015/08/05,3,14,75
2015/08/06,3,15,73
2015/08/07,2,16,74
2015/08/08,2,16,76
2015/08/09,2,16,75
