date,siwiki (100+),siwiki (5+),siwiki (all)
2012/08/19,5,29,70
2012/08/20,5,29,71
2012/08/21,5,28,73
2012/08/22,5,30,75
2012/08/23,5,30,74
2012/08/24,6,33,74
2012/08/25,6,29,75
2012/08/26,6,29,76
2012/08/27,6,29,79
2012/08/28,6,30,79
2012/08/29,6,31,85
2012/08/30,6,34,89
2012/08/31,6,35,90
2012/09/01,6,36,91
2012/09/02,6,37,91
2012/09/03,6,38,96
2012/09/04,6,38,96
2012/09/05,6,38,98
2012/09/06,6,40,98
2012/09/07,7,41,97
2012/09/08,7,41,96
2012/09/09,8,42,97
2012/09/10,8,42,97
2012/09/11,8,43,94
2012/09/12,8,42,93
2012/09/13,8,44,94
2012/09/14,8,43,92
2012/09/15,9,43,90
2012/09/16,8,44,90
2012/09/17,8,43,88
2012/09/18,8,43,91
2012/09/19,8,42,92
2012/09/20,8,44,91
2012/09/21,8,43,93
2012/09/22,9,41,92
2012/09/23,9,42,93
2012/09/24,10,44,94
2012/09/25,10,44,92
2012/09/26,10,44,92
2012/09/27,10,44,91
2012/09/28,10,44,89
2012/09/29,10,40,85
2012/09/30,8,41,85
2012/10/01,8,40,83
2012/10/02,8,41,81
2012/10/03,8,39,81
2012/10/04,8,38,80
2012/10/05,8,39,81
2012/10/06,7,39,81
2012/10/07,8,40,80
2012/10/08,7,40,80
2012/10/09,7,39,77
2012/10/10,7,39,75
2012/10/11,7,39,75
2012/10/12,7,39,75
2012/10/13,7,37,76
2012/10/14,7,37,76
2012/10/15,7,36,74
2012/10/16,7,38,76
2012/10/17,7,38,76
2012/10/18,7,36,75
2012/10/19,7,35,72
2012/10/20,7,35,74
2012/10/21,7,36,74
2012/10/22,7,36,75
2012/10/23,7,35,74
2012/10/24,6,32,72
2012/10/25,6,33,74
2012/10/26,6,33,77
2012/10/27,6,32,76
2012/10/28,6,33,78
2012/10/29,6,37,81
2012/10/30,6,36,83
2012/10/31,6,38,84
2012/11/01,7,37,84
2012/11/02,7,37,82
2012/11/03,7,36,80
2012/11/04,8,37,80
2012/11/05,7,37,80
2012/11/06,8,37,78
2012/11/07,8,38,79
2012/11/08,8,37,79
2012/11/09,7,37,79
2012/11/10,7,38,79
2012/11/11,7,38,78
2012/11/12,7,37,78
2012/11/13,7,37,78
2012/11/14,8,38,79
2012/11/15,7,37,78
2012/11/16,7,39,77
2012/11/17,7,39,76
2012/11/18,7,38,80
2012/11/19,7,39,76
2012/11/20,7,37,75
2012/11/21,7,36,75
2012/11/22,8,36,77
2012/11/23,8,37,76
2012/11/24,7,37,75
2012/11/25,6,37,74
2012/11/26,6,36,73
2012/11/27,5,35,71
2012/11/28,5,31,69
2012/11/29,5,31,68
2012/11/30,4,31,66
2012/12/01,4,32,68
2012/12/02,4,32,67
2012/12/03,4,32,68
2012/12/04,4,32,67
2012/12/05,4,31,67
2012/12/06,4,31,67
2012/12/07,5,30,67
2012/12/08,5,27,66
2012/12/09,5,28,65
2012/12/10,5,28,63
2012/12/11,5,28,64
2012/12/12,6,30,65
2012/12/13,6,28,65
2012/12/14,6,28,65
2012/12/15,6,29,66
2012/12/16,6,27,66
2012/12/17,6,27,67
2012/12/18,6,27,68
2012/12/19,7,27,68
2012/12/20,7,27,69
2012/12/21,7,28,67
2012/12/22,6,27,63
2012/12/23,6,27,65
2012/12/24,7,28,65
2012/12/25,7,29,65
2012/12/26,7,29,64
2012/12/27,8,29,65
2012/12/28,8,29,66
2012/12/29,8,29,67
2012/12/30,8,31,70
2012/12/31,8,31,71
2013/01/01,8,32,72
2013/01/02,8,32,74
2013/01/03,8,33,72
2013/01/04,8,33,71
2013/01/05,8,32,72
2013/01/06,8,31,72
2013/01/07,8,31,73
2013/01/08,8,31,74
2013/01/09,8,30,76
2013/01/10,7,30,76
2013/01/11,7,28,74
2013/01/12,6,29,75
2013/01/13,6,29,73
2013/01/14,6,29,76
2013/01/15,6,30,74
2013/01/16,7,30,76
2013/01/17,7,30,76
2013/01/18,7,31,75
2013/01/19,7,32,76
2013/01/20,7,31,75
2013/01/21,7,32,76
2013/01/22,7,32,75
2013/01/23,7,33,74
2013/01/24,7,32,74
2013/01/25,7,33,75
2013/01/26,7,32,75
2013/01/27,7,33,76
2013/01/28,7,32,76
2013/01/29,7,33,77
2013/01/30,7,33,76
2013/01/31,6,34,78
2013/02/01,6,34,74
2013/02/02,6,33,74
2013/02/03,6,31,77
2013/02/04,7,30,79
2013/02/05,7,30,79
2013/02/06,7,32,78
2013/02/07,7,32,77
2013/02/08,7,32,76
2013/02/09,7,33,73
2013/02/10,7,34,74
2013/02/11,7,33,75
2013/02/12,7,33,76
2013/02/13,7,32,77
2013/02/14,7,30,77
2013/02/15,7,30,77
2013/02/16,7,30,76
2013/02/17,7,30,78
2013/02/18,7,29,77
2013/02/19,7,29,78
2013/02/20,7,32,77
2013/02/21,7,32,76
2013/02/22,7,31,75
2013/02/23,7,31,74
2013/02/24,6,31,74
2013/02/25,6,30,72
2013/02/26,6,33,74
2013/02/27,6,33,71
2013/02/28,6,33,71
2013/03/01,6,34,73
2013/03/02,6,34,73
2013/03/03,6,35,80
2013/03/04,6,36,82
2013/03/05,6,37,84
2013/03/06,6,35,84
2013/03/07,6,38,81
2013/03/08,7,38,79
2013/03/09,7,38,79
2013/03/10,7,37,81
2013/03/11,7,37,83
2013/03/12,7,38,86
2013/03/13,7,39,86
2013/03/14,8,36,86
2013/03/15,7,39,85
2013/03/16,6,42,89
2013/03/17,6,44,92
2013/03/18,6,51,92
2013/03/19,8,56,97
2013/03/20,8,62,107
2013/03/21,10,66,118
2013/03/22,10,79,126
2013/03/23,12,91,137
2013/03/24,12,97,144
2013/03/25,13,102,152
2013/03/26,13,111,162
2013/03/27,13,110,162
2013/03/28,14,107,162
2013/03/29,13,107,161
2013/03/30,13,108,160
2013/03/31,13,108,161
2013/04/01,13,108,161
2013/04/02,13,108,161
2013/04/03,13,105,158
2013/04/04,13,104,158
2013/04/05,12,103,154
2013/04/06,13,102,150
2013/04/07,14,102,151
2013/04/08,12,100,150
2013/04/09,12,99,151
2013/04/10,12,98,149
2013/04/11,12,99,148
2013/04/12,12,98,147
2013/04/13,12,98,148
2013/04/14,12,99,148
2013/04/15,11,100,149
2013/04/16,12,99,147
2013/04/17,11,98,145
2013/04/18,10,99,145
2013/04/19,11,97,143
2013/04/20,10,94,141
2013/04/21,8,89,139
2013/04/22,7,82,137
2013/04/23,5,72,129
2013/04/24,5,61,121
2013/04/25,5,26,79
2013/04/26,5,25,73
2013/04/27,5,21,68
2013/04/28,5,19,65
2013/04/29,5,19,63
2013/04/30,5,18,62
2013/05/01,5,17,59
2013/05/02,5,17,57
2013/05/03,4,19,55
2013/05/04,5,19,53
2013/05/05,5,18,52
2013/05/06,4,18,51
2013/05/07,5,18,50
2013/05/08,5,18,49
2013/05/09,5,18,48
2013/05/10,5,18,48
2013/05/11,5,17,49
2013/05/12,4,18,48
2013/05/13,4,16,47
2013/05/14,4,17,47
2013/05/15,5,17,49
2013/05/16,4,17,50
2013/05/17,4,16,50
2013/05/18,4,16,48
2013/05/19,4,15,49
2013/05/20,3,16,50
2013/05/21,3,16,48
2013/05/22,3,15,47
2013/05/23,3,16,48
2013/05/24,3,15,45
2013/05/25,3,15,41
2013/05/26,2,13,36
2013/05/27,2,14,36
2013/05/28,2,14,36
2013/05/29,2,13,37
2013/05/30,2,14,38
2013/05/31,2,15,39
2013/06/01,2,15,40
2013/06/02,2,12,39
2013/06/03,2,12,39
2013/06/04,2,13,40
2013/06/05,2,13,41
2013/06/06,2,13,45
2013/06/07,2,14,47
2013/06/08,2,14,45
2013/06/09,2,15,46
2013/06/10,2,15,45
2013/06/11,2,15,47
2013/06/12,2,15,48
2013/06/13,2,15,47
2013/06/14,2,16,47
2013/06/15,2,16,46
2013/06/16,2,16,47
2013/06/17,2,16,48
2013/06/18,2,17,47
2013/06/19,3,18,47
2013/06/20,3,18,47
2013/06/21,3,18,47
2013/06/22,3,18,46
2013/06/23,3,18,46
2013/06/24,3,18,46
2013/06/25,3,18,48
2013/06/26,3,19,48
2013/06/27,3,19,48
2013/06/28,3,18,49
2013/06/29,3,17,46
2013/06/30,3,17,49
2013/07/01,3,18,47
2013/07/02,3,18,47
2013/07/03,3,18,50
2013/07/04,3,18,51
2013/07/05,3,17,53
2013/07/06,3,16,54
2013/07/07,3,17,52
2013/07/08,3,17,50
2013/07/09,3,16,51
2013/07/10,3,16,52
2013/07/11,3,14,50
2013/07/12,3,14,49
2013/07/13,4,14,48
2013/07/14,4,14,47
2013/07/15,4,14,47
2013/07/16,4,14,47
2013/07/17,4,14,46
2013/07/18,4,15,47
2013/07/19,3,15,46
2013/07/20,3,15,48
2013/07/21,3,14,49
2013/07/22,3,14,48
2013/07/23,3,14,46
2013/07/24,3,14,45
2013/07/25,3,14,43
2013/07/26,3,14,43
2013/07/27,3,14,43
2013/07/28,3,15,42
2013/07/29,3,15,43
2013/07/30,2,13,40
2013/07/31,2,13,39
2013/08/01,2,13,41
2013/08/02,3,13,41
2013/08/03,3,13,41
2013/08/04,3,12,39
2013/08/05,3,13,40
2013/08/06,3,12,40
2013/08/07,3,12,40
2013/08/08,3,11,36
2013/08/09,3,11,35
2013/08/10,2,11,36
2013/08/11,2,11,35
2013/08/12,2,11,37
2013/08/13,2,12,37
2013/08/14,2,12,39
2013/08/15,2,13,40
2013/08/16,2,14,41
2013/08/17,2,13,40
2013/08/18,2,13,40
2013/08/19,2,13,40
2013/08/20,2,13,40
2013/08/21,2,14,41
2013/08/22,2,14,41
2013/08/23,2,15,40
2013/08/24,2,15,42
2013/08/25,2,15,43
2013/08/26,2,16,43
2013/08/27,2,15,44
2013/08/28,2,15,43
2013/08/29,2,17,44
2013/08/30,2,16,43
2013/08/31,2,15,41
2013/09/01,2,15,43
2013/09/02,2,14,42
2013/09/03,2,14,41
2013/09/04,2,13,38
2013/09/05,2,13,38
2013/09/06,2,13,40
2013/09/07,2,12,41
2013/09/08,2,12,40
2013/09/09,2,12,40
2013/09/10,2,12,40
2013/09/11,2,13,39
2013/09/12,2,13,41
2013/09/13,2,14,42
2013/09/14,2,13,41
2013/09/15,2,12,42
2013/09/16,2,12,41
2013/09/17,2,11,43
2013/09/18,2,9,43
2013/09/19,2,11,44
2013/09/20,2,10,45
2013/09/21,2,10,48
2013/09/22,2,9,47
2013/09/23,2,9,44
2013/09/24,2,9,48
2013/09/25,2,9,47
2013/09/26,2,9,46
2013/09/27,2,9,45
2013/09/28,2,9,48
2013/09/29,2,9,48
2013/09/30,2,9,48
2013/10/01,2,10,46
2013/10/02,2,11,47
2013/10/03,2,11,48
2013/10/04,2,10,48
2013/10/05,2,11,49
2013/10/06,2,12,48
2013/10/07,2,12,48
2013/10/08,2,13,49
2013/10/09,2,13,49
2013/10/10,2,14,51
2013/10/11,2,13,51
2013/10/12,2,13,52
2013/10/13,2,13,51
2013/10/14,2,13,50
2013/10/15,2,13,50
2013/10/16,2,13,50
2013/10/17,2,14,50
2013/10/18,2,14,50
2013/10/19,2,14,49
2013/10/20,3,14,47
2013/10/21,3,14,47
2013/10/22,3,14,47
2013/10/23,3,15,49
2013/10/24,3,15,47
2013/10/25,3,15,45
2013/10/26,3,16,51
2013/10/27,4,15,52
2013/10/28,4,14,51
