date,bhwiki (100+),bhwiki (5+),bhwiki (all)
2012/12/21,,15,25
2012/12/22,,14,26
2012/12/23,,14,24
2012/12/24,,14,24
2012/12/25,,14,22
2012/12/26,,13,22
2012/12/27,,13,23
2012/12/28,,13,23
2012/12/29,,12,22
2012/12/30,1,11,24
2012/12/31,2,11,24
2013/01/01,2,11,25
2013/01/02,4,12,26
2013/01/03,4,12,25
2013/01/04,4,13,26
2013/01/05,5,13,26
2013/01/06,5,13,26
2013/01/07,5,13,25
2013/01/08,5,13,26
2013/01/09,5,13,28
2013/01/10,5,13,28
2013/01/11,5,13,29
2013/01/12,5,13,29
2013/01/13,5,13,29
2013/01/14,5,13,30
2013/01/15,5,14,30
2013/01/16,5,14,31
2013/01/17,5,16,33
2013/01/18,5,16,34
2013/01/19,5,16,35
2013/01/20,5,16,35
2013/01/21,5,16,35
2013/01/22,5,16,36
2013/01/23,5,16,39
2013/01/24,5,17,40
2013/01/25,5,17,41
2013/01/26,5,17,41
2013/01/27,5,17,41
2013/01/28,5,17,41
2013/01/29,5,17,40
2013/01/30,5,17,40
2013/01/31,4,19,40
2013/02/01,5,18,39
2013/02/02,5,19,38
2013/02/03,5,18,37
2013/02/04,5,18,37
2013/02/05,5,17,38
2013/02/06,5,18,39
2013/02/07,5,18,39
2013/02/08,5,18,38
2013/02/09,5,20,39
2013/02/10,5,20,37
2013/02/11,5,21,38
2013/02/12,5,21,38
2013/02/13,5,21,36
2013/02/14,5,21,36
2013/02/15,5,21,36
2013/02/16,5,18,34
2013/02/17,5,18,35
2013/02/18,5,18,35
2013/02/19,5,19,34
2013/02/20,5,19,34
2013/02/21,5,19,33
2013/02/22,5,19,31
2013/02/23,4,19,30
2013/02/24,4,19,29
2013/02/25,4,18,29
2013/02/26,4,18,29
2013/02/27,4,18,29
2013/02/28,4,18,29
2013/03/01,4,17,29
2013/03/02,2,16,30
2013/03/03,2,16,29
2013/03/04,1,16,30
2013/03/05,1,16,30
2013/03/06,1,16,29
2013/03/07,2,16,29
2013/03/08,2,17,27
2013/03/09,2,16,27
2013/03/10,2,15,27
2013/03/11,2,14,27
2013/03/12,2,15,28
2013/03/13,2,15,27
2013/03/14,2,16,27
2013/03/15,2,15,27
2013/03/16,2,14,25
2013/03/17,2,14,23
2013/03/18,2,13,22
2013/03/19,2,13,22
2013/03/20,2,13,21
2013/03/21,2,12,21
2013/03/22,2,12,21
2013/03/23,2,11,21
2013/03/24,2,11,19
2013/03/25,2,11,19
2013/03/26,2,11,19
2013/03/27,2,10,18
2013/03/28,2,9,18
2013/03/29,2,8,18
2013/03/30,2,8,18
2013/03/31,2,8,17
2013/04/01,2,8,17
2013/04/02,2,8,18
2013/04/03,1,7,15
2013/04/04,1,7,15
2013/04/05,1,6,14
2013/04/06,1,6,16
2013/04/07,1,6,14
2013/04/08,1,4,14
2013/04/09,1,4,13
2013/04/10,1,4,13
2013/04/11,,4,12
2013/04/12,,4,12
2013/04/13,,3,13
2013/04/14,,2,13
2013/04/15,,1,13
2013/04/16,,1,13
2013/04/17,,1,13
2013/04/18,,1,13
2013/04/19,,1,13
2013/04/20,,1,13
2013/04/21,,1,13
2013/04/22,,1,13
2013/04/23,,1,13
2013/04/24,,1,13
2013/04/25,,1,14
2013/04/26,,1,14
2013/04/27,,1,14
2013/04/28,,1,14
2013/04/29,,1,14
2013/04/30,,1,14
2013/05/01,,2,13
2013/05/02,,2,12
2013/05/03,,2,10
2013/05/04,,2,10
2013/05/05,,1,11
2013/05/06,,2,11
2013/05/07,,2,11
2013/05/08,,2,11
2013/05/09,,2,12
2013/05/10,,2,12
2013/05/11,,2,10
2013/05/12,,2,10
2013/05/13,,2,10
2013/05/14,,1,10
2013/05/15,,1,10
2013/05/16,,2,10
2013/05/17,,1,10
2013/05/18,,1,10
2013/05/19,,1,10
2013/05/20,,1,10
2013/05/21,,2,10
2013/05/22,,2,9
2013/05/23,,2,9
2013/05/24,,2,9
2013/05/25,,1,8
2013/05/26,,1,8
2013/05/27,,1,8
2013/05/28,,1,8
2013/05/29,,1,8
2013/05/30,,1,9
2013/05/31,,1,9
2013/06/01,,2,10
2013/06/02,,2,10
2013/06/03,,2,10
2013/06/04,,2,8
2013/06/05,,2,7
2013/06/06,,2,7
2013/06/07,,2,7
2013/06/08,,2,7
2013/06/09,,2,7
2013/06/10,,2,7
2013/06/11,,2,7
2013/06/12,,2,8
2013/06/13,,2,9
2013/06/14,,2,8
2013/06/15,,1,7
2013/06/16,,1,7
2013/06/17,,2,8
2013/06/18,,2,8
2013/06/19,,2,8
2013/06/20,,1,8
2013/06/21,,1,12
2013/06/22,,1,12
2013/06/23,,1,12
2013/06/24,,2,12
2013/06/25,,2,12
2013/06/26,,2,12
2013/06/27,,2,12
2013/06/28,,2,12
2013/06/29,,2,11
2013/06/30,,2,11
2013/07/01,,2,11
2013/07/02,,1,11
2013/07/03,,1,10
2013/07/04,,1,10
2013/07/05,,,9
2013/07/06,,,9
2013/07/07,,,9
2013/07/08,,,9
2013/07/09,,,9
2013/07/10,,,9
2013/07/11,,,9
2013/07/12,,,8
2013/07/13,,1,10
2013/07/14,,1,11
2013/07/15,,1,11
2013/07/16,,1,11
2013/07/17,,1,10
2013/07/18,,1,10
2013/07/19,,1,10
2013/07/20,,1,10
2013/07/21,,1,6
2013/07/22,,1,5
2013/07/23,,1,5
2013/07/24,,1,5
2013/07/25,,1,5
2013/07/26,,1,5
2013/07/27,,1,5
2013/07/28,,1,5
2013/07/29,,1,5
2013/07/30,,1,5
2013/07/31,,1,7
2013/08/01,,1,8
2013/08/02,,1,8
2013/08/03,,1,8
2013/08/04,,1,8
2013/08/05,,1,8
2013/08/06,,1,8
2013/08/07,,1,8
2013/08/08,,2,8
2013/08/09,,2,9
2013/08/10,,2,9
2013/08/11,,2,9
2013/08/12,,1,6
2013/08/13,,1,5
2013/08/14,,1,5
2013/08/15,,1,5
2013/08/16,,1,5
2013/08/17,,1,5
2013/08/18,,1,6
2013/08/19,,2,6
2013/08/20,,2,6
2013/08/21,,3,10
2013/08/22,,3,10
2013/08/23,,3,11
2013/08/24,,3,11
2013/08/25,,3,11
2013/08/26,,3,12
2013/08/27,,3,12
2013/08/28,,3,12
2013/08/29,,4,13
2013/08/30,,3,11
2013/08/31,,3,10
2013/09/01,,3,11
2013/09/02,,3,11
2013/09/03,,3,11
2013/09/04,,3,11
2013/09/05,,3,12
2013/09/06,,3,12
2013/09/07,,3,12
2013/09/08,,2,11
2013/09/09,,2,11
2013/09/10,,2,11
2013/09/11,,2,11
2013/09/12,,2,11
2013/09/13,,4,13
2013/09/14,,4,14
2013/09/15,,4,14
2013/09/16,,4,14
2013/09/17,,4,13
2013/09/18,,4,13
2013/09/19,,4,13
2013/09/20,,4,10
2013/09/21,,3,10
2013/09/22,,3,9
2013/09/23,,3,9
2013/09/24,,3,9
2013/09/25,,3,9
2013/09/26,,3,8
2013/09/27,,3,8
2013/09/28,,3,8
2013/09/29,,3,8
2013/09/30,,3,10
2013/10/01,,3,9
2013/10/02,,3,8
2013/10/03,,3,8
2013/10/04,,3,8
2013/10/05,,3,8
2013/10/06,,3,9
2013/10/07,,3,9
2013/10/08,,3,9
2013/10/09,,3,9
2013/10/10,,3,9
2013/10/11,,3,9
2013/10/12,,4,10
2013/10/13,,2,10
2013/10/14,,2,9
2013/10/15,,2,9
2013/10/16,,2,9
2013/10/17,,2,9
2013/10/18,,2,8
2013/10/19,,2,8
2013/10/20,,2,9
2013/10/21,,2,10
2013/10/22,,2,10
2013/10/23,,2,10
2013/10/24,,2,10
2013/10/25,,2,10
2013/10/26,,1,10
2013/10/27,,1,10
2013/10/28,,1,10
2013/10/29,,1,11
2013/10/30,,2,10
2013/10/31,,2,10
2013/11/01,,2,10
2013/11/02,,2,10
2013/11/03,,2,10
2013/11/04,,2,9
2013/11/05,,2,9
2013/11/06,,2,9
2013/11/07,,2,9
2013/11/08,,2,9
2013/11/09,,2,9
2013/11/10,,2,10
2013/11/11,,1,9
2013/11/12,,1,9
2013/11/13,1,2,10
2013/11/14,1,2,10
2013/11/15,1,2,11
2013/11/16,1,2,11
2013/11/17,1,2,11
2013/11/18,1,2,11
2013/11/19,1,2,10
2013/11/20,1,2,10
2013/11/21,1,2,10
2013/11/22,1,2,10
2013/11/23,1,2,10
2013/11/24,1,2,10
2013/11/25,1,2,10
2013/11/26,1,2,10
2013/11/27,1,2,10
2013/11/28,1,2,8
2013/11/29,1,2,8
2013/11/30,1,2,8
2013/12/01,,2,8
2013/12/02,,2,8
2013/12/03,,2,10
2013/12/04,,2,10
2013/12/05,,2,9
2013/12/06,,3,10
2013/12/07,,3,10
2013/12/08,,3,10
2013/12/09,,3,10
2013/12/10,,3,10
2013/12/11,,3,10
2013/12/12,,3,9
2013/12/13,,2,9
2013/12/14,,2,8
2013/12/15,,1,7
2013/12/16,,1,6
2013/12/17,,1,6
2013/12/18,,1,6
2013/12/19,,1,6
2013/12/20,,1,6
2013/12/21,,1,7
2013/12/22,,1,7
2013/12/23,,1,7
2013/12/24,,1,7
2013/12/25,,1,7
2013/12/26,,1,7
2013/12/27,,1,7
2013/12/28,,1,7
2013/12/29,,1,7
2013/12/30,,1,7
2013/12/31,,1,8
2014/01/01,,1,7
2014/01/02,,1,6
2014/01/03,,1,7
2014/01/04,,1,7
2014/01/05,,,6
2014/01/06,,,6
2014/01/07,,,6
2014/01/08,,,6
2014/01/09,,,6
2014/01/10,,,6
2014/01/11,,,6
2014/01/12,,,6
2014/01/13,,,6
2014/01/14,,,6
2014/01/15,,,6
2014/01/16,,,6
2014/01/17,,2,8
2014/01/18,,2,7
2014/01/19,,2,7
2014/01/20,,2,8
2014/01/21,,2,8
2014/01/22,,2,8
2014/01/23,,2,10
2014/01/24,,2,10
2014/01/25,,2,10
2014/01/26,,2,12
2014/01/27,,2,12
2014/01/28,,2,12
2014/01/29,,2,12
2014/01/30,,2,11
2014/01/31,,2,10
2014/02/01,,2,10
2014/02/02,,2,10
2014/02/03,,2,10
2014/02/04,,2,10
2014/02/05,,2,10
2014/02/06,,2,10
2014/02/07,,2,10
2014/02/08,,2,10
2014/02/09,,2,9
2014/02/10,,2,9
2014/02/11,,2,8
2014/02/12,,2,8
2014/02/13,,2,9
2014/02/14,,2,9
2014/02/15,,2,9
2014/02/16,,1,8
2014/02/17,,,8
2014/02/18,,,8
2014/02/19,,,8
2014/02/20,,1,9
2014/02/21,,1,9
2014/02/22,,1,7
2014/02/23,,1,7
2014/02/24,,1,7
2014/02/25,,1,5
2014/02/26,,1,4
2014/02/27,,2,5
2014/02/28,,2,5
2014/03/01,,2,5
2014/03/02,,2,7
2014/03/03,,2,7
2014/03/04,,3,10
2014/03/05,,3,10
2014/03/06,,3,10
2014/03/07,,3,9
2014/03/08,,3,9
2014/03/09,,3,9
2014/03/10,,3,9
2014/03/11,,3,9
2014/03/12,,3,9
2014/03/13,,3,9
2014/03/14,,3,9
2014/03/15,,3,9
2014/03/16,,3,10
2014/03/17,,3,10
2014/03/18,,5,13
2014/03/19,,5,14
2014/03/20,,5,15
2014/03/21,,5,14
2014/03/22,,5,14
2014/03/23,,5,13
2014/03/24,,5,13
2014/03/25,,4,13
2014/03/26,,4,13
2014/03/27,,4,13
2014/03/28,,4,13
2014/03/29,,3,12
2014/03/30,,3,11
2014/03/31,,3,11
2014/04/01,,3,9
2014/04/02,,3,10
2014/04/03,,2,8
2014/04/04,,2,9
2014/04/05,,2,9
2014/04/06,,2,9
2014/04/07,,2,9
2014/04/08,,2,9
2014/04/09,,3,10
2014/04/10,,3,13
2014/04/11,,3,13
2014/04/12,,3,13
2014/04/13,,3,13
2014/04/14,,3,13
2014/04/15,,3,12
2014/04/16,,3,12
2014/04/17,,1,10
2014/04/18,,1,11
2014/04/19,,1,10
2014/04/20,,2,10
2014/04/21,,2,10
2014/04/22,,2,10
2014/04/23,,2,10
2014/04/24,,2,10
2014/04/25,,3,11
2014/04/26,,3,12
2014/04/27,,3,12
2014/04/28,,3,12
2014/04/29,,3,12
2014/04/30,,3,12
2014/05/01,,3,12
2014/05/02,,3,11
2014/05/03,,3,11
2014/05/04,,3,10
2014/05/05,,3,11
2014/05/06,,3,11
2014/05/07,,3,11
2014/05/08,,3,11
2014/05/09,,1,11
2014/05/10,,1,9
2014/05/11,,1,9
2014/05/12,,1,9
2014/05/13,,1,9
2014/05/14,,1,10
2014/05/15,,1,10
2014/05/16,,1,9
2014/05/17,,1,9
2014/05/18,,1,7
2014/05/19,,1,7
2014/05/20,,1,6
2014/05/21,,1,6
2014/05/22,,1,6
2014/05/23,,1,7
2014/05/24,,1,8
2014/05/25,,1,8
2014/05/26,,1,7
2014/05/27,,1,7
2014/05/28,,1,7
2014/05/29,,1,7
2014/05/30,1,1,7
2014/05/31,,1,7
2014/06/01,1,1,7
2014/06/02,1,1,7
2014/06/03,1,1,8
2014/06/04,1,1,8
2014/06/05,1,1,8
2014/06/06,1,1,8
2014/06/07,1,1,9
2014/06/08,1,1,8
2014/06/09,1,1,7
2014/06/10,1,1,8
2014/06/11,1,1,8
2014/06/12,1,1,8
2014/06/13,1,1,8
2014/06/14,1,1,8
2014/06/15,1,1,8
2014/06/16,1,1,8
2014/06/17,1,1,8
2014/06/18,1,1,8
2014/06/19,1,1,8
2014/06/20,1,1,8
2014/06/21,1,1,8
2014/06/22,1,1,7
2014/06/23,1,1,6
2014/06/24,1,1,6
2014/06/25,1,1,6
2014/06/26,1,1,7
2014/06/27,1,1,7
2014/06/28,1,1,7
2014/06/29,1,1,8
2014/06/30,1,1,8
2014/07/01,1,1,8
2014/07/02,1,1,10
2014/07/03,1,1,9
2014/07/04,1,2,10
2014/07/05,1,2,13
2014/07/06,1,3,13
2014/07/07,1,3,12
2014/07/08,1,3,12
2014/07/09,1,3,12
2014/07/10,1,3,11
2014/07/11,1,3,11
2014/07/12,1,3,12
2014/07/13,1,3,11
2014/07/14,1,3,11
2014/07/15,1,3,11
2014/07/16,1,3,11
2014/07/17,1,3,11
2014/07/18,1,3,11
2014/07/19,1,3,11
2014/07/20,1,3,11
2014/07/21,1,4,12
2014/07/22,1,4,12
2014/07/23,1,4,13
2014/07/24,1,4,13
2014/07/25,1,4,13
2014/07/26,1,4,13
2014/07/27,1,4,14
2014/07/28,1,4,14
2014/07/29,1,4,14
2014/07/30,1,4,14
2014/07/31,1,4,13
2014/08/01,1,4,11
2014/08/02,1,4,11
2014/08/03,1,3,11
2014/08/04,1,3,11
2014/08/05,1,3,12
2014/08/06,1,3,12
2014/08/07,1,3,12
2014/08/08,1,3,12
2014/08/09,1,3,13
2014/08/10,1,4,14
2014/08/11,1,4,13
2014/08/12,1,4,13
2014/08/13,1,4,13
2014/08/14,1,4,14
2014/08/15,1,5,14
2014/08/16,1,5,14
2014/08/17,1,5,14
2014/08/18,1,5,15
2014/08/19,1,6,16
2014/08/20,1,5,16
2014/08/21,1,5,16
2014/08/22,1,5,15
2014/08/23,1,5,15
2014/08/24,1,5,16
2014/08/25,1,5,16
2014/08/26,1,5,15
2014/08/27,1,5,16
2014/08/28,1,5,16
2014/08/29,1,5,16
2014/08/30,1,5,16
2014/08/31,1,5,16
2014/09/01,1,5,16
2014/09/02,1,4,17
2014/09/03,1,4,18
2014/09/04,1,4,17
2014/09/05,1,4,17
2014/09/06,1,5,18
2014/09/07,1,5,18
2014/09/08,1,4,16
2014/09/09,1,4,16
2014/09/10,1,4,16
2014/09/11,1,4,16
2014/09/12,1,4,16
2014/09/13,1,4,16
2014/09/14,1,4,17
2014/09/15,1,4,17
2014/09/16,1,4,17
2014/09/17,1,4,17
2014/09/18,1,5,18
2014/09/19,1,4,17
2014/09/20,1,4,15
2014/09/21,1,4,14
2014/09/22,1,4,14
2014/09/23,1,5,13
2014/09/24,1,5,14
2014/09/25,1,6,14
2014/09/26,1,5,13
2014/09/27,1,5,13
2014/09/28,1,5,13
2014/09/29,1,5,13
2014/09/30,1,5,14
2014/10/01,1,5,14
2014/10/02,1,5,13
2014/10/03,1,5,13
2014/10/04,1,5,12
2014/10/05,1,5,12
2014/10/06,1,4,11
2014/10/07,2,5,13
2014/10/08,2,5,13
2014/10/09,2,5,13
2014/10/10,2,5,13
2014/10/11,2,6,14
2014/10/12,2,6,14
2014/10/13,2,6,13
2014/10/14,2,6,11
2014/10/15,2,6,11
2014/10/16,2,6,11
2014/10/17,2,6,12
2014/10/18,2,5,11
2014/10/19,2,5,11
2014/10/20,2,5,11
2014/10/21,2,4,11
2014/10/22,2,4,12
2014/10/23,2,4,12
2014/10/24,2,3,10
2014/10/25,2,3,9
2014/10/26,2,3,8
2014/10/27,2,3,8
2014/10/28,2,3,8
2014/10/29,2,3,8
2014/10/30,2,3,7
2014/10/31,2,3,7
2014/11/01,2,3,8
2014/11/02,1,3,9
2014/11/03,1,4,10
2014/11/04,1,4,10
2014/11/05,1,4,11
2014/11/06,2,4,11
2014/11/07,2,4,11
2014/11/08,2,4,11
2014/11/09,2,5,12
2014/11/10,2,4,12
2014/11/11,2,5,13
2014/11/12,2,5,13
2014/11/13,2,5,13
2014/11/14,2,5,13
2014/11/15,2,5,13
2014/11/16,2,5,12
2014/11/17,2,5,12
2014/11/18,2,5,12
2014/11/19,2,5,13
2014/11/20,2,5,13
2014/11/21,2,5,12
2014/11/22,2,6,12
2014/11/23,1,5,13
2014/11/24,1,5,13
2014/11/25,1,5,13
2014/11/26,1,5,13
2014/11/27,1,5,13
2014/11/28,1,5,13
2014/11/29,1,5,13
2014/11/30,1,5,13
2014/12/01,1,5,12
2014/12/02,1,5,11
2014/12/03,1,5,11
2014/12/04,1,5,14
2014/12/05,1,5,13
2014/12/06,,4,11
2014/12/07,,4,11
2014/12/08,,4,11
2014/12/09,,4,11
2014/12/10,,4,9
2014/12/11,1,4,10
2014/12/12,1,3,10
2014/12/13,1,2,10
2014/12/14,1,2,10
2014/12/15,1,2,11
2014/12/16,1,2,10
2014/12/17,1,2,10
2014/12/18,1,2,11
2014/12/19,1,2,11
2014/12/20,1,2,11
2014/12/21,1,2,12
2014/12/22,1,2,12
2014/12/23,1,2,12
2014/12/24,1,2,12
2014/12/25,1,2,12
2014/12/26,1,1,12
2014/12/27,1,1,13
2014/12/28,1,1,13
2014/12/29,1,1,13
2014/12/30,1,1,11
2014/12/31,1,1,11
2015/01/01,1,1,12
2015/01/02,1,2,13
2015/01/03,1,2,11
2015/01/04,1,2,11
2015/01/05,1,3,12
2015/01/06,1,3,12
2015/01/07,1,3,11
2015/01/08,1,3,11
2015/01/09,1,3,12
2015/01/10,1,3,11
2015/01/11,1,3,10
2015/01/12,1,3,10
2015/01/13,1,3,10
2015/01/14,1,4,9
2015/01/15,1,4,10
2015/01/16,1,4,10
2015/01/17,1,5,10
2015/01/18,1,6,10
2015/01/19,1,6,11
2015/01/20,1,6,10
2015/01/21,1,6,10
2015/01/22,1,6,10
2015/01/23,1,6,10
2015/01/24,1,7,10
2015/01/25,1,7,10
2015/01/26,1,7,10
2015/01/27,1,8,11
2015/01/28,1,8,11
2015/01/29,1,8,12
2015/01/30,1,8,12
2015/01/31,1,8,11
2015/02/01,1,7,14
2015/02/02,1,7,14
2015/02/03,1,7,14
2015/02/04,1,6,13
2015/02/05,1,6,13
2015/02/06,1,6,13
2015/02/07,1,6,13
2015/02/08,2,6,12
2015/02/09,2,6,14
2015/02/10,2,6,15
2015/02/11,2,6,15
2015/02/12,2,6,15
2015/02/13,2,6,15
2015/02/14,2,6,15
2015/02/15,2,6,15
2015/02/16,2,5,14
2015/02/17,2,5,14
2015/02/18,2,4,13
2015/02/19,2,3,13
2015/02/20,2,3,13
2015/02/21,2,3,13
2015/02/22,2,3,13
2015/02/23,2,3,13
2015/02/24,2,3,13
2015/02/25,2,3,13
2015/02/26,2,2,12
2015/02/27,2,2,12
2015/02/28,2,3,13
2015/03/01,2,3,13
2015/03/02,2,3,13
2015/03/03,2,3,11
2015/03/04,2,3,10
2015/03/05,2,3,11
2015/03/06,1,3,11
2015/03/07,1,3,11
2015/03/08,1,3,11
2015/03/09,1,3,10
2015/03/10,,3,10
2015/03/11,,3,9
2015/03/12,,3,8
2015/03/13,,4,7
2015/03/14,,4,7
2015/03/15,,4,7
2015/03/16,,5,8
2015/03/17,,5,9
2015/03/18,,4,8
2015/03/19,,4,8
2015/03/20,,4,8
2015/03/21,,4,9
2015/03/22,,4,10
2015/03/23,,4,10
2015/03/24,,4,10
2015/03/25,1,4,10
2015/03/26,2,4,11
2015/03/27,2,4,11
2015/03/28,2,4,11
2015/03/29,2,4,11
2015/03/30,2,4,10
2015/03/31,2,4,10
2015/04/01,2,4,10
2015/04/02,2,4,10
2015/04/03,3,4,10
2015/04/04,3,4,10
2015/04/05,3,4,10
2015/04/06,3,4,10
2015/04/07,3,4,11
2015/04/08,3,4,10
2015/04/09,3,4,10
2015/04/10,3,4,10
2015/04/11,3,4,11
2015/04/12,3,4,11
2015/04/13,3,4,11
2015/04/14,3,4,12
2015/04/15,3,4,12
2015/04/16,3,4,11
2015/04/17,3,5,11
2015/04/18,3,5,11
2015/04/19,3,5,11
2015/04/20,3,5,10
2015/04/21,3,5,9
2015/04/22,3,5,9
2015/04/23,3,6,11
2015/04/24,3,6,11
2015/04/25,3,6,10
2015/04/26,3,6,11
2015/04/27,3,6,11
2015/04/28,2,6,12
2015/04/29,1,6,13
2015/04/30,1,6,13
2015/05/01,2,6,13
2015/05/02,2,6,13
