date,bhwiki (100+),bhwiki (5+),bhwiki (all)
2012/08/19,2,9,21
2012/08/20,2,9,21
2012/08/21,2,9,21
2012/08/22,1,8,21
2012/08/23,1,8,22
2012/08/24,1,8,22
2012/08/25,,8,21
2012/08/26,,8,23
2012/08/27,,8,23
2012/08/28,,8,23
2012/08/29,,8,23
2012/08/30,,8,25
2012/08/31,,8,24
2012/09/01,,7,25
2012/09/02,,7,25
2012/09/03,,6,25
2012/09/04,,6,25
2012/09/05,1,6,25
2012/09/06,1,6,26
2012/09/07,1,6,25
2012/09/08,1,6,25
2012/09/09,1,7,26
2012/09/10,1,7,27
2012/09/11,1,7,28
2012/09/12,1,8,28
2012/09/13,1,8,29
2012/09/14,1,8,29
2012/09/15,1,8,28
2012/09/16,1,6,29
2012/09/17,1,7,28
2012/09/18,1,7,27
2012/09/19,1,7,28
2012/09/20,1,7,30
2012/09/21,1,7,29
2012/09/22,1,7,29
2012/09/23,1,7,28
2012/09/24,1,7,28
2012/09/25,1,7,27
2012/09/26,1,7,26
2012/09/27,1,7,25
2012/09/28,1,8,26
2012/09/29,1,7,26
2012/09/30,1,7,26
2012/10/01,1,7,25
2012/10/02,1,7,26
2012/10/03,1,7,26
2012/10/04,1,7,26
2012/10/05,,7,26
2012/10/06,,7,25
2012/10/07,2,9,27
2012/10/08,2,9,27
2012/10/09,2,8,26
2012/10/10,2,8,26
2012/10/11,2,9,23
2012/10/12,2,9,25
2012/10/13,2,9,24
2012/10/14,2,9,24
2012/10/15,2,9,24
2012/10/16,2,9,23
2012/10/17,2,9,24
2012/10/18,2,10,27
2012/10/19,2,11,27
2012/10/20,2,10,28
2012/10/21,2,10,28
2012/10/22,2,11,28
2012/10/23,2,11,28
2012/10/24,2,11,28
2012/10/25,2,11,29
2012/10/26,2,11,30
2012/10/27,2,11,31
2012/10/28,2,11,30
2012/10/29,2,11,29
2012/10/30,2,11,29
2012/10/31,2,11,31
2012/11/01,2,11,31
2012/11/02,2,11,31
2012/11/03,2,11,31
2012/11/04,2,12,31
2012/11/05,2,12,31
2012/11/06,1,12,29
2012/11/07,,11,31
2012/11/08,,11,32
2012/11/09,,11,32
2012/11/10,,11,31
2012/11/11,,11,29
2012/11/12,,11,30
2012/11/13,,11,30
2012/11/14,,11,31
2012/11/15,,11,32
2012/11/16,,11,34
2012/11/17,,10,31
2012/11/18,,9,32
2012/11/19,,9,32
2012/11/20,,9,31
2012/11/21,,8,31
2012/11/22,,9,32
2012/11/23,1,9,34
2012/11/24,,9,34
2012/11/25,,9,33
2012/11/26,,9,33
2012/11/27,,9,33
2012/11/28,,9,33
2012/11/29,,11,35
2012/11/30,,12,34
2012/12/01,,12,33
2012/12/02,,12,33
2012/12/03,,12,32
2012/12/04,,12,31
2012/12/05,,12,31
2012/12/06,,13,31
2012/12/07,,14,30
2012/12/08,,14,29
2012/12/09,,14,29
2012/12/10,,15,30
2012/12/11,,15,30
2012/12/12,,15,30
2012/12/13,,14,30
2012/12/14,,14,30
2012/12/15,,15,29
2012/12/16,,15,29
2012/12/17,,15,29
2012/12/18,,15,28
2012/12/19,,15,27
2012/12/20,,15,27
