date,mgwiki (100+),mgwiki (5+),mgwiki (all)
2012/08/19,7,23,44
2012/08/20,7,23,44
2012/08/21,7,23,43
2012/08/22,7,22,44
2012/08/23,7,22,44
2012/08/24,7,21,44
2012/08/25,7,20,46
2012/08/26,7,20,47
2012/08/27,7,19,46
2012/08/28,7,19,45
2012/08/29,7,20,47
2012/08/30,7,20,48
2012/08/31,7,20,49
2012/09/01,7,22,49
2012/09/02,7,22,49
2012/09/03,7,22,48
2012/09/04,7,22,48
2012/09/05,7,21,48
2012/09/06,7,21,48
2012/09/07,7,21,47
2012/09/08,7,21,47
2012/09/09,7,21,48
2012/09/10,7,21,48
2012/09/11,8,22,50
2012/09/12,8,22,47
2012/09/13,8,22,46
2012/09/14,7,22,45
2012/09/15,7,23,43
2012/09/16,8,24,43
2012/09/17,8,24,43
2012/09/18,8,24,43
2012/09/19,8,23,41
2012/09/20,8,22,41
2012/09/21,8,22,41
2012/09/22,8,21,42
2012/09/23,9,21,41
2012/09/24,8,22,42
2012/09/25,8,22,41
2012/09/26,8,22,41
2012/09/27,8,22,41
2012/09/28,8,21,40
2012/09/29,8,21,37
2012/09/30,8,20,36
2012/10/01,8,20,34
2012/10/02,8,19,32
2012/10/03,8,19,32
2012/10/04,8,19,34
2012/10/05,8,19,33
2012/10/06,8,19,33
2012/10/07,8,19,32
2012/10/08,8,19,32
2012/10/09,7,19,31
2012/10/10,7,19,31
2012/10/11,5,18,31
2012/10/12,5,18,31
2012/10/13,5,18,31
2012/10/14,5,18,31
2012/10/15,6,18,32
2012/10/16,6,18,33
2012/10/17,6,17,33
2012/10/18,6,17,33
2012/10/19,6,17,35
2012/10/20,6,18,37
2012/10/21,6,19,38
2012/10/22,6,20,38
2012/10/23,6,20,40
2012/10/24,6,20,39
2012/10/25,6,20,39
2012/10/26,6,21,39
2012/10/27,6,21,41
2012/10/28,6,21,43
2012/10/29,6,21,44
2012/10/30,6,21,44
2012/10/31,6,21,44
2012/11/01,6,21,45
2012/11/02,6,21,44
2012/11/03,6,21,43
2012/11/04,6,21,44
2012/11/05,6,21,44
2012/11/06,6,22,44
2012/11/07,6,22,45
2012/11/08,6,22,45
2012/11/09,6,22,45
2012/11/10,6,22,42
2012/11/11,6,21,43
2012/11/12,6,21,44
2012/11/13,6,21,45
2012/11/14,6,21,44
2012/11/15,6,20,44
2012/11/16,6,20,44
2012/11/17,5,20,43
2012/11/18,5,20,43
2012/11/19,5,20,40
2012/11/20,5,19,41
2012/11/21,5,18,41
2012/11/22,5,18,40
2012/11/23,6,19,40
2012/11/24,6,19,41
2012/11/25,6,19,41
2012/11/26,6,19,41
2012/11/27,6,17,42
2012/11/28,6,17,41
2012/11/29,6,17,41
2012/11/30,6,17,42
2012/12/01,6,18,43
2012/12/02,6,19,43
2012/12/03,6,19,44
2012/12/04,6,19,46
2012/12/05,6,19,46
2012/12/06,6,18,45
2012/12/07,6,18,45
2012/12/08,6,18,47
2012/12/09,7,18,46
2012/12/10,7,19,47
2012/12/11,7,19,47
2012/12/12,7,19,45
2012/12/13,7,19,43
2012/12/14,7,19,43
2012/12/15,7,19,43
2012/12/16,7,20,43
2012/12/17,7,20,43
2012/12/18,7,20,42
2012/12/19,7,21,42
2012/12/20,7,21,40
2012/12/21,7,21,39
2012/12/22,7,21,39
2012/12/23,7,19,40
2012/12/24,7,19,40
2012/12/25,7,20,40
2012/12/26,7,20,38
2012/12/27,7,21,38
2012/12/28,7,21,39
2012/12/29,7,21,39
2012/12/30,7,22,41
2012/12/31,9,23,42
2013/01/01,8,23,43
2013/01/02,8,21,42
2013/01/03,7,21,38
2013/01/04,7,22,38
2013/01/05,7,22,39
2013/01/06,7,22,38
2013/01/07,7,22,37
2013/01/08,7,21,38
2013/01/09,7,20,37
2013/01/10,7,20,37
2013/01/11,7,19,37
2013/01/12,7,19,37
2013/01/13,7,20,37
2013/01/14,8,19,39
2013/01/15,8,19,39
2013/01/16,8,21,40
2013/01/17,8,22,40
2013/01/18,8,21,40
2013/01/19,8,22,39
2013/01/20,8,23,39
2013/01/21,9,23,40
2013/01/22,9,21,41
2013/01/23,9,22,41
2013/01/24,9,22,41
2013/01/25,9,22,42
2013/01/26,9,22,39
2013/01/27,9,22,39
2013/01/28,9,22,39
2013/01/29,8,23,38
2013/01/30,7,23,40
2013/01/31,7,22,39
2013/02/01,7,23,38
2013/02/02,8,23,39
2013/02/03,8,22,41
2013/02/04,7,23,41
2013/02/05,7,23,43
2013/02/06,7,23,44
2013/02/07,7,24,42
2013/02/08,8,24,43
2013/02/09,8,24,43
2013/02/10,8,24,43
2013/02/11,9,24,44
2013/02/12,9,24,45
2013/02/13,8,23,46
2013/02/14,8,22,46
2013/02/15,8,22,46
2013/02/16,8,22,49
2013/02/17,8,22,49
2013/02/18,8,20,49
2013/02/19,8,21,49
2013/02/20,8,22,51
2013/02/21,8,22,51
2013/02/22,8,22,51
2013/02/23,8,22,51
2013/02/24,8,22,50
2013/02/25,8,21,50
2013/02/26,8,21,49
2013/02/27,8,21,48
2013/02/28,8,19,48
2013/03/01,8,19,47
2013/03/02,8,19,48
2013/03/03,7,19,47
2013/03/04,7,19,46
2013/03/05,8,19,45
2013/03/06,8,20,45
2013/03/07,8,20,43
2013/03/08,9,21,43
2013/03/09,8,20,44
2013/03/10,8,20,45
2013/03/11,8,20,45
2013/03/12,9,21,46
2013/03/13,7,21,44
2013/03/14,7,20,44
2013/03/15,7,19,46
2013/03/16,7,19,46
2013/03/17,7,19,46
2013/03/18,7,18,42
2013/03/19,7,17,43
2013/03/20,8,17,43
2013/03/21,8,16,41
2013/03/22,8,16,40
2013/03/23,8,15,39
2013/03/24,8,15,39
2013/03/25,8,15,39
2013/03/26,8,16,41
2013/03/27,7,16,41
2013/03/28,7,16,41
2013/03/29,7,16,38
2013/03/30,5,16,37
2013/03/31,5,14,36
2013/04/01,4,14,37
2013/04/02,4,12,39
2013/04/03,4,11,38
2013/04/04,4,10,33
2013/04/05,4,8,31
2013/04/06,4,8,29
2013/04/07,4,6,27
2013/04/08,3,5,26
2013/04/09,3,5,25
2013/04/10,3,5,25
2013/04/11,3,5,25
2013/04/12,3,5,26
2013/04/13,3,5,25
2013/04/14,3,5,20
2013/04/15,3,6,22
2013/04/16,4,6,21
2013/04/17,5,7,22
2013/04/18,5,7,21
2013/04/19,4,7,21
2013/04/20,4,7,22
2013/04/21,4,7,22
2013/04/22,4,7,22
2013/04/23,4,7,22
2013/04/24,4,7,22
2013/04/25,4,7,22
2013/04/26,4,6,22
2013/04/27,4,6,22
2013/04/28,4,6,22
2013/04/29,4,5,22
2013/04/30,4,5,22
2013/05/01,4,5,20
2013/05/02,4,5,19
2013/05/03,3,4,18
2013/05/04,3,4,18
2013/05/05,3,5,18
2013/05/06,3,5,19
2013/05/07,3,5,19
2013/05/08,3,5,18
2013/05/09,3,5,17
2013/05/10,3,5,17
2013/05/11,3,5,17
2013/05/12,3,5,17
2013/05/13,2,5,17
2013/05/14,2,5,20
2013/05/15,2,5,18
2013/05/16,2,5,18
2013/05/17,1,4,18
2013/05/18,1,4,17
2013/05/19,1,4,18
2013/05/20,2,4,17
2013/05/21,2,3,19
2013/05/22,2,4,19
2013/05/23,1,4,18
2013/05/24,1,4,19
2013/05/25,1,4,18
2013/05/26,1,4,18
2013/05/27,1,4,17
2013/05/28,1,4,17
2013/05/29,1,4,17
2013/05/30,1,4,20
2013/05/31,1,4,20
2013/06/01,1,4,19
2013/06/02,1,4,19
2013/06/03,1,4,19
2013/06/04,1,4,19
2013/06/05,1,4,20
2013/06/06,1,4,18
2013/06/07,1,4,18
2013/06/08,1,4,18
2013/06/09,1,4,20
2013/06/10,1,4,20
2013/06/11,1,4,20
2013/06/12,1,4,20
2013/06/13,1,5,17
2013/06/14,1,5,18
2013/06/15,1,5,18
2013/06/16,1,5,19
2013/06/17,1,5,19
2013/06/18,1,5,18
2013/06/19,1,5,18
2013/06/20,,5,16
2013/06/21,,6,17
2013/06/22,,6,17
2013/06/23,,6,17
2013/06/24,,6,18
2013/06/25,,6,17
2013/06/26,,6,17
2013/06/27,,6,17
2013/06/28,,6,17
2013/06/29,1,6,16
2013/06/30,1,6,16
2013/07/01,1,6,16
2013/07/02,1,6,16
2013/07/03,1,6,16
2013/07/04,1,6,16
2013/07/05,1,6,16
2013/07/06,1,6,16
2013/07/07,1,6,16
2013/07/08,1,6,16
2013/07/09,1,6,14
2013/07/10,1,6,16
2013/07/11,1,6,16
2013/07/12,1,6,17
2013/07/13,1,6,18
2013/07/14,1,5,17
2013/07/15,1,5,17
2013/07/16,1,5,17
2013/07/17,1,5,17
2013/07/18,1,5,18
2013/07/19,1,5,18
2013/07/20,1,5,18
2013/07/21,1,4,18
2013/07/22,1,4,19
2013/07/23,1,4,19
2013/07/24,1,4,19
2013/07/25,1,4,19
2013/07/26,1,4,20
2013/07/27,1,4,21
2013/07/28,1,5,21
2013/07/29,,5,19
2013/07/30,,5,19
2013/07/31,,4,19
2013/08/01,,4,18
2013/08/02,,4,18
2013/08/03,,4,19
2013/08/04,,4,18
2013/08/05,,4,18
2013/08/06,,4,18
2013/08/07,,3,18
2013/08/08,,3,18
2013/08/09,,3,17
2013/08/10,,3,17
2013/08/11,,3,16
2013/08/12,,3,18
2013/08/13,,3,17
2013/08/14,,3,17
2013/08/15,,3,17
2013/08/16,,3,17
2013/08/17,1,4,19
2013/08/18,1,4,20
2013/08/19,1,4,21
2013/08/20,1,4,20
2013/08/21,1,4,19
2013/08/22,1,4,18
2013/08/23,1,4,17
2013/08/24,1,4,17
2013/08/25,1,4,16
2013/08/26,1,4,16
2013/08/27,1,4,16
2013/08/28,1,4,16
2013/08/29,1,5,17
2013/08/30,1,4,16
2013/08/31,1,4,17
2013/09/01,1,4,17
2013/09/02,1,4,17
2013/09/03,,4,17
2013/09/04,,4,17
2013/09/05,,4,17
2013/09/06,,4,17
2013/09/07,,4,17
2013/09/08,,3,16
2013/09/09,,3,16
2013/09/10,,3,17
2013/09/11,,3,16
2013/09/12,,3,16
2013/09/13,,2,15
2013/09/14,,2,15
2013/09/15,,2,16
2013/09/16,,1,15
2013/09/17,,1,15
2013/09/18,1,2,16
2013/09/19,1,2,14
2013/09/20,1,2,15
2013/09/21,1,2,17
2013/09/22,1,2,16
2013/09/23,1,2,15
2013/09/24,1,2,15
2013/09/25,1,2,14
2013/09/26,1,2,14
2013/09/27,1,2,14
2013/09/28,1,2,14
2013/09/29,1,2,15
2013/09/30,1,2,14
2013/10/01,1,2,14
2013/10/02,1,2,13
2013/10/03,1,2,15
2013/10/04,1,2,15
2013/10/05,2,3,15
2013/10/06,2,3,15
2013/10/07,2,3,15
2013/10/08,2,3,16
2013/10/09,2,3,17
2013/10/10,2,3,17
2013/10/11,2,3,17
2013/10/12,2,3,17
2013/10/13,2,3,16
2013/10/14,2,3,17
2013/10/15,2,4,17
2013/10/16,2,4,18
2013/10/17,2,4,18
2013/10/18,2,4,17
2013/10/19,2,4,17
2013/10/20,2,4,16
2013/10/21,2,4,15
2013/10/22,2,4,15
2013/10/23,2,4,16
2013/10/24,2,4,17
2013/10/25,2,4,17
2013/10/26,2,4,17
2013/10/27,2,4,17
2013/10/28,2,4,17
2013/10/29,2,3,17
2013/10/30,2,3,17
2013/10/31,2,3,18
2013/11/01,2,3,18
2013/11/02,2,3,16
2013/11/03,2,3,17
