date,xalwiki (100+),xalwiki (5+),xalwiki (all)
2012/08/19,1,15,42
2012/08/20,1,13,42
2012/08/21,1,13,41
2012/08/22,1,11,40
2012/08/23,1,11,42
2012/08/24,1,12,44
2012/08/25,1,13,44
2012/08/26,1,13,42
2012/08/27,1,14,44
2012/08/28,1,14,45
2012/08/29,1,12,45
2012/08/30,1,13,45
2012/08/31,1,13,47
2012/09/01,1,14,47
2012/09/02,1,14,47
2012/09/03,1,13,47
2012/09/04,1,11,47
2012/09/05,1,12,47
2012/09/06,1,13,47
2012/09/07,1,13,44
2012/09/08,1,12,43
2012/09/09,1,13,44
2012/09/10,1,13,44
2012/09/11,1,12,45
2012/09/12,1,14,43
2012/09/13,1,15,44
2012/09/14,1,15,43
2012/09/15,1,14,42
2012/09/16,1,14,42
2012/09/17,1,15,43
2012/09/18,1,17,42
2012/09/19,1,17,42
2012/09/20,1,18,43
2012/09/21,1,18,42
2012/09/22,1,18,41
2012/09/23,1,18,39
2012/09/24,1,18,40
2012/09/25,1,18,41
2012/09/26,1,18,40
2012/09/27,1,18,39
2012/09/28,1,17,38
2012/09/29,1,17,37
2012/09/30,1,17,35
2012/10/01,1,15,33
2012/10/02,1,14,32
2012/10/03,1,14,31
2012/10/04,1,14,32
2012/10/05,1,14,31
2012/10/06,1,15,31
2012/10/07,1,15,30
2012/10/08,1,15,30
2012/10/09,1,14,27
2012/10/10,1,14,26
2012/10/11,1,14,25
2012/10/12,1,15,25
2012/10/13,1,15,25
2012/10/14,1,15,27
2012/10/15,1,14,27
2012/10/16,1,14,27
2012/10/17,1,14,26
2012/10/18,1,14,26
2012/10/19,1,14,28
2012/10/20,1,15,28
2012/10/21,1,15,28
2012/10/22,1,15,29
2012/10/23,1,15,29
2012/10/24,1,15,29
2012/10/25,1,16,27
2012/10/26,1,16,27
2012/10/27,1,16,29
2012/10/28,1,16,29
2012/10/29,1,16,30
2012/10/30,2,15,30
2012/10/31,2,16,30
2012/11/01,2,15,29
2012/11/02,2,15,30
2012/11/03,2,15,29
2012/11/04,2,15,29
2012/11/05,2,14,31
2012/11/06,2,14,31
2012/11/07,2,14,32
2012/11/08,2,14,32
2012/11/09,2,14,32
2012/11/10,2,14,33
2012/11/11,2,13,33
2012/11/12,2,13,33
2012/11/13,2,15,32
2012/11/14,2,15,33
2012/11/15,2,15,33
2012/11/16,2,15,35
2012/11/17,2,15,34
2012/11/18,2,14,34
2012/11/19,2,14,33
2012/11/20,2,15,32
2012/11/21,2,15,32
2012/11/22,2,15,32
2012/11/23,2,17,33
2012/11/24,2,17,33
2012/11/25,2,17,33
2012/11/26,2,17,32
2012/11/27,2,17,34
2012/11/28,1,17,34
2012/11/29,1,17,34
2012/11/30,1,18,34
2012/12/01,1,18,33
2012/12/02,1,18,33
2012/12/03,1,18,32
2012/12/04,1,19,33
2012/12/05,1,19,33
2012/12/06,1,19,33
2012/12/07,1,19,32
2012/12/08,1,19,33
2012/12/09,1,19,33
2012/12/10,1,19,33
2012/12/11,1,19,33
2012/12/12,1,19,32
2012/12/13,1,19,31
2012/12/14,1,19,31
2012/12/15,1,20,32
2012/12/16,1,19,31
2012/12/17,1,19,31
2012/12/18,1,19,31
2012/12/19,1,19,31
2012/12/20,,19,30
2012/12/21,,19,30
2012/12/22,,19,30
2012/12/23,,19,30
2012/12/24,,18,30
2012/12/25,,18,31
2012/12/26,1,18,32
2012/12/27,1,18,33
2012/12/28,1,18,31
2012/12/29,1,19,34
2012/12/30,1,19,34
2012/12/31,3,18,35
2013/01/01,3,18,38
2013/01/02,3,18,39
2013/01/03,3,16,39
2013/01/04,3,16,38
2013/01/05,3,16,38
2013/01/06,3,16,38
2013/01/07,3,14,38
2013/01/08,3,15,37
2013/01/09,3,14,37
2013/01/10,2,14,41
2013/01/11,2,13,40
2013/01/12,3,13,40
2013/01/13,3,13,40
2013/01/14,3,12,40
2013/01/15,3,11,41
2013/01/16,3,11,42
2013/01/17,3,12,42
2013/01/18,3,12,42
2013/01/19,3,13,42
2013/01/20,3,13,42
2013/01/21,3,13,41
2013/01/22,3,12,42
2013/01/23,3,12,42
2013/01/24,3,12,42
2013/01/25,3,12,41
2013/01/26,3,12,40
2013/01/27,3,12,39
2013/01/28,3,12,37
2013/01/29,2,12,37
2013/01/30,2,13,35
2013/01/31,2,14,33
2013/02/01,2,14,31
2013/02/02,2,14,30
2013/02/03,2,14,28
2013/02/04,2,14,28
2013/02/05,2,13,29
2013/02/06,2,11,31
2013/02/07,2,12,31
2013/02/08,2,13,32
2013/02/09,2,14,29
2013/02/10,2,15,28
2013/02/11,2,15,28
2013/02/12,2,15,29
2013/02/13,2,16,30
2013/02/14,2,16,30
2013/02/15,2,16,30
2013/02/16,2,16,32
2013/02/17,2,16,32
2013/02/18,2,15,33
2013/02/19,2,15,33
2013/02/20,2,15,34
2013/02/21,2,15,33
2013/02/22,2,16,33
2013/02/23,2,16,33
2013/02/24,2,16,33
2013/02/25,2,16,33
2013/02/26,2,16,32
2013/02/27,2,16,32
2013/02/28,2,16,31
2013/03/01,2,16,30
2013/03/02,1,14,30
2013/03/03,1,14,30
2013/03/04,1,15,31
2013/03/05,2,15,31
2013/03/06,2,15,31
2013/03/07,2,15,30
2013/03/08,3,14,30
2013/03/09,3,14,32
2013/03/10,3,13,30
2013/03/11,3,13,30
2013/03/12,4,13,32
2013/03/13,4,12,32
2013/03/14,3,11,29
2013/03/15,3,10,25
2013/03/16,3,10,24
2013/03/17,3,10,23
2013/03/18,3,10,23
2013/03/19,3,10,23
2013/03/20,3,9,22
2013/03/21,3,9,21
2013/03/22,3,8,20
2013/03/23,3,8,19
2013/03/24,3,8,19
2013/03/25,2,8,19
2013/03/26,2,8,19
2013/03/27,2,7,17
2013/03/28,2,6,17
2013/03/29,2,6,17
