date,Active Editors Total
2013/04/08,86339.0
2013/04/09,86695.0
2013/04/10,86825.0
2013/04/11,86890.0
2013/04/12,86768.0
2013/04/13,86735.0
2013/04/14,86442.0
2013/04/15,86393.0
2013/04/16,86430.0
2013/04/17,86450.0
2013/04/18,86430.0
2013/04/19,86361.0
2013/04/20,86166.0
2013/04/21,86016.0
2013/04/22,83538.0
2013/04/23,83866.0
2013/04/24,84996.0
2013/04/25,84079.0
2013/04/26,86089.0
2013/04/27,85957.0
2013/04/28,85725.0
2013/04/29,85618.0
2013/04/30,86002.0
2013/05/01,86136.0
2013/05/02,86057.0
2013/05/03,85747.0
2013/05/04,85544.0
2013/05/05,85153.0
2013/05/06,85067.0
2013/05/07,85241.0
2013/05/08,85258.0
2013/05/09,84958.0
2013/05/10,84741.0
2013/05/11,84442.0
2013/05/12,84274.0
2013/05/13,84213.0
2013/05/14,84395.0
2013/05/15,84450.0
2013/05/16,84457.0
2013/05/17,84378.0
2013/05/18,84209.0
2013/05/19,84068.0
2013/05/20,84079.0
2013/05/21,84426.0
2013/05/22,84485.0
2013/05/23,84424.0
2013/05/24,84288.0
2013/05/25,84112.0
2013/05/26,83941.0
2013/05/27,83896.0
2013/05/28,84131.0
2013/05/29,84411.0
2013/05/30,84337.0
2013/05/31,84371.0
2013/06/01,84316.0
2013/06/02,84250.0
2013/06/03,84210.0
2013/06/04,84479.0
2013/06/05,84598.0
2013/06/06,84491.0
2013/06/07,84421.0
2013/06/08,84285.0
2013/06/09,84057.0
2013/06/10,84028.0
2013/06/11,84161.0
2013/06/12,84145.0
2013/06/13,83917.0
2013/06/14,83736.0
2013/06/15,83524.0
2013/06/16,83261.0
2013/06/17,83074.0
2013/06/18,83278.0
2013/06/19,83174.0
2013/06/20,82938.0
2013/06/21,82812.0
2013/06/22,82565.0
2013/06/23,82119.0
2013/06/24,82045.0
2013/06/25,82186.0
2013/06/26,82157.0
2013/06/27,82015.0
2013/06/28,81734.0
2013/06/29,81445.0
2013/06/30,80895.0
2013/07/01,80748.0
2013/07/02,80810.0
2013/07/03,80711.0
2013/07/04,80511.0
2013/07/05,80208.0
2013/07/06,79864.0
2013/07/07,79361.0
2013/07/08,79149.0
2013/07/09,79413.0
2013/07/10,79391.0
2013/07/11,79195.0
2013/07/12,79072.0
2013/07/13,79017.0
2013/07/14,78647.0
2013/07/15,78560.0
2013/07/16,78704.0
2013/07/17,78862.0
2013/07/18,78829.0
2013/07/19,78716.0
2013/07/20,78543.0
2013/07/21,78280.0
2013/07/22,78142.0
2013/07/23,78472.0
2013/07/24,78659.0
2013/07/25,78596.0
2013/07/26,78517.0
2013/07/27,78334.0
2013/07/28,78147.0
2013/07/29,77917.0
2013/07/30,78290.0
2013/07/31,78607.0
2013/08/01,78824.0
2013/08/02,78711.0
2013/08/03,78733.0
2013/08/04,78590.0
2013/08/05,78503.0
2013/08/06,79001.0
2013/08/07,79437.0
2013/08/08,79426.0
2013/08/09,79446.0
2013/08/10,79349.0
2013/08/11,79075.0
2013/08/12,78897.0
2013/08/13,79415.0
2013/08/14,79690.0
2013/08/15,79718.0
2013/08/16,79654.0
2013/08/17,79476.0
2013/08/18,79283.0
2013/08/19,79024.0
2013/08/20,79324.0
2013/08/21,79434.0
2013/08/22,79274.0
2013/08/23,79118.0
2013/08/24,78817.0
2013/08/25,78541.0
2013/08/26,78560.0
2013/08/27,78897.0
2013/08/28,79070.0
2013/08/29,79081.0
2013/08/30,78745.0
2013/08/31,78639.0
2013/09/01,78321.0
2013/09/02,78242.0
2013/09/03,78521.0
2013/09/04,78667.0
2013/09/05,78516.0
2013/09/06,78356.0
2013/09/07,78013.0
2013/09/08,77657.0
2013/09/09,77488.0
2013/09/10,77608.0
2013/09/11,77667.0
2013/09/12,77422.0
2013/09/13,77224.0
2013/09/14,76939.0
2013/09/15,76579.0
2013/09/16,76519.0
2013/09/17,76707.0
2013/09/18,76735.0
2013/09/19,76474.0
2013/09/20,76296.0
2013/09/21,76062.0
2013/09/22,75752.0
2013/09/23,75558.0
