date,nahwiki (100+),nahwiki (5+),nahwiki (all)
2012/08/19,7,21,48
2012/08/20,7,23,49
2012/08/21,7,24,48
2012/08/22,7,24,48
2012/08/23,6,26,50
2012/08/24,6,26,51
2012/08/25,6,27,53
2012/08/26,6,28,53
2012/08/27,6,28,55
2012/08/28,6,27,56
2012/08/29,6,28,59
2012/08/30,7,28,58
2012/08/31,7,28,59
2012/09/01,7,29,58
2012/09/02,7,29,57
2012/09/03,7,29,58
2012/09/04,7,29,58
2012/09/05,6,28,58
2012/09/06,6,29,58
2012/09/07,5,29,57
2012/09/08,5,29,58
2012/09/09,5,30,59
2012/09/10,5,29,58
2012/09/11,5,29,58
2012/09/12,5,29,60
2012/09/13,5,28,61
2012/09/14,5,28,63
2012/09/15,5,28,62
2012/09/16,5,29,63
2012/09/17,5,29,62
2012/09/18,5,28,62
2012/09/19,5,28,60
2012/09/20,5,27,61
2012/09/21,5,28,61
2012/09/22,6,27,60
2012/09/23,6,26,58
2012/09/24,7,26,62
2012/09/25,7,26,63
2012/09/26,8,26,63
2012/09/27,8,26,61
2012/09/28,8,27,60
2012/09/29,7,27,60
2012/09/30,7,27,59
2012/10/01,7,25,58
2012/10/02,7,25,58
2012/10/03,7,25,56
2012/10/04,7,26,58
2012/10/05,7,26,58
2012/10/06,7,24,54
2012/10/07,8,23,54
2012/10/08,7,23,54
2012/10/09,7,23,52
2012/10/10,8,24,52
2012/10/11,7,24,52
2012/10/12,7,24,49
2012/10/13,7,24,53
2012/10/14,7,24,52
2012/10/15,7,24,52
2012/10/16,7,23,51
2012/10/17,7,23,51
2012/10/18,7,23,48
2012/10/19,7,23,48
2012/10/20,7,23,48
2012/10/21,7,24,49
2012/10/22,7,24,51
2012/10/23,7,24,51
2012/10/24,7,24,50
2012/10/25,6,25,48
2012/10/26,5,25,49
2012/10/27,5,25,50
2012/10/28,6,25,49
2012/10/29,6,27,50
2012/10/30,6,26,51
2012/10/31,6,26,51
2012/11/01,7,25,50
2012/11/02,7,25,51
2012/11/03,7,25,51
2012/11/04,7,25,53
2012/11/05,7,26,54
2012/11/06,6,26,54
2012/11/07,6,25,52
2012/11/08,6,25,54
2012/11/09,6,25,55
2012/11/10,6,25,55
2012/11/11,6,25,56
2012/11/12,6,26,49
2012/11/13,6,26,49
2012/11/14,6,26,50
2012/11/15,6,26,51
2012/11/16,6,26,53
2012/11/17,6,27,54
2012/11/18,6,27,54
2012/11/19,6,27,54
2012/11/20,6,27,55
2012/11/21,6,26,55
2012/11/22,6,26,55
2012/11/23,5,26,54
2012/11/24,5,26,54
2012/11/25,5,26,54
2012/11/26,6,27,54
