date,nds_nlwiki (100+),nds_nlwiki (5+),nds_nlwiki (all)
2012/08/19,5,14,32
2012/08/20,5,14,31
2012/08/21,5,14,30
2012/08/22,5,12,31
2012/08/23,5,13,31
2012/08/24,5,13,31
2012/08/25,5,13,32
2012/08/26,5,12,31
2012/08/27,5,12,31
2012/08/28,5,13,32
2012/08/29,6,13,32
2012/08/30,6,13,35
2012/08/31,6,13,37
2012/09/01,6,13,39
2012/09/02,6,13,40
2012/09/03,5,13,40
2012/09/04,5,13,39
2012/09/05,5,13,38
2012/09/06,5,13,39
2012/09/07,5,13,39
2012/09/08,5,14,39
2012/09/09,5,15,41
2012/09/10,5,15,41
2012/09/11,5,15,42
2012/09/12,4,15,40
2012/09/13,5,15,41
2012/09/14,5,15,41
2012/09/15,5,16,40
2012/09/16,4,14,40
2012/09/17,4,15,39
2012/09/18,4,15,38
2012/09/19,4,15,38
2012/09/20,4,15,38
2012/09/21,4,16,37
2012/09/22,4,16,36
2012/09/23,4,16,35
2012/09/24,4,16,34
2012/09/25,4,16,34
2012/09/26,4,16,34
2012/09/27,4,16,34
2012/09/28,3,16,34
2012/09/29,3,16,31
2012/09/30,3,15,30
2012/10/01,3,15,29
2012/10/02,3,17,31
2012/10/03,3,16,31
2012/10/04,3,16,30
2012/10/05,3,16,29
2012/10/06,3,15,28
2012/10/07,2,15,29
2012/10/08,2,15,29
2012/10/09,2,14,27
2012/10/10,1,15,27
2012/10/11,1,15,27
2012/10/12,1,15,27
2012/10/13,1,14,28
2012/10/14,1,13,28
2012/10/15,,12,28
2012/10/16,,12,28
2012/10/17,,12,28
2012/10/18,1,12,28
2012/10/19,1,12,28
2012/10/20,1,12,28
2012/10/21,1,11,28
2012/10/22,1,12,29
2012/10/23,1,12,29
2012/10/24,1,12,29
2012/10/25,1,12,29
2012/10/26,1,12,28
2012/10/27,1,13,27
2012/10/28,1,13,29
2012/10/29,1,13,28
2012/10/30,1,14,29
2012/10/31,1,15,30
2012/11/01,1,13,31
2012/11/02,1,13,31
2012/11/03,1,13,30
2012/11/04,1,13,29
2012/11/05,1,13,29
2012/11/06,1,13,28
2012/11/07,1,13,28
2012/11/08,1,13,28
2012/11/09,1,13,28
2012/11/10,1,12,29
2012/11/11,1,12,28
2012/11/12,1,12,27
2012/11/13,,13,27
2012/11/14,,13,27
2012/11/15,,13,27
2012/11/16,,13,27
2012/11/17,,13,29
2012/11/18,,13,30
2012/11/19,,14,33
2012/11/20,,14,34
2012/11/21,,14,34
2012/11/22,,14,33
2012/11/23,,14,33
2012/11/24,,14,33
2012/11/25,,14,35
2012/11/26,,14,34
2012/11/27,,14,34
2012/11/28,,15,36
2012/11/29,,15,35
2012/11/30,,14,36
2012/12/01,,14,35
2012/12/02,,15,35
2012/12/03,,15,33
2012/12/04,,15,34
2012/12/05,,15,35
2012/12/06,,15,35
2012/12/07,,15,37
2012/12/08,,15,39
2012/12/09,,15,39
2012/12/10,,15,41
2012/12/11,,15,42
2012/12/12,,15,43
2012/12/13,,15,43
2012/12/14,,16,44
2012/12/15,,16,43
2012/12/16,,16,43
2012/12/17,,17,43
2012/12/18,,17,44
2012/12/19,,16,42
2012/12/20,,16,42
2012/12/21,,15,42
2012/12/22,,15,42
2012/12/23,,15,43
2012/12/24,,17,43
2012/12/25,,17,42
2012/12/26,,17,43
2012/12/27,,16,43
2012/12/28,,14,42
2012/12/29,,14,42
2012/12/30,1,14,42
2012/12/31,1,14,40
2013/01/01,1,13,39
2013/01/02,1,13,38
2013/01/03,1,13,40
2013/01/04,1,14,38
2013/01/05,1,14,38
2013/01/06,1,15,37
2013/01/07,1,15,36
2013/01/08,1,15,36
2013/01/09,1,15,34
2013/01/10,1,14,35
2013/01/11,1,14,35
2013/01/12,1,14,35
2013/01/13,1,14,34
2013/01/14,1,14,34
2013/01/15,1,13,33
2013/01/16,1,13,32
2013/01/17,1,13,34
2013/01/18,1,13,33
2013/01/19,1,13,34
2013/01/20,1,13,34
2013/01/21,1,12,34
2013/01/22,1,12,32
2013/01/23,1,11,33
2013/01/24,1,12,34
2013/01/25,1,14,35
2013/01/26,1,14,37
2013/01/27,1,14,37
2013/01/28,1,14,37
2013/01/29,,14,37
2013/01/30,,13,38
2013/01/31,,15,39
2013/02/01,,15,39
2013/02/02,,15,40
2013/02/03,,14,41
2013/02/04,,15,41
2013/02/05,,15,42
2013/02/06,,15,41
2013/02/07,,15,42
2013/02/08,,15,44
2013/02/09,,15,43
2013/02/10,,15,40
2013/02/11,,15,40
2013/02/12,,15,39
2013/02/13,,14,39
2013/02/14,,15,39
2013/02/15,,14,39
2013/02/16,,15,41
2013/02/17,,15,41
2013/02/18,,15,40
2013/02/19,,14,39
2013/02/20,,15,39
2013/02/21,,15,39
2013/02/22,,15,39
2013/02/23,,14,38
2013/02/24,,13,36
2013/02/25,,12,32
2013/02/26,,12,32
2013/02/27,,14,32
2013/02/28,,14,33
2013/03/01,,15,34
2013/03/02,,14,32
2013/03/03,,13,31
2013/03/04,1,13,32
2013/03/05,1,12,31
2013/03/06,1,12,31
2013/03/07,1,12,29
2013/03/08,1,12,29
2013/03/09,1,13,30
2013/03/10,1,13,30
2013/03/11,1,13,31
2013/03/12,1,14,32
2013/03/13,1,14,32
2013/03/14,1,13,32
2013/03/15,1,13,31
2013/03/16,1,12,30
2013/03/17,2,12,30
2013/03/18,1,11,28
2013/03/19,1,11,28
2013/03/20,1,10,26
2013/03/21,1,10,26
2013/03/22,1,10,26
2013/03/23,1,10,26
2013/03/24,1,10,26
2013/03/25,1,10,26
2013/03/26,1,10,26
2013/03/27,1,10,26
2013/03/28,1,10,26
2013/03/29,1,9,26
2013/03/30,1,9,24
2013/03/31,1,8,23
2013/04/01,1,8,22
2013/04/02,1,7,25
2013/04/03,1,7,25
2013/04/04,1,7,25
2013/04/05,1,6,26
2013/04/06,1,6,24
2013/04/07,1,6,24
2013/04/08,1,6,23
2013/04/09,1,6,25
2013/04/10,1,6,23
2013/04/11,,6,23
2013/04/12,,6,22
2013/04/13,,6,22
2013/04/14,,6,22
2013/04/15,,7,24
2013/04/16,1,7,26
2013/04/17,1,7,28
2013/04/18,1,7,28
2013/04/19,1,7,28
2013/04/20,1,7,29
2013/04/21,1,7,29
2013/04/22,1,7,29
2013/04/23,1,7,30
2013/04/24,1,8,31
2013/04/25,1,8,31
2013/04/26,1,8,31
2013/04/27,1,8,31
2013/04/28,1,7,32
2013/04/29,2,7,32
2013/04/30,2,7,32
2013/05/01,2,8,34
2013/05/02,2,9,32
2013/05/03,2,8,33
2013/05/04,3,8,31
2013/05/05,3,8,31
2013/05/06,3,8,31
2013/05/07,3,8,31
2013/05/08,3,7,31
2013/05/09,3,7,28
2013/05/10,3,7,26
2013/05/11,2,6,26
2013/05/12,2,6,26
2013/05/13,2,6,26
2013/05/14,2,6,25
2013/05/15,2,6,24
2013/05/16,2,6,23
