date,iawiki (100+),iawiki (5+),iawiki (all)
2012/08/19,7,31,69
2012/08/20,7,30,68
2012/08/21,7,30,69
2012/08/22,8,28,68
2012/08/23,8,28,69
2012/08/24,8,32,68
2012/08/25,8,29,71
2012/08/26,8,28,72
2012/08/27,8,30,74
2012/08/28,8,29,75
2012/08/29,8,31,75
2012/08/30,8,32,72
2012/08/31,8,32,73
2012/09/01,8,32,73
2012/09/02,7,32,71
2012/09/03,7,32,71
2012/09/04,7,30,68
2012/09/05,7,30,65
2012/09/06,7,30,66
2012/09/07,7,30,65
2012/09/08,7,31,64
2012/09/09,8,31,64
2012/09/10,8,31,65
2012/09/11,8,31,65
2012/09/12,7,31,64
2012/09/13,9,31,65
2012/09/14,9,31,65
2012/09/15,9,31,64
2012/09/16,9,31,66
2012/09/17,9,31,63
2012/09/18,8,31,63
2012/09/19,8,31,62
2012/09/20,8,30,61
2012/09/21,7,28,60
2012/09/22,7,28,59
2012/09/23,7,27,59
2012/09/24,7,26,56
2012/09/25,7,28,55
2012/09/26,7,28,56
2012/09/27,7,27,57
2012/09/28,7,26,58
2012/09/29,7,26,59
2012/09/30,7,23,59
2012/10/01,7,22,58
2012/10/02,8,22,59
2012/10/03,8,22,59
2012/10/04,9,23,59
2012/10/05,9,23,57
2012/10/06,9,23,54
2012/10/07,9,23,53
2012/10/08,8,23,53
2012/10/09,8,22,53
2012/10/10,8,22,52
2012/10/11,8,22,55
2012/10/12,8,20,54
2012/10/13,8,21,54
2012/10/14,8,21,55
2012/10/15,8,22,55
2012/10/16,8,23,53
2012/10/17,8,22,55
2012/10/18,8,22,53
2012/10/19,8,22,53
2012/10/20,8,22,56
2012/10/21,8,23,58
2012/10/22,8,24,59
2012/10/23,8,25,60
2012/10/24,8,24,58
2012/10/25,8,24,58
2012/10/26,7,24,56
2012/10/27,7,25,56
2012/10/28,7,25,57
2012/10/29,7,25,56
2012/10/30,7,25,55
2012/10/31,7,25,54
2012/11/01,7,24,54
2012/11/02,7,24,56
2012/11/03,6,23,57
2012/11/04,6,24,57
2012/11/05,7,24,57
2012/11/06,7,24,58
2012/11/07,7,24,58
2012/11/08,7,24,56
2012/11/09,7,24,55
2012/11/10,7,24,54
2012/11/11,7,25,57
2012/11/12,7,23,57
2012/11/13,7,23,54
2012/11/14,7,23,54
2012/11/15,7,23,53
2012/11/16,7,23,51
2012/11/17,7,22,52
2012/11/18,7,23,54
2012/11/19,6,23,53
2012/11/20,6,23,55
2012/11/21,6,22,54
2012/11/22,6,22,56
2012/11/23,6,22,57
2012/11/24,6,22,57
2012/11/25,6,22,57
2012/11/26,7,22,58
2012/11/27,8,23,58
2012/11/28,7,23,57
2012/11/29,7,23,57
2012/11/30,8,24,58
2012/12/01,8,24,59
2012/12/02,8,24,62
2012/12/03,8,24,61
2012/12/04,8,24,64
2012/12/05,8,24,65
2012/12/06,8,23,64
2012/12/07,8,23,64
2012/12/08,8,23,65
2012/12/09,8,23,66
2012/12/10,8,23,65
2012/12/11,9,23,63
2012/12/12,9,23,65
2012/12/13,9,23,66
2012/12/14,9,23,65
2012/12/15,9,25,66
2012/12/16,9,25,66
2012/12/17,9,26,67
2012/12/18,9,25,69
2012/12/19,9,25,70
2012/12/20,9,25,69
2012/12/21,9,24,69
2012/12/22,9,24,69
2012/12/23,9,24,69
2012/12/24,9,24,69
2012/12/25,9,24,68
2012/12/26,9,23,69
2012/12/27,9,24,70
2012/12/28,9,25,71
2012/12/29,9,25,69
2012/12/30,9,25,70
2012/12/31,9,25,68
2013/01/01,8,25,64
2013/01/02,8,25,66
2013/01/03,8,25,62
2013/01/04,8,25,61
2013/01/05,8,25,61
2013/01/06,8,27,63
2013/01/07,8,27,62
2013/01/08,8,28,62
2013/01/09,8,29,62
2013/01/10,8,27,61
2013/01/11,8,27,58
2013/01/12,8,28,59
2013/01/13,8,29,59
2013/01/14,8,29,61
2013/01/15,8,28,62
