date,arwiki (100+),arwiki (5+),arwiki (all)
2012/08/19,80,705,2826
2012/08/20,77,700,2817
2012/08/21,80,702,2829
2012/08/22,83,716,2864
2012/08/23,85,723,2891
2012/08/24,84,734,2807
2012/08/25,86,736,2889
2012/08/26,85,742,2927
2012/08/27,86,748,2956
2012/08/28,85,748,2959
2012/08/29,83,747,2938
2012/08/30,81,743,2929
2012/08/31,82,738,2921
2012/09/01,82,740,2916
2012/09/02,83,741,2903
2012/09/03,84,726,2898
2012/09/04,82,737,2894
2012/09/05,80,743,2881
2012/09/06,85,745,2895
2012/09/07,86,746,2898
2012/09/08,85,738,2889
2012/09/09,87,731,2875
2012/09/10,87,737,2892
2012/09/11,89,742,2939
2012/09/12,90,739,2940
2012/09/13,89,742,2919
2012/09/14,87,746,2925
2012/09/15,88,751,2942
2012/09/16,89,749,2937
2012/09/17,92,772,2928
2012/09/18,88,774,2921
2012/09/19,88,784,2929
2012/09/20,87,775,2929
2012/09/21,90,776,2916
2012/09/22,90,768,2895
2012/09/23,89,765,2899
2012/09/24,90,758,2888
2012/09/25,88,749,2856
2012/09/26,86,743,2843
2012/09/27,89,733,2849
2012/09/28,91,737,2851
2012/09/29,90,740,2849
2012/09/30,91,739,2860
2012/10/01,87,742,2845
2012/10/02,90,740,2843
2012/10/03,89,744,2842
2012/10/04,89,746,2828
2012/10/05,91,746,2837
2012/10/06,84,748,2842
2012/10/07,85,757,2853
2012/10/08,85,759,2843
2012/10/09,84,765,2859
2012/10/10,82,764,2860
2012/10/11,84,759,2833
2012/10/12,85,746,2829
2012/10/13,83,760,2851
2012/10/14,85,760,2839
2012/10/15,88,753,2820
2012/10/16,84,755,2837
2012/10/17,83,750,2828
2012/10/18,80,763,2824
2012/10/19,78,757,2809
2012/10/20,78,758,2806
2012/10/21,82,751,2806
2012/10/22,86,752,2803
2012/10/23,90,749,2790
2012/10/24,89,751,2797
2012/10/25,89,757,2771
2012/10/26,89,751,2756
2012/10/27,89,753,2733
2012/10/28,92,752,2733
2012/10/29,91,754,2752
2012/10/30,88,754,2775
2012/10/31,88,762,2808
2012/11/01,89,766,2814
2012/11/02,92,779,2843
2012/11/03,91,783,2863
2012/11/04,87,787,2870
2012/11/05,89,792,2872
2012/11/06,90,786,2867
2012/11/07,92,779,2858
2012/11/08,93,776,2836
2012/11/09,90,778,2857
2012/11/10,90,769,2861
2012/11/11,90,767,2845
2012/11/12,90,758,2797
2012/11/13,87,756,2807
2012/11/14,89,753,2812
2012/11/15,95,758,2838
2012/11/16,93,760,2827
2012/11/17,96,755,2825
2012/11/18,93,753,2823
2012/11/19,92,750,2823
2012/11/20,97,747,2813
2012/11/21,99,742,2821
2012/11/22,100,746,2795
2012/11/23,103,751,2797
2012/11/24,100,749,2825
2012/11/25,102,760,2824
2012/11/26,104,759,2827
