date,kgwiki (100+),kgwiki (5+),kgwiki (all)
2012/08/19,2,9,27
2012/08/20,2,8,27
2012/08/21,2,9,27
2012/08/22,2,9,26
2012/08/23,2,9,27
2012/08/24,,10,26
2012/08/25,,11,24
2012/08/26,,11,21
2012/08/27,,11,24
2012/08/28,,12,25
2012/08/29,,11,25
2012/08/30,,11,24
2012/08/31,,12,24
2012/09/01,,13,25
2012/09/02,,13,25
2012/09/03,,13,26
2012/09/04,,12,26
2012/09/05,,12,27
2012/09/06,,10,28
2012/09/07,,11,27
2012/09/08,,10,27
2012/09/09,,10,28
2012/09/10,,11,28
2012/09/11,,12,30
2012/09/12,,12,30
2012/09/13,,13,31
2012/09/14,1,13,31
2012/09/15,2,14,31
2012/09/16,2,15,32
2012/09/17,2,15,32
2012/09/18,2,15,32
2012/09/19,2,16,32
2012/09/20,2,16,32
2012/09/21,2,16,31
2012/09/22,2,16,30
2012/09/23,2,16,29
2012/09/24,2,15,28
2012/09/25,2,15,28
2012/09/26,2,15,26
2012/09/27,2,15,27
2012/09/28,2,15,26
2012/09/29,2,14,26
2012/09/30,2,14,26
2012/10/01,2,13,25
2012/10/02,2,13,25
2012/10/03,3,14,24
2012/10/04,3,15,26
2012/10/05,3,15,26
2012/10/06,3,15,26
2012/10/07,3,15,26
2012/10/08,3,15,26
2012/10/09,3,15,26
2012/10/10,3,15,25
2012/10/11,2,14,23
2012/10/12,2,14,24
2012/10/13,2,15,24
2012/10/14,1,15,24
2012/10/15,1,15,24
2012/10/16,1,15,23
2012/10/17,1,15,23
2012/10/18,1,15,23
2012/10/19,1,13,23
2012/10/20,1,13,25
2012/10/21,1,13,29
2012/10/22,1,12,30
2012/10/23,1,12,30
2012/10/24,1,13,30
2012/10/25,1,13,32
2012/10/26,1,12,32
2012/10/27,1,12,32
2012/10/28,2,13,33
2012/10/29,2,13,33
2012/10/30,2,12,33
2012/10/31,2,13,34
2012/11/01,2,12,35
2012/11/02,1,13,35
2012/11/03,1,11,34
2012/11/04,1,11,34
2012/11/05,1,11,34
2012/11/06,1,12,34
2012/11/07,1,13,34
2012/11/08,1,14,33
2012/11/09,1,14,33
2012/11/10,,14,33
2012/11/11,,14,33
2012/11/12,,14,33
2012/11/13,,14,33
