date,fawiki (100+),fawiki (5+),fawiki (all)
2012/08/19,99,839,2426
2012/08/20,101,838,2419
2012/08/21,99,842,2398
2012/08/22,96,833,2390
2012/08/23,101,832,2396
2012/08/24,99,817,2339
2012/08/25,102,822,2378
2012/08/26,102,828,2379
2012/08/27,101,832,2398
2012/08/28,97,846,2398
2012/08/29,98,846,2400
2012/08/30,96,843,2422
2012/08/31,94,850,2428
2012/09/01,94,861,2445
2012/09/02,95,865,2452
2012/09/03,97,860,2470
2012/09/04,101,838,2445
2012/09/05,100,842,2446
2012/09/06,100,845,2439
2012/09/07,99,852,2418
2012/09/08,96,860,2423
2012/09/09,97,854,2426
2012/09/10,96,841,2404
2012/09/11,95,844,2378
2012/09/12,92,833,2370
2012/09/13,92,838,2368
2012/09/14,93,840,2369
2012/09/15,93,840,2369
2012/09/16,94,843,2368
2012/09/17,91,831,2364
2012/09/18,88,826,2346
2012/09/19,88,826,2363
2012/09/20,87,829,2365
2012/09/21,86,824,2374
2012/09/22,86,821,2365
2012/09/23,84,834,2361
2012/09/24,86,838,2369
2012/09/25,88,827,2367
2012/09/26,89,807,2354
2012/09/27,88,796,2325
2012/09/28,88,806,2314
2012/09/29,90,807,2286
2012/09/30,89,799,2274
2012/10/01,89,794,2247
2012/10/02,86,774,2226
2012/10/03,86,766,2206
2012/10/04,85,762,2207
2012/10/05,83,759,2191
2012/10/06,84,742,2190
2012/10/07,83,746,2198
2012/10/08,82,739,2172
2012/10/09,82,735,2162
2012/10/10,83,722,2159
2012/10/11,83,731,2176
2012/10/12,82,734,2178
2012/10/13,80,723,2182
2012/10/14,79,718,2172
2012/10/15,81,713,2156
2012/10/16,80,713,2141
2012/10/17,78,723,2144
2012/10/18,77,722,2146
2012/10/19,81,725,2152
2012/10/20,76,728,2149
2012/10/21,76,723,2144
2012/10/22,75,709,2130
2012/10/23,74,693,2128
2012/10/24,76,699,2116
2012/10/25,72,707,2107
2012/10/26,73,705,2095
2012/10/27,73,711,2099
2012/10/28,73,721,2089
2012/10/29,72,713,2102
2012/10/30,73,719,2111
2012/10/31,73,725,2111
2012/11/01,71,732,2121
2012/11/02,70,747,2143
2012/11/03,71,754,2150
2012/11/04,69,752,2155
2012/11/05,70,752,2160
2012/11/06,70,751,2165
2012/11/07,69,752,2182
2012/11/08,70,750,2186
2012/11/09,68,756,2204
2012/11/10,70,759,2196
2012/11/11,68,750,2183
2012/11/12,69,767,2194
2012/11/13,67,759,2191
2012/11/14,68,750,2200
2012/11/15,68,740,2196
2012/11/16,68,746,2199
2012/11/17,66,752,2178
2012/11/18,68,750,2180
2012/11/19,67,748,2195
2012/11/20,68,750,2199
2012/11/21,68,758,2210
2012/11/22,68,776,2220
2012/11/23,70,781,2242
2012/11/24,71,785,2251
