date,lmowiki (100+),lmowiki (5+),lmowiki (all)
2015/08/02,,9,31
2015/08/03,,8,30
2015/08/04,,8,30
2015/08/05,1,9,33
2015/08/06,2,10,33
2015/08/07,2,10,31
2015/08/08,2,10,31
2015/08/09,2,10,29
2015/08/10,2,10,29
2015/08/11,2,10,32
2015/08/12,2,11,31
2015/08/13,2,10,31
2015/08/14,2,10,31
2015/08/15,2,10,32
2015/08/16,2,9,31
2015/08/17,2,9,30
2015/08/18,2,9,30
2015/08/19,2,8,27
2015/08/20,2,8,27
2015/08/21,3,7,27
2015/08/22,3,8,27
2015/08/23,3,8,28
2015/08/24,3,8,29
2015/08/25,3,8,30
2015/08/26,3,8,31
2015/08/27,3,8,31
2015/08/28,3,7,29
2015/08/29,3,7,29
2015/08/30,3,7,29
2015/08/31,3,7,31
2015/09/01,3,6,30
2015/09/02,3,6,30
2015/09/03,3,6,30
2015/09/04,3,6,28
2015/09/05,2,5,27
2015/09/06,2,5,28
2015/09/07,2,5,28
2015/09/08,2,5,28
2015/09/09,2,5,30
2015/09/10,2,7,27
2015/09/11,2,7,27
2015/09/12,2,8,28
2015/09/13,2,8,26
2015/09/14,2,8,26
2015/09/15,2,8,26
2015/09/16,2,8,25
2015/09/17,2,10,26
2015/09/18,2,10,26
