date,cawiki (100+),cawiki (5+),cawiki (all)
2012/08/19,68,351,1100
2012/08/20,67,348,1094
2012/08/21,67,351,1097
2012/08/22,67,353,1092
2012/08/23,68,354,1102
2012/08/24,66,342,1075
2012/08/25,68,350,1090
2012/08/26,68,347,1083
2012/08/27,67,347,1084
2012/08/28,66,351,1079
2012/08/29,66,347,1082
2012/08/30,68,343,1079
2012/08/31,67,342,1077
2012/09/01,68,338,1076
2012/09/02,72,339,1082
2012/09/03,72,340,1072
2012/09/04,69,347,1087
2012/09/05,68,347,1087
2012/09/06,69,354,1106
2012/09/07,69,353,1117
2012/09/08,69,356,1128
2012/09/09,69,360,1114
2012/09/10,69,364,1107
2012/09/11,70,364,1114
2012/09/12,68,363,1124
2012/09/13,70,369,1116
2012/09/14,73,366,1119
2012/09/15,74,371,1115
2012/09/16,75,369,1115
2012/09/17,75,362,1129
2012/09/18,75,364,1149
2012/09/19,77,366,1149
2012/09/20,75,373,1154
2012/09/21,76,375,1146
2012/09/22,73,381,1159
2012/09/23,72,382,1163
2012/09/24,72,378,1176
2012/09/25,73,382,1183
2012/09/26,75,386,1203
2012/09/27,75,383,1200
2012/09/28,74,388,1201
2012/09/29,74,388,1197
2012/09/30,73,392,1206
2012/10/01,75,391,1204
2012/10/02,74,387,1204
2012/10/03,72,385,1199
2012/10/04,73,383,1207
2012/10/05,72,388,1223
2012/10/06,71,386,1215
2012/10/07,72,389,1216
2012/10/08,71,393,1214
2012/10/09,70,397,1246
2012/10/10,72,394,1253
2012/10/11,72,402,1296
2012/10/12,75,402,1299
2012/10/13,75,407,1293
2012/10/14,76,405,1294
2012/10/15,74,408,1304
2012/10/16,75,403,1312
2012/10/17,76,410,1320
2012/10/18,75,410,1319
2012/10/19,73,412,1328
2012/10/20,71,404,1327
2012/10/21,73,403,1344
2012/10/22,74,404,1339
2012/10/23,74,409,1365
2012/10/24,75,410,1370
2012/10/25,76,407,1379
2012/10/26,78,412,1368
2012/10/27,76,418,1374
2012/10/28,76,424,1380
2012/10/29,77,429,1393
2012/10/30,78,429,1396
2012/10/31,80,423,1400
2012/11/01,82,434,1400
2012/11/02,80,435,1411
2012/11/03,82,440,1421
2012/11/04,81,442,1407
2012/11/05,81,436,1414
2012/11/06,80,444,1420
2012/11/07,80,448,1441
2012/11/08,79,446,1421
2012/11/09,79,440,1432
2012/11/10,79,431,1406
2012/11/11,78,434,1403
2012/11/12,79,434,1406
2012/11/13,82,439,1421
2012/11/14,84,445,1440
2012/11/15,84,451,1440
2012/11/16,84,459,1444
2012/11/17,84,466,1437
2012/11/18,85,472,1433
2012/11/19,83,471,1434
2012/11/20,82,480,1436
2012/11/21,83,482,1440
2012/11/22,83,486,1430
2012/11/23,84,494,1435
2012/11/24,87,504,1433
2012/11/25,84,506,1430
2012/11/26,85,508,1426
2012/11/27,89,518,1433
2012/11/28,91,519,1440
2012/11/29,93,522,1441
2012/11/30,93,525,1434
2012/12/01,93,520,1436
2012/12/02,92,526,1440
2012/12/03,91,530,1459
2012/12/04,89,543,1483
2012/12/05,89,549,1485
2012/12/06,87,548,1488
2012/12/07,88,545,1476
2012/12/08,88,539,1481
2012/12/09,90,542,1474
2012/12/10,92,550,1482
2012/12/11,93,550,1492
2012/12/12,96,553,1511
2012/12/13,96,560,1516
2012/12/14,95,568,1522
2012/12/15,95,569,1513
2012/12/16,95,572,1501
2012/12/17,96,574,1499
2012/12/18,97,577,1511
2012/12/19,97,577,1498
2012/12/20,100,580,1486
2012/12/21,100,585,1487
2012/12/22,99,577,1487
2012/12/23,99,569,1474
2012/12/24,102,559,1479
2012/12/25,104,559,1481
2012/12/26,103,549,1458
2012/12/27,103,541,1443
2012/12/28,102,537,1429
2012/12/29,102,540,1432
2012/12/30,100,540,1441
2012/12/31,101,546,1444
2013/01/01,100,543,1450
2013/01/02,96,531,1442
2013/01/03,98,547,1455
2013/01/04,97,545,1455
2013/01/05,97,557,1478
2013/01/06,94,570,1498
2013/01/07,90,568,1499
2013/01/08,89,579,1522
2013/01/09,89,581,1538
2013/01/10,90,595,1565
2013/01/11,90,619,1572
2013/01/12,90,627,1582
2013/01/13,87,634,1570
2013/01/14,88,638,1576
2013/01/15,86,644,1585
2013/01/16,85,656,1602
2013/01/17,82,667,1617
2013/01/18,86,666,1635
2013/01/19,84,668,1650
2013/01/20,85,675,1660
2013/01/21,89,681,1663
2013/01/22,87,684,1682
2013/01/23,86,683,1698
2013/01/24,83,689,1707
2013/01/25,86,694,1740
2013/01/26,87,692,1745
2013/01/27,86,696,1742
2013/01/28,87,685,1750
2013/01/29,86,697,1774
2013/01/30,89,710,1814
2013/01/31,90,710,1833
2013/02/01,88,706,1826
2013/02/02,88,699,1795
2013/02/03,87,688,1795
2013/02/04,87,674,1787
2013/02/05,92,667,1785
2013/02/06,92,671,1786
2013/02/07,93,667,1773
2013/02/08,93,656,1757
2013/02/09,90,645,1740
2013/02/10,89,618,1683
2013/02/11,91,608,1664
2013/02/12,88,605,1664
2013/02/13,92,605,1671
2013/02/14,92,603,1667
2013/02/15,91,598,1655
2013/02/16,92,587,1628
2013/02/17,89,569,1602
2013/02/18,87,555,1566
2013/02/19,89,550,1550
2013/02/20,88,537,1550
2013/02/21,88,538,1556
2013/02/22,87,533,1555
2013/02/23,90,527,1546
2013/02/24,90,514,1522
2013/02/25,90,516,1514
2013/02/26,89,525,1524
2013/02/27,88,518,1509
2013/02/28,88,512,1490
2013/03/01,86,497,1453
2013/03/02,85,486,1409
2013/03/03,84,487,1402
2013/03/04,84,487,1412
2013/03/05,85,482,1425
2013/03/06,84,474,1425
2013/03/07,84,464,1414
2013/03/08,84,462,1419
2013/03/09,81,456,1415
2013/03/10,82,455,1417
2013/03/11,80,448,1415
2013/03/12,80,457,1418
2013/03/13,80,459,1421
2013/03/14,80,454,1424
2013/03/15,76,449,1425
2013/03/16,78,448,1417
2013/03/17,78,441,1413
2013/03/18,79,443,1419
2013/03/19,81,443,1415
2013/03/20,79,451,1421
2013/03/21,77,450,1406
2013/03/22,77,444,1405
2013/03/23,75,449,1409
2013/03/24,76,450,1405
2013/03/25,77,452,1406
2013/03/26,78,459,1414
2013/03/27,75,458,1406
2013/03/28,78,450,1393
2013/03/29,77,451,1390
2013/03/30,75,451,1384
2013/03/31,73,449,1369
2013/04/01,73,455,1373
2013/04/02,74,455,1380
2013/04/03,73,466,1395
2013/04/04,71,471,1401
2013/04/05,71,475,1419
2013/04/06,74,476,1421
2013/04/07,75,480,1424
2013/04/08,76,487,1431
2013/04/09,75,500,1451
2013/04/10,76,502,1474
2013/04/11,77,506,1477
2013/04/12,79,503,1477
2013/04/13,77,523,1506
2013/04/14,75,538,1522
2013/04/15,76,539,1512
2013/04/16,77,537,1516
2013/04/17,76,541,1529
2013/04/18,78,536,1528
2013/04/19,81,531,1524
2013/04/20,84,535,1516
2013/04/21,84,536,1511
2013/04/22,83,539,1514
2013/04/23,79,556,1533
2013/04/24,78,559,1526
2013/04/25,78,555,1512
2013/04/26,76,552,1505
2013/04/27,75,555,1526
2013/04/28,75,549,1527
2013/04/29,75,551,1532
2013/04/30,78,558,1538
2013/05/01,77,552,1535
2013/05/02,78,554,1536
2013/05/03,81,545,1527
2013/05/04,79,544,1517
2013/05/05,77,539,1490
2013/05/06,75,531,1474
2013/05/07,71,530,1476
2013/05/08,73,530,1478
2013/05/09,73,516,1448
2013/05/10,72,515,1430
2013/05/11,76,512,1411
2013/05/12,76,514,1407
2013/05/13,74,492,1397
2013/05/14,74,474,1384
2013/05/15,75,465,1382
2013/05/16,75,459,1370
2013/05/17,76,461,1369
2013/05/18,74,461,1375
2013/05/19,74,464,1366
2013/05/20,74,459,1363
2013/05/21,73,463,1392
2013/05/22,73,460,1398
2013/05/23,71,461,1384
2013/05/24,72,464,1385
2013/05/25,72,469,1367
2013/05/26,70,472,1372
2013/05/27,72,461,1368
2013/05/28,72,466,1378
2013/05/29,70,472,1387
2013/05/30,73,461,1394
2013/05/31,70,469,1410
2013/06/01,70,472,1423
2013/06/02,68,475,1417
2013/06/03,69,470,1407
2013/06/04,70,477,1426
2013/06/05,71,483,1439
2013/06/06,68,484,1446
2013/06/07,70,492,1462
2013/06/08,69,490,1474
2013/06/09,68,494,1466
2013/06/10,70,496,1471
2013/06/11,69,493,1488
2013/06/12,68,497,1491
2013/06/13,66,493,1478
2013/06/14,69,494,1463
2013/06/15,70,492,1476
2013/06/16,68,488,1455
2013/06/17,72,481,1438
2013/06/18,70,476,1450
2013/06/19,67,478,1459
2013/06/20,68,480,1456
2013/06/21,67,478,1436
2013/06/22,67,476,1418
2013/06/23,68,480,1415
2013/06/24,67,475,1417
2013/06/25,69,476,1412
2013/06/26,68,474,1408
2013/06/27,66,458,1380
2013/06/28,66,452,1363
2013/06/29,66,449,1346
2013/06/30,66,441,1316
2013/07/01,66,438,1302
2013/07/02,66,433,1303
2013/07/03,67,442,1304
2013/07/04,70,431,1284
2013/07/05,72,425,1274
2013/07/06,70,418,1261
2013/07/07,69,402,1224
2013/07/08,71,401,1198
2013/07/09,71,410,1187
2013/07/10,69,404,1163
2013/07/11,70,407,1150
2013/07/12,68,405,1136
2013/07/13,70,402,1121
2013/07/14,68,401,1104
2013/07/15,68,389,1085
2013/07/16,67,383,1085
2013/07/17,65,377,1081
2013/07/18,66,377,1077
2013/07/19,65,380,1068
2013/07/20,61,376,1062
2013/07/21,57,375,1059
2013/07/22,60,379,1059
2013/07/23,61,367,1057
2013/07/24,63,370,1060
2013/07/25,61,365,1056
2013/07/26,63,361,1051
2013/07/27,66,362,1053
2013/07/28,66,362,1058
2013/07/29,66,367,1067
2013/07/30,67,368,1078
2013/07/31,68,371,1081
2013/08/01,68,367,1092
2013/08/02,67,364,1075
2013/08/03,66,361,1056
2013/08/04,65,359,1042
2013/08/05,66,356,1039
2013/08/06,69,371,1059
2013/08/07,70,369,1070
2013/08/08,68,368,1055
2013/08/09,69,368,1053
2013/08/10,69,362,1054
2013/08/11,69,356,1051
2013/08/12,69,355,1047
2013/08/13,68,360,1049
2013/08/14,68,361,1048
2013/08/15,70,361,1045
2013/08/16,72,362,1041
2013/08/17,73,361,1026
2013/08/18,73,358,1022
2013/08/19,74,363,1019
2013/08/20,75,365,1024
2013/08/21,74,365,1035
2013/08/22,76,373,1032
2013/08/23,77,369,1020
2013/08/24,76,370,1017
2013/08/25,75,374,1020
2013/08/26,74,374,1016
2013/08/27,73,378,1028
2013/08/28,74,379,1014
2013/08/29,74,371,1010
2013/08/30,75,362,1007
2013/08/31,76,359,1000
2013/09/01,77,358,994
2013/09/02,77,359,1003
2013/09/03,80,362,1013
2013/09/04,81,368,1027
2013/09/05,80,368,1029
2013/09/06,81,371,1035
2013/09/07,81,374,1028
2013/09/08,81,374,1022
2013/09/09,82,376,1003
2013/09/10,84,380,1002
2013/09/11,83,387,1003
2013/09/12,84,386,998
2013/09/13,83,385,999
2013/09/14,84,385,988
2013/09/15,83,380,985
2013/09/16,84,384,993
2013/09/17,81,390,1000
2013/09/18,81,390,999
2013/09/19,80,387,1000
2013/09/20,77,387,1002
