date,zuwiki (100+),zuwiki (5+),zuwiki (all)
2013/08/09,,1,13
2013/08/10,,1,13
2013/08/11,,1,13
2013/08/12,,1,12
2013/08/13,,1,12
2013/08/14,,1,12
2013/08/15,,1,10
2013/08/16,,1,11
2013/08/17,,1,10
2013/08/18,,1,10
2013/08/19,,1,10
2013/08/20,,1,11
2013/08/21,,1,11
2013/08/22,,1,11
2013/08/23,,1,11
2013/08/24,,1,11
2013/08/25,,1,11
2013/08/26,,1,11
2013/08/27,,1,11
2013/08/28,,1,11
2013/08/29,,1,10
2013/08/30,,1,7
2013/08/31,,1,7
2013/09/01,,1,7
2013/09/02,,1,7
2013/09/03,,1,7
2013/09/04,,1,6
2013/09/05,,1,6
2013/09/06,,1,6
2013/09/07,,1,6
2013/09/08,,1,5
2013/09/09,,1,5
2013/09/10,,1,5
2013/09/11,,1,5
2013/09/12,,1,5
2013/09/13,,1,5
2013/09/14,,1,5
2013/09/15,,1,4
2013/09/16,,1,6
2013/09/17,,1,6
2013/09/18,,1,6
2013/09/19,,1,6
2013/09/20,,2,8
2013/09/21,,2,11
2013/09/22,,2,11
2013/09/23,,2,11
2013/09/24,,2,11
2013/09/25,,2,11
2013/09/26,,2,11
2013/09/27,,2,11
2013/09/28,,2,12
2013/09/29,,2,12
2013/09/30,,2,12
2013/10/01,,3,13
2013/10/02,,3,14
2013/10/03,,3,14
2013/10/04,,3,14
2013/10/05,,4,14
2013/10/06,,4,13
2013/10/07,,4,13
2013/10/08,,4,13
2013/10/09,,4,13
2013/10/10,,4,13
2013/10/11,,4,13
2013/10/12,,4,14
2013/10/13,,4,14
2013/10/14,,4,15
2013/10/15,,4,16
2013/10/16,,3,15
2013/10/17,,4,15
2013/10/18,,4,15
2013/10/19,,3,15
2013/10/20,,2,12
2013/10/21,,2,11
2013/10/22,,2,11
2013/10/23,,2,11
2013/10/24,,2,11
2013/10/25,,2,11
2013/10/26,,2,14
2013/10/27,,2,14
2013/10/28,,2,15
2013/10/29,,2,15
2013/10/30,,2,15
2013/10/31,,2,14
2013/11/01,,2,13
2013/11/02,,2,14
2013/11/03,,2,15
2013/11/04,,3,17
2013/11/05,,3,17
2013/11/06,,3,18
2013/11/07,,3,19
2013/11/08,,3,19
2013/11/09,,3,19
2013/11/10,,3,20
2013/11/11,,3,19
2013/11/12,,3,19
2013/11/13,,3,18
2013/11/14,,3,18
2013/11/15,,3,18
2013/11/16,,3,17
2013/11/17,,3,17
2013/11/18,,2,16
2013/11/19,,2,16
2013/11/20,,2,16
2013/11/21,,2,16
2013/11/22,,2,16
2013/11/23,,2,16
2013/11/24,,2,16
2013/11/25,,2,13
2013/11/26,,2,13
2013/11/27,,2,13
2013/11/28,,2,13
2013/11/29,,2,13
2013/11/30,,2,13
2013/12/01,,2,14
2013/12/02,,2,13
2013/12/03,,2,12
2013/12/04,,2,13
2013/12/05,,2,13
2013/12/06,,2,11
2013/12/07,,2,10
2013/12/08,,3,12
2013/12/09,,3,12
2013/12/10,,3,12
2013/12/11,,2,12
2013/12/12,,2,13
2013/12/13,,3,14
2013/12/14,,2,12
2013/12/15,,2,13
2013/12/16,,3,13
2013/12/17,,3,13
2013/12/18,,3,12
2013/12/19,,3,13
2013/12/20,,3,13
2013/12/21,,3,13
2013/12/22,,3,13
2013/12/23,,3,13
2013/12/24,,3,13
2013/12/25,,3,13
2013/12/26,,3,13
2013/12/27,,3,12
2013/12/28,,3,12
2013/12/29,,3,12
2013/12/30,,3,12
2013/12/31,,3,11
2014/01/01,,3,11
2014/01/02,,2,11
2014/01/03,,2,11
2014/01/04,,2,12
2014/01/05,,2,11
2014/01/06,,2,11
2014/01/07,,1,12
2014/01/08,,1,13
2014/01/09,,1,12
2014/01/10,,1,11
2014/01/11,,1,9
2014/01/12,,1,8
2014/01/13,,1,9
2014/01/14,,,8
2014/01/15,,,7
2014/01/16,,,8
2014/01/17,,,9
2014/01/18,,,8
2014/01/19,,1,9
2014/01/20,,1,9
2014/01/21,,1,9
2014/01/22,,1,9
2014/01/23,,1,9
2014/01/24,,1,9
2014/01/25,,1,10
2014/01/26,,1,10
2014/01/27,,1,10
2014/01/28,,1,11
2014/01/29,,1,11
2014/01/30,,1,12
2014/01/31,,1,14
2014/02/01,,1,14
2014/02/02,,1,14
2014/02/03,,1,13
2014/02/04,,1,13
2014/02/05,,1,13
2014/02/06,,1,12
2014/02/07,,1,11
2014/02/08,,1,10
2014/02/09,,1,11
2014/02/10,,1,11
2014/02/11,,2,12
2014/02/12,,3,12
2014/02/13,,3,13
2014/02/14,,3,13
2014/02/15,,3,15
2014/02/16,,3,15
2014/02/17,,3,15
2014/02/18,,2,14
2014/02/19,,2,15
2014/02/20,,2,14
2014/02/21,,2,14
2014/02/22,,2,14
2014/02/23,,2,14
2014/02/24,,2,13
2014/02/25,,2,13
2014/02/26,,2,13
2014/02/27,,2,13
2014/02/28,,2,13
2014/03/01,,2,12
2014/03/02,,2,12
2014/03/03,,2,11
2014/03/04,,2,11
2014/03/05,,2,11
2014/03/06,,2,11
2014/03/07,,2,11
2014/03/08,,2,11
2014/03/09,,2,11
2014/03/10,,2,11
2014/03/11,,2,10
2014/03/12,,2,10
2014/03/13,,1,9
2014/03/14,,,9
2014/03/15,,,9
2014/03/16,,1,9
2014/03/17,,,7
2014/03/18,,,6
2014/03/19,,,6
2014/03/20,,,6
2014/03/21,,,5
