date,zuwiki (100+),zuwiki (5+),zuwiki (all)
2012/08/19,,9,34
2012/08/20,1,8,33
2012/08/21,1,7,33
2012/08/22,1,8,31
2012/08/23,1,9,34
2012/08/24,1,10,34
2012/08/25,,9,35
2012/08/26,1,8,31
2012/08/27,1,8,33
2012/08/28,,8,34
2012/08/29,,9,35
2012/08/30,,10,37
2012/08/31,,10,37
2012/09/01,,10,37
2012/09/02,,9,37
2012/09/03,,9,38
2012/09/04,,10,39
2012/09/05,,10,39
2012/09/06,,11,39
2012/09/07,,10,40
2012/09/08,,10,39
2012/09/09,,10,41
2012/09/10,,10,41
2012/09/11,,10,41
2012/09/12,,10,43
2012/09/13,,11,43
2012/09/14,,11,42
2012/09/15,,11,42
2012/09/16,,11,42
2012/09/17,,11,41
2012/09/18,,11,40
2012/09/19,,10,40
2012/09/20,,10,40
2012/09/21,,10,40
2012/09/22,,10,39
2012/09/23,,10,40
2012/09/24,,10,39
2012/09/25,,10,39
2012/09/26,,10,39
2012/09/27,,10,39
2012/09/28,,10,38
2012/09/29,,10,37
2012/09/30,,10,38
2012/10/01,,11,36
2012/10/02,,11,36
2012/10/03,,11,34
2012/10/04,,11,36
2012/10/05,,11,36
2012/10/06,,11,36
2012/10/07,,11,34
2012/10/08,,11,34
2012/10/09,,11,31
2012/10/10,,11,31
2012/10/11,1,11,31
2012/10/12,1,11,31
2012/10/13,1,11,31
2012/10/14,1,11,32
2012/10/15,1,11,32
2012/10/16,1,11,30
2012/10/17,1,12,29
2012/10/18,1,12,28
2012/10/19,1,11,28
2012/10/20,1,12,31
2012/10/21,1,12,32
2012/10/22,1,12,32
2012/10/23,1,12,33
2012/10/24,1,12,33
2012/10/25,1,10,33
2012/10/26,1,11,33
2012/10/27,1,11,33
2012/10/28,1,11,33
2012/10/29,1,11,33
2012/10/30,1,11,32
2012/10/31,1,12,33
2012/11/01,1,12,33
2012/11/02,1,12,34
2012/11/03,1,12,34
2012/11/04,1,13,34
2012/11/05,1,13,36
2012/11/06,1,13,37
2012/11/07,1,13,37
2012/11/08,1,13,37
2012/11/09,1,12,37
2012/11/10,1,12,37
2012/11/11,1,11,37
2012/11/12,1,11,37
2012/11/13,1,14,37
2012/11/14,1,14,37
2012/11/15,1,14,37
2012/11/16,1,14,37
2012/11/17,1,14,36
2012/11/18,1,14,36
2012/11/19,1,14,34
2012/11/20,1,15,34
2012/11/21,1,14,31
2012/11/22,1,14,31
2012/11/23,1,14,30
2012/11/24,1,13,30
2012/11/25,1,14,32
2012/11/26,1,14,31
2012/11/27,1,14,31
2012/11/28,1,14,31
2012/11/29,1,15,33
2012/11/30,1,15,32
2012/12/01,1,17,31
2012/12/02,,17,31
2012/12/03,,17,30
2012/12/04,,17,30
2012/12/05,,17,29
2012/12/06,,17,28
2012/12/07,,17,29
2012/12/08,,17,29
2012/12/09,,17,28
2012/12/10,,17,28
2012/12/11,,17,30
2012/12/12,,18,31
2012/12/13,,16,33
2012/12/14,,15,33
2012/12/15,,15,33
2012/12/16,,15,32
2012/12/17,,15,34
2012/12/18,,15,34
2012/12/19,,15,34
2012/12/20,,15,35
2012/12/21,,15,35
2012/12/22,,15,35
2012/12/23,,15,35
2012/12/24,,15,35
2012/12/25,,14,33
2012/12/26,,15,34
2012/12/27,,16,33
2012/12/28,,17,36
2012/12/29,,17,35
2012/12/30,,17,34
2012/12/31,,17,35
2013/01/01,,16,35
2013/01/02,,17,36
2013/01/03,,16,37
2013/01/04,,17,37
2013/01/05,,17,37
2013/01/06,,16,36
2013/01/07,,16,36
2013/01/08,,16,36
2013/01/09,,16,37
2013/01/10,,16,36
2013/01/11,,16,36
2013/01/12,,14,35
2013/01/13,,15,36
2013/01/14,,15,36
2013/01/15,,15,36
2013/01/16,,14,35
2013/01/17,,14,35
2013/01/18,1,14,35
2013/01/19,1,14,38
2013/01/20,1,15,38
2013/01/21,1,16,37
2013/01/22,1,14,38
2013/01/23,1,14,38
2013/01/24,1,14,38
2013/01/25,,15,38
2013/01/26,,15,38
2013/01/27,,13,35
2013/01/28,1,11,35
2013/01/29,2,10,35
2013/01/30,2,11,33
2013/01/31,2,11,32
2013/02/01,2,11,32
2013/02/02,1,11,31
2013/02/03,1,12,32
2013/02/04,1,12,32
2013/02/05,1,13,33
2013/02/06,1,13,33
2013/02/07,1,13,32
2013/02/08,1,14,31
2013/02/09,1,14,33
2013/02/10,1,14,36
2013/02/11,1,14,36
2013/02/12,1,14,38
2013/02/13,1,14,38
2013/02/14,1,15,36
2013/02/15,1,15,36
2013/02/16,1,16,38
2013/02/17,1,15,38
2013/02/18,1,14,36
2013/02/19,1,13,35
2013/02/20,1,13,35
2013/02/21,1,13,33
2013/02/22,1,12,33
2013/02/23,1,12,36
2013/02/24,1,11,35
2013/02/25,1,11,34
2013/02/26,1,11,32
2013/02/27,1,11,32
2013/02/28,1,11,32
2013/03/01,1,10,32
2013/03/02,1,9,34
2013/03/03,1,9,34
2013/03/04,1,9,34
2013/03/05,1,9,34
2013/03/06,1,11,35
2013/03/07,1,11,33
2013/03/08,2,11,34
2013/03/09,2,11,35
2013/03/10,2,11,34
2013/03/11,2,11,35
2013/03/12,2,11,33
2013/03/13,2,11,34
2013/03/14,2,11,31
2013/03/15,2,9,30
2013/03/16,1,9,30
2013/03/17,1,9,29
2013/03/18,1,9,25
2013/03/19,1,9,25
2013/03/20,1,9,25
2013/03/21,1,9,25
2013/03/22,1,9,25
2013/03/23,1,9,25
2013/03/24,1,9,26
2013/03/25,1,8,24
2013/03/26,1,8,25
2013/03/27,1,7,25
2013/03/28,1,7,25
2013/03/29,1,6,25
2013/03/30,1,6,24
2013/03/31,1,6,24
2013/04/01,1,6,24
2013/04/02,1,5,23
2013/04/03,1,4,23
2013/04/04,1,5,21
2013/04/05,1,5,15
2013/04/06,1,5,14
2013/04/07,1,4,14
2013/04/08,,2,14
2013/04/09,,2,15
2013/04/10,,2,14
2013/04/11,,2,14
2013/04/12,,2,13
2013/04/13,,2,13
2013/04/14,,2,14
2013/04/15,,2,15
2013/04/16,,2,15
2013/04/17,,2,15
2013/04/18,,2,16
2013/04/19,,2,17
2013/04/20,,2,17
2013/04/21,,2,18
2013/04/22,,2,18
2013/04/23,,2,17
2013/04/24,,2,18
2013/04/25,,2,16
2013/04/26,,2,16
2013/04/27,,2,16
2013/04/28,,2,17
2013/04/29,,2,17
2013/04/30,,2,16
2013/05/01,,2,15
2013/05/02,,2,15
2013/05/03,,1,14
2013/05/04,,1,14
2013/05/05,,1,15
2013/05/06,,1,15
2013/05/07,,1,14
2013/05/08,,1,13
2013/05/09,,1,13
2013/05/10,,1,13
2013/05/11,,1,13
2013/05/12,,1,13
2013/05/13,,1,13
2013/05/14,,1,12
2013/05/15,,1,11
2013/05/16,,,14
2013/05/17,,,14
2013/05/18,,,14
2013/05/19,,,13
2013/05/20,,,13
2013/05/21,,,12
2013/05/22,,,12
2013/05/23,,,12
2013/05/24,,,11
2013/05/25,,,11
2013/05/26,,,11
2013/05/27,,,12
2013/05/28,,,11
2013/05/29,,,11
2013/05/30,,,11
2013/05/31,,,10
2013/06/01,,,10
2013/06/02,,,12
2013/06/03,,,12
2013/06/04,,,11
2013/06/05,,,10
2013/06/06,,,10
2013/06/07,,,10
2013/06/08,,,10
2013/06/09,,,10
2013/06/10,,,10
2013/06/11,,,10
2013/06/12,,,12
2013/06/13,,,12
2013/06/14,,,12
2013/06/15,,,9
2013/06/16,,,9
2013/06/17,,,11
2013/06/18,,,11
2013/06/19,,,11
2013/06/20,,,11
2013/06/21,,,9
2013/06/22,,,9
2013/06/23,,,9
2013/06/24,,,10
2013/06/25,,,11
2013/06/26,,,11
2013/06/27,,,11
2013/06/28,,,11
2013/06/29,,,11
2013/06/30,,,11
2013/07/01,,,11
2013/07/02,,,9
2013/07/03,,,10
2013/07/04,,,10
2013/07/05,,,10
2013/07/06,,,10
2013/07/07,,,10
2013/07/08,,,10
2013/07/09,,,10
2013/07/10,,,10
2013/07/11,,,10
2013/07/12,,,8
2013/07/13,,,9
2013/07/14,,,9
2013/07/15,,,9
2013/07/16,,1,10
2013/07/17,,,9
2013/07/18,,,10
2013/07/19,,,10
2013/07/20,,,10
2013/07/21,,1,11
2013/07/22,,1,11
2013/07/23,,1,11
2013/07/24,,1,10
2013/07/25,,1,11
2013/07/26,,1,11
2013/07/27,,1,11
2013/07/28,,1,12
2013/07/29,,1,13
2013/07/30,,1,15
2013/07/31,,1,15
2013/08/01,,1,14
2013/08/02,,1,12
2013/08/03,,1,12
2013/08/04,,1,12
2013/08/05,,1,13
2013/08/06,,1,12
2013/08/07,,1,12
2013/08/08,,1,12
