date,gotwiki (100+),gotwiki (5+),gotwiki (all)
2012/08/19,,8,27
2012/08/20,,8,28
2012/08/21,,8,28
2012/08/22,,10,26
2012/08/23,,10,26
2012/08/24,,10,25
2012/08/25,,10,24
2012/08/26,,10,24
2012/08/27,,10,24
2012/08/28,,9,25
2012/08/29,,9,24
2012/08/30,,9,25
2012/08/31,,9,25
2012/09/01,,9,23
2012/09/02,,10,24
2012/09/03,,9,24
2012/09/04,,9,24
2012/09/05,,9,24
2012/09/06,,8,26
2012/09/07,,8,26
2012/09/08,,8,26
2012/09/09,,9,27
2012/09/10,,9,27
2012/09/11,,8,27
2012/09/12,,8,27
2012/09/13,,8,27
2012/09/14,,8,27
2012/09/15,,7,26
2012/09/16,,7,26
2012/09/17,,7,27
2012/09/18,,7,26
2012/09/19,,7,25
2012/09/20,,7,26
2012/09/21,,8,25
2012/09/22,,8,24
2012/09/23,,9,24
2012/09/24,,9,26
2012/09/25,,10,25
2012/09/26,,10,26
2012/09/27,,9,25
2012/09/28,,9,25
2012/09/29,,9,24
2012/09/30,,11,27
2012/10/01,,11,27
2012/10/02,,11,26
2012/10/03,,12,26
2012/10/04,,12,26
2012/10/05,,12,27
2012/10/06,,12,26
2012/10/07,,12,27
2012/10/08,,12,29
2012/10/09,,11,28
2012/10/10,,11,31
2012/10/11,,11,31
2012/10/12,,11,31
2012/10/13,,9,31
2012/10/14,,9,32
2012/10/15,,9,32
2012/10/16,,9,33
2012/10/17,,8,33
2012/10/18,,8,33
2012/10/19,,9,35
2012/10/20,,9,35
2012/10/21,,10,35
2012/10/22,,10,38
2012/10/23,,11,38
2012/10/24,,11,37
2012/10/25,,11,36
2012/10/26,,11,38
2012/10/27,,11,37
2012/10/28,,11,37
2012/10/29,,11,38
2012/10/30,,12,36
2012/10/31,,12,36
2012/11/01,,12,35
2012/11/02,,12,35
2012/11/03,,12,35
2012/11/04,,12,35
2012/11/05,,12,35
2012/11/06,,12,34
2012/11/07,,9,34
2012/11/08,,10,34
2012/11/09,,10,30
2012/11/10,,9,30
2012/11/11,,9,30
2012/11/12,,10,30
2012/11/13,,10,30
2012/11/14,,10,31
2012/11/15,,10,31
2012/11/16,,10,31
2012/11/17,,10,31
2012/11/18,,8,29
2012/11/19,,8,28
2012/11/20,,8,28
2012/11/21,,9,26
2012/11/22,,9,26
2012/11/23,,8,22
2012/11/24,,8,23
2012/11/25,,8,22
2012/11/26,,8,23
2012/11/27,,10,24
2012/11/28,,9,25
2012/11/29,,9,23
2012/11/30,,8,24
2012/12/01,,8,25
2012/12/02,,9,25
2012/12/03,,9,25
2012/12/04,,9,25
2012/12/05,,9,25
2012/12/06,,9,26
2012/12/07,,9,26
2012/12/08,,10,25
2012/12/09,,10,27
2012/12/10,,10,30
2012/12/11,,11,31
2012/12/12,,11,31
2012/12/13,,12,32
2012/12/14,,11,31
2012/12/15,,11,32
2012/12/16,,11,32
2012/12/17,,12,33
2012/12/18,,12,33
2012/12/19,,11,33
2012/12/20,,11,33
2012/12/21,,11,34
2012/12/22,,11,34
2012/12/23,,11,34
2012/12/24,,11,34
2012/12/25,,11,34
2012/12/26,,11,35
2012/12/27,,12,35
2012/12/28,,12,35
2012/12/29,,12,35
2012/12/30,,12,35
2012/12/31,,12,36
2013/01/01,,12,37
2013/01/02,,12,37
2013/01/03,,12,37
2013/01/04,,11,37
2013/01/05,,11,37
2013/01/06,,11,36
2013/01/07,,10,36
2013/01/08,,9,37
2013/01/09,,10,35
2013/01/10,,10,35
2013/01/11,,10,36
2013/01/12,,10,34
2013/01/13,,10,32
2013/01/14,,10,33
2013/01/15,,9,31
2013/01/16,,9,32
2013/01/17,,9,32
2013/01/18,,9,32
2013/01/19,,9,33
2013/01/20,,8,32
2013/01/21,,7,31
2013/01/22,,7,30
2013/01/23,,7,30
2013/01/24,,7,30
2013/01/25,,7,29
2013/01/26,,7,27
2013/01/27,,7,28
2013/01/28,,7,28
2013/01/29,,7,29
2013/01/30,,7,26
2013/01/31,,7,27
2013/02/01,,7,28
2013/02/02,,8,29
2013/02/03,,8,28
2013/02/04,,7,28
2013/02/05,,7,28
2013/02/06,,7,27
2013/02/07,,7,26
2013/02/08,,8,25
2013/02/09,,9,25
2013/02/10,,9,24
2013/02/11,,9,24
2013/02/12,,9,25
2013/02/13,,9,25
2013/02/14,,9,26
2013/02/15,,9,27
2013/02/16,,9,27
2013/02/17,,9,27
2013/02/18,,9,27
2013/02/19,,9,27
2013/02/20,,9,27
2013/02/21,,8,26
2013/02/22,,9,26
2013/02/23,,9,26
2013/02/24,,9,26
2013/02/25,,9,26
2013/02/26,,10,27
2013/02/27,,10,27
2013/02/28,,10,27
2013/03/01,,10,27
2013/03/02,,10,27
2013/03/03,,10,28
2013/03/04,,9,27
2013/03/05,,10,26
2013/03/06,,10,25
2013/03/07,,11,26
2013/03/08,1,11,26
2013/03/09,1,9,25
2013/03/10,1,9,24
2013/03/11,1,8,24
2013/03/12,1,8,25
2013/03/13,1,8,25
2013/03/14,1,8,24
2013/03/15,1,8,24
2013/03/16,1,8,24
2013/03/17,1,8,23
2013/03/18,1,8,25
2013/03/19,1,8,25
2013/03/20,1,8,25
2013/03/21,1,9,24
2013/03/22,1,8,24
2013/03/23,1,8,25
2013/03/24,1,8,25
2013/03/25,1,7,25
2013/03/26,1,7,25
2013/03/27,1,7,23
2013/03/28,1,6,23
2013/03/29,1,6,23
2013/03/30,1,6,21
2013/03/31,1,6,19
2013/04/01,1,6,19
2013/04/02,1,6,18
2013/04/03,1,5,16
2013/04/04,1,4,14
2013/04/05,1,4,12
2013/04/06,1,3,13
2013/04/07,1,3,12
2013/04/08,,3,12
2013/04/09,,3,12
2013/04/10,,3,13
2013/04/11,,3,13
2013/04/12,,4,13
2013/04/13,,4,13
2013/04/14,,4,12
2013/04/15,,4,12
2013/04/16,,4,13
2013/04/17,,3,13
2013/04/18,,3,13
2013/04/19,,3,13
2013/04/20,,2,12
2013/04/21,,2,12
2013/04/22,,2,11
2013/04/23,,2,11
2013/04/24,,2,12
2013/04/25,,2,12
2013/04/26,,2,12
2013/04/27,,2,12
2013/04/28,,2,12
2013/04/29,,2,12
2013/04/30,,2,12
2013/05/01,,2,11
2013/05/02,,2,10
2013/05/03,,2,9
2013/05/04,,2,9
2013/05/05,,2,9
2013/05/06,,2,7
2013/05/07,,1,7
2013/05/08,,1,7
2013/05/09,,1,7
2013/05/10,,1,6
2013/05/11,,1,5
2013/05/12,,1,4
2013/05/13,,1,4
2013/05/14,,1,4
2013/05/15,,1,4
2013/05/16,,,3
2013/05/17,,,3
2013/05/18,,,4
2013/05/19,,,4
2013/05/20,,,4
2013/05/21,,,4
2013/05/22,,,4
2013/05/23,,,4
2013/05/24,,,3
2013/05/25,,,3
2013/05/26,,,3
2013/05/27,,,3
2013/05/28,,,3
2013/05/29,,,3
2013/05/30,,,2
2013/05/31,,,4
2013/06/01,,,5
2013/06/02,,,5
2013/06/03,,,5
2013/06/04,,,6
2013/06/05,,,6
2013/06/06,,,6
2013/06/07,,,6
2013/06/08,,,6
2013/06/09,,,6
2013/06/10,,,6
2013/06/11,,,6
2013/06/12,,,6
2013/06/13,,,6
2013/06/14,,,6
2013/06/15,,,6
2013/06/16,,,6
2013/06/17,,,6
2013/06/18,,,7
2013/06/19,,,7
2013/06/20,,,7
2013/06/21,,,7
2013/06/22,,,7
2013/06/23,,,7
2013/06/24,,,7
2013/06/25,,,7
2013/06/26,,,7
2013/06/27,,,7
2013/06/28,,,7
2013/06/29,,,7
2013/06/30,,,5
2013/07/01,,,3
2013/07/02,,,3
2013/07/03,,,3
2013/07/04,,1,4
2013/07/05,,2,5
2013/07/06,,2,6
2013/07/07,,2,6
2013/07/08,,2,7
2013/07/09,,2,7
2013/07/10,,2,7
2013/07/11,,2,7
2013/07/12,,2,7
2013/07/13,,2,8
2013/07/14,,2,9
2013/07/15,,2,9
2013/07/16,,2,9
2013/07/17,,2,9
2013/07/18,,2,8
2013/07/19,,2,8
2013/07/20,,2,8
2013/07/21,,2,9
2013/07/22,,2,9
2013/07/23,,2,9
2013/07/24,,3,10
2013/07/25,,3,10
2013/07/26,,3,10
2013/07/27,,3,10
2013/07/28,,3,10
2013/07/29,,3,10
2013/07/30,,3,10
2013/07/31,,3,10
2013/08/01,,3,10
2013/08/02,,3,10
2013/08/03,,3,9
2013/08/04,,2,9
2013/08/05,,2,8
2013/08/06,,2,9
2013/08/07,,3,8
2013/08/08,,3,8
2013/08/09,,2,8
2013/08/10,,2,8
2013/08/11,,2,8
2013/08/12,,2,8
2013/08/13,,2,7
2013/08/14,,2,7
2013/08/15,,2,7
2013/08/16,,2,7
2013/08/17,,2,6
2013/08/18,,2,6
2013/08/19,,2,6
2013/08/20,,2,5
2013/08/21,,2,5
2013/08/22,,2,5
2013/08/23,,1,5
2013/08/24,,1,4
2013/08/25,,1,4
2013/08/26,,1,4
2013/08/27,,1,4
2013/08/28,,1,4
2013/08/29,,1,4
2013/08/30,,1,4
2013/08/31,,1,4
2013/09/01,,1,4
2013/09/02,,1,4
2013/09/03,,1,4
2013/09/04,,1,4
2013/09/05,,1,3
2013/09/06,,1,3
2013/09/07,,1,4
2013/09/08,,1,4
