date,htwiki (100+),htwiki (5+),htwiki (all)
2012/08/19,8,23,54
2012/08/20,7,22,53
2012/08/21,7,22,54
2012/08/22,7,21,57
2012/08/23,6,21,60
2012/08/24,6,22,63
2012/08/25,6,21,63
2012/08/26,6,20,63
2012/08/27,6,19,62
2012/08/28,6,19,63
2012/08/29,6,20,65
2012/08/30,7,21,66
2012/08/31,7,22,66
2012/09/01,7,24,67
2012/09/02,6,24,67
2012/09/03,6,25,69
2012/09/04,6,25,67
2012/09/05,5,25,65
2012/09/06,5,24,65
2012/09/07,6,24,61
2012/09/08,7,24,62
2012/09/09,6,24,64
2012/09/10,6,24,65
2012/09/11,6,25,64
2012/09/12,5,25,64
2012/09/13,5,26,65
2012/09/14,5,26,63
2012/09/15,5,26,63
2012/09/16,5,27,62
2012/09/17,6,26,60
2012/09/18,6,25,58
2012/09/19,7,25,57
2012/09/20,7,26,58
2012/09/21,7,25,57
2012/09/22,7,25,56
2012/09/23,7,25,53
2012/09/24,7,24,54
2012/09/25,7,24,53
2012/09/26,8,23,52
2012/09/27,8,23,50
2012/09/28,8,22,48
2012/09/29,8,20,46
2012/09/30,8,21,45
2012/10/01,8,20,45
2012/10/02,8,20,44
2012/10/03,8,20,43
2012/10/04,8,20,43
2012/10/05,8,19,44
2012/10/06,8,19,43
2012/10/07,9,19,42
2012/10/08,9,19,42
2012/10/09,9,19,41
2012/10/10,9,19,42
2012/10/11,9,19,43
2012/10/12,8,19,43
2012/10/13,8,19,42
2012/10/14,8,19,42
2012/10/15,8,19,41
2012/10/16,8,19,39
2012/10/17,8,18,39
2012/10/18,8,18,40
2012/10/19,8,18,43
2012/10/20,8,17,42
2012/10/21,8,17,41
2012/10/22,8,18,43
2012/10/23,8,18,45
2012/10/24,7,18,46
2012/10/25,7,19,45
2012/10/26,6,18,45
2012/10/27,6,18,46
2012/10/28,6,19,46
2012/10/29,6,20,46
2012/10/30,6,19,47
2012/10/31,6,19,46
2012/11/01,6,19,47
2012/11/02,6,19,48
2012/11/03,6,19,50
2012/11/04,6,19,51
2012/11/05,6,19,51
2012/11/06,6,19,52
2012/11/07,5,19,51
2012/11/08,5,18,52
2012/11/09,5,19,51
2012/11/10,5,20,52
2012/11/11,5,21,52
2012/11/12,5,21,52
2012/11/13,5,21,52
2012/11/14,5,21,51
2012/11/15,6,21,52
2012/11/16,6,21,51
2012/11/17,6,22,51
2012/11/18,6,21,53
2012/11/19,6,21,53
2012/11/20,6,21,53
2012/11/21,6,20,51
2012/11/22,6,20,50
2012/11/23,7,18,49
2012/11/24,7,18,48
2012/11/25,7,18,48
2012/11/26,7,17,48
2012/11/27,7,18,48
2012/11/28,7,18,49
2012/11/29,6,18,50
2012/11/30,7,19,51
2012/12/01,7,19,49
2012/12/02,7,19,50
2012/12/03,7,19,48
2012/12/04,7,19,49
2012/12/05,7,19,49
2012/12/06,7,19,48
2012/12/07,7,20,48
2012/12/08,7,20,48
2012/12/09,7,20,49
2012/12/10,7,19,46
2012/12/11,7,19,45
2012/12/12,7,19,46
2012/12/13,7,19,47
2012/12/14,7,19,50
2012/12/15,7,20,49
2012/12/16,7,20,51
2012/12/17,7,20,50
2012/12/18,7,20,49
2012/12/19,7,20,49
2012/12/20,7,20,48
2012/12/21,7,21,49
2012/12/22,7,21,49
2012/12/23,7,21,50
2012/12/24,7,21,52
2012/12/25,7,20,51
2012/12/26,7,20,52
2012/12/27,7,20,55
2012/12/28,7,20,52
2012/12/29,7,22,52
2012/12/30,7,21,51
2012/12/31,7,21,53
2013/01/01,7,21,53
2013/01/02,7,21,52
2013/01/03,7,21,51
2013/01/04,7,19,53
2013/01/05,8,20,54
2013/01/06,8,21,54
2013/01/07,7,21,55
2013/01/08,7,23,54
2013/01/09,7,23,55
2013/01/10,7,23,55
2013/01/11,7,24,57
2013/01/12,7,24,57
2013/01/13,8,24,55
2013/01/14,8,24,55
2013/01/15,8,24,54
2013/01/16,9,24,55
2013/01/17,9,26,53
2013/01/18,8,26,57
2013/01/19,8,28,58
2013/01/20,8,27,58
2013/01/21,8,26,57
2013/01/22,8,26,57
2013/01/23,8,26,56
2013/01/24,9,26,58
2013/01/25,9,26,57
2013/01/26,10,26,55
2013/01/27,11,26,55
2013/01/28,10,26,54
2013/01/29,10,26,57
2013/01/30,10,26,56
2013/01/31,10,26,56
2013/02/01,11,26,56
2013/02/02,11,26,55
2013/02/03,11,26,54
2013/02/04,11,28,55
2013/02/05,12,28,57
2013/02/06,12,28,58
2013/02/07,12,28,58
2013/02/08,12,28,58
2013/02/09,12,27,57
2013/02/10,13,27,56
2013/02/11,13,27,56
2013/02/12,14,27,56
2013/02/13,14,27,56
2013/02/14,14,27,55
2013/02/15,14,26,55
2013/02/16,14,24,56
2013/02/17,14,24,53
2013/02/18,14,24,54
2013/02/19,14,24,52
2013/02/20,14,24,51
2013/02/21,14,25,51
2013/02/22,14,25,52
2013/02/23,13,25,50
2013/02/24,13,25,50
2013/02/25,13,25,50
2013/02/26,13,23,49
2013/02/27,13,24,50
2013/02/28,13,24,50
2013/03/01,12,23,49
2013/03/02,12,25,48
2013/03/03,12,25,47
2013/03/04,11,25,46
2013/03/05,11,25,46
2013/03/06,10,23,45
2013/03/07,9,23,45
2013/03/08,10,24,44
2013/03/09,9,24,45
2013/03/10,9,24,43
2013/03/11,9,24,43
2013/03/12,8,22,43
2013/03/13,8,22,42
2013/03/14,7,21,42
2013/03/15,7,22,41
2013/03/16,7,21,40
2013/03/17,7,20,37
2013/03/18,7,20,35
2013/03/19,7,20,35
2013/03/20,7,19,34
2013/03/21,7,19,34
2013/03/22,7,18,33
2013/03/23,8,17,32
2013/03/24,7,17,31
2013/03/25,7,17,31
2013/03/26,6,17,31
2013/03/27,6,17,31
2013/03/28,6,17,31
2013/03/29,6,17,31
2013/03/30,6,17,30
2013/03/31,5,17,30
2013/04/01,5,15,30
2013/04/02,5,12,29
2013/04/03,5,10,30
2013/04/04,4,9,28
2013/04/05,4,7,27
2013/04/06,4,5,20
2013/04/07,3,4,16
2013/04/08,3,4,18
2013/04/09,3,4,19
2013/04/10,3,4,21
2013/04/11,3,4,20
2013/04/12,3,4,20
2013/04/13,3,5,22
2013/04/14,2,5,21
2013/04/15,2,5,22
2013/04/16,2,5,22
2013/04/17,2,6,22
2013/04/18,2,6,24
2013/04/19,2,6,24
2013/04/20,2,6,24
2013/04/21,2,6,24
2013/04/22,2,6,24
2013/04/23,2,6,24
2013/04/24,2,6,24
2013/04/25,2,6,24
2013/04/26,2,6,24
2013/04/27,2,6,24
2013/04/28,2,6,25
2013/04/29,2,6,24
2013/04/30,2,6,24
2013/05/01,2,6,24
2013/05/02,2,6,26
2013/05/03,2,6,24
2013/05/04,2,6,23
2013/05/05,2,6,22
2013/05/06,2,6,23
2013/05/07,2,6,23
2013/05/08,2,6,21
2013/05/09,2,6,20
2013/05/10,2,6,18
2013/05/11,2,6,18
2013/05/12,2,6,19
2013/05/13,2,6,18
2013/05/14,2,5,18
2013/05/15,1,5,17
2013/05/16,,4,16
2013/05/17,,4,16
2013/05/18,,4,15
2013/05/19,,5,16
2013/05/20,,5,16
2013/05/21,,5,17
2013/05/22,,5,17
2013/05/23,,6,18
2013/05/24,,6,16
2013/05/25,,6,16
2013/05/26,,6,16
2013/05/27,1,7,18
2013/05/28,1,7,17
2013/05/29,1,7,17
2013/05/30,1,7,18
2013/05/31,1,7,18
2013/06/01,1,7,16
2013/06/02,1,6,16
2013/06/03,1,6,17
2013/06/04,1,6,18
2013/06/05,1,6,17
2013/06/06,1,4,17
2013/06/07,1,5,17
2013/06/08,1,5,17
2013/06/09,1,5,17
2013/06/10,1,5,16
2013/06/11,1,4,15
2013/06/12,1,5,15
2013/06/13,1,5,15
2013/06/14,1,5,18
2013/06/15,1,5,18
2013/06/16,1,5,19
2013/06/17,1,5,20
2013/06/18,1,4,18
2013/06/19,1,4,18
2013/06/20,1,5,18
2013/06/21,1,5,18
2013/06/22,1,5,18
2013/06/23,1,5,21
2013/06/24,1,5,21
2013/06/25,1,4,22
2013/06/26,,4,20
2013/06/27,,4,21
2013/06/28,,4,22
2013/06/29,,3,21
2013/06/30,,4,23
2013/07/01,,4,24
2013/07/02,,4,24
2013/07/03,,5,24
2013/07/04,,5,24
2013/07/05,,5,24
2013/07/06,,5,25
2013/07/07,,5,25
2013/07/08,,5,25
2013/07/09,,5,25
2013/07/10,,5,25
2013/07/11,,5,25
2013/07/12,,5,24
2013/07/13,,5,24
2013/07/14,,4,21
2013/07/15,,4,21
2013/07/16,,4,23
2013/07/17,,4,23
2013/07/18,,4,24
2013/07/19,,4,24
2013/07/20,,4,24
2013/07/21,,4,25
2013/07/22,,4,25
2013/07/23,,4,23
2013/07/24,,5,23
2013/07/25,,5,23
2013/07/26,,5,24
2013/07/27,,4,23
2013/07/28,,4,22
2013/07/29,,4,23
2013/07/30,,3,20
2013/07/31,,3,19
2013/08/01,,3,19
2013/08/02,,3,18
2013/08/03,,3,18
2013/08/04,,3,19
2013/08/05,,3,18
2013/08/06,,3,18
2013/08/07,,3,19
2013/08/08,,3,19
2013/08/09,,3,19
2013/08/10,,3,19
2013/08/11,,3,19
2013/08/12,,3,20
2013/08/13,,3,21
2013/08/14,,3,21
2013/08/15,,3,20
2013/08/16,,3,20
2013/08/17,,3,19
2013/08/18,,3,19
2013/08/19,,3,19
2013/08/20,,3,18
2013/08/21,,3,18
2013/08/22,,3,18
2013/08/23,,2,19
2013/08/24,,2,18
2013/08/25,,2,17
2013/08/26,,2,17
2013/08/27,,2,18
2013/08/28,,2,18
2013/08/29,,3,20
2013/08/30,,2,20
2013/08/31,,2,18
2013/09/01,,2,17
2013/09/02,,3,17
2013/09/03,,4,19
2013/09/04,,4,18
2013/09/05,,4,19
2013/09/06,,4,18
2013/09/07,,4,18
2013/09/08,,4,18
2013/09/09,,3,17
2013/09/10,,3,17
2013/09/11,,3,15
2013/09/12,,3,15
