date,sahwiki (100+),sahwiki (5+),sahwiki (all)
2012/08/19,4,28,54
2012/08/20,4,25,55
2012/08/21,4,26,54
2012/08/22,4,24,53
2012/08/23,4,24,54
2012/08/24,4,24,54
2012/08/25,3,23,53
2012/08/26,3,22,56
2012/08/27,3,22,53
2012/08/28,3,22,53
2012/08/29,3,23,56
2012/08/30,3,23,57
2012/08/31,3,23,55
2012/09/01,3,24,55
2012/09/02,3,25,55
2012/09/03,3,25,56
2012/09/04,3,27,57
2012/09/05,2,27,58
2012/09/06,2,26,60
2012/09/07,2,25,58
2012/09/08,2,25,55
2012/09/09,2,25,55
2012/09/10,2,25,55
2012/09/11,2,25,55
2012/09/12,2,26,54
2012/09/13,2,27,55
2012/09/14,2,27,53
2012/09/15,2,28,55
2012/09/16,2,30,54
2012/09/17,2,30,52
2012/09/18,2,30,53
2012/09/19,2,30,53
2012/09/20,2,29,54
2012/09/21,2,28,52
2012/09/22,2,28,51
2012/09/23,2,28,50
2012/09/24,2,28,50
2012/09/25,3,29,51
2012/09/26,3,29,52
2012/09/27,3,29,51
2012/09/28,3,26,52
2012/09/29,3,26,51
2012/09/30,3,24,51
2012/10/01,3,24,51
2012/10/02,4,25,52
2012/10/03,4,24,50
2012/10/04,3,24,50
2012/10/05,3,24,50
2012/10/06,3,25,47
2012/10/07,4,24,47
2012/10/08,4,24,47
2012/10/09,4,23,46
2012/10/10,4,22,44
2012/10/11,4,22,46
2012/10/12,4,22,45
2012/10/13,4,22,45
2012/10/14,4,22,45
2012/10/15,3,21,43
2012/10/16,3,21,41
2012/10/17,3,22,43
2012/10/18,3,22,41
2012/10/19,3,23,41
2012/10/20,3,23,41
2012/10/21,3,23,42
2012/10/22,3,24,42
2012/10/23,3,24,43
2012/10/24,3,24,45
2012/10/25,3,25,44
2012/10/26,3,25,47
2012/10/27,3,25,47
2012/10/28,4,27,46
2012/10/29,4,28,48
2012/10/30,4,28,48
2012/10/31,4,28,48
2012/11/01,4,28,48
2012/11/02,4,27,50
2012/11/03,4,27,49
2012/11/04,4,27,49
2012/11/05,4,26,50
2012/11/06,3,26,49
2012/11/07,4,26,48
2012/11/08,4,26,48
2012/11/09,4,25,49
2012/11/10,4,25,49
2012/11/11,4,25,48
2012/11/12,4,24,47
2012/11/13,4,23,46
2012/11/14,4,23,47
2012/11/15,4,23,50
2012/11/16,4,23,49
2012/11/17,4,23,49
2012/11/18,4,24,52
2012/11/19,4,24,50
2012/11/20,4,25,51
2012/11/21,3,24,52
2012/11/22,3,25,53
2012/11/23,3,27,52
2012/11/24,3,27,52
2012/11/25,3,26,49
2012/11/26,3,25,50
2012/11/27,4,26,53
2012/11/28,4,26,51
2012/11/29,4,26,52
2012/11/30,4,27,52
2012/12/01,3,27,52
2012/12/02,3,27,51
2012/12/03,3,27,49
2012/12/04,3,27,50
2012/12/05,3,28,50
2012/12/06,3,28,51
2012/12/07,3,28,51
2012/12/08,3,27,52
2012/12/09,4,27,51
2012/12/10,5,26,51
2012/12/11,4,25,52
2012/12/12,5,25,53
2012/12/13,5,25,56
2012/12/14,5,25,56
2012/12/15,5,24,53
2012/12/16,6,25,50
2012/12/17,6,24,49
2012/12/18,6,24,47
2012/12/19,6,26,48
2012/12/20,6,26,48
2012/12/21,6,26,46
2012/12/22,6,25,46
2012/12/23,6,25,46
2012/12/24,6,25,46
2012/12/25,6,26,46
2012/12/26,6,25,46
2012/12/27,6,24,44
2012/12/28,5,25,47
2012/12/29,5,26,47
2012/12/30,6,27,49
2012/12/31,6,28,50
2013/01/01,6,28,50
2013/01/02,6,29,50
2013/01/03,6,29,51
2013/01/04,6,29,50
2013/01/05,6,29,51
2013/01/06,6,30,51
2013/01/07,6,32,53
2013/01/08,6,33,57
2013/01/09,6,33,58
2013/01/10,7,32,59
2013/01/11,7,32,59
2013/01/12,7,31,57
2013/01/13,7,31,56
2013/01/14,7,33,57
2013/01/15,7,34,60
2013/01/16,7,35,61
2013/01/17,7,34,63
2013/01/18,7,34,61
2013/01/19,7,35,62
2013/01/20,7,35,64
2013/01/21,7,35,65
2013/01/22,7,35,65
2013/01/23,8,35,65
2013/01/24,7,34,66
2013/01/25,7,35,67
2013/01/26,7,35,69
2013/01/27,7,35,66
2013/01/28,7,35,67
2013/01/29,8,33,68
2013/01/30,8,33,68
2013/01/31,7,33,69
2013/02/01,7,34,69
2013/02/02,7,34,69
2013/02/03,8,34,70
2013/02/04,8,33,69
2013/02/05,8,33,70
2013/02/06,8,32,69
2013/02/07,8,32,66
2013/02/08,8,34,65
2013/02/09,7,34,65
2013/02/10,7,35,62
2013/02/11,7,34,63
2013/02/12,7,32,63
2013/02/13,7,30,61
2013/02/14,7,29,58
2013/02/15,6,26,57
2013/02/16,6,27,62
2013/02/17,6,28,63
2013/02/18,6,29,62
2013/02/19,6,27,59
2013/02/20,6,27,60
2013/02/21,6,26,58
2013/02/22,6,26,58
2013/02/23,7,25,58
2013/02/24,7,24,57
2013/02/25,7,22,54
2013/02/26,7,22,55
2013/02/27,7,22,53
2013/02/28,7,23,50
2013/03/01,7,23,48
2013/03/02,6,23,46
2013/03/03,6,22,44
2013/03/04,6,22,44
2013/03/05,7,22,42
2013/03/06,8,22,42
2013/03/07,7,22,40
2013/03/08,7,23,40
2013/03/09,6,22,39
2013/03/10,6,21,38
2013/03/11,6,21,39
2013/03/12,7,22,41
2013/03/13,7,22,42
2013/03/14,7,21,43
2013/03/15,7,20,42
2013/03/16,7,18,42
2013/03/17,7,17,43
2013/03/18,7,16,35
2013/03/19,6,16,36
2013/03/20,6,15,36
2013/03/21,6,14,35
2013/03/22,5,14,33
2013/03/23,5,14,34
2013/03/24,4,14,34
2013/03/25,4,14,35
2013/03/26,4,14,35
2013/03/27,4,13,35
2013/03/28,4,14,36
2013/03/29,4,13,35
2013/03/30,4,13,35
2013/03/31,3,12,35
2013/04/01,3,12,35
2013/04/02,3,12,37
2013/04/03,3,12,36
2013/04/04,3,9,35
2013/04/05,3,9,34
2013/04/06,3,6,30
2013/04/07,3,6,30
2013/04/08,3,6,30
2013/04/09,3,6,30
2013/04/10,4,6,31
2013/04/11,3,6,30
2013/04/12,3,6,29
2013/04/13,3,6,27
2013/04/14,2,6,28
2013/04/15,2,6,28
2013/04/16,3,6,27
2013/04/17,3,7,27
2013/04/18,3,8,29
2013/04/19,3,8,31
2013/04/20,3,9,30
2013/04/21,2,9,30
2013/04/22,2,10,30
2013/04/23,2,11,30
2013/04/24,2,11,29
2013/04/25,2,11,30
2013/04/26,2,11,30
2013/04/27,2,11,30
2013/04/28,2,11,30
2013/04/29,2,10,29
2013/04/30,2,10,30
2013/05/01,2,10,29
2013/05/02,2,10,28
2013/05/03,2,8,27
2013/05/04,2,8,27
2013/05/05,2,8,28
2013/05/06,2,9,28
2013/05/07,2,10,26
2013/05/08,2,10,25
2013/05/09,2,9,23
2013/05/10,2,9,21
2013/05/11,2,9,21
2013/05/12,2,9,21
2013/05/13,2,9,21
2013/05/14,2,9,21
2013/05/15,2,9,21
2013/05/16,2,9,22
2013/05/17,2,8,22
2013/05/18,2,8,20
2013/05/19,2,7,20
2013/05/20,2,6,21
2013/05/21,2,6,21
2013/05/22,2,6,22
2013/05/23,2,7,22
2013/05/24,2,7,22
2013/05/25,2,8,21
2013/05/26,2,9,20
2013/05/27,2,8,20
2013/05/28,2,9,20
2013/05/29,2,9,20
2013/05/30,2,9,19
2013/05/31,2,10,19
2013/06/01,2,10,18
2013/06/02,2,10,19
2013/06/03,2,10,19
2013/06/04,2,11,18
2013/06/05,2,11,18
2013/06/06,2,11,19
2013/06/07,2,11,19
2013/06/08,2,11,19
2013/06/09,2,11,19
2013/06/10,2,11,19
2013/06/11,2,11,19
2013/06/12,2,11,20
2013/06/13,2,11,20
2013/06/14,2,11,21
2013/06/15,2,12,20
2013/06/16,2,13,22
2013/06/17,2,14,22
2013/06/18,3,15,23
2013/06/19,3,15,21
2013/06/20,3,15,20
2013/06/21,3,15,20
2013/06/22,3,15,21
2013/06/23,3,14,20
2013/06/24,3,14,22
2013/06/25,3,14,23
2013/06/26,3,15,23
2013/06/27,3,14,23
2013/06/28,3,14,24
2013/06/29,3,14,24
2013/06/30,3,14,23
2013/07/01,3,13,23
2013/07/02,3,13,25
2013/07/03,3,13,26
2013/07/04,3,12,27
2013/07/05,3,11,28
2013/07/06,3,11,28
2013/07/07,2,12,28
2013/07/08,2,12,28
2013/07/09,2,12,30
2013/07/10,2,13,30
2013/07/11,2,13,30
2013/07/12,1,12,31
2013/07/13,1,12,32
2013/07/14,1,12,34
2013/07/15,1,11,34
2013/07/16,,9,30
2013/07/17,,9,29
2013/07/18,,8,27
2013/07/19,,8,27
2013/07/20,,8,28
2013/07/21,1,8,29
2013/07/22,1,8,28
2013/07/23,1,7,28
2013/07/24,1,5,25
2013/07/25,1,5,27
2013/07/26,1,5,26
2013/07/27,1,4,26
2013/07/28,1,5,25
2013/07/29,1,6,25
2013/07/30,1,6,25
2013/07/31,1,6,25
2013/08/01,1,5,23
2013/08/02,1,5,21
2013/08/03,1,5,20
2013/08/04,1,5,20
2013/08/05,1,5,20
2013/08/06,1,5,22
2013/08/07,1,5,23
2013/08/08,1,5,21
2013/08/09,1,5,21
2013/08/10,1,5,20
2013/08/11,1,5,21
2013/08/12,1,5,21
2013/08/13,1,5,21
2013/08/14,1,5,21
2013/08/15,1,5,21
2013/08/16,1,5,21
2013/08/17,2,6,21
2013/08/18,2,6,21
2013/08/19,2,6,21
2013/08/20,2,6,18
2013/08/21,2,6,18
2013/08/22,1,6,18
2013/08/23,1,6,19
2013/08/24,1,6,18
2013/08/25,1,6,18
2013/08/26,1,6,17
2013/08/27,1,6,17
2013/08/28,1,6,17
2013/08/29,1,7,18
2013/08/30,1,6,17
2013/08/31,1,6,17
2013/09/01,1,6,16
2013/09/02,1,6,16
2013/09/03,1,6,16
2013/09/04,1,6,15
2013/09/05,1,6,14
2013/09/06,1,7,12
2013/09/07,1,7,12
2013/09/08,1,6,13
2013/09/09,1,6,12
2013/09/10,1,6,11
2013/09/11,1,6,12
2013/09/12,1,6,13
2013/09/13,1,6,15
2013/09/14,1,6,15
2013/09/15,1,6,15
2013/09/16,1,5,15
2013/09/17,1,4,15
2013/09/18,1,4,15
2013/09/19,1,4,15
2013/09/20,,4,15
2013/09/21,,4,15
2013/09/22,,4,14
2013/09/23,,4,12
2013/09/24,,4,12
2013/09/25,,4,12
2013/09/26,,4,12
2013/09/27,,4,12
2013/09/28,,4,13
2013/09/29,,4,13
2013/09/30,,4,13
2013/10/01,,4,14
2013/10/02,,4,14
2013/10/03,,4,15
2013/10/04,,4,15
2013/10/05,,5,15
2013/10/06,,4,15
2013/10/07,,3,15
2013/10/08,,3,14
2013/10/09,,2,14
2013/10/10,,2,13
2013/10/11,,3,12
2013/10/12,,3,11
2013/10/13,,3,9
2013/10/14,,3,12
2013/10/15,,4,12
2013/10/16,,4,13
2013/10/17,,4,13
2013/10/18,,4,13
2013/10/19,,5,13
2013/10/20,,5,13
2013/10/21,,5,14
2013/10/22,,5,14
2013/10/23,,5,14
2013/10/24,,5,12
2013/10/25,,5,12
2013/10/26,,5,14
2013/10/27,,5,14
2013/10/28,,6,14
2013/10/29,,6,15
2013/10/30,,6,17
2013/10/31,,6,17
2013/11/01,,6,17
2013/11/02,,6,17
2013/11/03,,6,17
2013/11/04,,6,17
2013/11/05,,6,17
2013/11/06,,6,16
2013/11/07,,6,16
2013/11/08,,6,17
2013/11/09,,6,18
2013/11/10,,6,18
2013/11/11,,6,18
2013/11/12,,6,20
2013/11/13,,6,17
2013/11/14,,6,17
2013/11/15,,6,17
2013/11/16,,6,19
2013/11/17,,6,18
2013/11/18,,4,19
2013/11/19,,4,20
2013/11/20,,5,19
2013/11/21,,5,19
2013/11/22,,5,19
2013/11/23,,5,20
2013/11/24,,6,21
2013/11/25,,6,19
2013/11/26,,6,18
2013/11/27,,5,21
2013/11/28,,5,22
2013/11/29,,5,21
2013/11/30,,5,22
2013/12/01,,5,23
2013/12/02,,5,23
2013/12/03,,5,26
2013/12/04,,5,26
2013/12/05,,5,26
2013/12/06,,5,26
2013/12/07,,5,28
2013/12/08,,5,30
2013/12/09,,6,31
2013/12/10,,6,33
2013/12/11,,6,34
2013/12/12,,7,32
2013/12/13,,7,33
2013/12/14,1,7,33
2013/12/15,2,7,35
2013/12/16,2,7,34
2013/12/17,2,7,34
2013/12/18,2,7,34
2013/12/19,2,7,33
2013/12/20,2,6,33
2013/12/21,2,6,34
2013/12/22,2,6,34
2013/12/23,2,6,33
2013/12/24,2,6,34
2013/12/25,2,9,37
2013/12/26,2,10,38
2013/12/27,2,11,36
2013/12/28,2,12,33
2013/12/29,4,12,33
2013/12/30,4,13,33
2013/12/31,4,12,33
2014/01/01,4,13,35
2014/01/02,5,14,33
2014/01/03,5,15,33
2014/01/04,5,15,35
2014/01/05,5,15,35
2014/01/06,6,17,36
2014/01/07,6,18,38
2014/01/08,6,19,39
2014/01/09,6,19,37
2014/01/10,6,19,36
2014/01/11,6,20,39
2014/01/12,6,21,38
2014/01/13,6,21,39
2014/01/14,6,21,39
2014/01/15,6,21,39
2014/01/16,6,21,39
2014/01/17,6,20,38
2014/01/18,6,20,39
2014/01/19,6,20,39
2014/01/20,6,20,38
2014/01/21,6,20,38
2014/01/22,6,20,38
2014/01/23,6,20,38
2014/01/24,6,20,38
2014/01/25,6,21,39
2014/01/26,6,20,39
2014/01/27,6,20,40
2014/01/28,6,20,41
2014/01/29,6,19,39
2014/01/30,6,19,38
2014/01/31,5,18,37
2014/02/01,5,18,37
2014/02/02,5,18,36
2014/02/03,5,18,33
2014/02/04,5,17,31
2014/02/05,4,16,30
2014/02/06,4,15,32
2014/02/07,4,14,30
2014/02/08,3,14,31
2014/02/09,3,14,30
2014/02/10,2,13,31
2014/02/11,2,15,31
2014/02/12,2,13,29
2014/02/13,2,13,28
2014/02/14,2,13,27
2014/02/15,2,13,26
2014/02/16,2,13,29
2014/02/17,2,12,29
2014/02/18,1,11,29
2014/02/19,1,11,30
2014/02/20,,9,30
2014/02/21,,9,28
2014/02/22,,9,27
2014/02/23,,7,25
2014/02/24,,6,25
2014/02/25,,6,24
2014/02/26,,6,24
2014/02/27,,5,23
2014/02/28,,5,23
2014/03/01,,5,23
2014/03/02,,5,24
2014/03/03,,5,24
2014/03/04,,5,24
2014/03/05,,5,24
2014/03/06,,6,25
2014/03/07,,6,26
2014/03/08,,6,23
2014/03/09,,7,24
2014/03/10,,7,24
2014/03/11,,7,25
2014/03/12,,7,23
2014/03/13,,6,24
2014/03/14,,6,24
2014/03/15,,6,24
2014/03/16,,5,24
2014/03/17,,5,24
2014/03/18,,5,22
2014/03/19,,6,22
2014/03/20,,6,22
2014/03/21,,6,21
2014/03/22,,6,21
2014/03/23,,6,22
2014/03/24,,6,22
2014/03/25,,6,23
2014/03/26,,6,23
2014/03/27,,6,24
2014/03/28,,6,24
2014/03/29,,6,25
2014/03/30,,6,23
2014/03/31,,6,23
2014/04/01,,6,22
2014/04/02,,6,22
2014/04/03,,7,24
2014/04/04,,6,23
2014/04/05,,5,22
2014/04/06,,5,20
2014/04/07,,5,20
2014/04/08,,5,19
2014/04/09,,5,20
2014/04/10,,4,19
2014/04/11,,4,19
2014/04/12,,4,20
2014/04/13,,4,20
2014/04/14,,4,21
2014/04/15,,4,22
2014/04/16,,6,23
2014/04/17,,6,23
2014/04/18,,6,23
2014/04/19,,6,23
2014/04/20,,6,25
2014/04/21,,6,25
2014/04/22,,6,24
2014/04/23,,6,26
2014/04/24,,6,27
2014/04/25,,6,25
2014/04/26,,6,25
2014/04/27,,6,27
2014/04/28,,6,27
2014/04/29,,6,28
2014/04/30,,6,28
2014/05/01,,6,28
2014/05/02,,6,28
2014/05/03,,5,27
2014/05/04,,5,27
2014/05/05,,5,25
2014/05/06,,5,24
2014/05/07,,5,23
2014/05/08,,5,23
2014/05/09,,5,22
2014/05/10,,5,21
2014/05/11,,5,21
2014/05/12,,5,18
2014/05/13,,5,18
2014/05/14,,5,18
2014/05/15,,5,18
2014/05/16,,4,19
2014/05/17,,4,21
2014/05/18,,3,20
2014/05/19,,3,19
2014/05/20,,3,17
2014/05/21,,3,17
2014/05/22,,3,17
2014/05/23,,3,18
2014/05/24,,3,18
2014/05/25,,3,18
2014/05/26,,4,19
2014/05/27,,4,17
2014/05/28,,4,19
2014/05/29,,4,20
2014/05/30,,4,21
2014/05/31,,4,21
2014/06/01,,3,22
2014/06/02,,4,24
2014/06/03,,4,25
2014/06/04,,5,25
2014/06/05,,5,25
2014/06/06,,6,26
2014/06/07,,6,26
2014/06/08,,6,28
2014/06/09,,6,28
2014/06/10,,6,30
2014/06/11,,7,30
2014/06/12,,7,30
2014/06/13,,7,30
2014/06/14,,7,30
2014/06/15,,7,29
2014/06/16,,7,28
2014/06/17,,7,29
2014/06/18,,7,29
2014/06/19,,7,29
2014/06/20,,7,29
2014/06/21,,7,29
2014/06/22,,8,27
2014/06/23,,8,26
2014/06/24,,8,26
2014/06/25,,9,26
2014/06/26,,9,26
2014/06/27,,10,29
2014/06/28,,10,28
2014/06/29,,10,27
2014/06/30,,10,27
2014/07/01,,10,27
2014/07/02,,10,25
2014/07/03,1,10,24
2014/07/04,1,10,23
2014/07/05,1,10,24
2014/07/06,1,9,23
2014/07/07,1,9,23
2014/07/08,1,9,21
2014/07/09,1,9,22
2014/07/10,1,9,21
2014/07/11,1,9,22
2014/07/12,1,9,22
2014/07/13,1,9,22
2014/07/14,1,9,21
2014/07/15,1,9,21
2014/07/16,1,9,20
2014/07/17,1,9,20
2014/07/18,1,7,19
2014/07/19,1,7,20
2014/07/20,1,7,20
2014/07/21,1,7,20
2014/07/22,1,6,19
2014/07/23,1,6,20
2014/07/24,1,6,20
2014/07/25,1,6,21
2014/07/26,1,6,22
2014/07/27,1,6,19
2014/07/28,1,6,18
2014/07/29,1,6,19
2014/07/30,1,5,17
2014/07/31,1,5,17
2014/08/01,1,5,17
2014/08/02,1,5,17
2014/08/03,1,5,18
2014/08/04,1,5,19
2014/08/05,1,5,19
2014/08/06,1,5,20
2014/08/07,1,5,20
2014/08/08,1,5,19
2014/08/09,1,5,19
2014/08/10,1,5,19
2014/08/11,1,6,20
2014/08/12,1,6,20
2014/08/13,1,6,20
