date,vowiki (100+),vowiki (5+),vowiki (all)
2012/08/19,6,13,48
2012/08/20,6,12,48
2012/08/21,6,11,47
2012/08/22,6,11,48
2012/08/23,6,11,50
2012/08/24,6,11,50
2012/08/25,6,11,50
2012/08/26,6,11,51
2012/08/27,6,11,54
2012/08/28,6,11,54
2012/08/29,6,12,55
2012/08/30,6,13,56
2012/08/31,6,13,57
2012/09/01,6,13,59
2012/09/02,6,15,58
2012/09/03,6,15,59
2012/09/04,6,14,59
2012/09/05,6,14,60
2012/09/06,6,14,60
2012/09/07,6,13,58
2012/09/08,6,13,59
2012/09/09,6,13,61
2012/09/10,6,13,61
2012/09/11,6,12,59
2012/09/12,6,12,56
2012/09/13,5,12,57
2012/09/14,5,13,57
2012/09/15,5,14,56
2012/09/16,5,14,55
2012/09/17,5,14,56
2012/09/18,5,14,56
2012/09/19,5,12,51
2012/09/20,5,12,50
2012/09/21,5,12,51
2012/09/22,5,11,48
2012/09/23,5,11,50
2012/09/24,6,11,49
2012/09/25,6,11,48
2012/09/26,6,11,48
2012/09/27,6,11,48
2012/09/28,6,11,48
2012/09/29,6,11,48
2012/09/30,6,10,47
2012/10/01,6,9,45
2012/10/02,6,9,43
2012/10/03,6,9,40
2012/10/04,6,9,40
2012/10/05,6,9,40
2012/10/06,6,9,41
2012/10/07,6,12,43
2012/10/08,6,12,43
2012/10/09,6,12,42
2012/10/10,6,12,42
2012/10/11,6,12,42
2012/10/12,6,12,41
2012/10/13,6,12,40
2012/10/14,6,12,40
2012/10/15,6,12,41
2012/10/16,6,12,43
2012/10/17,6,12,43
2012/10/18,6,12,43
2012/10/19,6,12,43
2012/10/20,6,12,42
2012/10/21,6,12,42
2012/10/22,6,12,42
2012/10/23,5,12,43
2012/10/24,4,12,45
2012/10/25,4,12,45
2012/10/26,4,12,44
2012/10/27,4,14,44
2012/10/28,4,14,43
2012/10/29,4,14,45
2012/10/30,4,14,47
2012/10/31,4,13,48
2012/11/01,4,13,48
2012/11/02,4,13,49
2012/11/03,4,13,50
2012/11/04,4,13,52
2012/11/05,4,13,51
2012/11/06,4,11,48
2012/11/07,4,10,47
2012/11/08,4,10,48
2012/11/09,4,11,48
2012/11/10,4,11,49
2012/11/11,4,12,49
2012/11/12,4,12,48
2012/11/13,4,12,48
2012/11/14,4,12,48
2012/11/15,4,12,49
2012/11/16,4,12,48
2012/11/17,4,12,49
2012/11/18,4,12,49
2012/11/19,4,12,50
2012/11/20,4,11,51
2012/11/21,4,11,51
2012/11/22,4,11,51
2012/11/23,4,11,50
2012/11/24,4,11,48
2012/11/25,4,11,48
2012/11/26,4,9,47
2012/11/27,4,10,47
2012/11/28,4,10,48
2012/11/29,4,10,47
2012/11/30,4,10,46
2012/12/01,4,10,46
2012/12/02,4,10,47
2012/12/03,4,11,44
2012/12/04,4,11,43
2012/12/05,4,11,43
2012/12/06,4,11,42
2012/12/07,5,11,43
2012/12/08,5,12,46
2012/12/09,5,11,45
2012/12/10,5,11,46
2012/12/11,5,11,47
2012/12/12,5,11,47
2012/12/13,5,11,47
2012/12/14,5,11,44
2012/12/15,5,11,42
2012/12/16,5,11,44
2012/12/17,5,11,44
2012/12/18,4,11,44
2012/12/19,4,11,43
2012/12/20,4,11,41
2012/12/21,4,11,42
2012/12/22,4,12,43
2012/12/23,4,12,44
2012/12/24,4,12,45
2012/12/25,4,12,43
2012/12/26,4,12,42
2012/12/27,4,12,43
2012/12/28,4,13,43
2012/12/29,4,12,46
2012/12/30,4,13,47
2012/12/31,4,12,48
2013/01/01,4,12,47
2013/01/02,4,12,46
2013/01/03,4,13,45
2013/01/04,4,13,47
2013/01/05,4,13,47
2013/01/06,4,13,46
2013/01/07,4,13,46
2013/01/08,4,13,47
2013/01/09,4,13,46
2013/01/10,4,13,43
2013/01/11,4,13,46
2013/01/12,4,13,45
2013/01/13,4,13,45
2013/01/14,4,13,47
2013/01/15,4,12,48
2013/01/16,4,12,47
2013/01/17,4,12,49
2013/01/18,4,13,49
2013/01/19,4,14,49
2013/01/20,4,14,49
2013/01/21,4,14,52
2013/01/22,4,14,50
2013/01/23,4,14,50
2013/01/24,4,14,51
2013/01/25,4,14,53
2013/01/26,4,14,53
2013/01/27,4,13,53
2013/01/28,4,13,50
2013/01/29,4,12,51
2013/01/30,4,12,51
2013/01/31,4,12,50
2013/02/01,4,13,52
2013/02/02,4,12,51
2013/02/03,4,12,51
2013/02/04,4,12,50
2013/02/05,4,12,51
2013/02/06,4,12,50
2013/02/07,4,12,49
2013/02/08,4,11,49
2013/02/09,6,11,48
2013/02/10,6,11,46
2013/02/11,6,12,47
2013/02/12,6,12,45
2013/02/13,6,12,44
2013/02/14,6,11,42
2013/02/15,6,11,42
2013/02/16,6,11,44
2013/02/17,6,12,46
2013/02/18,6,13,46
2013/02/19,6,14,45
2013/02/20,5,13,45
2013/02/21,5,13,45
2013/02/22,5,13,44
2013/02/23,6,12,43
2013/02/24,6,13,42
2013/02/25,5,13,42
2013/02/26,6,13,44
2013/02/27,6,13,45
2013/02/28,6,13,43
2013/03/01,6,12,42
2013/03/02,6,12,42
2013/03/03,6,12,41
2013/03/04,6,12,42
2013/03/05,6,12,41
2013/03/06,6,12,40
