date,tlwiki (100+),tlwiki (5+),tlwiki (all)
2012/08/19,13,60,185
2012/08/20,13,59,183
2012/08/21,14,58,181
2012/08/22,12,59,185
2012/08/23,11,57,185
2012/08/24,11,63,185
2012/08/25,11,59,186
2012/08/26,12,58,189
2012/08/27,13,56,189
2012/08/28,13,55,193
2012/08/29,13,59,192
2012/08/30,13,63,191
2012/08/31,13,61,194
2012/09/01,13,61,197
2012/09/02,13,60,196
2012/09/03,13,60,193
2012/09/04,13,62,193
2012/09/05,12,62,193
2012/09/06,12,63,192
2012/09/07,12,62,188
2012/09/08,12,60,183
2012/09/09,11,62,184
2012/09/10,11,62,185
2012/09/11,11,60,179
2012/09/12,11,60,177
2012/09/13,11,62,177
2012/09/14,11,63,171
2012/09/15,11,63,173
2012/09/16,11,64,180
2012/09/17,11,63,181
2012/09/18,12,64,176
2012/09/19,11,65,176
2012/09/20,11,64,178
2012/09/21,11,64,175
2012/09/22,12,65,172
2012/09/23,13,61,168
2012/09/24,14,61,167
2012/09/25,13,62,165
2012/09/26,13,63,164
2012/09/27,12,63,164
2012/09/28,12,63,164
2012/09/29,12,61,163
2012/09/30,12,61,159
2012/10/01,12,59,162
2012/10/02,12,58,163
2012/10/03,12,57,162
2012/10/04,11,57,161
2012/10/05,11,56,157
2012/10/06,11,57,158
2012/10/07,12,55,153
2012/10/08,12,56,155
2012/10/09,12,55,155
2012/10/10,11,57,157
2012/10/11,11,55,156
2012/10/12,11,57,153
2012/10/13,11,54,151
2012/10/14,11,56,150
2012/10/15,11,55,145
2012/10/16,11,52,137
2012/10/17,11,54,134
2012/10/18,11,55,136
2012/10/19,10,54,136
2012/10/20,10,53,139
2012/10/21,10,54,138
2012/10/22,9,55,140
2012/10/23,7,54,141
2012/10/24,7,53,140
2012/10/25,7,55,137
2012/10/26,8,57,139
2012/10/27,8,57,136
2012/10/28,8,56,138
2012/10/29,8,56,136
2012/10/30,8,53,136
2012/10/31,8,54,133
2012/11/01,8,52,133
2012/11/02,9,56,134
2012/11/03,9,58,137
2012/11/04,9,57,140
2012/11/05,10,58,138
2012/11/06,10,58,143
2012/11/07,10,61,142
2012/11/08,10,60,141
2012/11/09,10,56,144
2012/11/10,10,56,144
2012/11/11,10,54,141
2012/11/12,10,53,141
2012/11/13,10,52,144
2012/11/14,12,53,144
2012/11/15,12,56,145
2012/11/16,12,56,146
2012/11/17,12,53,148
2012/11/18,12,53,149
