date,extwiki (100+),extwiki (5+),extwiki (all)
2012/08/19,5,18,43
2012/08/20,5,17,44
2012/08/21,5,18,45
2012/08/22,5,17,46
2012/08/23,5,18,45
2012/08/24,5,20,45
2012/08/25,5,18,49
2012/08/26,5,17,49
2012/08/27,5,17,49
2012/08/28,5,17,49
2012/08/29,5,17,52
2012/08/30,4,18,52
2012/08/31,4,18,53
2012/09/01,4,18,54
2012/09/02,4,20,54
2012/09/03,4,20,53
2012/09/04,4,18,54
2012/09/05,4,20,55
2012/09/06,4,20,54
2012/09/07,4,20,52
2012/09/08,4,20,48
2012/09/09,4,21,48
2012/09/10,4,21,48
2012/09/11,4,21,49
2012/09/12,4,21,49
2012/09/13,4,22,51
2012/09/14,4,22,52
2012/09/15,4,23,51
2012/09/16,4,23,52
2012/09/17,4,22,52
2012/09/18,4,22,49
2012/09/19,4,20,50
2012/09/20,4,19,49
2012/09/21,4,18,47
2012/09/22,4,18,47
2012/09/23,4,18,47
2012/09/24,4,18,46
2012/09/25,4,19,45
2012/09/26,4,21,45
2012/09/27,4,21,44
2012/09/28,4,21,42
2012/09/29,4,21,41
2012/09/30,4,21,40
2012/10/01,4,20,40
2012/10/02,4,20,42
2012/10/03,3,19,42
2012/10/04,4,20,42
2012/10/05,4,19,40
2012/10/06,5,19,41
2012/10/07,5,19,41
2012/10/08,5,20,41
2012/10/09,5,21,39
2012/10/10,5,21,39
2012/10/11,5,21,40
2012/10/12,5,21,41
2012/10/13,5,21,39
2012/10/14,5,21,39
2012/10/15,5,21,39
2012/10/16,5,20,39
2012/10/17,5,20,39
2012/10/18,5,20,39
2012/10/19,5,20,39
2012/10/20,5,21,41
2012/10/21,5,21,41
2012/10/22,5,21,43
2012/10/23,5,21,44
2012/10/24,5,21,44
2012/10/25,5,20,46
2012/10/26,5,20,48
2012/10/27,5,19,50
2012/10/28,5,22,50
2012/10/29,5,22,49
2012/10/30,6,25,51
2012/10/31,6,25,51
2012/11/01,5,24,49
2012/11/02,4,25,48
2012/11/03,5,25,48
2012/11/04,5,24,48
2012/11/05,5,24,47
2012/11/06,4,24,49
2012/11/07,4,24,50
2012/11/08,4,22,49
2012/11/09,3,23,49
2012/11/10,3,22,49
2012/11/11,3,21,49
2012/11/12,3,21,50
2012/11/13,3,23,49
2012/11/14,3,23,50
2012/11/15,3,24,50
2012/11/16,3,24,50
2012/11/17,3,23,49
2012/11/18,3,23,50
2012/11/19,3,23,49
2012/11/20,3,23,47
2012/11/21,3,22,46
2012/11/22,4,22,47
2012/11/23,4,23,47
2012/11/24,4,24,48
2012/11/25,4,23,46
2012/11/26,3,23,43
2012/11/27,3,23,44
2012/11/28,3,23,45
2012/11/29,4,22,42
2012/11/30,3,22,40
2012/12/01,3,22,41
2012/12/02,3,23,41
2012/12/03,4,23,40
2012/12/04,4,23,41
2012/12/05,4,23,43
2012/12/06,4,23,41
2012/12/07,4,23,40
2012/12/08,4,22,40
2012/12/09,6,22,41
2012/12/10,5,23,41
2012/12/11,5,24,40
2012/12/12,5,23,40
2012/12/13,6,23,40
2012/12/14,5,24,39
2012/12/15,5,24,39
2012/12/16,5,23,40
2012/12/17,5,23,41
2012/12/18,5,23,41
2012/12/19,5,23,42
2012/12/20,5,23,41
2012/12/21,5,23,40
2012/12/22,5,23,41
2012/12/23,5,24,41
2012/12/24,5,24,43
2012/12/25,5,23,45
2012/12/26,5,23,46
2012/12/27,5,24,46
2012/12/28,5,24,48
2012/12/29,5,23,48
2012/12/30,5,23,50
2012/12/31,5,22,50
2013/01/01,5,23,51
2013/01/02,5,23,50
2013/01/03,5,23,50
2013/01/04,5,23,47
2013/01/05,4,23,46
2013/01/06,5,23,46
2013/01/07,4,21,47
2013/01/08,4,21,47
2013/01/09,4,22,47
2013/01/10,4,22,47
2013/01/11,4,22,47
2013/01/12,4,21,48
2013/01/13,4,21,48
2013/01/14,2,20,49
2013/01/15,3,21,49
2013/01/16,2,23,49
2013/01/17,3,23,49
2013/01/18,3,24,48
2013/01/19,5,24,48
2013/01/20,4,25,48
2013/01/21,5,25,48
2013/01/22,5,24,50
2013/01/23,5,24,50
2013/01/24,5,24,51
2013/01/25,5,24,50
2013/01/26,5,24,50
2013/01/27,5,24,50
2013/01/28,5,23,50
2013/01/29,5,22,50
2013/01/30,5,20,50
2013/01/31,5,22,50
2013/02/01,5,23,51
2013/02/02,5,23,52
2013/02/03,5,21,53
2013/02/04,5,21,54
2013/02/05,6,21,54
2013/02/06,6,23,53
2013/02/07,6,22,51
2013/02/08,6,21,50
2013/02/09,6,21,49
2013/02/10,6,23,50
2013/02/11,6,24,49
2013/02/12,5,24,49
2013/02/13,5,24,48
2013/02/14,5,23,47
2013/02/15,5,22,47
2013/02/16,5,22,51
2013/02/17,5,22,53
2013/02/18,5,20,51
2013/02/19,5,21,50
2013/02/20,5,21,49
2013/02/21,5,21,50
2013/02/22,5,21,49
2013/02/23,5,21,49
2013/02/24,5,21,49
2013/02/25,5,21,47
2013/02/26,5,21,48
2013/02/27,5,21,47
2013/02/28,5,21,46
2013/03/01,5,20,45
2013/03/02,5,21,46
2013/03/03,5,21,45
2013/03/04,5,22,46
2013/03/05,4,22,45
2013/03/06,5,22,44
2013/03/07,5,23,44
2013/03/08,6,23,42
2013/03/09,5,22,43
2013/03/10,5,21,43
2013/03/11,6,20,42
2013/03/12,7,20,44
2013/03/13,6,19,43
2013/03/14,6,18,42
2013/03/15,7,17,43
2013/03/16,5,16,44
2013/03/17,6,16,42
2013/03/18,5,16,38
2013/03/19,5,15,37
2013/03/20,4,15,37
2013/03/21,4,15,38
2013/03/22,4,15,37
2013/03/23,4,15,36
2013/03/24,4,15,36
2013/03/25,4,15,35
2013/03/26,4,15,33
2013/03/27,4,15,32
2013/03/28,4,14,33
2013/03/29,4,14,33
2013/03/30,4,14,34
2013/03/31,4,14,34
2013/04/01,3,12,32
2013/04/02,3,12,33
2013/04/03,3,12,30
2013/04/04,3,9,27
2013/04/05,3,8,27
2013/04/06,3,6,23
2013/04/07,3,6,22
2013/04/08,3,6,22
2013/04/09,3,6,21
2013/04/10,2,6,22
2013/04/11,1,6,22
2013/04/12,1,6,22
2013/04/13,1,6,22
