date,kaawiki (100+),kaawiki (5+),kaawiki (all)
2012/08/19,,11,32
2012/08/20,,10,32
2012/08/21,,10,32
2012/08/22,,10,32
2012/08/23,,10,33
2012/08/24,,10,32
2012/08/25,,11,32
2012/08/26,,11,31
2012/08/27,,11,31
2012/08/28,,11,32
2012/08/29,,12,32
2012/08/30,,13,35
2012/08/31,,13,36
2012/09/01,,13,37
2012/09/02,,13,36
2012/09/03,,13,36
2012/09/04,1,13,36
2012/09/05,1,14,36
2012/09/06,1,14,35
2012/09/07,1,14,34
2012/09/08,1,14,34
2012/09/09,1,14,33
2012/09/10,,14,33
2012/09/11,,14,33
2012/09/12,,14,33
2012/09/13,,14,34
2012/09/14,,14,34
2012/09/15,,15,34
2012/09/16,,15,34
2012/09/17,,14,34
2012/09/18,,14,35
2012/09/19,,14,34
2012/09/20,,14,34
2012/09/21,,13,33
2012/09/22,,10,33
2012/09/23,,10,33
2012/09/24,,10,32
2012/09/25,,11,32
2012/09/26,,11,31
2012/09/27,,11,31
2012/09/28,,12,31
2012/09/29,,11,29
2012/09/30,,11,27
2012/10/01,,12,27
2012/10/02,,12,28
2012/10/03,,12,28
2012/10/04,,12,28
2012/10/05,,12,28
2012/10/06,,12,28
2012/10/07,,11,28
2012/10/08,,11,29
2012/10/09,,11,28
2012/10/10,,12,28
2012/10/11,,12,28
2012/10/12,1,11,28
2012/10/13,1,11,27
2012/10/14,1,11,27
2012/10/15,1,10,27
2012/10/16,1,10,27
2012/10/17,1,10,26
2012/10/18,1,10,26
2012/10/19,1,11,26
2012/10/20,1,12,27
2012/10/21,1,12,28
2012/10/22,1,12,29
2012/10/23,1,12,29
2012/10/24,1,12,30
2012/10/25,1,11,30
2012/10/26,1,11,31
2012/10/27,1,12,30
2012/10/28,1,12,30
2012/10/29,1,12,31
2012/10/30,1,12,31
2012/10/31,1,12,30
2012/11/01,1,12,30
2012/11/02,1,12,31
2012/11/03,1,13,30
2012/11/04,1,13,32
2012/11/05,1,13,32
2012/11/06,1,14,32
2012/11/07,1,14,31
2012/11/08,1,14,31
2012/11/09,1,13,31
