date,ruwiki (100+),ruwiki (5+),ruwiki (all)
2012/08/19,727,4481,11491
2012/08/20,719,4448,11459
2012/08/21,721,4482,11525
2012/08/22,721,4493,11542
2012/08/23,721,4503,11528
2012/08/24,707,4443,11264
2012/08/25,719,4522,11486
2012/08/26,714,4508,11463
2012/08/27,714,4507,11484
2012/08/28,711,4541,11600
2012/08/29,720,4563,11688
2012/08/30,712,4562,11691
2012/08/31,707,4555,11689
2012/09/01,706,4551,11656
2012/09/02,708,4544,11589
2012/09/03,707,4528,11584
2012/09/04,707,4530,11625
2012/09/05,709,4531,11692
2012/09/06,701,4562,11674
2012/09/07,693,4562,11670
2012/09/08,689,4571,11684
2012/09/09,694,4566,11642
2012/09/10,693,4564,11687
2012/09/11,697,4568,11720
2012/09/12,686,4540,11704
2012/09/13,687,4521,11657
2012/09/14,684,4514,11627
2012/09/15,677,4496,11609
2012/09/16,685,4438,11535
2012/09/17,683,4416,11523
2012/09/18,686,4407,11590
2012/09/19,686,4404,11614
2012/09/20,678,4386,11565
2012/09/21,673,4359,11531
2012/09/22,665,4344,11511
2012/09/23,663,4333,11484
2012/09/24,668,4338,11487
2012/09/25,654,4323,11487
2012/09/26,658,4345,11523
2012/09/27,659,4324,11481
2012/09/28,667,4330,11423
2012/09/29,668,4326,11371
2012/09/30,672,4303,11336
2012/10/01,669,4292,11357
2012/10/02,671,4295,11372
2012/10/03,657,4314,11367
2012/10/04,662,4334,11384
2012/10/05,660,4323,11375
2012/10/06,661,4335,11428
2012/10/07,664,4345,11449
2012/10/08,663,4332,11443
2012/10/09,668,4344,11534
2012/10/10,671,4341,11536
2012/10/11,667,4342,11548
2012/10/12,662,4377,11531
2012/10/13,668,4362,11509
2012/10/14,658,4363,11497
2012/10/15,669,4367,11483
2012/10/16,663,4419,11552
2012/10/17,651,4430,11541
2012/10/18,654,4434,11583
2012/10/19,659,4442,11582
2012/10/20,665,4442,11582
2012/10/21,663,4437,11580
2012/10/22,673,4448,11624
2012/10/23,681,4468,11666
2012/10/24,673,4442,11641
