date,trwiki (100+),trwiki (5+),trwiki (all)
2013/03/18,65,601,2854
2013/03/19,63,604,2827
2013/03/20,63,608,2810
2013/03/21,63,603,2783
2013/03/22,64,604,2774
2013/03/23,64,605,2783
2013/03/24,66,612,2802
2013/03/25,67,615,2814
2013/03/26,67,616,2810
2013/03/27,66,612,2792
2013/03/28,65,608,2800
2013/03/29,65,604,2810
2013/03/30,65,600,2787
2013/03/31,65,598,2754
2013/04/01,66,600,2747
2013/04/02,66,589,2763
2013/04/03,66,585,2744
2013/04/04,66,579,2730
2013/04/05,64,565,2732
2013/04/06,63,566,2727
2013/04/07,65,570,2716
2013/04/08,66,574,2726
2013/04/09,66,583,2728
2013/04/10,61,587,2721
2013/04/11,59,586,2719
2013/04/12,61,593,2730
2013/04/13,59,589,2704
2013/04/14,59,598,2714
2013/04/15,58,609,2736
2013/04/16,57,612,2748
2013/04/17,55,605,2748
2013/04/18,57,605,2766
2013/04/19,58,605,2771
2013/04/20,58,614,2769
2013/04/21,57,599,2746
2013/04/22,58,595,2740
2013/04/23,57,589,2717
2013/04/24,57,584,2703
2013/04/25,54,578,2708
2013/04/26,53,571,2687
2013/04/27,57,570,2653
2013/04/28,58,576,2643
2013/04/29,60,576,2635
2013/04/30,60,581,2645
2013/05/01,60,584,2641
2013/05/02,61,585,2628
2013/05/03,63,582,2618
2013/05/04,65,576,2607
2013/05/05,64,579,2605
2013/05/06,63,586,2603
2013/05/07,61,588,2606
2013/05/08,59,597,2607
2013/05/09,58,594,2585
2013/05/10,59,580,2577
2013/05/11,59,579,2594
2013/05/12,59,584,2590
2013/05/13,59,590,2594
2013/05/14,62,591,2576
2013/05/15,62,593,2579
2013/05/16,62,599,2575
2013/05/17,63,607,2568
2013/05/18,64,605,2560
2013/05/19,65,607,2546
2013/05/20,67,604,2552
2013/05/21,65,603,2553
2013/05/22,67,602,2558
2013/05/23,68,602,2571
2013/05/24,64,594,2575
2013/05/25,63,594,2570
2013/05/26,62,603,2567
2013/05/27,61,615,2599
2013/05/28,61,608,2614
2013/05/29,62,609,2620
2013/05/30,64,611,2632
2013/05/31,64,619,2633
2013/06/01,63,622,2623
2013/06/02,63,620,2620
2013/06/03,63,628,2623
2013/06/04,63,626,2595
2013/06/05,61,620,2587
2013/06/06,61,615,2603
2013/06/07,61,610,2596
2013/06/08,63,599,2598
2013/06/09,63,603,2583
2013/06/10,63,600,2556
2013/06/11,63,600,2551
2013/06/12,61,602,2541
2013/06/13,62,596,2535
2013/06/14,62,586,2510
2013/06/15,63,578,2496
2013/06/16,62,577,2462
2013/06/17,61,580,2430
2013/06/18,60,577,2425
2013/06/19,60,577,2400
2013/06/20,60,574,2407
2013/06/21,62,566,2406
2013/06/22,61,572,2395
2013/06/23,63,565,2371
2013/06/24,65,554,2362
2013/06/25,64,557,2349
2013/06/26,64,550,2328
2013/06/27,65,552,2308
2013/06/28,66,548,2289
2013/06/29,66,545,2276
2013/06/30,66,548,2269
2013/07/01,65,548,2254
2013/07/02,66,554,2261
2013/07/03,62,563,2267
2013/07/04,61,571,2280
2013/07/05,59,567,2290
2013/07/06,59,557,2258
2013/07/07,61,564,2250
2013/07/08,59,561,2244
2013/07/09,60,576,2258
2013/07/10,62,577,2284
2013/07/11,62,581,2269
2013/07/12,62,583,2277
2013/07/13,64,589,2292
2013/07/14,63,598,2291
2013/07/15,65,599,2300
2013/07/16,68,599,2295
2013/07/17,70,603,2311
2013/07/18,71,608,2306
2013/07/19,71,607,2320
2013/07/20,72,610,2315
2013/07/21,68,618,2291
2013/07/22,69,614,2295
2013/07/23,70,613,2302
2013/07/24,70,622,2332
2013/07/25,68,621,2341
2013/07/26,69,618,2348
2013/07/27,70,615,2344
2013/07/28,70,609,2361
2013/07/29,70,603,2354
2013/07/30,71,599,2338
2013/07/31,70,593,2343
2013/08/01,72,596,2365
2013/08/02,71,598,2356
2013/08/03,71,597,2355
2013/08/04,71,588,2351
2013/08/05,71,580,2379
2013/08/06,70,580,2384
2013/08/07,70,586,2390
2013/08/08,69,574,2379
2013/08/09,68,564,2355
2013/08/10,65,566,2341
2013/08/11,66,566,2333
2013/08/12,67,555,2300
2013/08/13,66,557,2312
2013/08/14,65,562,2317
2013/08/15,65,566,2331
2013/08/16,65,567,2322
2013/08/17,64,562,2322
2013/08/18,62,557,2295
2013/08/19,64,548,2297
2013/08/20,64,556,2300
2013/08/21,64,553,2299
2013/08/22,64,547,2276
2013/08/23,64,542,2275
2013/08/24,66,537,2245
2013/08/25,65,542,2245
2013/08/26,68,538,2229
2013/08/27,69,546,2246
2013/08/28,69,558,2257
2013/08/29,71,563,2272
2013/08/30,71,569,2294
2013/08/31,70,565,2277
2013/09/01,69,559,2263
2013/09/02,69,559,2259
2013/09/03,70,563,2257
2013/09/04,68,561,2266
2013/09/05,67,557,2251
2013/09/06,67,559,2247
2013/09/07,65,558,2263
2013/09/08,64,559,2274
2013/09/09,65,570,2289
2013/09/10,68,565,2301
2013/09/11,65,569,2324
2013/09/12,63,566,2311
2013/09/13,65,552,2311
2013/09/14,64,552,2293
2013/09/15,63,552,2296
2013/09/16,65,554,2288
2013/09/17,64,546,2301
2013/09/18,63,546,2297
2013/09/19,64,533,2289
2013/09/20,63,530,2278
2013/09/21,62,530,2288
2013/09/22,60,533,2278
2013/09/23,58,527,2274
2013/09/24,58,532,2260
2013/09/25,57,530,2261
2013/09/26,56,525,2251
2013/09/27,55,514,2257
2013/09/28,55,502,2249
2013/09/29,54,500,2230
2013/09/30,52,497,2225
2013/10/01,53,495,2228
2013/10/02,53,493,2231
2013/10/03,53,496,2211
2013/10/04,52,502,2188
2013/10/05,51,501,2186
2013/10/06,51,494,2181
2013/10/07,52,490,2167
2013/10/08,50,482,2162
2013/10/09,52,472,2160
2013/10/10,52,471,2161
2013/10/11,51,467,2159
2013/10/12,49,454,2132
2013/10/13,49,444,2129
2013/10/14,49,451,2125
2013/10/15,49,457,2132
2013/10/16,47,456,2135
2013/10/17,49,463,2151
2013/10/18,50,463,2144
2013/10/19,50,465,2161
2013/10/20,52,462,2170
2013/10/21,52,454,2170
2013/10/22,52,450,2165
2013/10/23,52,455,2162
2013/10/24,55,457,2173
2013/10/25,55,460,2200
2013/10/26,56,464,2220
2013/10/27,56,463,2222
2013/10/28,55,465,2220
2013/10/29,57,459,2230
2013/10/30,57,457,2242
2013/10/31,57,457,2247
2013/11/01,58,451,2241
2013/11/02,57,453,2235
2013/11/03,57,455,2253
2013/11/04,56,458,2275
2013/11/05,54,458,2280
2013/11/06,55,460,2305
2013/11/07,55,464,2327
2013/11/08,54,470,2332
2013/11/09,54,473,2316
2013/11/10,56,471,2319
2013/11/11,55,470,2334
2013/11/12,56,472,2336
2013/11/13,55,470,2356
2013/11/14,53,474,2374
2013/11/15,51,471,2388
2013/11/16,51,469,2398
2013/11/17,52,471,2395
2013/11/18,53,467,2377
2013/11/19,53,462,2398
2013/11/20,53,465,2411
2013/11/21,53,465,2412
2013/11/22,53,470,2423
2013/11/23,51,463,2425
2013/11/24,50,462,2429
2013/11/25,49,463,2421
2013/11/26,47,466,2432
2013/11/27,48,468,2436
2013/11/28,48,471,2427
2013/11/29,47,474,2443
2013/11/30,47,474,2453
2013/12/01,48,485,2458
2013/12/02,47,482,2485
2013/12/03,48,483,2511
2013/12/04,48,479,2515
2013/12/05,48,478,2512
2013/12/06,50,475,2513
2013/12/07,47,473,2489
2013/12/08,48,467,2498
2013/12/09,49,469,2530
2013/12/10,50,477,2538
2013/12/11,50,475,2531
2013/12/12,50,481,2535
2013/12/13,48,485,2538
2013/12/14,47,481,2519
2013/12/15,48,482,2541
2013/12/16,48,498,2568
2013/12/17,47,510,2603
2013/12/18,46,509,2628
2013/12/19,44,510,2614
2013/12/20,43,508,2605
2013/12/21,43,507,2631
2013/12/22,44,508,2707
2013/12/23,43,527,2976
2013/12/24,43,528,2982
2013/12/25,43,525,3026
2013/12/26,44,535,3062
2013/12/27,46,548,3092
2013/12/28,46,550,3095
2013/12/29,45,555,3119
2013/12/30,47,555,3146
2013/12/31,47,562,3190
2014/01/01,48,562,3200
2014/01/02,48,577,3203
2014/01/03,48,575,3228
2014/01/04,50,573,3240
2014/01/05,51,580,3257
2014/01/06,52,595,3285
2014/01/07,53,596,3291
2014/01/08,52,600,3305
2014/01/09,50,610,3327
2014/01/10,48,621,3375
2014/01/11,48,638,3406
2014/01/12,50,655,3453
2014/01/13,49,672,3492
2014/01/14,49,695,3528
2014/01/15,49,725,3590
2014/01/16,50,729,3597
2014/01/17,53,738,3617
2014/01/18,53,761,3649
2014/01/19,52,778,3664
2014/01/20,53,780,3691
2014/01/21,53,785,3649
2014/01/22,54,776,3434
2014/01/23,53,791,3441
2014/01/24,55,801,3418
2014/01/25,55,819,3400
2014/01/26,55,821,3401
2014/01/27,56,834,3417
2014/01/28,56,850,3420
2014/01/29,57,863,3427
2014/01/30,58,863,3425
2014/01/31,58,882,3435
2014/02/01,58,891,3446
2014/02/02,57,900,3458
2014/02/03,55,910,3463
2014/02/04,56,910,3468
2014/02/05,54,920,3484
2014/02/06,54,932,3493
2014/02/07,54,936,3496
2014/02/08,54,940,3483
2014/02/09,55,948,3477
2014/02/10,55,952,3484
2014/02/11,53,952,3440
2014/02/12,53,948,3426
2014/02/13,54,933,3382
2014/02/14,55,914,3340
2014/02/15,57,911,3332
2014/02/16,56,910,3352
2014/02/17,57,908,3342
2014/02/18,58,909,3360
2014/02/19,59,914,3356
2014/02/20,59,907,3360
2014/02/21,57,895,3332
2014/02/22,56,887,3314
2014/02/23,56,889,3324
2014/02/24,55,878,3330
2014/02/25,55,879,3346
2014/02/26,56,874,3335
2014/02/27,55,875,3324
2014/02/28,57,877,3306
2014/03/01,57,870,3292
2014/03/02,56,863,3259
2014/03/03,55,845,3235
2014/03/04,55,849,3242
2014/03/05,56,848,3238
2014/03/06,55,844,3236
2014/03/07,54,849,3210
2014/03/08,55,839,3194
2014/03/09,55,845,3173
2014/03/10,55,840,3185
2014/03/11,56,842,3187
2014/03/12,56,836,3194
2014/03/13,58,830,3206
2014/03/14,61,829,3215
2014/03/15,61,825,3235
2014/03/16,61,817,3218
2014/03/17,61,812,3220
2014/03/18,63,812,3208
2014/03/19,63,811,3203
2014/03/20,63,805,3181
2014/03/21,64,799,3179
2014/03/22,63,796,3145
2014/03/23,64,806,3157
2014/03/24,63,809,3171
2014/03/25,65,798,3152
2014/03/26,64,804,3155
2014/03/27,62,810,3142
2014/03/28,62,806,3146
2014/03/29,64,815,3149
2014/03/30,65,806,3163
2014/03/31,65,814,3165
2014/04/01,65,820,3179
2014/04/02,65,829,3204
2014/04/03,62,822,3189
2014/04/04,62,827,3205
2014/04/05,61,830,3182
2014/04/06,61,824,3189
2014/04/07,64,810,3192
2014/04/08,64,799,3204
2014/04/09,63,787,3209
2014/04/10,62,782,3191
2014/04/11,64,775,3162
2014/04/12,64,773,3157
2014/04/13,61,758,3135
2014/04/14,61,774,3145
2014/04/15,62,769,3148
2014/04/16,61,765,3130
2014/04/17,61,767,3130
2014/04/18,62,765,3130
2014/04/19,59,764,3129
2014/04/20,58,759,3115
2014/04/21,59,756,3118
2014/04/22,60,762,3114
2014/04/23,58,766,3112
2014/04/24,58,766,3118
2014/04/25,60,772,3130
2014/04/26,61,758,3132
2014/04/27,60,764,3138
2014/04/28,59,754,3146
2014/04/29,60,765,3162
2014/04/30,60,754,3160
2014/05/01,60,754,3150
2014/05/02,59,744,3150
2014/05/03,60,749,3141
2014/05/04,60,749,3168
2014/05/05,60,753,3191
2014/05/06,58,754,3191
2014/05/07,60,766,3198
2014/05/08,59,773,3191
2014/05/09,59,778,3189
2014/05/10,60,778,3192
2014/05/11,60,792,3206
2014/05/12,59,785,3201
2014/05/13,59,782,3218
2014/05/14,58,778,3224
2014/05/15,58,795,3218
2014/05/16,58,798,3217
2014/05/17,59,797,3188
2014/05/18,62,806,3205
2014/05/19,64,812,3228
2014/05/20,61,819,3239
2014/05/21,61,831,3275
2014/05/22,60,826,3254
2014/05/23,59,825,3268
2014/05/24,58,827,3272
2014/05/25,58,827,3256
2014/05/26,59,823,3290
2014/05/27,59,820,3300
2014/05/28,56,813,3280
2014/05/29,56,804,3252
2014/05/30,57,800,3254
2014/05/31,56,808,3226
2014/06/01,56,805,3203
2014/06/02,55,808,3221
2014/06/03,55,818,3179
2014/06/04,54,819,3171
2014/06/05,55,814,3165
2014/06/06,53,812,3151
2014/06/07,52,820,3132
2014/06/08,51,821,3147
2014/06/09,51,824,3162
2014/06/10,53,824,3161
2014/06/11,52,836,3170
2014/06/12,55,847,3169
2014/06/13,56,868,3169
2014/06/14,55,866,3173
2014/06/15,55,863,3176
2014/06/16,55,869,3157
2014/06/17,57,865,3149
2014/06/18,59,861,3127
2014/06/19,57,864,3124
2014/06/20,58,867,3110
2014/06/21,56,866,3104
2014/06/22,56,865,3062
2014/06/23,56,862,3035
2014/06/24,57,858,3036
2014/06/25,57,854,3008
2014/06/26,57,854,3016
2014/06/27,56,845,3001
2014/06/28,58,843,2977
2014/06/29,58,844,2954
2014/06/30,55,829,2939
2014/07/01,56,833,2953
2014/07/02,58,838,2959
2014/07/03,59,835,2983
2014/07/04,58,828,2994
2014/07/05,59,827,2987
2014/07/06,59,828,2970
2014/07/07,61,816,2951
2014/07/08,61,814,2961
2014/07/09,63,812,2957
2014/07/10,60,827,2970
2014/07/11,58,821,2957
2014/07/12,57,816,2957
2014/07/13,55,801,2926
2014/07/14,56,786,2935
2014/07/15,54,807,3007
2014/07/16,55,814,3043
2014/07/17,55,829,3044
2014/07/18,55,842,3057
2014/07/19,55,852,3070
2014/07/20,56,856,3085
2014/07/21,59,857,3077
2014/07/22,59,868,3103
2014/07/23,58,880,3133
2014/07/24,58,881,3155
2014/07/25,58,895,3163
2014/07/26,58,878,3155
2014/07/27,60,871,3141
2014/07/28,59,869,3137
2014/07/29,60,872,3133
2014/07/30,59,867,3128
2014/07/31,59,871,3124
2014/08/01,58,856,3122
2014/08/02,60,857,3116
2014/08/03,58,845,3079
2014/08/04,60,837,3078
2014/08/05,60,847,3092
2014/08/06,65,862,3122
2014/08/07,64,862,3127
2014/08/08,67,864,3143
2014/08/09,65,859,3139
2014/08/10,65,862,3137
2014/08/11,66,851,3117
2014/08/12,67,851,3131
2014/08/13,68,878,3138
2014/08/14,68,863,3093
2014/08/15,70,851,3065
2014/08/16,69,845,3049
2014/08/17,68,845,3043
2014/08/18,69,839,3038
2014/08/19,68,832,3045
2014/08/20,66,835,3055
2014/08/21,63,831,3041
2014/08/22,63,821,3031
2014/08/23,62,824,3020
2014/08/24,63,819,3017
2014/08/25,62,828,3022
2014/08/26,65,838,3034
2014/08/27,64,840,3044
2014/08/28,65,841,3084
2014/08/29,69,851,3096
2014/08/30,68,856,3111
2014/08/31,66,864,3127
2014/09/01,68,866,3122
2014/09/02,70,871,3160
2014/09/03,73,875,3166
2014/09/04,75,870,3185
2014/09/05,72,862,3191
2014/09/06,72,858,3179
2014/09/07,73,856,3163
2014/09/08,71,863,3140
2014/09/09,71,875,3179
2014/09/10,71,875,3184
2014/09/11,70,862,3178
2014/09/12,73,852,3162
2014/09/13,72,839,3159
2014/09/14,73,836,3172
2014/09/15,73,836,3156
2014/09/16,71,828,3132
2014/09/17,71,828,3107
2014/09/18,70,826,3081
2014/09/19,69,828,3064
2014/09/20,73,825,3064
2014/09/21,73,820,3031
2014/09/22,73,814,3031
2014/09/23,73,817,3015
2014/09/24,72,804,3011
2014/09/25,74,801,3005
2014/09/26,72,798,3008
2014/09/27,71,792,2972
2014/09/28,70,806,3045
2014/09/29,70,808,3064
2014/09/30,67,809,3053
2014/10/01,66,794,3021
2014/10/02,65,790,2993
2014/10/03,64,775,2972
2014/10/04,63,767,2946
2014/10/05,62,765,2905
2014/10/06,60,761,2884
2014/10/07,58,774,2914
2014/10/08,58,779,2922
2014/10/09,58,762,2897
2014/10/10,55,771,2909
2014/10/11,54,778,2900
2014/10/12,54,778,2918
2014/10/13,57,780,2936
2014/10/14,55,774,2951
2014/10/15,55,780,2947
2014/10/16,55,789,2979
2014/10/17,56,775,2974
2014/10/18,53,777,2985
2014/10/19,54,786,3004
2014/10/20,53,793,3034
2014/10/21,51,784,3053
2014/10/22,49,784,3054
2014/10/23,48,782,3067
2014/10/24,48,785,3065
2014/10/25,49,809,3104
2014/10/26,50,818,3130
2014/10/27,49,839,3203
2014/10/28,52,813,3150
2014/10/29,53,808,3168
2014/10/30,55,806,3185
2014/10/31,54,800,3190
2014/11/01,55,805,3180
2014/11/02,55,823,3216
2014/11/03,55,820,3260
2014/11/04,55,824,3300
2014/11/05,53,820,3327
2014/11/06,51,809,3308
2014/11/07,51,798,3288
2014/11/08,49,797,3287
2014/11/09,52,809,3296
2014/11/10,51,795,3305
2014/11/11,51,793,3286
2014/11/12,50,794,3272
2014/11/13,51,791,3271
2014/11/14,49,789,3288
2014/11/15,52,787,3306
2014/11/16,52,797,3343
2014/11/17,52,809,3340
2014/11/18,52,810,3326
2014/11/19,52,811,3320
2014/11/20,50,816,3330
2014/11/21,51,816,3334
2014/11/22,51,819,3339
2014/11/23,53,827,3365
2014/11/24,53,833,3382
2014/11/25,53,828,3364
2014/11/26,52,814,3325
2014/11/27,51,830,3345
2014/11/28,50,843,3374
2014/11/29,50,832,3370
2014/11/30,51,844,3387
2014/12/01,50,844,3433
2014/12/02,51,832,3433
2014/12/03,49,833,3410
2014/12/04,48,853,3418
2014/12/05,48,863,3428
2014/12/06,48,867,3412
2014/12/07,48,884,3440
2014/12/08,47,892,3436
2014/12/09,47,894,3447
2014/12/10,50,913,3454
2014/12/11,51,931,3487
2014/12/12,52,941,3501
2014/12/13,52,946,3487
2014/12/14,53,947,3508
2014/12/15,51,963,3537
2014/12/16,51,980,3557
2014/12/17,52,986,3561
2014/12/18,51,1001,3584
2014/12/19,52,1015,3612
2014/12/20,52,1028,3633
2014/12/21,55,1053,3687
2014/12/22,56,1058,3713
2014/12/23,59,1075,3735
2014/12/24,59,1086,3726
2014/12/25,58,1097,3736
2014/12/26,58,1104,3760
2014/12/27,60,1091,3742
2014/12/28,60,1070,3727
2014/12/29,61,1086,3747
2014/12/30,62,1085,3742
2014/12/31,65,1094,3723
2015/01/01,64,1086,3714
2015/01/02,65,1104,3731
2015/01/03,65,1135,3759
2015/01/04,65,1143,3781
2015/01/05,65,1162,3844
2015/01/06,67,1165,3854
2015/01/07,66,1177,3872
2015/01/08,72,1186,3872
2015/01/09,73,1183,3892
2015/01/10,73,1182,3899
2015/01/11,70,1182,3898
2015/01/12,72,1191,3916
2015/01/13,73,1195,3901
2015/01/14,73,1191,3881
2015/01/15,73,1195,3868
2015/01/16,71,1188,3870
2015/01/17,72,1181,3846
2015/01/18,73,1172,3850
2015/01/19,75,1171,3872
2015/01/20,76,1168,3862
2015/01/21,75,1173,3862
2015/01/22,77,1177,3869
2015/01/23,76,1181,3874
2015/01/24,78,1178,3863
2015/01/25,74,1173,3849
2015/01/26,75,1174,3850
2015/01/27,74,1177,3831
2015/01/28,75,1177,3821
2015/01/29,74,1197,3833
2015/01/30,77,1197,3853
2015/01/31,77,1202,3872
2015/02/01,81,1211,3879
2015/02/02,83,1195,3843
2015/02/03,85,1210,3858
2015/02/04,87,1207,3813
2015/02/05,86,1206,3826
2015/02/06,87,1204,3840
2015/02/07,86,1199,3840
2015/02/08,88,1207,3854
2015/02/09,83,1214,3879
2015/02/10,82,1218,3903
2015/02/11,81,1223,3925
2015/02/12,81,1219,3951
2015/02/13,78,1220,3975
2015/02/14,78,1224,3975
2015/02/15,79,1222,3962
2015/02/16,80,1213,3995
2015/02/17,75,1205,4003
2015/02/18,77,1206,4008
2015/02/19,76,1205,4037
2015/02/20,76,1213,4026
2015/02/21,75,1214,4030
2015/02/22,77,1193,4040
2015/02/23,77,1205,4088
2015/02/24,77,1209,4114
2015/02/25,76,1206,4104
2015/02/26,73,1197,4106
2015/02/27,75,1188,4090
2015/02/28,72,1196,4105
2015/03/01,71,1199,4112
2015/03/02,70,1194,4105
2015/03/03,69,1180,4110
2015/03/04,67,1171,4101
2015/03/05,67,1152,4051
2015/03/06,68,1145,4059
2015/03/07,66,1137,4050
2015/03/08,67,1146,4070
2015/03/09,68,1155,4135
2015/03/10,69,1178,4188
2015/03/11,68,1176,4221
2015/03/12,66,1197,4345
2015/03/13,66,1213,4454
2015/03/14,65,1213,4541
2015/03/15,67,1225,4640
2015/03/16,71,1251,4731
2015/03/17,68,1261,4814
2015/03/18,71,1267,4833
2015/03/19,71,1274,4874
2015/03/20,73,1265,4896
2015/03/21,72,1260,4894
2015/03/22,69,1261,4907
2015/03/23,70,1258,4907
2015/03/24,67,1258,4920
2015/03/25,69,1256,4907
2015/03/26,71,1269,4932
2015/03/27,71,1274,4953
2015/03/28,70,1295,4979
2015/03/29,73,1299,5009
2015/03/30,76,1295,5048
2015/03/31,76,1301,5059
2015/04/01,78,1289,5023
2015/04/02,81,1291,5036
2015/04/03,83,1286,5050
2015/04/04,83,1281,5072
2015/04/05,82,1291,5084
2015/04/06,83,1296,5111
2015/04/07,80,1286,5092
2015/04/08,84,1271,5053
2015/04/09,82,1250,4978
2015/04/10,83,1249,4956
2015/04/11,84,1237,4857
2015/04/12,83,1222,4754
2015/04/13,85,1218,4697
2015/04/14,85,1194,4574
2015/04/15,84,1178,4494
2015/04/16,82,1170,4447
2015/04/17,81,1144,4411
2015/04/18,80,1136,4361
2015/04/19,82,1137,4340
2015/04/20,78,1131,4338
2015/04/21,79,1146,4379
2015/04/22,82,1137,4383
2015/04/23,80,1134,4352
2015/04/24,81,1138,4338
2015/04/25,82,1143,4336
2015/04/26,81,1152,4352
2015/04/27,79,1141,4350
2015/04/28,79,1130,4332
2015/04/29,75,1106,4276
2015/04/30,71,1103,4263
2015/05/01,68,1112,4282
