date,trwiki (100+),trwiki (5+),trwiki (all)
2012/08/19,82,589,2388
2012/08/20,80,587,2371
2012/08/21,82,585,2356
2012/08/22,82,591,2341
2012/08/23,81,589,2343
2012/08/24,80,571,2293
2012/08/25,78,583,2332
2012/08/26,78,583,2337
2012/08/27,77,594,2356
2012/08/28,79,600,2370
2012/08/29,79,611,2405
2012/08/30,79,615,2413
2012/08/31,80,611,2398
2012/09/01,82,623,2399
2012/09/02,83,622,2410
2012/09/03,85,618,2399
2012/09/04,86,632,2433
2012/09/05,87,625,2427
2012/09/06,87,625,2434
2012/09/07,85,621,2442
2012/09/08,87,629,2465
2012/09/09,85,639,2465
2012/09/10,87,637,2453
2012/09/11,87,640,2470
2012/09/12,88,646,2490
2012/09/13,84,646,2485
2012/09/14,88,641,2489
2012/09/15,85,644,2472
2012/09/16,83,642,2449
2012/09/17,85,638,2421
2012/09/18,86,648,2424
2012/09/19,88,652,2440
2012/09/20,88,662,2453
2012/09/21,89,661,2466
2012/09/22,89,660,2474
2012/09/23,90,655,2462
2012/09/24,91,656,2454
2012/09/25,90,653,2465
2012/09/26,89,646,2457
2012/09/27,88,636,2449
2012/09/28,88,631,2450
2012/09/29,86,619,2426
2012/09/30,82,611,2427
2012/10/01,81,606,2422
2012/10/02,77,610,2404
2012/10/03,76,608,2383
2012/10/04,76,583,2334
2012/10/05,75,583,2319
2012/10/06,75,574,2293
2012/10/07,77,564,2297
2012/10/08,77,553,2285
2012/10/09,76,543,2288
2012/10/10,78,542,2288
2012/10/11,79,533,2260
2012/10/12,79,525,2252
2012/10/13,77,527,2239
2012/10/14,77,533,2228
2012/10/15,74,526,2249
2012/10/16,73,533,2280
2012/10/17,70,528,2305
2012/10/18,69,523,2340
2012/10/19,69,520,2367
2012/10/20,71,526,2375
2012/10/21,70,532,2385
2012/10/22,70,529,2400
2012/10/23,68,527,2419
2012/10/24,68,522,2399
2012/10/25,65,531,2396
2012/10/26,67,529,2400
2012/10/27,67,526,2393
2012/10/28,66,523,2386
2012/10/29,67,529,2416
2012/10/30,66,526,2444
2012/10/31,65,532,2444
2012/11/01,66,530,2457
2012/11/02,68,535,2465
2012/11/03,66,533,2460
2012/11/04,68,539,2481
2012/11/05,69,542,2493
2012/11/06,64,542,2491
2012/11/07,64,541,2498
2012/11/08,64,543,2500
2012/11/09,64,544,2509
2012/11/10,63,540,2526
2012/11/11,61,538,2512
2012/11/12,63,536,2529
2012/11/13,62,536,2508
2012/11/14,64,531,2468
2012/11/15,62,526,2429
2012/11/16,59,523,2402
2012/11/17,59,524,2380
2012/11/18,59,519,2364
2012/11/19,62,524,2391
2012/11/20,61,507,2375
2012/11/21,61,508,2356
2012/11/22,61,504,2337
2012/11/23,61,505,2359
2012/11/24,62,499,2363
2012/11/25,63,499,2380
2012/11/26,65,499,2380
2012/11/27,67,499,2384
2012/11/28,64,504,2374
2012/11/29,63,503,2338
2012/11/30,63,507,2345
2012/12/01,64,510,2362
2012/12/02,64,512,2363
2012/12/03,66,514,2382
2012/12/04,67,511,2397
2012/12/05,66,510,2399
2012/12/06,65,503,2399
2012/12/07,65,501,2399
2012/12/08,67,498,2398
2012/12/09,67,500,2401
2012/12/10,69,513,2419
2012/12/11,65,515,2441
2012/12/12,65,518,2452
2012/12/13,68,517,2459
2012/12/14,68,519,2479
2012/12/15,68,521,2489
2012/12/16,69,532,2498
2012/12/17,69,530,2514
2012/12/18,71,529,2535
2012/12/19,72,522,2530
2012/12/20,71,525,2552
2012/12/21,70,527,2585
2012/12/22,71,535,2586
2012/12/23,70,532,2583
2012/12/24,72,538,2610
2012/12/25,72,537,2621
2012/12/26,73,540,2640
2012/12/27,72,540,2661
2012/12/28,73,540,2680
2012/12/29,76,544,2704
2012/12/30,76,551,2730
2012/12/31,71,564,2733
2013/01/01,73,574,2736
2013/01/02,75,579,2757
2013/01/03,75,588,2769
2013/01/04,76,602,2819
2013/01/05,76,611,2868
2013/01/06,78,635,2896
2013/01/07,76,638,2904
2013/01/08,78,642,2903
2013/01/09,80,641,2922
2013/01/10,78,644,2957
2013/01/11,77,646,2989
2013/01/12,76,669,3021
2013/01/13,77,674,3040
2013/01/14,77,680,3069
2013/01/15,75,692,3093
2013/01/16,72,691,3113
2013/01/17,73,692,3107
2013/01/18,75,699,3118
2013/01/19,73,709,3128
2013/01/20,72,712,3131
2013/01/21,73,712,3143
2013/01/22,73,724,3181
2013/01/23,72,727,3194
2013/01/24,72,733,3188
2013/01/25,70,739,3203
2013/01/26,71,739,3236
2013/01/27,71,734,3249
2013/01/28,72,729,3243
2013/01/29,70,730,3248
2013/01/30,70,726,3268
2013/01/31,69,729,3273
2013/02/01,68,733,3275
2013/02/02,70,730,3292
2013/02/03,71,733,3278
2013/02/04,72,732,3273
2013/02/05,72,715,3274
2013/02/06,71,721,3253
2013/02/07,70,718,3281
2013/02/08,70,727,3287
2013/02/09,70,737,3286
2013/02/10,69,732,3269
2013/02/11,71,728,3270
2013/02/12,72,715,3253
2013/02/13,72,717,3225
2013/02/14,72,721,3222
2013/02/15,74,718,3209
2013/02/16,74,712,3222
2013/02/17,72,722,3234
2013/02/18,74,721,3276
2013/02/19,74,710,3286
2013/02/20,73,712,3293
2013/02/21,77,709,3253
2013/02/22,78,697,3229
2013/02/23,79,704,3204
2013/02/24,80,690,3193
2013/02/25,79,694,3175
2013/02/26,78,687,3162
2013/02/27,78,688,3141
2013/02/28,77,676,3128
2013/03/01,76,678,3100
2013/03/02,77,668,3103
2013/03/03,76,664,3082
2013/03/04,74,665,3064
2013/03/05,74,659,3059
2013/03/06,73,650,3042
2013/03/07,73,646,3019
2013/03/08,73,645,3022
2013/03/09,73,636,2993
2013/03/10,72,626,2974
2013/03/11,71,616,2938
2013/03/12,69,611,2925
2013/03/13,68,608,2897
2013/03/14,66,608,2890
2013/03/15,68,611,2867
2013/03/16,66,599,2855
2013/03/17,65,600,2862
