date,thwiki (100+),thwiki (5+),thwiki (all)
2012/08/19,42,333,1006
2012/08/20,45,342,1017
2012/08/21,45,350,1020
2012/08/22,47,347,1016
2012/08/23,45,344,1016
2012/08/24,45,334,995
2012/08/25,45,346,1031
2012/08/26,45,355,1050
2012/08/27,45,360,1051
2012/08/28,46,363,1066
2012/08/29,46,365,1069
2012/08/30,47,369,1070
2012/08/31,48,374,1079
2012/09/01,47,371,1083
2012/09/02,47,374,1076
2012/09/03,48,374,1078
2012/09/04,48,374,1082
2012/09/05,45,378,1082
2012/09/06,47,381,1088
2012/09/07,48,376,1075
2012/09/08,46,376,1064
2012/09/09,46,376,1067
2012/09/10,47,384,1073
2012/09/11,50,399,1100
2012/09/12,50,400,1100
2012/09/13,51,399,1099
2012/09/14,50,404,1100
2012/09/15,51,404,1104
2012/09/16,52,400,1102
2012/09/17,53,404,1115
2012/09/18,52,399,1099
2012/09/19,51,402,1097
2012/09/20,51,398,1108
2012/09/21,50,403,1115
2012/09/22,50,407,1108
2012/09/23,51,409,1117
2012/09/24,52,409,1108
2012/09/25,50,406,1107
2012/09/26,52,406,1104
2012/09/27,53,409,1111
2012/09/28,51,412,1125
2012/09/29,51,402,1116
2012/09/30,49,408,1102
2012/10/01,49,412,1106
2012/10/02,48,408,1103
2012/10/03,48,419,1111
2012/10/04,50,419,1117
2012/10/05,50,417,1110
2012/10/06,50,420,1115
2012/10/07,51,424,1117
2012/10/08,52,421,1122
2012/10/09,52,420,1129
2012/10/10,51,416,1118
2012/10/11,52,414,1113
2012/10/12,50,419,1125
2012/10/13,48,425,1124
2012/10/14,46,421,1114
2012/10/15,44,425,1112
2012/10/16,45,425,1118
2012/10/17,45,419,1113
2012/10/18,46,413,1114
2012/10/19,46,412,1109
2012/10/20,47,415,1110
2012/10/21,47,411,1113
2012/10/22,46,407,1113
2012/10/23,47,404,1106
2012/10/24,48,400,1074
2012/10/25,48,400,1078
2012/10/26,49,403,1083
2012/10/27,49,401,1072
2012/10/28,50,406,1063
2012/10/29,50,415,1072
2012/10/30,49,417,1069
2012/10/31,50,419,1062
2012/11/01,51,414,1060
2012/11/02,52,410,1060
2012/11/03,51,411,1050
2012/11/04,49,413,1046
2012/11/05,49,412,1048
2012/11/06,47,407,1048
2012/11/07,47,406,1043
2012/11/08,47,401,1025
2012/11/09,46,397,1024
2012/11/10,44,392,1009
2012/11/11,44,387,1008
2012/11/12,45,378,998
2012/11/13,46,379,997
2012/11/14,45,375,994
2012/11/15,47,373,975
2012/11/16,45,371,972
2012/11/17,47,368,972
2012/11/18,48,367,974
2012/11/19,48,366,965
2012/11/20,46,365,949
2012/11/21,44,362,943
2012/11/22,44,357,937
2012/11/23,43,358,928
2012/11/24,42,359,915
2012/11/25,40,354,902
2012/11/26,40,355,899
2012/11/27,38,348,886
2012/11/28,38,344,877
2012/11/29,38,341,869
2012/11/30,39,335,876
2012/12/01,40,339,882
2012/12/02,40,342,887
2012/12/03,42,338,881
2012/12/04,42,339,890
2012/12/05,42,335,906
2012/12/06,43,338,905
2012/12/07,43,331,906
2012/12/08,43,335,919
2012/12/09,45,334,915
2012/12/10,45,331,928
2012/12/11,43,331,930
2012/12/12,42,328,923
2012/12/13,42,327,923
2012/12/14,40,331,930
2012/12/15,41,328,937
2012/12/16,41,333,950
2012/12/17,41,341,942
2012/12/18,41,335,938
2012/12/19,41,330,926
2012/12/20,42,325,932
2012/12/21,42,327,924
2012/12/22,42,331,934
2012/12/23,44,331,929
2012/12/24,45,336,936
2012/12/25,44,337,942
2012/12/26,43,336,946
2012/12/27,42,339,948
2012/12/28,42,341,944
2012/12/29,42,344,948
2012/12/30,43,342,944
2012/12/31,45,346,940
2013/01/01,45,340,928
2013/01/02,44,335,933
2013/01/03,46,343,947
2013/01/04,44,348,938
2013/01/05,44,348,937
2013/01/06,44,350,933
2013/01/07,45,344,925
2013/01/08,43,350,946
2013/01/09,44,343,940
2013/01/10,45,339,936
2013/01/11,45,340,939
2013/01/12,44,342,934
2013/01/13,46,344,930
2013/01/14,47,343,930
2013/01/15,46,332,920
2013/01/16,46,326,914
2013/01/17,46,335,919
2013/01/18,46,338,918
2013/01/19,45,343,921
2013/01/20,41,345,922
2013/01/21,42,338,923
2013/01/22,43,339,938
2013/01/23,44,337,928
2013/01/24,44,337,922
2013/01/25,42,335,926
2013/01/26,42,327,927
2013/01/27,43,332,934
2013/01/28,42,330,935
2013/01/29,42,325,934
2013/01/30,44,322,929
2013/01/31,43,322,943
2013/02/01,41,327,943
2013/02/02,42,323,937
2013/02/03,41,322,940
2013/02/04,39,321,936
2013/02/05,40,314,941
2013/02/06,39,320,994
2013/02/07,39,324,1000
2013/02/08,39,329,1002
2013/02/09,40,326,993
2013/02/10,41,328,1000
2013/02/11,43,330,1027
2013/02/12,43,342,1039
2013/02/13,41,351,1054
2013/02/14,41,352,1065
2013/02/15,41,351,1070
2013/02/16,41,355,1067
2013/02/17,41,357,1074
2013/02/18,41,357,1074
2013/02/19,43,354,1075
2013/02/20,42,357,1080
2013/02/21,43,355,1069
2013/02/22,44,355,1071
2013/02/23,46,357,1076
2013/02/24,47,350,1070
2013/02/25,45,352,1065
2013/02/26,45,351,1064
2013/02/27,46,356,1068
2013/02/28,45,359,1072
2013/03/01,45,359,1077
2013/03/02,45,357,1069
2013/03/03,45,361,1073
2013/03/04,45,367,1080
2013/03/05,44,375,1086
2013/03/06,45,371,1093
2013/03/07,46,374,1096
2013/03/08,46,368,1065
2013/03/09,47,371,1043
2013/03/10,48,378,1042
2013/03/11,48,387,1047
2013/03/12,47,390,1050
2013/03/13,47,388,1033
2013/03/14,47,386,1024
2013/03/15,46,377,1007
2013/03/16,49,378,992
2013/03/17,49,378,982
2013/03/18,49,382,983
2013/03/19,49,381,974
2013/03/20,48,384,979
2013/03/21,47,381,985
2013/03/22,49,383,977
2013/03/23,49,381,977
2013/03/24,48,383,986
2013/03/25,50,381,984
2013/03/26,49,381,995
2013/03/27,51,378,996
2013/03/28,53,381,999
2013/03/29,52,390,996
2013/03/30,54,393,998
2013/03/31,55,399,991
2013/04/01,57,400,993
2013/04/02,58,397,1004
2013/04/03,57,394,996
2013/04/04,56,383,996
2013/04/05,53,379,991
2013/04/06,54,373,982
2013/04/07,55,372,972
2013/04/08,57,369,972
2013/04/09,57,365,978
2013/04/10,53,365,982
2013/04/11,55,368,981
2013/04/12,55,370,976
2013/04/13,56,372,979
2013/04/14,53,376,969
2013/04/15,54,370,960
2013/04/16,54,369,957
2013/04/17,56,371,965
2013/04/18,54,378,969
2013/04/19,55,379,971
2013/04/20,55,377,965
2013/04/21,57,372,963
2013/04/22,57,378,968
2013/04/23,57,377,967
2013/04/24,60,375,969
2013/04/25,60,381,966
2013/04/26,57,386,982
2013/04/27,58,394,991
2013/04/28,59,394,992
2013/04/29,59,388,977
2013/04/30,59,386,973
2013/05/01,59,389,981
2013/05/02,58,392,969
2013/05/03,58,396,973
2013/05/04,58,404,963
2013/05/05,58,401,958
2013/05/06,57,403,959
2013/05/07,58,404,965
2013/05/08,58,410,972
2013/05/09,58,411,974
2013/05/10,55,411,966
2013/05/11,55,413,969
2013/05/12,55,411,969
2013/05/13,55,407,966
2013/05/14,56,411,982
2013/05/15,56,405,997
2013/05/16,55,402,998
2013/05/17,54,397,991
2013/05/18,53,397,987
2013/05/19,54,401,988
2013/05/20,54,395,982
2013/05/21,56,391,988
2013/05/22,57,381,983
2013/05/23,56,379,980
2013/05/24,57,373,977
2013/05/25,53,368,968
2013/05/26,56,357,953
2013/05/27,58,353,940
2013/05/28,57,345,923
2013/05/29,56,347,925
2013/05/30,58,349,937
2013/05/31,54,348,946
2013/06/01,52,346,953
2013/06/02,51,345,948
2013/06/03,50,340,946
2013/06/04,49,335,950
2013/06/05,48,333,957
2013/06/06,47,329,942
2013/06/07,45,322,941
2013/06/08,44,321,918
2013/06/09,44,325,919
2013/06/10,43,322,915
2013/06/11,42,332,920
2013/06/12,41,331,915
2013/06/13,42,331,914
2013/06/14,43,328,906
2013/06/15,43,323,897
2013/06/16,42,320,891
2013/06/17,41,319,877
2013/06/18,41,312,882
2013/06/19,41,311,883
2013/06/20,40,309,874
2013/06/21,41,308,883
2013/06/22,40,306,881
2013/06/23,41,313,891
2013/06/24,40,311,890
2013/06/25,42,319,898
2013/06/26,43,331,912
2013/06/27,41,331,918
2013/06/28,41,336,915
