date,bswiki (100+),bswiki (5+),bswiki (all)
2012/11/28,5,28,168
2012/11/29,5,29,165
2012/11/30,5,29,164
2012/12/01,5,30,164
2012/12/02,5,29,165
2012/12/03,5,31,161
2012/12/04,5,31,154
2012/12/05,5,31,154
2012/12/06,5,31,158
2012/12/07,5,31,157
2012/12/08,5,30,158
2012/12/09,5,29,154
2012/12/10,5,28,155
2012/12/11,5,28,157
2012/12/12,5,28,158
2012/12/13,5,27,157
2012/12/14,5,27,159
2012/12/15,5,27,156
2012/12/16,5,30,157
2012/12/17,5,30,154
2012/12/18,5,32,151
2012/12/19,5,31,146
2012/12/20,4,29,146
2012/12/21,4,28,145
2012/12/22,4,28,142
2012/12/23,4,30,139
2012/12/24,4,30,136
2012/12/25,4,31,137
2012/12/26,4,32,138
2012/12/27,4,31,139
2012/12/28,4,31,143
2012/12/29,4,31,143
2012/12/30,4,35,149
2012/12/31,4,35,149
2013/01/01,4,34,149
2013/01/02,4,36,147
2013/01/03,4,35,150
2013/01/04,4,35,150
2013/01/05,5,35,150
2013/01/06,5,35,148
2013/01/07,5,31,145
2013/01/08,5,32,147
2013/01/09,5,32,148
2013/01/10,5,34,146
2013/01/11,5,34,147
2013/01/12,5,36,152
2013/01/13,5,40,155
2013/01/14,5,40,159
2013/01/15,5,39,159
2013/01/16,5,39,157
2013/01/17,5,40,155
2013/01/18,6,40,157
2013/01/19,6,42,163
2013/01/20,7,43,168
2013/01/21,7,44,169
2013/01/22,7,44,175
2013/01/23,7,44,177
2013/01/24,7,43,183
2013/01/25,7,42,180
2013/01/26,7,42,178
2013/01/27,7,43,178
2013/01/28,7,41,184
2013/01/29,7,39,183
2013/01/30,7,40,181
2013/01/31,7,38,185
2013/02/01,7,36,184
2013/02/02,7,38,184
2013/02/03,7,39,187
2013/02/04,6,38,188
2013/02/05,6,40,185
2013/02/06,6,41,188
2013/02/07,6,41,190
2013/02/08,6,42,190
2013/02/09,6,43,194
2013/02/10,6,43,194
2013/02/11,6,46,190
2013/02/12,6,45,193
2013/02/13,6,46,191
2013/02/14,6,47,187
2013/02/15,6,48,189
2013/02/16,6,49,189
2013/02/17,4,49,194
2013/02/18,4,48,190
2013/02/19,4,47,185
2013/02/20,4,49,189
2013/02/21,4,48,180
2013/02/22,4,49,180
2013/02/23,4,49,174
2013/02/24,4,49,176
2013/02/25,4,49,174
2013/02/26,4,50,179
2013/02/27,4,51,175
2013/02/28,4,53,179
2013/03/01,4,54,181
2013/03/02,4,53,183
2013/03/03,4,53,183
2013/03/04,4,52,180
2013/03/05,4,50,175
2013/03/06,4,50,175
2013/03/07,4,48,177
2013/03/08,4,46,174
2013/03/09,4,44,176
2013/03/10,4,43,179
2013/03/11,4,42,179
2013/03/12,4,43,176
2013/03/13,4,38,177
2013/03/14,4,35,172
2013/03/15,5,37,170
2013/03/16,5,35,169
2013/03/17,5,36,173
2013/03/18,5,37,171
2013/03/19,5,37,167
2013/03/20,5,36,169
2013/03/21,5,36,171
2013/03/22,5,36,165
2013/03/23,5,36,167
2013/03/24,5,35,168
2013/03/25,6,38,169
2013/03/26,6,39,166
2013/03/27,6,37,161
2013/03/28,6,36,158
2013/03/29,6,35,160
2013/03/30,6,37,159
2013/03/31,6,39,160
2013/04/01,6,40,159
2013/04/02,5,40,158
2013/04/03,6,40,163
2013/04/04,5,42,166
2013/04/05,5,41,164
2013/04/06,5,41,166
2013/04/07,5,42,166
2013/04/08,5,42,166
2013/04/09,5,42,166
2013/04/10,5,42,166
2013/04/11,5,40,167
2013/04/12,5,41,158
2013/04/13,5,42,159
2013/04/14,5,40,157
2013/04/15,6,40,156
2013/04/16,6,40,151
2013/04/17,6,40,146
2013/04/18,5,43,149
2013/04/19,5,42,150
2013/04/20,5,42,150
2013/04/21,5,43,154
2013/04/22,6,44,152
2013/04/23,6,45,152
2013/04/24,5,42,153
2013/04/25,5,41,156
2013/04/26,5,40,158
2013/04/27,5,40,158
2013/04/28,5,40,155
2013/04/29,5,40,154
2013/04/30,5,37,150
2013/05/01,5,37,148
2013/05/02,5,39,146
2013/05/03,5,40,142
2013/05/04,5,38,144
2013/05/05,5,37,142
2013/05/06,5,40,141
2013/05/07,5,38,144
2013/05/08,5,38,144
2013/05/09,5,39,140
2013/05/10,5,38,137
2013/05/11,5,42,138
2013/05/12,5,41,138
2013/05/13,5,39,138
2013/05/14,6,38,139
2013/05/15,5,37,137
2013/05/16,5,37,138
2013/05/17,5,37,135
2013/05/18,5,38,132
2013/05/19,5,37,130
2013/05/20,5,38,132
2013/05/21,5,38,129
2013/05/22,5,37,135
2013/05/23,5,36,132
2013/05/24,5,38,135
2013/05/25,5,37,131
2013/05/26,5,36,127
2013/05/27,5,38,133
2013/05/28,5,41,137
2013/05/29,5,41,137
2013/05/30,5,40,136
2013/05/31,4,40,138
2013/06/01,4,39,141
2013/06/02,4,39,141
2013/06/03,4,40,140
2013/06/04,4,40,139
2013/06/05,4,43,139
2013/06/06,4,43,138
2013/06/07,4,40,135
2013/06/08,4,38,133
2013/06/09,4,36,130
2013/06/10,4,34,131
2013/06/11,5,35,130
2013/06/12,4,35,130
2013/06/13,4,35,129
2013/06/14,4,34,127
2013/06/15,4,34,134
2013/06/16,4,34,137
2013/06/17,4,34,140
2013/06/18,4,34,146
2013/06/19,4,36,145
2013/06/20,4,35,145
2013/06/21,4,33,141
2013/06/22,4,32,142
2013/06/23,4,31,143
2013/06/24,4,31,145
2013/06/25,5,30,148
2013/06/26,4,29,145
2013/06/27,4,26,144
2013/06/28,5,24,143
2013/06/29,5,24,144
2013/06/30,5,24,147
2013/07/01,5,24,146
2013/07/02,5,27,151
2013/07/03,5,28,154
2013/07/04,5,27,154
2013/07/05,5,28,154
2013/07/06,5,29,153
2013/07/07,5,30,153
2013/07/08,6,30,154
2013/07/09,6,29,155
2013/07/10,6,29,152
2013/07/11,5,29,153
2013/07/12,5,31,156
2013/07/13,5,30,155
2013/07/14,5,30,156
2013/07/15,5,30,152
2013/07/16,5,31,153
2013/07/17,5,31,151
2013/07/18,5,31,146
2013/07/19,5,30,145
2013/07/20,5,31,148
2013/07/21,5,32,152
2013/07/22,5,33,149
2013/07/23,5,32,148
2013/07/24,5,31,148
2013/07/25,5,33,147
2013/07/26,5,32,145
2013/07/27,5,32,145
2013/07/28,4,32,143
2013/07/29,4,33,142
2013/07/30,5,33,138
2013/07/31,5,34,138
2013/08/01,5,32,137
2013/08/02,5,32,131
2013/08/03,5,33,129
2013/08/04,6,31,132
2013/08/05,6,32,132
2013/08/06,5,34,134
2013/08/07,5,35,136
2013/08/08,5,34,130
2013/08/09,5,35,129
2013/08/10,5,34,130
2013/08/11,5,32,131
2013/08/12,5,31,133
2013/08/13,5,31,133
2013/08/14,5,32,137
2013/08/15,5,32,136
2013/08/16,5,29,136
2013/08/17,5,28,134
2013/08/18,5,28,132
2013/08/19,5,27,130
2013/08/20,5,26,122
2013/08/21,5,26,121
2013/08/22,5,24,120
2013/08/23,5,24,117
2013/08/24,5,24,115
2013/08/25,5,24,118
2013/08/26,5,24,119
2013/08/27,5,25,123
2013/08/28,5,25,123
2013/08/29,5,26,125
2013/08/30,5,28,123
2013/08/31,5,28,122
2013/09/01,5,29,124
2013/09/02,5,30,126
2013/09/03,5,31,127
2013/09/04,5,30,126
2013/09/05,5,31,122
2013/09/06,5,30,122
2013/09/07,5,31,123
2013/09/08,5,32,123
2013/09/09,5,31,123
2013/09/10,5,32,121
2013/09/11,5,32,121
2013/09/12,5,32,120
2013/09/13,5,35,121
2013/09/14,5,36,122
2013/09/15,5,37,122
2013/09/16,5,38,127
2013/09/17,5,38,129
2013/09/18,5,39,132
2013/09/19,5,41,132
2013/09/20,5,43,139
2013/09/21,5,44,146
2013/09/22,5,43,147
2013/09/23,5,44,150
2013/09/24,5,44,150
2013/09/25,6,43,153
2013/09/26,6,43,146
2013/09/27,7,43,144
2013/09/28,7,42,147
2013/09/29,7,41,148
2013/09/30,7,41,144
2013/10/01,7,40,147
2013/10/02,7,41,145
2013/10/03,7,41,143
2013/10/04,7,42,145
2013/10/05,7,39,141
2013/10/06,7,38,143
2013/10/07,7,38,148
2013/10/08,7,39,151
2013/10/09,6,39,149
2013/10/10,6,38,152
2013/10/11,6,38,153
2013/10/12,6,37,153
2013/10/13,6,39,156
2013/10/14,7,40,158
2013/10/15,7,40,159
2013/10/16,7,40,159
2013/10/17,7,38,159
2013/10/18,7,38,161
2013/10/19,7,38,160
2013/10/20,6,36,157
2013/10/21,6,36,155
2013/10/22,7,39,156
2013/10/23,6,37,156
2013/10/24,5,37,153
2013/10/25,5,37,152
2013/10/26,5,37,151
2013/10/27,6,39,156
2013/10/28,6,38,152
2013/10/29,6,39,151
2013/10/30,6,39,158
2013/10/31,6,38,157
2013/11/01,6,40,159
2013/11/02,6,40,159
2013/11/03,6,40,159
2013/11/04,6,40,163
2013/11/05,5,40,161
2013/11/06,6,39,157
2013/11/07,6,40,156
2013/11/08,7,40,155
2013/11/09,8,39,155
2013/11/10,8,39,156
2013/11/11,9,42,163
2013/11/12,9,42,162
2013/11/13,7,43,162
2013/11/14,8,44,162
2013/11/15,9,45,157
2013/11/16,9,43,158
2013/11/17,9,42,155
2013/11/18,8,44,156
2013/11/19,10,44,157
2013/11/20,10,44,160
2013/11/21,10,41,161
2013/11/22,10,41,166
2013/11/23,11,40,168
2013/11/24,11,39,167
2013/11/25,11,42,172
2013/11/26,11,39,168
2013/11/27,11,40,170
2013/11/28,10,39,171
2013/11/29,11,38,164
2013/11/30,11,40,166
2013/12/01,11,38,169
2013/12/02,11,39,169
2013/12/03,11,41,171
2013/12/04,12,40,169
2013/12/05,12,42,172
2013/12/06,10,41,170
2013/12/07,10,41,169
2013/12/08,11,44,170
2013/12/09,10,44,170
2013/12/10,9,45,171
2013/12/11,9,43,168
2013/12/12,9,43,168
2013/12/13,10,40,163
2013/12/14,10,39,161
2013/12/15,9,38,163
2013/12/16,9,38,159
2013/12/17,9,37,159
2013/12/18,8,37,160
2013/12/19,6,35,157
2013/12/20,6,35,158
2013/12/21,5,36,157
2013/12/22,6,37,161
2013/12/23,7,37,155
2013/12/24,6,36,157
2013/12/25,6,33,153
2013/12/26,6,34,153
2013/12/27,6,34,150
2013/12/28,6,36,150
2013/12/29,6,36,151
2013/12/30,6,32,150
2013/12/31,6,33,145
2014/01/01,6,33,143
2014/01/02,6,32,139
2014/01/03,6,33,136
2014/01/04,6,32,134
2014/01/05,7,33,138
2014/01/06,8,33,141
2014/01/07,7,34,139
2014/01/08,7,33,137
2014/01/09,7,33,134
2014/01/10,7,34,132
2014/01/11,7,34,133
2014/01/12,8,37,135
2014/01/13,8,36,139
2014/01/14,8,35,142
2014/01/15,8,38,146
2014/01/16,7,41,148
2014/01/17,7,40,146
2014/01/18,7,41,148
2014/01/19,7,41,145
2014/01/20,7,42,148
2014/01/21,8,41,144
2014/01/22,8,43,146
2014/01/23,8,43,149
2014/01/24,8,43,151
2014/01/25,9,45,152
2014/01/26,8,49,157
2014/01/27,9,47,155
2014/01/28,9,48,152
2014/01/29,9,48,150
2014/01/30,9,49,155
2014/01/31,9,50,160
2014/02/01,11,50,162
2014/02/02,11,50,164
2014/02/03,12,49,165
2014/02/04,12,47,166
2014/02/05,13,46,165
2014/02/06,13,46,165
2014/02/07,12,46,159
2014/02/08,12,46,156
2014/02/09,12,47,163
2014/02/10,11,47,163
2014/02/11,11,45,162
2014/02/12,11,47,162
2014/02/13,11,45,163
2014/02/14,11,45,161
2014/02/15,11,45,159
2014/02/16,11,45,158
2014/02/17,11,44,159
2014/02/18,12,42,159
2014/02/19,12,44,160
2014/02/20,12,45,160
2014/02/21,12,45,156
2014/02/22,12,44,153
2014/02/23,12,43,155
2014/02/24,12,42,154
2014/02/25,12,41,149
2014/02/26,12,42,150
2014/02/27,12,43,150
2014/02/28,12,42,150
2014/03/01,11,41,152
2014/03/02,11,41,150
2014/03/03,10,42,149
2014/03/04,10,42,154
2014/03/05,9,42,158
2014/03/06,9,41,156
2014/03/07,9,39,156
2014/03/08,9,39,155
2014/03/09,9,40,157
2014/03/10,10,41,158
2014/03/11,11,39,151
2014/03/12,11,40,148
2014/03/13,10,41,149
2014/03/14,10,38,148
2014/03/15,10,37,151
2014/03/16,9,37,152
2014/03/17,10,38,154
2014/03/18,10,38,154
2014/03/19,11,40,152
2014/03/20,11,41,152
2014/03/21,11,41,148
2014/03/22,11,41,150
2014/03/23,10,43,153
2014/03/24,10,42,155
2014/03/25,9,42,154
2014/03/26,9,41,153
2014/03/27,8,40,151
2014/03/28,8,39,148
2014/03/29,9,38,149
2014/03/30,9,37,144
2014/03/31,10,38,143
2014/04/01,10,36,141
2014/04/02,10,35,143
2014/04/03,10,37,140
2014/04/04,10,37,139
2014/04/05,10,36,140
2014/04/06,10,35,142
2014/04/07,9,34,146
2014/04/08,10,36,148
2014/04/09,10,38,150
2014/04/10,9,38,155
2014/04/11,9,37,154
2014/04/12,10,38,153
2014/04/13,10,38,151
2014/04/14,10,39,147
2014/04/15,10,38,145
2014/04/16,9,36,145
2014/04/17,9,36,145
2014/04/18,8,36,144
2014/04/19,9,34,144
2014/04/20,9,35,144
2014/04/21,8,35,145
2014/04/22,8,36,144
2014/04/23,8,36,145
2014/04/24,8,36,142
2014/04/25,8,36,140
2014/04/26,8,35,142
2014/04/27,8,36,147
2014/04/28,8,37,146
2014/04/29,8,37,148
2014/04/30,8,38,147
2014/05/01,8,38,148
2014/05/02,7,38,145
2014/05/03,8,35,145
2014/05/04,9,35,144
2014/05/05,10,36,147
2014/05/06,10,36,146
2014/05/07,10,36,146
2014/05/08,10,35,146
2014/05/09,10,37,143
2014/05/10,10,39,143
2014/05/11,10,41,145
2014/05/12,10,41,142
2014/05/13,10,41,146
2014/05/14,10,39,145
2014/05/15,11,40,146
2014/05/16,11,39,148
2014/05/17,11,39,147
2014/05/18,12,38,146
2014/05/19,11,38,145
2014/05/20,11,36,144
2014/05/21,11,36,142
2014/05/22,11,39,140
2014/05/23,11,40,141
2014/05/24,12,39,140
2014/05/25,12,39,141
2014/05/26,12,38,141
2014/05/27,12,40,141
2014/05/28,12,37,141
2014/05/29,11,37,144
2014/05/30,12,35,140
2014/05/31,13,36,140
2014/06/01,13,37,144
2014/06/02,13,37,143
2014/06/03,13,37,140
2014/06/04,13,35,140
2014/06/05,13,33,142
2014/06/06,12,33,141
2014/06/07,12,32,138
2014/06/08,12,33,137
2014/06/09,11,32,135
2014/06/10,11,32,137
2014/06/11,12,33,136
2014/06/12,11,36,136
2014/06/13,11,36,136
2014/06/14,11,35,137
2014/06/15,11,34,134
2014/06/16,11,36,137
2014/06/17,10,36,139
2014/06/18,12,36,138
2014/06/19,12,36,139
2014/06/20,12,38,139
2014/06/21,12,37,138
2014/06/22,12,39,135
2014/06/23,12,39,137
2014/06/24,13,38,137
2014/06/25,13,38,137
2014/06/26,10,38,135
2014/06/27,12,40,136
2014/06/28,12,39,136
2014/06/29,11,38,137
2014/06/30,10,37,135
2014/07/01,11,37,130
2014/07/02,10,37,131
2014/07/03,10,36,129
2014/07/04,10,35,129
2014/07/05,10,35,126
2014/07/06,10,34,125
2014/07/07,10,34,125
2014/07/08,10,33,124
2014/07/09,9,33,124
2014/07/10,9,34,126
2014/07/11,9,35,127
2014/07/12,10,34,126
2014/07/13,10,34,125
2014/07/14,10,32,123
2014/07/15,10,31,124
2014/07/16,11,32,126
2014/07/17,11,33,125
2014/07/18,11,34,130
2014/07/19,11,34,128
2014/07/20,11,34,125
2014/07/21,12,33,122
2014/07/22,12,31,121
2014/07/23,12,32,120
2014/07/24,12,32,118
2014/07/25,12,31,122
2014/07/26,12,32,124
2014/07/27,12,32,124
2014/07/28,11,33,124
2014/07/29,11,33,128
2014/07/30,11,31,129
2014/07/31,11,30,135
2014/08/01,11,32,134
2014/08/02,11,33,133
2014/08/03,10,34,136
2014/08/04,10,35,136
2014/08/05,10,35,139
2014/08/06,10,34,139
2014/08/07,10,35,141
2014/08/08,10,35,137
2014/08/09,10,34,137
2014/08/10,10,32,135
2014/08/11,10,32,135
2014/08/12,11,35,137
2014/08/13,11,35,141
2014/08/14,12,35,141
2014/08/15,11,37,140
2014/08/16,11,37,137
2014/08/17,11,38,136
2014/08/18,11,38,136
2014/08/19,11,39,140
2014/08/20,10,39,140
2014/08/21,10,39,138
2014/08/22,10,39,142
2014/08/23,10,38,142
2014/08/24,10,36,143
2014/08/25,9,35,142
2014/08/26,10,38,139
2014/08/27,10,36,138
2014/08/28,10,37,136
2014/08/29,10,38,132
2014/08/30,13,38,129
2014/08/31,13,38,128
2014/09/01,13,38,130
2014/09/02,12,35,128
2014/09/03,12,35,129
2014/09/04,11,34,131
2014/09/05,12,34,128
2014/09/06,12,35,126
