date,arzwiki (100+),arzwiki (5+),arzwiki (all)
2012/12/30,12,37,104
2012/12/31,12,38,105
2013/01/01,12,38,107
2013/01/02,12,39,109
2013/01/03,12,39,108
2013/01/04,12,37,106
2013/01/05,12,35,104
2013/01/06,11,39,106
2013/01/07,11,42,110
2013/01/08,11,43,112
2013/01/09,11,43,115
2013/01/10,11,43,117
2013/01/11,10,41,117
2013/01/12,10,41,115
2013/01/13,10,42,114
2013/01/14,11,42,112
2013/01/15,10,42,113
2013/01/16,10,43,110
2013/01/17,10,44,112
2013/01/18,9,43,112
2013/01/19,9,43,112
2013/01/20,9,44,114
2013/01/21,9,41,112
2013/01/22,9,41,112
2013/01/23,9,41,111
2013/01/24,9,41,109
2013/01/25,9,42,106
2013/01/26,9,40,107
2013/01/27,9,40,106
2013/01/28,9,40,106
2013/01/29,9,40,106
2013/01/30,8,41,107
2013/01/31,8,39,107
2013/02/01,7,40,105
2013/02/02,7,39,107
2013/02/03,7,38,103
2013/02/04,7,38,101
2013/02/05,7,36,100
2013/02/06,7,35,99
2013/02/07,8,35,100
2013/02/08,8,36,95
2013/02/09,9,33,97
2013/02/10,9,33,93
2013/02/11,9,33,93
2013/02/12,9,33,94
2013/02/13,9,35,96
2013/02/14,10,33,95
2013/02/15,11,34,95
2013/02/16,11,34,100
2013/02/17,11,34,101
2013/02/18,11,33,102
2013/02/19,11,32,104
2013/02/20,11,33,104
2013/02/21,10,32,102
2013/02/22,10,31,103
2013/02/23,10,32,105
2013/02/24,10,32,105
2013/02/25,10,32,100
2013/02/26,9,35,106
2013/02/27,9,35,108
2013/02/28,9,35,109
2013/03/01,9,35,103
2013/03/02,9,36,102
2013/03/03,9,36,102
2013/03/04,8,36,102
2013/03/05,9,37,102
2013/03/06,9,37,101
2013/03/07,9,38,100
2013/03/08,10,38,100
2013/03/09,11,38,101
2013/03/10,11,38,101
2013/03/11,10,37,98
2013/03/12,10,36,101
2013/03/13,10,35,100
2013/03/14,10,35,100
2013/03/15,10,33,96
2013/03/16,10,32,97
2013/03/17,11,30,99
2013/03/18,11,30,93
2013/03/19,11,30,94
2013/03/20,11,30,94
2013/03/21,11,29,92
2013/03/22,11,27,92
2013/03/23,11,28,93
2013/03/24,10,28,94
2013/03/25,9,27,95
2013/03/26,9,26,93
2013/03/27,9,25,91
2013/03/28,8,24,91
2013/03/29,8,24,91
2013/03/30,8,23,90
2013/03/31,7,20,89
2013/04/01,7,18,87
2013/04/02,7,18,89
2013/04/03,5,17,86
2013/04/04,6,16,85
2013/04/05,6,14,83
2013/04/06,6,14,84
2013/04/07,5,12,81
2013/04/08,6,12,81
2013/04/09,6,13,86
2013/04/10,6,13,92
2013/04/11,6,13,91
2013/04/12,6,15,93
2013/04/13,6,17,96
2013/04/14,6,17,97
2013/04/15,6,18,97
2013/04/16,6,18,100
2013/04/17,6,18,101
2013/04/18,6,19,104
2013/04/19,6,20,105
2013/04/20,6,20,105
2013/04/21,6,20,104
2013/04/22,6,20,105
2013/04/23,6,20,104
2013/04/24,6,20,102
2013/04/25,6,20,103
2013/04/26,6,21,104
2013/04/27,6,21,103
2013/04/28,6,20,102
2013/04/29,5,20,103
2013/04/30,5,21,105
2013/05/01,5,20,105
2013/05/02,6,20,105
2013/05/03,5,19,101
2013/05/04,5,19,100
2013/05/05,6,20,100
2013/05/06,6,20,97
2013/05/07,6,19,94
2013/05/08,6,19,93
2013/05/09,6,21,89
2013/05/10,5,22,88
2013/05/11,5,22,88
2013/05/12,5,21,87
2013/05/13,4,21,86
2013/05/14,4,20,87
2013/05/15,4,21,85
2013/05/16,3,21,81
2013/05/17,3,21,80
2013/05/18,4,20,75
2013/05/19,3,19,74
2013/05/20,3,19,73
2013/05/21,3,20,73
2013/05/22,3,19,72
2013/05/23,3,20,71
2013/05/24,4,19,71
2013/05/25,2,19,71
2013/05/26,2,18,69
2013/05/27,2,18,72
2013/05/28,3,17,72
2013/05/29,3,18,71
2013/05/30,3,17,70
2013/05/31,2,17,68
2013/06/01,2,17,67
2013/06/02,2,16,69
2013/06/03,2,17,68
2013/06/04,2,16,68
2013/06/05,2,17,70
2013/06/06,2,17,71
2013/06/07,2,17,69
2013/06/08,2,17,68
2013/06/09,2,17,66
2013/06/10,2,18,69
2013/06/11,2,17,68
2013/06/12,2,19,70
2013/06/13,2,19,73
2013/06/14,3,18,74
2013/06/15,3,19,77
2013/06/16,3,19,78
2013/06/17,3,21,78
2013/06/18,4,21,78
2013/06/19,4,21,81
2013/06/20,4,19,79
2013/06/21,4,19,79
2013/06/22,5,21,78
2013/06/23,5,20,79
2013/06/24,5,21,79
2013/06/25,5,21,80
2013/06/26,5,21,77
2013/06/27,6,21,79
2013/06/28,6,21,79
2013/06/29,6,21,79
2013/06/30,6,21,79
2013/07/01,6,21,78
2013/07/02,6,21,79
2013/07/03,6,21,81
2013/07/04,6,21,80
2013/07/05,6,21,80
2013/07/06,6,22,79
2013/07/07,6,22,80
2013/07/08,6,22,83
2013/07/09,6,22,85
2013/07/10,6,24,83
2013/07/11,6,24,83
2013/07/12,6,22,82
2013/07/13,6,22,80
2013/07/14,5,21,82
2013/07/15,5,19,81
2013/07/16,3,19,79
2013/07/17,3,19,77
2013/07/18,3,19,76
2013/07/19,3,19,74
2013/07/20,2,18,73
2013/07/21,2,18,75
2013/07/22,2,17,76
2013/07/23,2,18,78
2013/07/24,3,18,82
2013/07/25,3,18,82
2013/07/26,3,17,82
2013/07/27,3,16,80
2013/07/28,3,16,81
2013/07/29,3,16,81
2013/07/30,3,17,83
2013/07/31,3,17,85
2013/08/01,3,17,85
2013/08/02,3,17,83
2013/08/03,3,17,85
2013/08/04,2,17,83
2013/08/05,3,15,82
2013/08/06,3,15,85
2013/08/07,3,13,80
2013/08/08,3,14,78
2013/08/09,3,17,79
2013/08/10,3,16,79
2013/08/11,1,16,77
2013/08/12,1,16,80
2013/08/13,2,16,79
2013/08/14,2,16,79
2013/08/15,2,16,82
2013/08/16,2,16,83
2013/08/17,2,16,83
2013/08/18,2,16,83
2013/08/19,3,17,87
2013/08/20,3,18,88
2013/08/21,3,18,89
2013/08/22,3,19,89
2013/08/23,2,17,89
2013/08/24,2,17,89
2013/08/25,2,18,91
2013/08/26,2,19,92
2013/08/27,2,18,90
2013/08/28,2,19,89
2013/08/29,2,19,85
2013/08/30,2,18,84
2013/08/31,2,19,82
2013/09/01,3,19,84
2013/09/02,3,19,84
2013/09/03,3,19,84
2013/09/04,3,20,86
2013/09/05,3,20,85
2013/09/06,3,20,85
2013/09/07,3,20,83
2013/09/08,3,17,83
2013/09/09,3,17,84
2013/09/10,3,17,83
2013/09/11,3,17,80
2013/09/12,3,17,80
2013/09/13,3,15,77
2013/09/14,3,16,77
2013/09/15,3,17,78
2013/09/16,3,17,79
2013/09/17,3,17,79
2013/09/18,3,17,74
2013/09/19,3,16,70
2013/09/20,3,15,69
2013/09/21,3,15,69
2013/09/22,3,15,70
2013/09/23,3,16,71
2013/09/24,3,15,65
2013/09/25,3,14,64
2013/09/26,3,16,66
2013/09/27,3,15,63
2013/09/28,3,15,64
2013/09/29,3,15,66
2013/09/30,3,14,67
2013/10/01,4,13,66
2013/10/02,4,14,66
2013/10/03,4,14,65
2013/10/04,4,14,65
2013/10/05,4,14,64
2013/10/06,4,14,67
2013/10/07,5,15,68
2013/10/08,4,15,71
2013/10/09,4,15,71
2013/10/10,4,14,69
2013/10/11,4,14,67
2013/10/12,4,14,67
2013/10/13,3,14,68
2013/10/14,3,13,68
2013/10/15,3,13,67
2013/10/16,3,13,66
2013/10/17,3,13,67
2013/10/18,3,14,67
2013/10/19,3,15,71
2013/10/20,3,15,70
2013/10/21,3,13,66
2013/10/22,3,13,63
2013/10/23,3,14,61
2013/10/24,4,14,64
2013/10/25,4,15,68
2013/10/26,4,15,68
2013/10/27,4,16,70
2013/10/28,4,16,69
2013/10/29,4,16,65
2013/10/30,4,15,63
2013/10/31,4,15,64
2013/11/01,4,14,62
2013/11/02,3,14,63
2013/11/03,3,14,63
2013/11/04,3,14,65
2013/11/05,3,14,67
2013/11/06,3,14,69
2013/11/07,3,15,68
2013/11/08,3,16,69
2013/11/09,3,17,69
2013/11/10,3,18,71
2013/11/11,4,17,72
2013/11/12,4,18,70
2013/11/13,4,19,72
2013/11/14,4,19,75
2013/11/15,4,20,77
2013/11/16,3,21,76
2013/11/17,3,21,77
2013/11/18,3,21,75
2013/11/19,3,21,80
2013/11/20,2,21,80
2013/11/21,2,23,80
2013/11/22,3,23,78
2013/11/23,3,23,78
2013/11/24,3,19,75
2013/11/25,4,19,75
2013/11/26,4,18,75
2013/11/27,3,18,75
2013/11/28,3,18,78
2013/11/29,4,20,82
2013/11/30,4,19,82
2013/12/01,4,19,84
2013/12/02,4,19,82
2013/12/03,4,18,82
2013/12/04,4,18,82
2013/12/05,4,18,84
2013/12/06,4,18,82
2013/12/07,4,18,87
2013/12/08,4,20,87
2013/12/09,4,19,88
2013/12/10,4,19,87
2013/12/11,4,19,85
2013/12/12,4,19,85
2013/12/13,4,18,82
2013/12/14,4,19,81
2013/12/15,4,18,82
2013/12/16,4,18,82
2013/12/17,4,18,82
2013/12/18,4,19,83
2013/12/19,4,18,78
2013/12/20,3,18,79
2013/12/21,3,17,80
2013/12/22,3,17,80
2013/12/23,3,17,81
2013/12/24,3,17,82
2013/12/25,3,16,81
2013/12/26,3,16,82
2013/12/27,3,14,84
2013/12/28,3,13,78
2013/12/29,2,11,73
2013/12/30,2,11,73
2013/12/31,2,12,74
2014/01/01,2,13,76
2014/01/02,2,12,77
2014/01/03,2,12,76
2014/01/04,2,12,74
2014/01/05,2,12,76
2014/01/06,2,11,71
2014/01/07,2,12,68
2014/01/08,2,12,66
2014/01/09,2,12,66
2014/01/10,2,11,68
2014/01/11,2,11,68
2014/01/12,2,11,66
2014/01/13,2,11,71
2014/01/14,2,10,71
2014/01/15,3,11,71
2014/01/16,3,12,72
2014/01/17,3,11,68
2014/01/18,3,11,67
2014/01/19,3,11,70
2014/01/20,3,11,68
2014/01/21,3,11,71
2014/01/22,3,11,70
2014/01/23,3,12,67
2014/01/24,3,12,70
2014/01/25,3,12,70
2014/01/26,3,12,69
2014/01/27,3,12,69
2014/01/28,3,12,70
2014/01/29,3,13,72
2014/01/30,3,12,71
2014/01/31,3,12,68
2014/02/01,3,12,68
2014/02/02,3,12,68
2014/02/03,3,13,71
2014/02/04,3,12,72
2014/02/05,3,11,76
2014/02/06,3,10,78
2014/02/07,3,10,78
2014/02/08,3,12,78
2014/02/09,3,12,81
2014/02/10,4,11,84
2014/02/11,4,11,86
2014/02/12,4,11,79
2014/02/13,4,12,80
2014/02/14,3,11,77
2014/02/15,3,12,78
2014/02/16,3,15,81
2014/02/17,3,15,85
2014/02/18,3,13,88
2014/02/19,3,13,89
2014/02/20,3,14,90
2014/02/21,3,14,95
2014/02/22,3,14,97
2014/02/23,3,15,94
2014/02/24,3,16,97
2014/02/25,3,17,103
2014/02/26,3,19,103
2014/02/27,4,19,104
2014/02/28,4,19,101
2014/03/01,4,19,101
2014/03/02,4,19,103
2014/03/03,4,18,102
2014/03/04,4,19,101
2014/03/05,4,19,102
2014/03/06,4,19,101
2014/03/07,4,20,97
2014/03/08,5,20,98
2014/03/09,5,20,98
2014/03/10,5,19,96
2014/03/11,5,18,91
2014/03/12,5,18,89
2014/03/13,5,18,88
2014/03/14,5,19,87
2014/03/15,5,19,89
2014/03/16,5,19,88
2014/03/17,5,19,84
2014/03/18,5,18,81
2014/03/19,5,18,79
2014/03/20,5,19,77
2014/03/21,5,19,80
2014/03/22,5,18,79
2014/03/23,5,18,80
2014/03/24,5,18,77
2014/03/25,5,17,77
2014/03/26,5,17,78
2014/03/27,5,16,73
2014/03/28,5,15,75
2014/03/29,5,18,79
2014/03/30,5,20,88
2014/03/31,5,19,89
2014/04/01,4,18,90
2014/04/02,4,19,92
2014/04/03,4,17,91
2014/04/04,4,17,88
2014/04/05,4,16,89
2014/04/06,4,16,92
2014/04/07,4,16,91
2014/04/08,4,16,91
2014/04/09,4,16,92
2014/04/10,4,16,93
2014/04/11,4,18,96
2014/04/12,4,17,95
2014/04/13,4,18,96
2014/04/14,4,18,94
2014/04/15,4,18,95
2014/04/16,4,18,96
2014/04/17,4,17,96
2014/04/18,4,18,96
2014/04/19,3,19,93
2014/04/20,3,21,94
2014/04/21,3,20,91
2014/04/22,3,19,88
2014/04/23,3,19,89
2014/04/24,3,19,90
2014/04/25,3,19,89
2014/04/26,3,19,90
2014/04/27,3,20,93
2014/04/28,3,20,89
2014/04/29,3,18,85
2014/04/30,4,16,80
2014/05/01,4,16,80
2014/05/02,4,17,80
2014/05/03,4,18,79
2014/05/04,4,18,82
2014/05/05,4,18,89
2014/05/06,4,18,85
2014/05/07,4,19,90
2014/05/08,4,19,90
2014/05/09,4,20,89
2014/05/10,4,22,89
2014/05/11,4,22,87
2014/05/12,4,22,86
2014/05/13,4,21,84
2014/05/14,4,21,85
2014/05/15,4,21,87
2014/05/16,4,21,87
2014/05/17,4,21,89
2014/05/18,4,20,90
2014/05/19,4,20,90
2014/05/20,4,20,84
2014/05/21,4,20,85
2014/05/22,4,21,88
2014/05/23,4,20,91
2014/05/24,4,19,86
2014/05/25,4,19,86
2014/05/26,4,19,84
2014/05/27,4,18,81
2014/05/28,4,19,79
2014/05/29,3,19,80
2014/05/30,3,20,80
2014/05/31,3,19,79
2014/06/01,3,16,79
2014/06/02,3,16,80
2014/06/03,3,16,79
2014/06/04,3,14,75
2014/06/05,3,14,75
2014/06/06,3,13,73
2014/06/07,3,13,78
2014/06/08,3,12,77
2014/06/09,3,11,74
2014/06/10,3,11,73
2014/06/11,3,11,73
2014/06/12,3,11,73
2014/06/13,3,12,73
2014/06/14,3,11,71
2014/06/15,3,11,72
2014/06/16,3,11,73
2014/06/17,3,12,74
2014/06/18,3,12,74
2014/06/19,3,12,74
2014/06/20,3,12,76
2014/06/21,3,12,76
2014/06/22,3,12,74
2014/06/23,3,12,78
2014/06/24,3,12,77
2014/06/25,3,13,82
2014/06/26,3,14,84
2014/06/27,3,17,83
2014/06/28,3,17,85
2014/06/29,3,17,86
2014/06/30,3,17,85
2014/07/01,3,16,84
2014/07/02,3,17,85
2014/07/03,3,18,89
2014/07/04,3,18,88
2014/07/05,3,19,87
2014/07/06,3,18,85
2014/07/07,3,18,83
2014/07/08,3,18,86
2014/07/09,3,18,85
2014/07/10,3,18,85
2014/07/11,3,18,85
2014/07/12,3,18,84
2014/07/13,3,17,81
2014/07/14,3,17,79
2014/07/15,3,17,79
2014/07/16,3,17,77
2014/07/17,3,17,76
2014/07/18,3,17,78
2014/07/19,3,19,81
2014/07/20,3,19,78
2014/07/21,3,20,77
2014/07/22,3,19,74
2014/07/23,3,18,71
2014/07/24,3,17,69
2014/07/25,3,17,64
2014/07/26,3,16,65
2014/07/27,2,15,65
2014/07/28,2,16,60
2014/07/29,2,16,60
2014/07/30,2,16,61
2014/07/31,2,16,61
2014/08/01,2,17,63
2014/08/02,2,16,56
2014/08/03,2,17,55
2014/08/04,2,18,57
2014/08/05,2,18,57
2014/08/06,2,18,55
2014/08/07,2,17,56
2014/08/08,2,16,54
2014/08/09,2,16,54
2014/08/10,2,16,52
2014/08/11,2,16,54
2014/08/12,2,18,57
2014/08/13,2,18,58
2014/08/14,2,17,59
2014/08/15,2,17,57
2014/08/16,2,17,56
2014/08/17,1,17,57
2014/08/18,1,18,58
2014/08/19,1,18,60
2014/08/20,1,17,56
2014/08/21,1,18,57
2014/08/22,1,18,56
2014/08/23,1,19,57
2014/08/24,1,20,60
2014/08/25,1,20,59
2014/08/26,2,20,60
2014/08/27,2,21,60
2014/08/28,2,19,60
2014/08/29,2,19,62
2014/08/30,2,19,62
2014/08/31,2,18,57
2014/09/01,1,19,62
2014/09/02,1,19,66
2014/09/03,2,19,66
2014/09/04,2,19,69
2014/09/05,2,18,70
2014/09/06,2,17,68
2014/09/07,2,17,72
2014/09/08,2,17,70
2014/09/09,2,17,71
2014/09/10,2,17,69
2014/09/11,2,16,67
2014/09/12,2,16,68
2014/09/13,2,17,71
2014/09/14,2,17,75
2014/09/15,2,17,80
2014/09/16,2,14,81
2014/09/17,2,13,78
2014/09/18,2,14,78
2014/09/19,2,14,78
2014/09/20,2,12,79
2014/09/21,2,14,80
2014/09/22,2,15,78
2014/09/23,2,14,74
2014/09/24,2,15,73
2014/09/25,2,15,72
2014/09/26,2,14,73
2014/09/27,2,14,75
2014/09/28,2,14,78
2014/09/29,2,13,78
2014/09/30,2,13,83
2014/10/01,2,14,80
2014/10/02,2,15,80
2014/10/03,2,14,87
2014/10/04,2,14,87
2014/10/05,2,14,90
2014/10/06,2,14,91
2014/10/07,2,15,91
2014/10/08,2,14,92
2014/10/09,2,15,95
2014/10/10,2,15,95
2014/10/11,2,16,96
2014/10/12,2,17,99
2014/10/13,2,15,94
2014/10/14,2,16,93
2014/10/15,2,16,94
2014/10/16,1,16,92
2014/10/17,1,16,93
2014/10/18,1,15,90
2014/10/19,1,15,92
2014/10/20,1,15,93
2014/10/21,1,14,90
2014/10/22,1,13,90
2014/10/23,1,13,91
2014/10/24,1,13,92
2014/10/25,1,13,93
2014/10/26,2,12,93
2014/10/27,2,12,92
2014/10/28,2,13,92
2014/10/29,2,13,92
2014/10/30,2,12,91
2014/10/31,2,12,93
2014/11/01,2,11,92
2014/11/02,2,11,85
2014/11/03,2,12,82
2014/11/04,2,12,81
2014/11/05,2,12,79
2014/11/06,2,13,75
2014/11/07,2,13,75
2014/11/08,2,12,75
2014/11/09,2,13,78
2014/11/10,2,12,75
2014/11/11,2,11,72
2014/11/12,2,10,76
2014/11/13,2,8,76
2014/11/14,2,8,77
2014/11/15,2,7,77
2014/11/16,2,7,74
2014/11/17,2,7,74
2014/11/18,2,7,73
2014/11/19,2,7,73
2014/11/20,2,7,76
2014/11/21,2,8,79
2014/11/22,2,8,79
2014/11/23,2,8,81
2014/11/24,2,9,80
2014/11/25,2,10,77
2014/11/26,2,10,79
2014/11/27,2,9,78
2014/11/28,2,9,77
2014/11/29,2,9,75
2014/11/30,2,11,76
2014/12/01,2,11,72
2014/12/02,2,11,73
2014/12/03,2,11,72
2014/12/04,2,12,72
2014/12/05,2,12,74
2014/12/06,2,13,77
2014/12/07,2,13,79
2014/12/08,2,13,76
2014/12/09,2,13,76
2014/12/10,2,13,77
2014/12/11,2,12,74
2014/12/12,2,12,71
2014/12/13,2,12,71
2014/12/14,2,12,68
2014/12/15,2,14,67
2014/12/16,2,14,68
2014/12/17,2,15,69
2014/12/18,2,15,69
2014/12/19,2,15,70
2014/12/20,2,15,69
2014/12/21,2,16,70
2014/12/22,2,16,68
2014/12/23,2,16,66
2014/12/24,2,15,68
2014/12/25,2,14,69
2014/12/26,2,14,65
2014/12/27,2,13,64
2014/12/28,2,13,64
2014/12/29,2,13,69
2014/12/30,2,12,68
2014/12/31,2,12,69
2015/01/01,2,12,71
2015/01/02,2,12,72
2015/01/03,2,10,72
2015/01/04,2,10,68
2015/01/05,2,9,68
2015/01/06,2,9,65
2015/01/07,2,9,67
2015/01/08,1,8,69
2015/01/09,1,8,72
2015/01/10,1,8,73
2015/01/11,1,8,72
2015/01/12,1,8,71
2015/01/13,1,7,71
2015/01/14,1,6,70
2015/01/15,1,5,69
2015/01/16,1,6,70
2015/01/17,1,6,71
2015/01/18,1,6,72
2015/01/19,1,6,74
2015/01/20,1,5,75
2015/01/21,1,10,78
2015/01/22,1,12,80
2015/01/23,1,13,83
2015/01/24,1,13,85
2015/01/25,1,14,90
2015/01/26,1,15,93
2015/01/27,1,16,97
2015/01/28,1,16,92
2015/01/29,1,17,94
2015/01/30,1,17,94
2015/01/31,2,17,95
2015/02/01,2,19,100
2015/02/02,2,18,102
2015/02/03,2,19,105
2015/02/04,2,19,105
2015/02/05,2,20,106
2015/02/06,2,21,106
2015/02/07,2,22,101
2015/02/08,2,21,100
2015/02/09,2,21,103
2015/02/10,2,22,103
2015/02/11,2,22,106
2015/02/12,2,22,113
2015/02/13,2,22,113
2015/02/14,2,24,117
2015/02/15,2,22,116
2015/02/16,2,22,117
2015/02/17,2,22,114
2015/02/18,2,23,117
2015/02/19,2,24,119
2015/02/20,2,23,116
2015/02/21,2,24,115
2015/02/22,2,24,117
2015/02/23,2,24,116
2015/02/24,2,23,116
2015/02/25,2,22,112
2015/02/26,2,21,106
2015/02/27,2,20,107
2015/02/28,2,20,103
2015/03/01,2,21,106
2015/03/02,2,20,105
2015/03/03,2,18,102
2015/03/04,2,17,98
2015/03/05,2,17,98
2015/03/06,2,18,97
2015/03/07,2,18,100
2015/03/08,2,18,100
2015/03/09,2,18,100
2015/03/10,2,18,100
2015/03/11,2,16,97
2015/03/12,2,18,98
2015/03/13,2,18,100
2015/03/14,2,17,97
2015/03/15,2,17,96
2015/03/16,2,15,93
2015/03/17,2,14,93
2015/03/18,3,14,93
2015/03/19,3,14,95
2015/03/20,3,13,93
2015/03/21,3,14,91
2015/03/22,3,13,92
2015/03/23,3,14,92
2015/03/24,3,13,89
2015/03/25,3,14,91
2015/03/26,3,15,89
2015/03/27,3,15,89
2015/03/28,3,16,92
2015/03/29,3,16,92
2015/03/30,2,17,93
2015/03/31,2,17,88
2015/04/01,2,17,89
2015/04/02,2,16,90
2015/04/03,2,18,87
2015/04/04,2,18,86
2015/04/05,2,17,87
2015/04/06,2,17,85
2015/04/07,2,18,80
2015/04/08,2,18,83
2015/04/09,2,18,81
2015/04/10,2,19,82
2015/04/11,2,19,84
2015/04/12,2,19,82
2015/04/13,2,19,83
2015/04/14,2,17,87
2015/04/15,2,18,85
2015/04/16,2,18,86
2015/04/17,2,18,89
2015/04/18,2,18,88
2015/04/19,2,19,88
2015/04/20,2,18,90
2015/04/21,2,18,88
2015/04/22,2,18,88
2015/04/23,2,18,87
2015/04/24,2,17,85
2015/04/25,2,17,85
2015/04/26,2,17,88
2015/04/27,2,17,88
2015/04/28,2,16,88
2015/04/29,2,15,86
2015/04/30,2,16,88
2015/05/01,2,16,86
2015/05/02,2,15,86
2015/05/03,2,16,87
2015/05/04,2,17,88
2015/05/05,2,17,86
2015/05/06,2,16,90
2015/05/07,2,17,88
2015/05/08,2,17,85
2015/05/09,2,17,86
2015/05/10,2,16,85
2015/05/11,2,15,85
2015/05/12,2,15,84
2015/05/13,2,15,88
2015/05/14,2,14,86
2015/05/15,2,13,85
2015/05/16,2,13,85
2015/05/17,2,13,84
2015/05/18,2,14,85
2015/05/19,2,13,84
2015/05/20,2,13,83
2015/05/21,2,13,82
2015/05/22,2,14,80
2015/05/23,2,14,81
2015/05/24,2,13,83
2015/05/25,2,15,84
2015/05/26,2,15,84
2015/05/27,2,14,84
2015/05/28,2,14,82
2015/05/29,2,14,82
2015/05/30,2,13,80
2015/05/31,2,13,82
2015/06/01,2,13,85
2015/06/02,2,13,82
2015/06/03,2,14,81
2015/06/04,2,14,82
2015/06/05,2,14,79
2015/06/06,2,14,78
2015/06/07,2,14,80
2015/06/08,2,15,81
2015/06/09,2,15,83
2015/06/10,2,15,82
2015/06/11,2,14,80
2015/06/12,2,14,76
2015/06/13,2,15,80
2015/06/14,3,14,82
2015/06/15,3,17,86
2015/06/16,3,18,84
2015/06/17,3,17,80
2015/06/18,3,17,78
2015/06/19,3,17,81
2015/06/20,3,17,83
2015/06/21,3,16,82
2015/06/22,3,15,81
2015/06/23,3,17,80
2015/06/24,3,16,80
2015/06/25,3,16,82
2015/06/26,3,15,84
2015/06/27,3,15,86
2015/06/28,3,16,85
2015/06/29,3,17,89
2015/06/30,2,17,89
2015/07/01,2,17,87
2015/07/02,2,18,92
2015/07/03,2,16,93
2015/07/04,2,16,96
2015/07/05,2,17,95
2015/07/06,2,17,95
2015/07/07,2,18,101
2015/07/08,2,21,105
2015/07/09,2,20,102
2015/07/10,2,20,100
2015/07/11,2,20,103
2015/07/12,3,20,104
2015/07/13,3,19,101
2015/07/14,2,19,102
2015/07/15,2,16,98
2015/07/16,2,16,95
2015/07/17,2,16,97
2015/07/18,2,16,97
2015/07/19,3,16,95
2015/07/20,3,15,94
2015/07/21,3,16,95
2015/07/22,3,17,98
2015/07/23,3,17,98
2015/07/24,3,18,96
2015/07/25,3,18,95
2015/07/26,3,18,94
