date,yowiki (100+),yowiki (5+),yowiki (all)
2012/08/19,8,26,61
2012/08/20,8,26,61
2012/08/21,8,25,60
2012/08/22,8,26,57
2012/08/23,8,25,56
2012/08/24,8,26,56
2012/08/25,8,25,56
2012/08/26,8,25,53
2012/08/27,8,26,52
2012/08/28,7,26,55
2012/08/29,7,26,57
2012/08/30,7,29,55
2012/08/31,7,29,55
2012/09/01,7,30,54
2012/09/02,7,30,55
2012/09/03,7,29,53
2012/09/04,7,28,54
2012/09/05,7,28,57
2012/09/06,7,28,57
2012/09/07,7,27,56
2012/09/08,6,26,55
2012/09/09,6,26,54
2012/09/10,6,27,55
2012/09/11,6,26,53
2012/09/12,6,26,53
2012/09/13,6,27,53
2012/09/14,7,27,53
2012/09/15,6,27,53
2012/09/16,7,27,51
2012/09/17,7,26,51
2012/09/18,7,26,50
2012/09/19,7,26,49
2012/09/20,8,27,50
2012/09/21,8,27,50
2012/09/22,8,25,52
2012/09/23,8,26,48
2012/09/24,7,25,48
2012/09/25,7,25,48
2012/09/26,7,24,48
2012/09/27,7,23,46
2012/09/28,7,20,46
2012/09/29,7,20,44
2012/09/30,7,20,44
2012/10/01,8,21,45
2012/10/02,8,21,44
2012/10/03,8,23,43
2012/10/04,8,22,42
2012/10/05,8,23,40
2012/10/06,8,23,41
2012/10/07,9,23,40
2012/10/08,9,23,43
2012/10/09,9,22,41
2012/10/10,9,22,40
2012/10/11,9,22,41
2012/10/12,9,22,43
2012/10/13,9,22,39
2012/10/14,9,22,42
2012/10/15,9,22,43
2012/10/16,9,22,44
2012/10/17,9,22,45
2012/10/18,9,22,45
2012/10/19,10,23,46
2012/10/20,10,23,46
2012/10/21,10,24,49
2012/10/22,10,24,48
2012/10/23,10,24,51
2012/10/24,10,25,51
2012/10/25,10,25,51
2012/10/26,10,25,51
2012/10/27,10,25,52
2012/10/28,9,27,51
2012/10/29,9,27,53
2012/10/30,9,27,52
2012/10/31,9,26,50
2012/11/01,9,26,52
2012/11/02,9,26,54
2012/11/03,9,26,56
2012/11/04,9,26,56
2012/11/05,9,25,58
2012/11/06,9,26,59
2012/11/07,8,27,57
2012/11/08,9,27,57
2012/11/09,9,27,57
2012/11/10,9,26,60
2012/11/11,9,27,60
2012/11/12,9,27,61
2012/11/13,9,27,59
2012/11/14,9,27,58
2012/11/15,9,27,60
2012/11/16,9,27,61
2012/11/17,9,27,60
2012/11/18,8,26,60
2012/11/19,8,26,59
2012/11/20,8,26,58
2012/11/21,8,26,61
2012/11/22,8,26,60
2012/11/23,8,26,60
2012/11/24,8,26,61
2012/11/25,9,26,61
2012/11/26,9,25,62
2012/11/27,9,25,60
2012/11/28,9,25,59
2012/11/29,9,25,56
2012/11/30,9,25,56
2012/12/01,9,27,56
2012/12/02,9,27,55
2012/12/03,9,27,53
2012/12/04,9,27,53
2012/12/05,9,28,52
2012/12/06,9,29,54
2012/12/07,9,29,54
2012/12/08,10,29,55
2012/12/09,11,28,56
2012/12/10,11,28,53
2012/12/11,12,27,50
2012/12/12,12,27,49
2012/12/13,12,27,50
