date,cswiki (100+),cswiki (5+),cswiki (all)
2012/08/19,101,665,1866
2012/08/20,104,659,1868
2012/08/21,104,666,1882
2012/08/22,103,667,1905
2012/08/23,100,671,1920
2012/08/24,101,671,1890
2012/08/25,101,680,1927
2012/08/26,100,675,1923
2012/08/27,96,673,1922
2012/08/28,97,675,1932
2012/08/29,97,676,1928
2012/08/30,97,673,1945
2012/08/31,96,673,1951
2012/09/01,99,683,1961
2012/09/02,98,679,1964
2012/09/03,100,678,1964
2012/09/04,97,685,1988
2012/09/05,96,683,1992
2012/09/06,99,679,1985
2012/09/07,100,676,1985
2012/09/08,104,670,1973
2012/09/09,100,670,1974
2012/09/10,103,680,1985
2012/09/11,102,686,1967
2012/09/12,98,675,1965
2012/09/13,101,678,1964
2012/09/14,103,684,1961
2012/09/15,100,685,1965
2012/09/16,100,686,1954
2012/09/17,102,687,1970
2012/09/18,100,691,2003
2012/09/19,100,697,2008
2012/09/20,100,693,2015
2012/09/21,100,696,2019
2012/09/22,99,695,2015
2012/09/23,98,688,2010
2012/09/24,99,683,2019
2012/09/25,99,695,2018
2012/09/26,100,688,2015
2012/09/27,100,685,2022
2012/09/28,102,688,2023
2012/09/29,100,676,2007
2012/09/30,101,668,1976
2012/10/01,98,663,1972
2012/10/02,96,656,1973
2012/10/03,94,653,1971
2012/10/04,94,648,1985
2012/10/05,93,645,1984
2012/10/06,91,650,1991
2012/10/07,92,647,1993
2012/10/08,91,649,2000
2012/10/09,92,651,1996
2012/10/10,91,635,2000
2012/10/11,90,646,2018
2012/10/12,92,642,2009
2012/10/13,92,641,1990
2012/10/14,91,638,1987
2012/10/15,91,641,1990
2012/10/16,93,645,2008
2012/10/17,91,641,2021
2012/10/18,90,640,2019
2012/10/19,91,639,2027
2012/10/20,91,631,2023
2012/10/21,94,638,2005
2012/10/22,92,636,1995
2012/10/23,93,640,1992
2012/10/24,95,646,1995
2012/10/25,96,652,1994
2012/10/26,97,657,1999
2012/10/27,97,659,1999
2012/10/28,97,655,2000
2012/10/29,94,662,2020
2012/10/30,94,669,2050
2012/10/31,94,670,2062
2012/11/01,93,666,2066
2012/11/02,92,669,2077
2012/11/03,93,681,2079
2012/11/04,93,676,2073
2012/11/05,92,686,2093
2012/11/06,93,705,2112
2012/11/07,94,700,2122
2012/11/08,92,704,2131
2012/11/09,90,707,2132
2012/11/10,91,711,2134
2012/11/11,88,711,2149
2012/11/12,92,710,2166
2012/11/13,89,720,2178
2012/11/14,90,728,2194
2012/11/15,91,722,2183
2012/11/16,88,722,2180
2012/11/17,90,723,2172
2012/11/18,90,730,2176
2012/11/19,88,726,2188
2012/11/20,87,726,2201
2012/11/21,85,728,2227
2012/11/22,85,732,2246
2012/11/23,88,730,2255
2012/11/24,87,729,2258
2012/11/25,92,731,2258
2012/11/26,93,743,2261
2012/11/27,93,741,2250
2012/11/28,91,751,2259
2012/11/29,91,752,2255
2012/11/30,93,750,2248
2012/12/01,94,745,2240
2012/12/02,93,737,2219
2012/12/03,94,736,2217
2012/12/04,93,740,2230
2012/12/05,92,741,2238
2012/12/06,95,743,2229
2012/12/07,98,747,2222
2012/12/08,97,740,2245
2012/12/09,101,745,2247
2012/12/10,102,749,2231
2012/12/11,103,747,2227
2012/12/12,106,746,2241
2012/12/13,108,742,2246
2012/12/14,107,737,2230
2012/12/15,107,743,2251
2012/12/16,108,749,2250
2012/12/17,109,761,2268
2012/12/18,112,765,2270
2012/12/19,111,763,2257
2012/12/20,116,769,2254
2012/12/21,115,767,2240
2012/12/22,118,766,2230
